year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2017,Q2,0.09531,4976000.0,0.036252,513723000.0,1.0576,37083000.0,-32107000.0,-367000.0,522667000.0,7355000.0,19658000.0,27013000.0,9966000.0,14276000.0,36929000.0,-466000.0,542004000.0,504609000.0,519351000.0,533060000.0,-12.727,-41.2858,146153700.0,796417700.0,,,0.2791,,0.0,-0.011638,1.5503,1.5207,8.0626,39.2401,48.7284,7.9408,,0.010966,-0.08246,-0.141329,-0.136555,-1.130435,-0.160486,0.506046,0.077801,0.056374,0.122922,0.784328,0.206303,0.197714,0.5,0.488729,0.284986,-0.002555,1.0,0.1968,0.053584,0.053584,0.038926,0.0,0.1603,0.0,0.946416,0.726445,1.0,0.323453,0.8258,6.7821,,2.5577,,53.8177,0.0,0.0,53.8177,-19.2246,-23.3397,-23.3397,-56.4187,-60.5997,0.03834,-0.000703,0.039043,-0.750584,-0.712244,-0.041882,0.044251,0.032146,-4.149608,-3.667776,1.309858,1.309858,2.968794,0.070152,0.946627,1.016779,0.0,0.245588,-0.262366,5.487,5.2577,5.1085,33.1623,31.7762,30.8743,0.5439,,,,,,,,0.996,0.8828,0.02726,0.070515,-0.00089,5973229.6,0.043517,0.053584
2017,Q1,0.0502,4125000.0,0.031746,515039000.0,1.0433,49029000.0,-44904000.0,-336000.0,524982000.0,4122000.0,19934000.0,24056000.0,268000.0,10081000.0,31553000.0,8637000.0,543249000.0,520333000.0,521777000.0,533306000.0,-12.7373,-41.4285,112473250.0,764073250.0,,,0.2198,105.2135,0.0,0.009504,1.4835,1.493,7.7582,36.4591,44.5186,7.2116,,0.280801,0.869388,0.309524,0.311287,0.454545,-0.124725,0.162129,0.10521,0.004251,0.12722,1.919263,1.429329,1.164483,0.7,-0.255293,0.250188,-0.010129,1.0,0.185137,0.031723,0.031723,0.034332,0.0,0.181128,0.0,0.968277,1.082242,1.0,-0.000728,0.8102,6.9811,,2.6792,,52.2837,0.0,0.0,52.2837,-18.591,-22.6517,-22.6517,-52.3316,-54.6363,0.033121,-0.000648,0.033769,-0.627797,-0.594676,-0.064963,0.025702,0.027816,-4.070271,-3.015168,1.347413,1.347413,74.156716,0.04297,0.975674,1.018644,0.0,0.243431,-0.262075,5.516,5.298,5.2833,31.6523,30.4013,30.3171,0.5022,,,,,,,,1.0865,0.9629,0.019699,0.061656,0.016877,3329200.0,0.025622,0.031723
2016,Q4,0.040607,1698000.0,0.013124,520309000.0,1.0328,61585000.0,-59887000.0,-363000.0,529812000.0,1412000.0,19929000.0,21341000.0,3257000.0,5206000.0,27447000.0,6795000.0,548745000.0,528093000.0,526504000.0,539242000.0,-12.7352,-41.7622,105206400.0,761772400.0,,,0.2081,213.4004,0.0,0.004686,1.4641,1.5068,8.1725,40.0091,47.0578,7.0027,,0.014547,-0.760597,-0.636091,-0.588623,-5.666667,-0.03886,0.441826,0.134253,0.017818,-0.190678,-0.80937,-0.693778,-0.646302,-2.666667,0.105235,-0.710226,0.10102,1.0,0.164941,0.010913,0.010913,0.015929,0.0,0.194472,0.0,0.989087,1.459632,1.0,-0.20255,0.8002,6.7092,,2.6468,,54.4032,0.0,0.0,54.4032,-12.2374,-14.5028,-14.5028,-55.5712,-57.7444,0.013553,-0.000681,0.014234,-0.17419,-0.160637,-0.092738,0.008733,0.012747,-2.583462,-0.575636,1.346035,1.346035,8.193737,0.038298,0.979325,1.017623,0.0,0.241194,-0.258817,5.8871,5.6485,5.6655,33.8983,32.5243,32.6225,0.46,,,,,,,,1.0639,0.9377,0.010298,0.054291,0.013441,1937600.0,0.014975,0.010913
2016,Q3,0.052466,5545000.0,0.04362,472570000.0,1.1066,40562000.0,-35017000.0,-282000.0,517517000.0,7407000.0,18962000.0,26369000.0,17709000.0,5985000.0,25593000.0,4148000.0,533871000.0,512426000.0,514263000.0,488924000.0,-12.6127,-37.0189,75206180.0,682795180.0,,,0.1503,31.6658,0.0,0.03158,1.4449,1.3642,7.3493,29.023,35.6439,6.2151,,-0.196655,-0.578453,-0.55544,-0.553999,-0.820896,0.417435,0.591976,0.093892,0.014395,-0.013136,-0.075973,-0.043141,-0.058339,-0.478261,-0.314871,0.461277,-0.008539,1.0,0.207432,0.058267,0.058267,0.045838,0.0,0.18141,0.0,0.941733,0.786688,1.0,0.251384,0.8336,6.7947,,2.6217,,53.7184,0.0,0.0,53.7184,-8.7578,-10.2978,-10.2978,-11.4007,-11.8778,0.048269,-0.000552,0.048822,-0.427569,-0.3793,-0.047328,0.048574,0.038213,-1.573373,-0.976079,1.271357,1.271357,1.363487,0.043862,1.048069,1.09193,0.0,0.19088,-0.282811,5.7464,5.5353,5.5155,27.8696,26.8461,26.7502,0.4903,,,,,,,,1.039,0.9174,0.011958,0.051135,0.008288,6115445.5,0.048107,0.058267
2016,Q2,0.057492,5795000.0,0.046243,476640000.0,1.1199,70795000.0,-65000000.0,-393000.0,522038000.0,8016000.0,18704000.0,26720000.0,16760000.0,3475000.0,27794000.0,6014000.0,543104000.0,521324000.0,518785000.0,497706000.0,-12.8507,-37.703,67972320.0,681342320.0,,,0.1376,8.2681,0.0,0.120946,1.4295,1.3788,6.8572,20.2239,26.1211,6.6311,,0.611192,27.225352,2.512121,1.103331,2.277778,0.311026,-0.008174,0.174439,0.012867,0.422639,2.635374,0.839683,0.81893,3.090909,0.552145,-0.212845,0.022811,1.0,0.213219,0.063966,0.063966,0.049379,0.0,0.184931,0.0,0.936034,0.771956,1.0,0.277071,0.8369,7.0605,,2.6637,,51.6962,0.0,0.0,51.6962,-7.5383,-8.75,-8.75,-11.4834,-11.9632,0.051789,-0.000773,0.052561,-0.396225,-0.344436,-0.10133,0.05353,0.041323,-1.292285,-0.789546,1.205928,1.205928,2.102804,0.043761,1.047454,1.091214,0.0,0.190042,-0.281256,5.466,5.2212,5.2468,20.8213,19.889,19.9864,0.4716,,,,,,,,1.0559,0.9097,0.007032,0.056245,0.01217,6306833.8,0.050327,0.063966
2016,Q1,0.130642,3150000.0,0.02546,466010000.0,1.1136,56743000.0,-53593000.0,-252000.0,511837000.0,2205000.0,16577000.0,18782000.0,16845000.0,3323000.0,46014000.0,26098000.0,551216000.0,531300000.0,508525000.0,505389000.0,-13.2668,-37.9971,77501010.0,683202010.0,,,0.159,20.3896,0.0,0.049045,1.4661,1.4019,7.6571,26.3195,31.141,7.2382,,-0.095802,-0.661134,-0.361702,-0.442112,-1.6875,0.09279,0.132645,0.138645,-0.004922,-0.107107,-0.626144,-0.324904,-0.320958,-2.666667,-0.182237,0.500489,0.015883,1.0,0.151804,0.017822,0.017822,0.027496,0.0,0.204203,0.0,0.982178,1.542857,1.0,-0.428571,0.8336,7.1409,,2.8125,,51.1139,0.0,0.0,51.1139,-7.4961,-8.6781,-8.6781,-11.5936,-12.0282,0.028352,-0.000499,0.028851,-0.216267,-0.187916,-0.079527,0.014856,0.022921,-1.307327,-0.433583,1.056882,1.056882,1.347937,0.039407,1.051269,1.090677,0.0,0.19228,-0.282956,6.1778,5.6994,5.9546,25.1249,23.179,24.2171,0.4692,,,,,,,,1.252,1.1065,0.006819,0.094417,0.053551,2744700.0,0.022184,0.017822
2015,Q4,0.133975,4666000.0,0.037527,458724000.0,1.1746,111957000.0,-107291000.0,-344000.0,536344000.0,5898000.0,15137000.0,21035000.0,15056000.0,9372000.0,47442000.0,27036000.0,571091000.0,550685000.0,533021000.0,493471000.0,-15.9127,-40.4039,99593820.0,727631820.0,,,0.2105,14.7721,0.0,0.067695,1.5862,1.5382,7.9771,24.046,30.6707,7.8696,,0.026598,0.030758,0.003009,-0.14315,-1.166667,-0.122357,-14.391288,0.322859,0.029416,-0.359158,-0.664333,-0.625912,-0.616533,-1.044776,0.629938,-0.250172,0.061841,1.0,0.169177,0.047436,0.047436,0.040294,0.0,0.17833,0.0,0.952564,0.84944,1.0,0.208884,0.8709,6.9715,,3.0678,,52.3561,0.0,0.0,52.3561,-5.0246,-5.4281,-5.4281,-7.0946,-7.3575,0.044078,-0.000684,0.044762,-0.224911,-0.180833,-0.219079,0.04131,0.03509,-0.766233,-0.319393,0.798783,0.798783,1.844182,0.041352,1.115942,1.157294,0.0,0.192548,-0.349842,6.2609,5.8436,6.0372,24.0723,22.4676,23.2121,0.4972,,,,,,,,1.2679,1.1027,0.019812,0.100289,0.057152,5153327.2,0.041446,0.047436
2015,Q3,0.096671,12473000.0,0.103267,432008000.0,1.1972,98294000.0,-85821000.0,-592000.0,503664000.0,17571000.0,15253000.0,32824000.0,12652000.0,36478000.0,81326000.0,51411000.0,552316000.0,522401000.0,507468000.0,480660000.0,-14.9598,-36.2986,105554400.0,703156400.0,,,0.2303,11.8787,0.0,0.084184,1.6276,1.5341,7.7551,23.3731,29.6565,7.2993,,0.31871,0.833559,0.879879,0.663484,0.810811,-0.348516,-3.533461,0.294546,0.01924,0.979257,60.869718,6.559394,3.440857,4.722222,-0.366305,-0.331115,0.064465,1.0,0.271758,0.145475,0.145475,0.108168,0.0,0.203197,0.0,0.854525,0.743555,1.0,0.290137,0.8594,6.8744,,2.7982,,53.0952,0.0,0.0,53.0952,-4.8483,-5.361,-5.361,-7.2904,-7.7079,0.123632,-0.001227,0.124859,-0.60536,-0.481728,-0.194807,0.125022,0.09296,-0.676467,-0.8076,1.098454,1.098454,1.346427,0.062237,1.086841,1.149078,0.0,0.187521,-0.3366,6.0915,5.5969,5.7616,23.2946,21.4031,22.0329,0.6281,,,,,,,,1.5385,1.1957,0.079583,0.177427,0.112162,12720032.3,0.105312,0.145475
2015,Q2,0.065319,1650000.0,0.013924,405845000.0,1.201,66123000.0,-64473000.0,-1292000.0,495418000.0,284000.0,16300000.0,16584000.0,18417000.0,29184000.0,72583000.0,50099000.0,543148000.0,520664000.0,499749000.0,453575000.0,-15.6339,-35.5754,202524840.0,782109840.0,,,0.4524,35.5744,0.0,0.02811,1.9271,1.7469,9.453,35.396,43.7617,7.4172,,-0.314484,-0.961518,-0.704195,-0.568622,-1.692308,0.125429,-2.706944,0.194639,0.08293,-0.201618,-0.956355,-0.665653,-0.517547,-2.125,0.293772,-0.043438,-0.008361,1.0,0.139945,0.002397,0.002397,0.024826,0.0,0.175522,0.0,0.997603,10.359155,1.0,-4.809859,0.8656,6.8564,,2.8008,,53.2352,0.0,0.0,53.2352,-4.3798,-4.6896,-4.6896,-5.8127,-6.0637,0.016722,-0.002675,0.019397,-0.084955,-0.068233,-0.129434,0.002074,0.021489,-0.567253,-0.106938,0.746229,0.746229,1.45963,0.049571,1.147912,1.197482,0.0,0.176015,-0.373497,6.5648,6.0402,6.293,30.391,27.9627,29.1329,0.6032,,,,,,,,1.5406,1.1854,0.065184,0.162118,0.111899,5004300.0,0.042229,0.002397
2015,Q1,0.038571,4935000.0,0.045098,409267000.0,1.1717,66724000.0,-61789000.0,-1163000.0,498179000.0,6507000.0,14265000.0,20772000.0,7445000.0,34695000.0,66184000.0,46746000.0,534326000.0,514888000.0,502837000.0,445414000.0,-15.4846,-36.2344,240475560.0,822284560.0,,,0.546,23.0385,0.0,0.043406,2.0092,1.8669,9.1016,28.1681,37.7195,8.0263,,-0.128143,0.185462,0.239327,0.224498,-0.111111,0.096002,-2.258919,0.19479,-0.001988,0.013763,0.13719,0.060834,0.042928,-0.111111,-0.343237,-8.712057,0.180236,1.0,0.189822,0.059463,0.059463,0.055726,0.0,0.191494,0.0,0.940537,0.937145,1.0,0.241586,0.8663,6.9745,,2.7678,,52.3334,0.0,0.0,52.3334,-4.3332,-4.5085,-4.5085,-5.791,-6.0096,0.052841,-0.00238,0.055221,-0.239286,-0.186444,-0.119509,0.051511,0.048273,-0.541682,-0.287438,0.637515,0.637515,2.790866,0.04364,1.155976,1.199617,0.0,0.1773,-0.376917,5.9143,5.5657,5.6991,24.5104,23.0659,23.6187,0.6762,,,,,,,,1.5759,1.1836,0.078772,0.150264,0.106132,5189068.7,0.04742,0.059463
