year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
2017,Q2,-1498000.0,2601000.0,38000.0,6275000.0,17057000.0,,2552000.0,699000.0,9115000.0,-15370000.0,-13036000.0,29587000.0,-15370000.0,-13036000.0,29587000.0,1181000.0,5343000.0,5343000.0,2034000.0,-74000.0,-1572000.0,-5751000.0,-10366000.0,-19359000.0,,400000.0
2017,Q1,-524000.0,2586000.0,9000.0,6286000.0,17348000.0,,-4729000.0,286000.0,6539000.0,-13419000.0,-7224000.0,19874000.0,-13419000.0,-7224000.0,19874000.0,-769000.0,4461000.0,4461000.0,208000.0,-20000.0,-6432000.0,-5600000.0,-839000.0,-14624000.0,,571000.0
2016,Q4,-19253000.0,2566000.0,-3954000.0,6268000.0,17363000.0,,3123000.0,298000.0,29308000.0,2102000.0,-26156000.0,26687000.0,2102000.0,-26156000.0,26687000.0,2633000.0,2060000.0,2060000.0,1575000.0,13000.0,-3646000.0,-5481000.0,-3424000.0,-22036000.0,,167000.0
2016,Q3,,2507000.0,194000.0,6143000.0,16455000.0,,1603000.0,1113000.0,14984000.0,-16873000.0,-11984000.0,24146000.0,-16873000.0,-11984000.0,24146000.0,-4711000.0,5827000.0,5827000.0,-2246000.0,508000.0,5725000.0,-6342000.0,-19002000.0,-27136000.0,,1293000.0
2016,Q2,-5641000.0,2480000.0,-19000.0,6509000.0,16224000.0,,12257000.0,,9847000.0,-21856000.0,-31759000.0,35243000.0,-21856000.0,-31759000.0,35243000.0,-18372000.0,6189000.0,6189000.0,-1907000.0,-680000.0,-9358000.0,-7554000.0,-16300000.0,-23469000.0,,-460000.0
2016,Q1,-1018000.0,1086000.0,-73000.0,6448000.0,15491000.0,,950000.0,1000.0,15962000.0,4267000.0,-22352000.0,22706000.0,4267000.0,-22352000.0,22706000.0,4621000.0,3402000.0,3402000.0,1777000.0,28678000.0,-4489000.0,-4149000.0,-17675000.0,-36225000.0,,830000.0
2015,Q4,-26483000.0,76000.0,-991000.0,6400000.0,15061000.0,,8338000.0,1733000.0,28254000.0,9722000.0,-44266000.0,27766000.0,9722000.0,-44266000.0,27766000.0,-6778000.0,5010000.0,5010000.0,-719000.0,,-2727000.0,-7925000.0,-16129000.0,-12340000.0,,1073000.0
2015,Q3,1404000.0,629000.0,473000.0,5863000.0,14624000.0,,-2656000.0,,7604000.0,-1249000.0,-14337000.0,17035000.0,-1249000.0,-14337000.0,17035000.0,1449000.0,13065000.0,13065000.0,-8627000.0,8353000.0,-3089000.0,-13734000.0,-13000000.0,-3472000.0,,348000.0
2015,Q2,-431000.0,1733000.0,-186000.0,5683000.0,14567000.0,,369000.0,-6000.0,48541000.0,11975000.0,-26947000.0,26882000.0,11975000.0,-26947000.0,26882000.0,11910000.0,2942000.0,2942000.0,7271000.0,-4015000.0,-8099000.0,,-18817000.0,-32545000.0,,400000.0
2015,Q1,-23630000.0,597000.0,40000.0,5427000.0,13668000.0,,-819000.0,6000.0,23000000.0,10589000.0,-32911000.0,20778000.0,10589000.0,-32911000.0,20778000.0,-1544000.0,6098000.0,6098000.0,1234000.0,-4318000.0,-1836000.0,,-7565000.0,-8099000.0,,120000.0
