year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q1,0.182421,-1205813.9,-0.090628,12819825.0,5.3978,6530391.0,-7736204.9,-100022.9,-31977915.0,-1053238.0,282483.0,-770755.0,503214.0,2783429.0,35761344.0,34761344.0,1000000.0,0.0,-31977915.0,45797740.0,4.7256,3.8122,73373203.1,41395288.1,1.6379,2.0303,1.4227,,0.0,-0.004765,3.229,0.8026,55.5216,,,39.9029,,-2.14106,-3.276385,-4.178624,-3.871513,-4.0,0.414298,,1.038311,0.038878,-1.971156,-2.825879,-3.418829,-2.868102,-3.0,-3.472667,0.051212,0.140028,0.465549,-0.057929,-0.08746,-0.07916,-0.08311,0.534451,0.165676,0.170545,0.553009,1.036217,1.013201,-0.036217,0.9525,6.5729,87.2904,46.2408,6.6675,55.5314,4.1814,54.7433,4.9695,-0.7891,1.1951,1.2108,0.0,0.0223,-0.48919,0.002798,-0.491988,0.388234,-0.100957,-0.751784,-0.075403,-0.079165,0.0,-0.100957,0.0,-5.826263,-3.629879,0.021835,0.0,0.021835,0.0,0.0,0.978165,1.3413,-42.8905,0.0,-1.5323,48.9986,0.0,5.7669,-75.7507,-86.7242,-111.9428,-122.9163,-131.3727,-167.5647,-556.4014,5.2929,5.0829,0.05397,0.693401,0.674011,-814568.3,-0.061222,-0.080205
2017,Q4,0.014352,498511.5,0.038924,11245180.0,7.1572,8652285.0,-8153773.5,-93421.5,-34979799.0,576839.0,216808.0,793647.0,67141.0,1372710.0,37685842.0,36352509.0,1333333.0,0.0,-34979799.0,47558312.0,4.4613,3.6092,93148743.3,58168944.3,2.0151,2.4909,1.881,81.6196,0.0,0.012252,5.1728,1.1746,26.5394,45.9597,61.3682,,,-0.421683,-0.492697,-0.559269,-0.462026,-0.934066,-0.726538,,3.336921,0.028818,0.70898,0.927158,1.932191,1.525818,2.0,-0.055292,-0.193651,0.011219,0.459768,0.061969,0.036717,0.04504,0.046219,0.540232,0.142556,0.141227,0.423051,1.060115,0.967977,-0.060115,0.8815,7.2969,59.027,53.7122,6.6225,50.0209,6.1836,55.1147,1.0898,-0.8484,1.2313,1.1918,0.0,0.0288,0.278591,0.002413,0.276178,-0.234299,0.044292,-1.11351,0.039701,0.04074,0.0,0.044292,0.0,1.101507,11.002502,0.028036,0.0,0.028036,0.0,0.0,0.971964,0.6083,-15.9594,0.0,1.4067,-36.9037,0.0,6.1821,31.2278,26.9874,27.593,23.3527,39.9913,36.3565,-441.4126,4.7361,4.5972,0.02772,0.761005,0.73408,329170.1,0.025702,0.043598
2017,Q3,0.000736,170013.3,0.013657,11120418.0,6.4751,7000966.0,-6830952.7,-64339.7,-34962129.0,299321.0,165077.0,464398.0,25991.0,1284917.0,37913712.0,36580379.0,1666666.0,333333.0,-34962129.0,47749213.0,4.5314,3.6451,92441291.3,57479162.3,2.006,2.4938,1.8736,56.0379,0.0,0.017845,5.1688,1.165,20.7469,31.4802,36.5287,33.6533,,-0.678942,-0.757056,-0.860964,-0.801907,-0.875,-0.22689,,1.69949,-0.043395,0.798034,5.089699,2.90493,4.342123,3.0,-0.417899,0.111266,-0.028932,0.482301,0.037306,0.016117,0.024045,0.018826,0.517699,0.152585,0.168276,0.466184,0.847389,0.923955,0.152611,1.1664,7.323,73.9987,48.9932,6.5058,49.843,4.9325,56.1042,-1.3286,-0.7615,1.324,1.2233,0.0072,0.0362,0.088433,0.002645,0.085789,-0.065328,0.023105,,0.028046,0.021959,0.0,0.023105,0.0,0.2842,30.085607,0.027924,0.006981,0.034905,0.0,0.0,0.965095,0.6016,-12.6195,0.1203,1.0592,-22.2189,0.2118,6.22,13.15,7.4692,12.0082,6.3273,34.3535,33.2117,-300.1034,5.0127,4.8636,0.026042,0.768418,0.741395,170013.3,0.013657,0.022216
2017,Q2,0.320285,-89249.1,-0.006858,11451744.0,6.4457,7596910.0,-7686159.1,-19128.1,-34582992.0,-73189.0,331470.0,258281.0,50619.0,1428612.0,38011604.0,36678271.0,2000000.0,666667.0,-34582992.0,48034736.0,4.8354,3.8808,134997641.3,100414649.3,2.9325,3.6539,2.7366,59.3098,0.0,0.016861,8.7685,2.0355,26.759,36.4003,38.1069,51.8278,,-0.835043,-1.053994,-1.091417,-1.053478,-1.066667,-0.257637,,1.970749,0.156475,-0.617629,-1.158185,-1.235268,-1.18209,-1.25,1.43074,,0.820791,0.470411,0.019848,-0.009771,-0.005624,-0.005388,0.529589,0.20267,0.139804,0.480182,0.701898,1.364987,0.298102,1.3677,7.7575,78.2798,49.3151,6.8366,47.0509,4.6628,53.3891,-1.6754,-0.7034,1.3977,1.9078,0.0145,0.0434,-0.044207,0.001054,-0.045261,0.031838,-0.012369,,-0.007692,-0.00737,0.971614,-0.000351,0.0,0.0,26.538098,0.027758,0.013879,0.041637,0.0,0.0,0.958363,0.533,-9.2158,0.1777,0.759,-13.1241,0.253,8.6014,-2.7398,-3.341,-4.6347,-5.236,50.2876,48.3927,-287.731,5.0692,4.9571,0.02896,0.770545,0.743517,-89249.1,-0.006858,-0.007677
2017,Q1,0.3219,379350.9,0.033713,6289434.0,7.3415,,,-5739.1,-39525965.0,462680.0,212793.0,675473.0,119312.0,1462476.0,43321774.0,41988441.0,2333333.0,1000000.0,-39525965.0,48148732.0,4.491,4.0732,154656347.0,115130382.0,3.3756,3.7219,3.3494,50.7621,0.0,0.0197,18.3054,2.4934,22.7529,27.4951,31.0052,47.8977,,0.670284,1.365101,2.341401,1.767386,1.04878,-2.65587,,,-0.108788,-0.507794,-0.593095,-0.664619,-0.650014,-0.956044,-2.15448,,1.425642,0.469984,0.060029,0.037812,0.041118,0.034223,0.530016,0.145572,0.141907,0.432172,0.891585,0.933509,0.108415,0.8386,6.1459,233.4365,56.8642,6.3326,59.3889,1.5636,57.6379,3.3146,-0.8627,1.2019,1.1219,0.0218,0.0509,0.247503,0.000145,0.247358,-0.213401,0.034102,,0.03448,0.028698,0.0,0.034102,0.0,0.0,-26.138712,0.027692,0.020769,0.048461,0.0,0.0,0.951539,0.4611,-7.8114,0.1976,0.6284,-10.6445,0.2693,10.7175,15.0397,12.331,11.1614,8.4527,-101.3737,-105.252,,6.3755,6.3208,0.031673,0.938229,0.909353,379350.9,0.033713,0.038384
2016,Q4,,1131102.7,0.089585,2592895.0,16.7511,,,30801.7,-42439507.0,1137071.0,235268.0,1372339.0,0.0,-2199769.0,42961634.0,41573071.0,2721896.0,1333333.0,-42439507.0,47754298.0,9.6481,8.714,67212043.2,24772536.2,1.4925,1.6525,1.5475,30.597,0.0,0.032683,9.554,0.5704,5.1728,6.3191,7.1917,5.3054,,,,,,,0.45383,,,0.015008,-0.051245,-0.077095,-0.074989,-0.069941,4.6875,1.670799,,-0.370573,0.433741,0.108692,0.089578,0.090058,0.087146,0.566259,0.097225,0.120819,0.344164,1.000088,0.967577,-8.8e-05,1.2179,9.7747,181.2566,47.3685,7.0815,37.3413,2.0137,51.5425,-12.1875,-0.9424,1.4638,1.4163,0.0296,0.0604,1.500655,-0.000726,1.501381,-1.414934,0.085721,1.371745,0.109685,0.106138,1.007162,-0.000614,0.0,0.0,,0.029077,0.027921,0.056998,0.0,0.0,0.943002,0.5684,-8.862,0.2784,0.7902,-12.3205,0.3871,4.2997,30.8425,30.6806,30.8425,30.6806,73.273,73.273,,5.4994,5.4457,-0.050646,0.989128,0.957158,791702.1,0.062704,0.087138
2016,Q3,0.865314,1222799.4,0.098301,4119452.0,,,,39755.4,-13696337.0,1232057.0,214406.0,1446463.0,228619.0,-892121.0,15934183.0,14470883.0,3129967.0,1666667.0,-13696337.0,20945756.0,2.6633,1.997,105423872.3,91727535.3,5.9174,7.8917,,,0.0,,22.2669,,,,,23.9747,,10.859268,156.915534,13.63464,1767.376682,1.152381,5.847688,,,0.262062,-0.076184,-0.09107,0.252507,-0.097746,0.066667,-0.44105,,0.068646,0.448281,0.116282,0.098906,0.099046,0.095106,0.551719,0.11737,0.115166,0.349374,0.993886,0.966126,0.006114,,,,,,,,,,-0.7688,1.6073,1.5529,0.0935,0.1757,,-0.002903,,,,,,,,,,,4.424134,0.069861,0.079571,0.149432,0.0,0.0,0.850568,,,,,,,,29.521,29.2991,24.0431,23.8213,24.2348,18.757,,2.6698,2.607,,,,1222799.4,0.098301,0.095691
2016,Q2,0.626958,976281.7,0.099051,3854834.0,,,,-334927.3,-1723294.0,1355503.0,210245.0,1565748.0,6000.0,-1201572.0,4058526.0,2521722.0,3536804.0,2000000.0,-1723294.0,9114932.0,-9.9497,-10.9655,,,,,,,0.0,,,,,,,,,,9.586633,6.47279,8.652137,1.122951,,,,0.15789,2.871723,5.928983,7.59929,8.422786,1.182927,3.121239,,,0.461304,0.158857,0.098825,0.137526,0.133032,0.538696,0.08589,0.136197,0.36248,1.002293,0.96511,-0.002293,,,,,,,,,,-0.3089,2.8692,2.7691,0.3585,0.634,,0.194353,,,,,,,,,,,301.589333,0.168603,0.21942,0.388023,0.65481,4.846908,-4.889741,,,,,,,,28.6612,20.6428,28.5343,20.516,38.2614,38.1346,,1.3183,1.2473,,,,681833.6,0.069177,0.132728
2016,Q1,,113530.5,0.013337,,,,,-25622.5,,195628.0,208778.0,404406.0,41030.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,-1.459102,,,0.432036,0.047508,0.013721,0.022982,0.016347,0.567964,0.117247,0.155268,0.418316,0.972058,0.731761,0.027942,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.791031,,,,,,,,,,,,,,3.728,2.1635,2.9461,1.3816,-16.2564,-17.0383,,,,,,,113530.5,0.013337,0.016817
2015,Q3,,-96781.5,-0.014513,,,,,-97450.5,,7802.0,114167.0,121969.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.100791,,1.049423,0.457467,1.003904,0.139344,,,,0.416132,0.01829,-0.010651,0.00117,0.0001,0.583868,0.12457,0.161234,0.426784,1.362525,0.062933,-0.362525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0672,-13.2378,1.0672,-13.2378,-28.5384,-28.5384,,,,,,,-49721.7,-0.007456,7.4e-05
