year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q1,-0.034086,-613892.3,-0.050146,47971000.0,0.9616,-6883000.0,6269107.7,854107.7,30412000.0,-597000.0,1208000.0,611000.0,144000.0,33903000.0,35318000.0,9437000.0,29030000.0,3149000.0,27615000.0,46589000.0,0.6723,0.6619,40219043.5,67834043.5,2.2905,2.3265,0.8135,,0.0,-0.568512,1.4141,1.3721,,,,,,-0.657319,-2.359909,-4.590013,-0.272097,,-2.98,-0.63407,-0.125479,3.321214,1.066638,0.945224,0.943275,0.911272,,-1.47293,0.225236,0.025635,0.163617,0.04991,-0.050074,-0.048767,-0.119915,0.836383,0.0,0.0,0.213691,1.068413,2.301508,-0.001456,0.7258,6.9458,1.3121,4.684,3.4719,52.5495,278.1856,105.1293,225.6058,1.4211,3.2077,7.3827,0.1793,1.6533,-0.04822,0.028303,-0.076522,-0.108748,-0.156967,-0.126498,-0.035393,-0.087031,2.4e-05,-0.156963,0.0,0.0,-12.375,0.555517,0.067591,0.623108,0.0,0.0,0.376892,-3.9416,-3.7495,-0.4276,-2.1686,-2.0629,-0.2352,0.2448,-0.7683,-0.7901,-0.9537,-0.9754,-2.2934,-2.4788,8.0683,1.2335,0.202,0.685782,0.714404,0.190889,-429100.0,-0.035051,-0.112237
2017,Q4,-0.829932,-10822347.6,-3.820102,46772000.0,0.911,-15939000.0,5116652.4,5722652.4,29006000.0,-10899000.0,1730000.0,-9169000.0,907000.0,32294000.0,32924000.0,9531000.0,26841000.0,3448000.0,26211000.0,44607000.0,1.3428,1.3222,22360009.8,48571009.8,1.2586,1.2782,0.4484,,0.0,-1.008542,1.0385,0.974,,,,,14.5536,-0.518298,-0.551018,-0.017773,-0.391037,1.372549,7.722222,20.958864,-0.254166,-0.836034,-10.912432,-12.226942,-11.160469,-4.744792,3.714286,1.864617,-0.571363,-0.229976,-1.031062,-3.236498,-3.829862,-3.847158,-5.840099,2.031062,0.0,0.0,2.7988,1.561733,0.972016,0.002549,0.6948,7.3803,1.2678,4.4788,3.3295,49.4557,287.8992,109.6249,227.73,1.5666,3.3654,3.2712,0.1941,1.5108,-3.480077,0.171268,-3.651345,-5.720377,-9.200455,0.060967,-2.672898,-4.057537,2.3e-05,-9.200239,0.0,0.0,4.154355,0.524424,0.077297,0.601722,0.0,0.0,0.398278,-4.3341,-4.2324,-0.5568,-2.13,-2.08,-0.2736,-0.5044,,,,,,,,1.2505,0.1602,0.647577,0.66021,0.191121,-4643136.2,-1.638947,-3.739499
2017,Q3,0.099809,-889961.4,-0.051508,60741000.0,0.9485,-12827000.0,11937038.6,1990038.6,30315000.0,-824000.0,1749000.0,925000.0,309000.0,36356000.0,36764000.0,13074000.0,30723000.0,7033000.0,30315000.0,61149000.0,2.2598,1.4423,19117988.2,49433988.2,0.6284,0.9845,0.3002,,0.0,-0.958783,0.8138,0.7761,,,,,36.4564,2.346434,0.641895,0.364924,-0.406937,0.3,-2.528745,5.881532,-0.174356,0.011356,2.451493,0.364198,0.182162,-0.460446,0.416667,-0.014432,-0.176007,0.046483,0.124841,0.053536,-0.05099,-0.047691,-0.166686,0.875159,0.0,0.0,0.175831,1.010172,3.459951,-0.010172,0.7573,6.3777,1.4139,4.7162,4.375,57.2307,258.1528,83.4287,231.9549,1.1424,2.683,9.2832,0.2312,1.0098,-0.048854,0.055574,-0.104429,-0.119295,-0.168149,0.020192,-0.036118,-0.126238,3.2e-05,-0.168144,0.0,-0.037039,-14.10356,0.387414,0.115014,0.502428,1.6e-05,0.0,0.497555,-10.0304,-9.8972,-2.2961,-2.6783,-2.6427,-0.6131,0.5765,-0.4065,-0.4391,-0.559,-0.5915,-2.15,-2.3024,5.889,1.3516,0.2809,0.570792,0.577197,0.205263,-616700.0,-0.035693,-0.165008
2017,Q2,-0.117699,-1088187.9,-0.063696,58043000.0,0.9437,-15575000.0,14486812.1,883812.1,33856000.0,-1296000.0,1564000.0,268000.0,209000.0,34197000.0,34623000.0,2673000.0,34282000.0,2332000.0,33856000.0,58469000.0,3.1615,1.7163,13693795.4,47550795.4,0.5662,1.0429,0.2204,,0.0,-1.296134,0.8192,0.7654,,,,,14.1235,-0.817563,-215.0,-59.454883,-6.825397,-8.0,-4.444867,3.227712,-0.211565,0.347956,-0.849692,-3.952164,-7.363672,-0.708839,,-5.773333,-0.1544,0.058136,0.170862,0.015687,-0.070124,-0.07586,-0.11543,0.829138,0.0,0.0,0.240986,0.908337,1.675154,0.091663,0.7489,5.8502,1.4166,4.4153,4.0796,62.3912,257.6533,89.4701,230.5745,1.2806,2.874,4.8143,0.0964,1.4174,-0.060112,0.023909,-0.084021,-0.107597,-0.167709,0.051143,-0.05681,-0.086443,3.5e-05,-0.167703,0.0,0.0,-20.555024,0.546443,0.039884,0.586328,1.7e-05,0.0,0.413655,-7.333,-7.2419,-0.4988,-2.8081,-2.7732,-0.191,0.3344,-1.4811,-1.2436,-1.72,-1.4825,-4.9097,-5.1486,16.5564,1.056,0.2165,0.550446,0.557303,0.043025,-1088187.9,-0.063696,-0.127078
2017,Q1,-0.165306,171000.0,0.013492,54854000.0,1.0169,-16961000.0,17132000.0,1325000.0,29943000.0,439000.0,1344000.0,1783000.0,89000.0,30395000.0,31438000.0,3096000.0,30986000.0,2644000.0,29943000.0,55897000.0,3.2561,1.7747,27923102.3,57867102.3,1.121,2.0566,0.4336,,0.0,-0.549617,1.0549,0.8985,,,,,9.9248,22.743902,1.277672,1.156785,0.193007,,0.0,3.055511,-0.236176,-0.239164,1.295248,1.062473,1.016081,0.902976,,1.083333,67.827924,-0.125289,0.213981,0.140682,0.013492,0.034638,-0.091053,0.786019,0.0,0.0,0.200489,2.54185,-1.034169,0.0,0.7964,7.447,1.4671,4.7985,4.0805,49.0133,248.7973,89.4501,208.3606,1.4214,3.0919,-3.1976,0.1061,1.2439,0.01372,0.035639,-0.021919,-0.031155,-0.017435,0.09206,0.027584,-0.072511,1.9e-05,-0.017435,0.0,-0.043201,10.11236,0.50704,0.047301,0.554341,1.8e-05,0.0,0.445641,-8.9194,-8.6192,-0.7611,-2.7839,-2.6902,-0.2375,0.6778,0.4916,0.1915,0.3919,0.0918,1.0078,0.9082,19.1848,1.0696,0.1919,0.471935,0.48813,0.048071,119700.0,0.009445,-0.035821
2016,Q4,-0.291089,-10633359.9,-0.638334,62711000.0,0.9855,-10377000.0,-256359.90000000037,1260640.1,37821000.0,-7027000.0,988000.0,-6039000.0,291000.0,35598000.0,36902000.0,2903000.0,36970000.0,2971000.0,35666000.0,61860000.0,3.2838,1.7484,23875169.8,59542169.9,0.9593,1.8016,0.3568,,0.0,-0.654362,0.9495,0.8898,,,,,,-7.081571,-91.089744,-113.040257,-16.699405,-18.125,-0.221622,0.985223,-0.14198,0.060344,-7.790393,-2.05389,-6.587957,-4.810454,-4.1,1.349798,0.895164,-0.147578,-0.13525,-0.362529,-0.412174,-0.421839,-0.714011,1.13525,0.0,0.0,0.276924,1.548698,1.092927,-0.548698,0.7824,6.1639,1.5681,4.8634,4.2682,59.216,232.7644,85.5153,206.4651,1.5291,3.1856,3.4816,0.1194,1.4853,-0.629078,0.030708,-0.659786,-1.008867,-1.637945,-0.030906,-0.330048,-0.558644,1.9e-05,-1.637914,0.0,-0.042437,1.484536,0.549612,0.048028,0.59764,1.6e-05,0.0,0.402344,-6.9245,-6.6803,-0.5565,-2.9634,-2.8589,-0.2381,0.2937,-10.7611,-16.2839,-11.2067,-16.7295,0.6616,0.2159,-0.3926,1.0544,0.1754,0.531988,0.551476,0.043383,-4806200.0,-0.288522,-0.46104
2016,Q3,-0.254602,-1401346.9,-0.089201,73568000.0,1.0097,1044000.0,-2445346.9,645653.1,41302000.0,-2301000.0,1614000.0,-687000.0,112000.0,38772000.0,40069000.0,5963000.0,42599000.0,8493000.0,41302000.0,74865000.0,4.2397,2.4775,34424830.2,75727830.2,1.0669,1.8259,0.4667,,0.132641,-0.137546,1.0294,1.0267,44.73,,,,,-1.439821,-38.112903,-61.214616,-7.074184,-8.5,-0.008163,0.896117,0.014395,-0.188659,-1.467665,-382.5,-76.852606,-7.123016,-6.5,-0.565272,0.623966,-0.000679,0.127116,-0.04373,-0.146722,-0.146467,-0.130299,0.872884,0.0,0.0,0.273838,0.60796,1.463277,0.39204,0.8145,6.1717,1.4628,4.5803,4.3278,59.1408,249.5176,84.3376,224.3209,1.3849,2.9565,4.3262,0.2632,1.3202,-0.090067,0.015221,-0.105288,-0.145814,-0.235881,-0.051393,-0.119296,-0.106127,1.6e-05,-0.235877,0.757555,0.757555,-11.026786,0.455567,0.113444,0.569011,1.3e-05,0.0,0.430976,25.1618,24.3957,5.0165,-15.7187,-15.2401,-3.1338,0.8484,-2.1585,-1.3146,-2.2636,-1.4196,-1.1585,-1.2636,-2.2939,1.1202,0.2263,0.525686,0.543272,0.080849,-1401346.9,-0.089201,-0.214322
2016,Q2,0.016057,-18000.0,-0.00093,73618000.0,1.1243,6485000.0,-6503000.0,234000.0,40074000.0,-6000.0,1475000.0,1469000.0,-797000.0,41554000.0,42313000.0,6741000.0,40833000.0,5261000.0,40074000.0,74377000.0,4.4207,2.611,36041874.3,76116874.3,1.0745,1.8192,0.4555,,0.126316,-0.058238,1.0339,0.962,19.3092,,,,,-0.007432,-1.047619,-1.173877,0.580699,0.5,0.34901,0.693479,0.096599,0.275224,18.914634,0.996205,0.983496,0.823776,0.789474,-1.876667,0.219765,0.025106,0.214585,0.075866,-0.001394,-0.00031,-0.013015,0.785415,0.0,0.0,0.215979,0.666667,63.0,0.333333,0.9384,6.8556,1.7105,5.0199,6.0305,53.2408,213.3888,60.5259,206.1037,1.2232,2.6636,167.8069,0.1568,1.2173,-0.001045,0.006043,-0.007088,-0.008671,-0.009716,-0.105469,-0.000291,-0.012213,1.6e-05,-0.009716,1.090729,0.762023,,0.478266,0.070734,0.549,1.3e-05,0.0,0.450986,10.3584,10.1659,1.3346,-43.5586,-42.7489,-5.6122,1.086,-0.0161,-0.0484,2.1263,2.0941,-2.121,0.0215,-17.4812,1.1357,0.2434,0.525196,0.534788,0.085199,-18000.0,-0.00093,-0.019522
2016,Q1,-0.096782,-1090666.3,-0.07183,71815000.0,1.1558,7244000.0,-8334666.3,339333.7,44413000.0,-1581000.0,1499000.0,-82000.0,355000.0,41577000.0,41946000.0,1081000.0,44782000.0,3917000.0,44413000.0,72184000.0,3.6128,1.7604,46039523.6,90452523.6,1.6802,3.4481,0.5841,,0.098847,-0.051391,1.2595,1.1477,22.882,,,,,-1.051186,-4.335443,-3.880598,-14.75,-20.0,-0.089069,0.620209,0.112187,-0.353817,-1.082578,-21.269231,-12.491996,-1.127976,-1.375,0.621622,0.519563,-0.017417,0.185788,-0.0054,-0.104781,-0.104123,-0.094178,0.814212,0.0,0.0,0.290569,0.685523,1.319418,0.314477,0.95,7.0702,1.7485,5.2619,5.7818,51.6252,208.7487,63.1295,197.2444,1.3166,2.8185,3.7188,0.1429,1.6343,-0.083018,0.008756,-0.091774,-0.120831,-0.203849,-0.121129,-0.098913,-0.089466,0.0,-0.203849,0.450549,0.450549,2.535211,0.566123,0.054264,0.620387,0.0,0.0,0.379613,11.3286,11.2353,0.9909,-44.0711,-43.708,-3.8548,1.0382,-3.1307,-2.1597,-3.8337,-2.8627,1.7822,1.0792,-16.5043,1.0196,0.1843,0.527526,0.532208,0.013716,-1090666.3,-0.07183,-0.137381
2015,Q4,0.153899,94906.6,0.004039,73088000.0,1.2497,17443000.0,-17348093.4,766906.6,44283000.0,78000.0,915000.0,993000.0,597000.0,42537000.0,43066000.0,2171000.0,44812000.0,3917000.0,44283000.0,73617000.0,3.8519,1.9303,60947517.5,105230517.5,2.1159,4.2222,0.7577,,0.07362,-0.013651,1.4398,1.3082,18.6678,142.2034,225.8842,,,0.479881,1.200514,0.518387,-0.002985,0.2,6.606061,-0.06682,0.313469,0.114917,-0.364277,0.258065,5.213502,-2.994065,-3.0,1.453061,0.263023,0.007777,0.205847,0.042259,0.002639,0.003319,-0.028598,0.794153,0.0,0.0,0.203209,1.530752,-5.628205,-0.530752,1.0418,6.2899,1.9264,6.4726,6.6506,58.0292,189.4722,54.882,192.6194,1.2554,2.7056,-15.2279,0.136,1.5557,0.005048,0.021405,-0.016358,-0.020536,-0.015488,-0.263757,0.003458,-0.029793,0.0,-0.015488,0.0,0.0,0.929648,0.55551,0.053208,0.608718,0.0,0.0,0.391282,7.9496,7.8558,0.6949,96.1919,95.0564,8.4081,1.3155,0.1509,0.1836,-1.0039,-0.9712,1.0735,-0.0812,-33.5553,1.0402,0.263,0.528791,0.535367,0.026988,112000.0,0.004766,-0.018682
