year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofplantpropertyandequipment
2018,Q1,,527000.0,2000.0,390000.0,681000.0,0.0,-1782000.0,1065000.0,2489000.0,,2875000.0,-308000.0,-1782000.0,2875000.0,-308000.0,-1782000.0,785000.0,-1468000.0,-1468000.0,260000.0,-369000.0,-164000.0,,-144000.0,-310000.0,,,
2017,Q4,,1033000.0,8000.0,351000.0,697000.0,,4508000.0,-29000.0,107000.0,,-2378000.0,-1168000.0,3768000.0,-2378000.0,-1168000.0,3768000.0,222000.0,-16545000.0,-16545000.0,14075000.0,93000.0,-261000.0,,-907000.0,-2549000.0,,,
2017,Q3,,1165000.0,,692000.0,584000.0,,-2537000.0,7762000.0,,,4890000.0,-550000.0,-4358000.0,4890000.0,-550000.0,-4358000.0,-18000.0,-2880000.0,-2880000.0,-690000.0,-832000.0,-241000.0,,-309000.0,-2040000.0,,,
2017,Q2,,850000.0,,349000.0,714000.0,,-3999000.0,,4037000.0,,4126000.0,-447000.0,-4296000.0,4126000.0,-447000.0,-4296000.0,-617000.0,-1972000.0,-1972000.0,111000.0,-420000.0,-238000.0,,-209000.0,509000.0,,,
2017,Q1,,616000.0,0.0,643000.0,728000.0,4260000.0,1534000.0,0.0,2700000.0,,-5087000.0,3926000.0,900000.0,-5087000.0,3926000.0,900000.0,-261000.0,-1154000.0,-1154000.0,-824000.0,-2069000.0,-245000.0,,-89000.0,-5718000.0,,,
2016,Q4,,633000.0,,-184000.0,355000.0,,10980000.0,,2575000.0,,185000.0,-610000.0,432000.0,185000.0,-610000.0,432000.0,7000.0,-11894000.0,-11894000.0,358000.0,-394000.0,-319000.0,,-291000.0,-1996000.0,-663000.0,663000.0,
2016,Q3,,473000.0,,762000.0,1141000.0,,-776000.0,,4220000.0,,2135000.0,-362000.0,-1235000.0,2135000.0,-362000.0,-1235000.0,538000.0,-2047000.0,-2047000.0,-26000.0,-369000.0,-250000.0,,-112000.0,-1716000.0,663000.0,-663000.0,
2016,Q2,,528000.0,,411000.0,947000.0,,-2058000.0,,942000.0,5250000.0,564000.0,615000.0,-789000.0,564000.0,615000.0,-789000.0,390000.0,-252000.0,-252000.0,46000.0,-2006000.0,-182000.0,,-874000.0,-2959000.0,-663000.0,,1671000.0
2016,Q1,,595000.0,13000.0,505000.0,904000.0,0.0,779000.0,,458000.0,,-493000.0,-567000.0,900000.0,-493000.0,-567000.0,900000.0,-160000.0,-1430000.0,-1430000.0,52000.0,-638000.0,-212000.0,,-355000.0,-313000.0,,,
2015,Q4,,504000.0,,477000.0,411000.0,,109000.0,,-1545000.0,,-29000.0,-788000.0,555000.0,-29000.0,-788000.0,555000.0,-262000.0,-672000.0,-672000.0,203000.0,-1588000.0,-191000.0,3334000.0,-597000.0,-230000.0,,,
2015,Q3,-1532000.0,455000.0,,445000.0,1045000.0,17000.0,-3034000.0,,4499000.0,,3028000.0,-2226000.0,-1225000.0,3028000.0,-2226000.0,-1225000.0,-423000.0,337000.0,337000.0,-28000.0,-117000.0,-115000.0,-1134000.0,-596000.0,-220000.0,,,
2015,Q2,,439000.0,262000.0,417000.0,915000.0,,-2009000.0,,2272000.0,,397000.0,-429000.0,-1212000.0,397000.0,-429000.0,-1212000.0,-1244000.0,-601000.0,-601000.0,44000.0,-565000.0,-201000.0,-1134000.0,-228000.0,-176000.0,,,
2015,Q1,-5413000.0,409000.0,183000.0,310000.0,719000.0,588000.0,-245000.0,,7057000.0,,5169000.0,-5117000.0,988000.0,5169000.0,-5117000.0,988000.0,1040000.0,104000.0,104000.0,1000.0,-690000.0,-149000.0,-1066000.0,-143000.0,-132000.0,,,
2014,Q4,-4454000.0,376000.0,483000.0,321000.0,684000.0,168000.0,-417000.0,9530000.0,5940000.0,,4510000.0,-4561000.0,-99000.0,4510000.0,-4561000.0,-99000.0,-150000.0,-670000.0,-670000.0,-72000.0,-13570000.0,-88000.0,2683000.0,-187000.0,-73000.0,,,
2014,Q3,-286000.0,392000.0,1667000.0,214000.0,512000.0,5000.0,-3626000.0,-9530000.0,3202000.0,,3197000.0,-482000.0,-2316000.0,3197000.0,-482000.0,-2316000.0,399000.0,380000.0,380000.0,26000.0,10068000.0,-119000.0,-2683000.0,-82000.0,1172000.0,968000.0,,
2014,Q2,-4190000.0,396000.0,258000.0,288000.0,616000.0,,226000.0,9530000.0,-2855000.0,,2907000.0,-4379000.0,1954000.0,2907000.0,-4379000.0,1954000.0,482000.0,616000.0,616000.0,100000.0,-1143000.0,-74000.0,,-115000.0,-1657000.0,-968000.0,,
2014,Q1,0.0,423000.0,86000.0,251000.0,552000.0,,-3739000.0,,4183000.0,,2705000.0,-241000.0,-2338000.0,2705000.0,-241000.0,-2338000.0,126000.0,341000.0,341000.0,85000.0,-1202000.0,-54000.0,,-187000.0,-276000.0,,,
2013,Q4,11000.0,428000.0,,253000.0,467000.0,7000.0,3958000.0,997000.0,-1164000.0,,-5345000.0,-198000.0,5333000.0,-5345000.0,-198000.0,5333000.0,-210000.0,700000.0,700000.0,-220000.0,-1279000.0,-64000.0,,-152000.0,-3899000.0,,,
