date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-10,1.46,1,1.8,1.36,1.8,1028400.0,1.46,0.0,1.8,1.36,1.8,1.0,1028400.0
2018-06-30,1.8,1,1.95,1.43,1.6,3221931.0,1.8,0.0,1.95,1.43,1.6,1.0,3221931.0
2018-03-31,1.54,1,1.9196,1.29,1.72,4145670.0,1.54,0.0,1.9196,1.29,1.72,1.0,4145670.0
2017-12-31,1.69,1,1.76,1.27,1.45,6321488.0,1.69,0.0,1.76,1.27,1.45,1.0,6321488.0
2017-09-30,1.42,1,2.0,1.15,1.82,9367688.0,1.42,0.0,2.0,1.15,1.82,1.0,9367688.0
2017-06-30,1.79,1,3.73,1.5131,3.63,2568282.0,1.79,0.0,3.73,1.5131,3.63,1.0,2568282.0
2017-03-31,3.65,1,4.6,2.53,3.17,2583860.0,3.65,0.0,4.6,2.53,3.17,1.0,2583860.0
2016-12-31,3.15,1,4.492,2.21,4.48,1256468.0,3.15,0.0,4.492,2.21,4.48,1.0,1256468.0
2016-09-30,4.5235,1,5.08,3.85,4.7462,541809.0,4.5235,0.0,5.08,3.85,4.7462,1.0,541809.0
2016-06-30,4.75,1,6.18,4.12,6.1576,598835.0,4.75,0.0,6.18,4.12,6.1576,1.0,598835.0
2016-03-31,6.07,1,8.27,5.9,8.1357,215275.0,6.07,0.0,8.27,5.9,8.1357,1.0,215275.0
2015-12-31,8.15,1,9.0091228070175,6.96,8.6652631578947,312870.0,8.15,0.15,9.17,6.96,8.82,1.0,312870.0
2015-09-30,8.6947368421053,1,10.028675243665,5.7571929824561,9.9296686159844,466821.0,8.85,0.15,10.3724,5.86,10.27,1.0,466821.0
2015-06-30,9.8136452241715,1,10.606471734893,9.2441942168379,9.4443262565838,360812.0,10.15,0.15,10.97,9.7,9.91,1.0,360812.0
2015-03-31,9.6635184905913,1,9.9875417930372,9.1107728570072,9.9113010159911,403907.0,10.14,0.0,10.48,9.56,10.4,1.0,403907.0
2014-12-31,10.02566218156,1,11.492452106454,9.0136879266308,9.4530743442598,562668.0,10.52,0.3,12.24,9.6,10.2078,1.0,562668.0
2014-09-30,9.8347978541937,1,10.186702108864,7.8900638152289,10.057053172933,696522.0,10.62,0.0,11.0,8.52,10.86,1.0,696522.0
2014-06-30,10.047792534652,1,11.983823093154,8.2536754751798,8.4931692568128,1571800.0,10.85,0.3,13.12,9.0362,9.44,1.0,1571800.0
2014-03-31,8.4391872488245,1,9.2939023753046,6.9906700344741,7.9780203685696,843800.0,9.38,0.125,10.33,7.77,8.99,1.0,843800.0
2013-12-31,7.9691460411295,1,8.6524692540104,6.664619907448,6.9752213678484,243700.0,8.98,0.0,9.75,7.51,7.86,1.0,243700.0
2013-09-30,6.9752213678484,1,7.0728389696885,5.2155532346159,5.3291247455875,64100.0,7.86,0.125,8.0,5.97,6.1,1.0,64100.0
2013-06-30,5.3313088131061,1,5.4468281939951,4.3228795190438,5.1874554228525,29000.0,6.1025,0.0625,6.3,5.0,6.0,1.0,29000.0
2013-03-31,5.1874554228525,1,6.2217196926907,1.9020669883793,6.2217196926907,40200.0,6.0,0.0625,7.27,2.2,7.27,1.0,40200.0
2012-12-31,6.2217196926907,1,10.178806425943,4.8781020974329,5.165744261166,36500.0,7.27,0.0,12.0,5.7,6.09,1.0,36500.0
2012-09-30,5.165744261166,1,5.34387337362,4.6652862785572,5.3184263575552,162600.0,6.09,0.0,6.3,5.5,6.27,1.0,162600.0
2012-06-30,5.3184263575552,1,5.3269086962435,2.6889013641866,2.6889013641866,32400.0,6.27,0.0,6.28,3.17,3.17,1.0,32400.0
2012-03-31,2.6889013641866,1,8.1769744955075,2.5022899130443,2.5022899130443,21100.0,3.17,0.0,9.64,2.95,2.95,1.0,21100.0
