,accountspayable,accountsreceivable,accumulateddepreciation,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,customerdeposits,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
2016,30496000.0,383823000.0,344898000.0,-1396000.0,47709000.0,5903000.0,0.0,138910000.0,2374000.0,24246000.0,,22671000.0,13660000.0,211348000.0,1222907000.0,189889000.0,763235000.0,53298000.0,878009000.0,210820000.0,,,4619000.0,20932000.0,5208000.0,23639000.0,9063000.0,9283000.0,0.0,544982000.0,95763000.0,1789265000.0,572542000.0,486380000.0,185896000.0,572542000.0,572542000.0,1216723000.0,1789265000.0,424876000.0,1030827000.0,0.0,-109954000.0
"(2016, 'Q3')",35704000.0,390943000.0,339455000.0,-1396000.0,52344000.0,7417000.0,,137132000.0,4424000.0,26947000.0,,27801000.0,13302000.0,211418000.0,1212247000.0,193713000.0,803120000.0,53939000.0,872792000.0,204714000.0,,,5002000.0,20888000.0,6054000.0,23858000.0,9465000.0,10838000.0,,525112000.0,80192000.0,1802921000.0,550967000.0,501140000.0,182311000.0,550967000.0,550967000.0,1251954000.0,1802921000.0,428989000.0,1069643000.0,0.0,-109881000.0
"(2016, 'Q2')",29988000.0,418964000.0,322983000.0,-1304000.0,57143000.0,6619000.0,,135143000.0,5906000.0,8217000.0,,33425000.0,12759000.0,210147000.0,1189933000.0,197530000.0,808254000.0,52566000.0,866950000.0,179908000.0,,,649000.0,13375000.0,7179000.0,28212000.0,10440000.0,10619000.0,155000.0,504018000.0,70187000.0,1807652000.0,586112000.0,504813000.0,165640000.0,586112000.0,586112000.0,1221385000.0,1807652000.0,435889000.0,1055745000.0,0.0,-51745000.0
"(2016, 'Q1')",16797000.0,404315000.0,313073000.0,-1247000.0,63301000.0,5085000.0,,133539000.0,5124000.0,,,25728000.0,12338000.0,208405000.0,1162833000.0,201153000.0,793720000.0,53131000.0,849760000.0,173852000.0,,,6822000.0,26309000.0,15477000.0,25561000.0,9082000.0,11051000.0,475000.0,477037000.0,71606000.0,1780760000.0,582428000.0,495881000.0,157902000.0,582428000.0,582428000.0,1197857000.0,1780760000.0,435119000.0,1039955000.0,0.0,-26901000.0
2015,30912000.0,364905000.0,301891000.0,-1317000.0,68389000.0,5808000.0,0.0,131120000.0,3544000.0,2674000.0,,19419000.0,12292000.0,127732000.0,1101547000.0,129899000.0,567226000.0,50401000.0,799656000.0,166836000.0,,,7594000.0,21044000.0,16369000.0,21062000.0,12293000.0,9850000.0,8550000.0,447840000.0,61259000.0,1535950000.0,564186000.0,457601000.0,148470000.0,564186000.0,564186000.0,963214000.0,1535950000.0,278693000.0,814744000.0,0.0,-13457000.0
"(2015, 'Q3')",19674000.0,366001000.0,301700000.0,-1436000.0,74577000.0,14963000.0,,129066000.0,5544000.0,0.0,16267000.0,23814000.0,11164000.0,127269000.0,1070298000.0,112591000.0,522672000.0,51502000.0,768598000.0,134046000.0,,,10003000.0,35281000.0,16690000.0,33919000.0,11874000.0,8134000.0,8585000.0,434997000.0,83545000.0,1509670000.0,562627000.0,467293000.0,195289000.0,562627000.0,562627000.0,938458000.0,1509670000.0,273779000.0,743169000.0,0.0,
"(2015, 'Q2')",21985000.0,310600000.0,286536000.0,-1096000.0,81561000.0,28861000.0,,126912000.0,7020000.0,,16536000.0,27270000.0,9699000.0,127269000.0,1038070000.0,114639000.0,496440000.0,49513000.0,751534000.0,129889000.0,,,10016000.0,33041000.0,11265000.0,31640000.0,11521000.0,8373000.0,7582000.0,389145000.0,86205000.0,1443710000.0,514961000.0,418628000.0,201756000.0,514961000.0,514961000.0,921167000.0,1443710000.0,273548000.0,719411000.0,0.0,
"(2015, 'Q1')",18688000.0,301305000.0,285522000.0,-1011000.0,90871000.0,24779000.0,,124807000.0,6552000.0,7121000.0,23118000.0,21940000.0,8592000.0,127269000.0,1006425000.0,86796000.0,475627000.0,48612000.0,720903000.0,127065000.0,,,11281000.0,18643000.0,7033000.0,27602000.0,14225000.0,11764000.0,7287000.0,362366000.0,75695000.0,1374465000.0,486162000.0,411895000.0,173228000.0,486162000.0,486162000.0,881016000.0,1374465000.0,241667000.0,707788000.0,0.0,
2014,17393000.0,299351000.0,268049000.0,-636000.0,96534000.0,13165000.0,0.0,122740000.0,5722000.0,8865000.0,,31539000.0,7426000.0,127269000.0,990030000.0,83654000.0,466839000.0,50705000.0,721981000.0,144142000.0,,,8381000.0,15537000.0,8608000.0,28560000.0,16060000.0,10766000.0,6981000.0,349805000.0,81223000.0,1361305000.0,471909000.0,399841000.0,158840000.0,471909000.0,471909000.0,882415000.0,1361305000.0,239483000.0,723575000.0,0.0,
"(2014, 'Q3')",19813000.0,300946000.0,270440000.0,-577000.0,107213000.0,16832000.0,,121068000.0,4242000.0,0.0,19530000.0,24266000.0,7196000.0,128737000.0,966731000.0,85096000.0,483713000.0,49748000.0,696291000.0,98275000.0,,,8560000.0,26425000.0,7945000.0,30686000.0,16263000.0,10804000.0,6747000.0,328385000.0,73086000.0,1335645000.0,448876000.0,394835000.0,174558000.0,448876000.0,448876000.0,880022000.0,1335645000.0,244519000.0,705464000.0,0.0,
"(2014, 'Q2')",19380000.0,285496000.0,258269000.0,-326000.0,113682000.0,2917000.0,,118235000.0,4297000.0,,16820000.0,27794000.0,6561000.0,128737000.0,958222000.0,86663000.0,488905000.0,50955000.0,699953000.0,92312000.0,,,8134000.0,26102000.0,7665000.0,29485000.0,20602000.0,11097000.0,8496000.0,292793000.0,75449000.0,1311102000.0,410702000.0,366264000.0,176403000.0,410702000.0,410702000.0,891904000.0,1311102000.0,244885000.0,715501000.0,0.0,
"(2014, 'Q1')",17409000.0,262459000.0,264653000.0,-437000.0,124286000.0,8103000.0,,117461000.0,6698000.0,11508000.0,16106000.0,19430000.0,8565000.0,128737000.0,949149000.0,86875000.0,498534000.0,53166000.0,684496000.0,89790000.0,,,8363000.0,21628000.0,4532000.0,28920000.0,19402000.0,10869000.0,8324000.0,264041000.0,76791000.0,1288028000.0,381065000.0,359000000.0,166627000.0,381065000.0,381065000.0,898639000.0,1288028000.0,244532000.0,732012000.0,0.0,
