year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2016,Q4,0.113318,24507590.9,0.082386,1468138000.0,0.862,220705000.0,-196197409.1,4651590.9,895596000.0,41329000.0,23775000.0,65104000.0,13858000.0,390344000.0,396247000.0,300484000.0,906707000.0,810944000.0,900804000.0,1479249000.0,15.1471,4.532,1203888276.5,2104692276.5,2.1027,7.0277,1.0286,12.2965,0.0,0.081324,1.4336,1.7982,7.3321,10.9223,18.0954,9.2682,,0.081947,0.070866,0.06316,0.030356,0.122449,0.164102,-0.599413,0.176927,-0.043532,-0.209452,-0.285423,-0.305188,-0.351408,-0.329268,-0.335692,0.098054,-0.003404,1.0,0.218857,0.137723,0.138934,0.066749,0.0,0.14641,0.0,0.862277,0.598198,0.803141,0.401802,0.704,3.1265,,1.3953,,116.7434,0.0,0.0,116.7434,1.3711,2.9034,2.3318,1.4164,1.5837,0.071019,0.005924,0.065095,0.089252,0.160271,-0.076885,0.097808,0.04699,0.007465,0.159075,0.0,0.985921,3.881152,0.064738,0.548213,0.612951,0.0,0.0,0.387049,3.1587,3.1381,2.8251,7.7955,7.7448,6.9722,1.952,5.0798,3.0122,3.3765,1.3089,6.6107,4.9074,-24.1147,2.6164,2.0965,0.333498,0.338541,0.256724,25445566.0,0.085539,0.111583
2016,Q3,-0.00106,35272237.0,0.113411,1473152000.0,0.8466,252799000.0,-217526763.0,4658237.0,922185000.0,57837000.0,24516000.0,82353000.0,15330000.0,391604000.0,399021000.0,318829000.0,935656000.0,855464000.0,928239000.0,1486623000.0,14.7263,3.8979,1178161443.7,2106400443.7,2.1384,8.0787,1.0333,12.1006,0.0,0.082641,1.4299,1.8474,7.4663,11.0886,18.3428,9.5961,,-0.205025,-0.294765,-0.294828,-0.346609,-0.293103,3.555706,-1.882079,0.207152,0.063027,0.087843,0.107904,0.119214,0.13465,0.171429,0.620285,0.340658,-0.023143,1.0,0.26479,0.184083,0.185964,0.098434,0.0,0.132082,0.0,0.815917,0.616087,0.859156,0.383913,0.6884,3.0126,,1.3893,,121.1586,0.0,0.0,121.1586,1.4002,2.9519,2.5362,1.5527,1.6982,0.096015,0.005929,0.090086,0.126143,0.222158,-0.102442,0.128016,0.067761,0.00765,0.220459,0.0,1.129417,5.281409,0.053942,0.575441,0.629384,0.0,0.0,0.370616,3.3165,3.2902,3.0323,8.1478,8.0832,7.4495,1.9229,7.1,4.33,5.2181,2.4481,9.9391,8.0572,-26.7035,2.7488,2.1851,0.343459,0.349964,0.279631,35510046.7,0.114176,0.159772
2016,Q2,0.109901,31515191.9,0.107718,1508053000.0,0.8592,361430000.0,-329914808.1,4534191.9,921786000.0,52204000.0,23499000.0,75703000.0,23404000.0,402741000.0,409360000.0,339173000.0,935584000.0,865397000.0,928965000.0,1521851000.0,15.239,4.6393,1378066157.5,2307186157.5,2.3512,7.7231,1.2083,12.152,0.0,0.082291,1.5299,2.0229,7.6054,10.7744,17.8071,14.7599,,0.065309,0.046005,0.055769,-0.00314,0.029412,-0.324113,-9.95315,0.315213,0.086021,0.184859,0.263224,0.261269,0.321044,0.4,0.179349,0.089013,0.011459,1.0,0.25875,0.176845,0.178431,0.09222,0.0,0.136691,0.0,0.823155,0.609107,0.848517,0.390893,0.7016,3.1265,,1.4094,,116.7423,0.0,0.0,116.7423,1.3942,2.9323,2.4881,1.4761,1.5958,0.092556,0.005866,0.08669,0.12086,0.213416,-0.174684,0.12518,0.064698,0.006978,0.211926,0.0,0.455783,2.135062,0.046119,0.568648,0.614767,0.0,0.000102,0.385131,3.0841,3.0623,2.8527,7.221,7.1699,6.6792,2.0187,6.6014,3.9852,3.6419,1.0257,6.3188,3.3593,-41.7191,3.0477,2.5693,0.353125,0.358928,0.297388,31824618.2,0.108775,0.151402
2016,Q1,0.130504,24986899.2,0.092751,1490968000.0,0.8567,387138000.0,-362151100.8,4562899.2,908065000.0,41326000.0,22566000.0,63892000.0,29082000.0,404500000.0,409585000.0,337979000.0,928627000.0,857021000.0,923542000.0,1511530000.0,14.9829,4.4471,1407978212.8,2331995212.8,2.4174,8.1447,1.2667,12.4332,0.0,0.08043,1.5641,2.098,7.8067,11.0083,18.232,12.9357,,0.383093,0.580284,0.59283,0.587316,0.5625,0.2314,-29.748391,0.350722,0.008245,0.061805,0.070788,0.083953,0.059831,0.020408,-0.08296,-1.952278,0.195229,1.0,0.237166,0.152251,0.153401,0.075813,0.0,0.146222,0.0,0.847749,0.609199,0.811257,0.390801,0.7046,3.1505,,1.4154,,115.8537,0.0,0.0,115.8537,1.4107,2.9314,2.3781,1.4703,1.5931,0.079464,0.00601,0.073454,0.103624,0.183087,-0.199808,0.108082,0.053416,0.007211,0.181767,0.0,0.236773,1.456915,0.047373,0.566989,0.614362,0.0,0.000314,0.385323,3.1087,3.0917,2.869,7.2602,7.2204,6.7004,2.0088,5.2982,3.2034,1.5697,-0.525,5.4321,1.7036,-46.4296,3.1404,2.5927,0.363911,0.368485,0.304065,24785863.6,0.092005,0.124448
2015,Q4,0.072426,23051647.5,0.086273,1247433000.0,0.9199,145720000.0,-122668352.5,3780647.5,674697000.0,38594000.0,21579000.0,60173000.0,47483000.0,364582000.0,370390000.0,309131000.0,696874000.0,635615000.0,691066000.0,1269610000.0,14.3118,7.7764,1652920978.6,2352536978.6,2.9297,5.3919,1.5299,15.6797,0.0,0.063777,1.8859,2.1774,8.3714,11.9622,19.8345,13.6526,,-0.070659,-0.117468,-0.132523,-0.110049,-0.109091,-0.254357,-2.545451,0.132267,-0.141796,-0.419135,-0.529405,-0.539145,-0.588701,-0.577586,1.599764,-0.625271,0.02219,1.0,0.225203,0.1415,0.144441,0.072123,0.0,0.141069,0.0,0.8585,0.609071,0.819817,0.390297,0.7458,3.2531,,1.4201,,112.2015,0.0,0.0,112.2015,1.2338,2.755,2.2586,1.1098,1.2167,0.079359,0.005827,0.073531,0.090724,0.170083,-0.023082,0.107729,0.053792,0.014769,0.167571,0.0,0.126883,0.973043,0.04825,0.500638,0.548888,0.0,0.006734,0.444377,2.4798,2.4591,2.2618,5.8754,5.8265,5.3589,2.4657,5.5499,3.3149,-1.2783,-3.5133,6.6441,-0.1841,-17.64,3.0821,2.4969,0.337439,0.342815,0.286116,23304674.2,0.08722,0.118415
2015,Q3,0.124315,50019354.6,0.160657,1220353000.0,0.9178,125495000.0,-75475645.4,3165354.6,649141000.0,82011000.0,21581000.0,103592000.0,46161000.0,340586000.0,355549000.0,272004000.0,680794000.0,597249000.0,665831000.0,1252006000.0,14.2725,8.1878,1343839867.9,2018255867.9,2.3885,4.1635,1.2649,12.4918,0.0,0.080053,1.6538,1.8997,7.0668,10.0012,16.526,10.7311,,0.269883,0.331261,0.336067,0.384574,0.288889,-0.58802,0.256135,0.114622,0.181106,0.457769,0.643244,0.675664,0.731102,0.705882,-0.759614,-1.505787,0.064302,1.0,0.332727,0.264266,0.263411,0.15049,0.0,0.126392,0.0,0.735734,0.607562,0.940337,0.392062,0.7468,3.1858,,1.4505,,114.5695,0.0,0.0,114.5695,1.2547,2.771,2.6056,1.0456,1.1918,0.147443,0.004914,0.14253,0.178833,0.326276,-0.002911,0.196707,0.112381,0.014931,0.321404,0.0,0.0,0.385,0.066729,0.477034,0.543763,0.0,0.006857,0.44938,2.3838,2.3314,2.0912,5.5745,5.452,4.8904,2.3618,16.7609,10.2226,7.3268,0.7885,3.6321,-5.802,-15.4252,2.3928,1.9508,0.320584,0.334668,0.25603,51604250.3,0.165748,0.247695
2015,Q2,0.023153,29850459.6,0.113241,1146623000.0,0.9206,59971000.0,-30120540.4,2784459.6,624080000.0,49908000.0,21154000.0,71062000.0,24195000.0,274216000.0,303077000.0,216872000.0,664206000.0,578001000.0,635345000.0,1186749000.0,13.0681,6.9292,1629039451.3,2271966451.3,3.1634,5.966,1.5847,17.2125,0.0,0.058097,1.9814,2.2102,8.6196,12.525,20.7382,10.6445,45.8211,-0.047758,-0.084307,-0.095874,-0.064237,-0.068493,0.268157,0.713711,0.055189,0.106182,0.538305,0.908455,0.902865,1.103521,1.125,1.148657,-1.55738,0.038768,1.0,0.269581,0.184885,0.189331,0.102678,0.0,0.127548,0.0,0.815115,0.604894,0.89655,0.387507,0.7463,3.449,,1.4164,,105.8277,0.0,0.0,105.8277,1.3714,2.9252,2.6226,1.1061,1.2711,0.104248,0.004312,0.099937,0.137056,0.241305,0.044404,0.141299,0.076629,0.017073,0.237185,0.0,0.0,3.055631,0.07264,0.487046,0.559685,0.0,0.006389,0.433926,2.5199,2.4104,2.1929,6.0628,5.7994,5.2759,2.4448,9.6665,5.7816,4.9802,1.0954,14.3194,9.6332,-5.8339,2.0749,1.6825,0.266755,0.294831,0.210972,30175693.4,0.114474,0.169745
2015,Q1,0.077939,15687112.0,0.06583,1103830000.0,0.9375,27465000.0,-11777888.0,2820112.0,610381000.0,26151000.0,20044000.0,46195000.0,21496000.0,289583000.0,314362000.0,238667000.0,642193000.0,566498000.0,617414000.0,1135642000.0,12.3421,6.9077,1835199434.9,2459900434.9,3.7749,6.7447,1.7957,18.996,0.0,0.052643,2.2285,2.4069,9.2081,13.2261,21.8236,12.4358,28.8543,0.02378,0.056606,0.05127,0.164224,0.142857,1.279128,0.902962,0.025516,-0.043552,-0.286542,-0.402003,-0.409664,-0.405791,-0.418182,-0.44471,0.659587,0.001922,1.0,0.193853,0.108213,0.10974,0.053995,0.0,0.149917,0.0,0.891787,0.607909,0.809376,0.391666,0.7677,3.6256,,1.4544,,100.6718,0.0,0.0,100.6718,1.4695,3.0158,2.4409,1.148,1.3014,0.061717,0.004347,0.05737,0.084307,0.146024,0.078206,0.084248,0.041452,0.017683,0.143442,0.0,0.0,1.60067,0.066654,0.498835,0.565489,0.0,0.006417,0.428094,2.4039,2.3112,2.1206,5.6974,5.4775,5.0258,2.6337,5.2459,3.1469,0.9338,-1.1653,6.9023,2.5902,-2.3627,2.3778,1.8824,0.283348,0.307594,0.233529,15527728.4,0.065161,0.088821
2014,Q4,0.125634,26573197.6,0.106655,1101713000.0,0.9381,61172000.0,-34598802.4,4919197.6,622823000.0,43731000.0,21017000.0,64748000.0,25327000.0,309059000.0,322224000.0,241001000.0,644596000.0,563373000.0,631431000.0,1123486000.0,11.9931,6.6327,1732505252.7,2370917252.7,3.6713,6.6383,1.7243,18.2617,0.0,0.054759,2.152,2.3597,8.9108,12.8444,21.1738,13.2827,46.6695,0.367405,0.582908,0.606916,0.66518,0.617647,0.729147,0.614602,0.058789,-0.100272,-0.206286,-0.290127,-0.290203,-0.360106,-0.388889,0.436413,0.659005,0.006261,1.0,0.259876,0.173426,0.175521,0.086911,0.0,0.139446,0.0,0.826574,0.563613,0.878553,0.385008,0.7688,3.7142,,1.449,,98.2722,0.0,0.0,98.2722,1.5057,3.0573,2.686,1.1764,1.346,0.100048,0.007643,0.092406,0.139133,0.239181,0.047429,0.134942,0.066818,0.017655,0.234958,0.0,0.0,2.446559,0.072296,0.501451,0.573746,0.0,0.006214,0.42004,2.4226,2.3732,2.1174,5.7566,5.6391,5.0313,2.5943,8.234,5.0034,3.4653,0.2346,11.6671,6.8983,-6.5146,2.5173,1.9675,0.307591,0.320693,0.239856,26220807.1,0.105241,0.154204
2014,Q3,0.097201,37437766.6,0.135195,1094858000.0,0.9528,138902000.0,-101464233.4,3597766.6,639235000.0,61604000.0,19972000.0,81576000.0,18829000.0,276531000.0,293363000.0,220277000.0,664012000.0,590926000.0,647180000.0,1119635000.0,11.4092,5.9741,2185526147.8,2839453147.8,4.8689,9.2984,2.2371,25.2166,0.0,0.039656,2.5934,2.9064,11.4183,16.853,27.8517,18.6355,,-0.012887,-0.019981,-0.029954,-0.049572,-0.010989,-0.316073,-1.854272,0.145302,0.074834,0.093131,0.130286,0.133934,0.169963,0.232877,-0.260043,0.035604,0.007552,1.0,0.294586,0.221301,0.222464,0.122203,0.0,0.128566,0.0,0.778699,0.601472,0.913285,0.38909,0.783,3.6113,,1.4941,,101.0724,0.0,0.0,101.0724,1.5298,3.0782,2.8113,1.297,1.4574,0.128808,0.005802,0.123006,0.188177,0.316985,-0.036037,0.174194,0.095688,0.008323,0.314346,0.0,0.0,2.29104,0.065277,0.527785,0.593061,0.0,0.006026,0.400913,2.6702,2.6025,2.3763,6.5132,6.3481,5.7963,2.9159,11.532,7.0082,8.0073,3.4835,8.0753,4.5505,-18.9937,2.2619,1.8205,0.283051,0.30028,0.225471,37324748.3,0.134787,0.203173
