year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
2016,Q4,-58000.0,320000.0,4100000.0,7795000.0,23455000.0,4927000.0,,17454000.0,-37292000.0,-18007000.0,53785000.0,,,,-37292000.0,-18007000.0,53785000.0,-1514000.0,19856000.0,19856000.0,,5227000.0,,-4091000.0,,-17921000.0,-54673000.0,-73000.0,4063000.0
2016,Q3,,929000.0,7595000.0,7862000.0,23587000.0,23415000.0,,51208000.0,-65590000.0,-14576000.0,80964000.0,,,,-65590000.0,-14576000.0,80964000.0,798000.0,30614000.0,30614000.0,,2419000.0,,754000.0,,-16350000.0,-58662000.0,-58136000.0,1020000.0
2016,Q2,492000.0,,27855000.0,7595000.0,23499000.0,-2755000.0,,46692000.0,-13478000.0,-34957000.0,49969000.0,,,,-13478000.0,-34957000.0,49969000.0,1534000.0,26981000.0,26981000.0,,2244000.0,,-12045000.0,,-26290000.0,-35326000.0,-24844000.0,2886000.0
2016,Q1,-226011000.0,,1797000.0,7473000.0,22566000.0,-783000.0,803000.0,273100000.0,217026000.0,-260119000.0,42370000.0,0.0,,,217026000.0,-260119000.0,42370000.0,-723000.0,20424000.0,20424000.0,,163000.0,,-5026000.0,,-31385000.0,-43433000.0,-13444000.0,2303000.0
2015,Q4,-21173000.0,307000.0,10175000.0,6630000.0,21272000.0,-1722000.0,201000.0,51176000.0,16404000.0,-71762000.0,46195000.0,,,8000.0,16404000.0,-71762000.0,46203000.0,-9155000.0,22498000.0,22518000.0,-20000.0,3820000.0,,-3106000.0,,-53505000.0,-21516000.0,-13457000.0,6022000.0
2015,Q3,,697000.0,24821000.0,4567000.0,20884000.0,-51056000.0,1000.0,65204000.0,17297000.0,-48967000.0,17825000.0,,,-53000.0,17297000.0,-48967000.0,17772000.0,-13898000.0,43627000.0,43656000.0,-29000.0,3686000.0,,-2806000.0,,-47139000.0,-47908000.0,,978000.0
2015,Q2,-43481000.0,,2641000.0,4967000.0,21154000.0,23329000.0,201000.0,69184000.0,11560000.0,-81409000.0,73882000.0,,,49000.0,11560000.0,-81409000.0,73931000.0,4082000.0,27066000.0,27424000.0,-358000.0,1951000.0,,-13733000.0,,-24862000.0,-57825000.0,,667000.0
2015,Q1,,,488000.0,4832000.0,20044000.0,-393000.0,207000.0,21137000.0,3254000.0,-26073000.0,34504000.0,0.0,25000.0,-96000.0,3254000.0,-26048000.0,34408000.0,11614000.0,12867000.0,12858000.0,9000.0,1977000.0,,-4577000.0,,-23493000.0,-18090000.0,,1997000.0
2014,Q4,,917000.0,3142000.0,4982000.0,20100000.0,13843000.0,232000.0,35408000.0,-29908000.0,-35723000.0,61793000.0,,,171000.0,-29908000.0,-35723000.0,61964000.0,-3667000.0,21654000.0,23628000.0,-1974000.0,3305000.0,-1779000.0,-10396000.0,,-31950000.0,-63769000.0,,6623000.0
2014,Q3,,,11976000.0,5167000.0,19972000.0,-11098000.0,711000.0,27074000.0,-9541000.0,-19936000.0,43783000.0,,254000.0,-645000.0,-9541000.0,-19682000.0,43138000.0,13915000.0,33840000.0,34371000.0,-531000.0,538000.0,769000.0,-1107000.0,,-22051000.0,-38095000.0,,3222000.0
2014,Q2,-3182000.0,,217000.0,5340000.0,20123000.0,5925000.0,,22464000.0,-21588000.0,-41787000.0,58655000.0,,-109000.0,-357000.0,-21588000.0,-41896000.0,58298000.0,-5186000.0,28924000.0,29802000.0,-878000.0,2805000.0,35000.0,-11830000.0,,-30364000.0,-44087000.0,,3589000.0
