date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2017-04-20,42.95,1,43.35,42.875,43.0,24039099.0,42.95,0.0,43.35,42.875,43.0,1.0,24039099.0
2017-03-31,43.0,1,43.95,31.5,31.95,59908726.0,43.0,0.0,43.95,31.5,31.95,1.0,59908726.0
2016-12-31,31.85,1,33.975,23.75,31.4,38533103.0,31.85,0.0,33.975,23.75,31.4,1.0,38533103.0
2016-09-30,31.49,1,38.925,30.57,35.8,27970181.0,31.49,0.0,38.925,30.57,35.8,1.0,27970181.0
2016-06-30,35.83,1,41.5,32.72,36.08,24341854.0,35.83,0.0,41.5,32.72,36.08,1.0,24341854.0
2016-03-31,36.22,1,41.41,34.01,41.13,28673435.0,36.22,0.0,41.41,34.01,41.13,1.0,28673435.0
2015-12-31,41.93,1,46.495,32.81,34.055,26494208.0,41.93,0.0,46.495,32.81,34.055,1.0,26494208.0
2015-09-30,34.09,1,43.12,33.76,42.08,26700134.0,34.09,0.0,43.12,33.76,42.08,1.0,26700134.0
2015-06-30,41.34,1,48.91,39.86,46.37,27353509.0,41.34,0.0,48.91,39.86,46.37,1.0,27353509.0
2015-03-31,46.59,1,54.98,40.31,44.06,28970576.0,46.59,0.0,54.98,40.31,44.06,1.0,28970576.0
2014-12-31,44.03,1,57.5,40.48,55.43,27652598.0,44.03,0.0,57.5,40.48,55.43,1.0,27652598.0
2014-09-30,55.55,1,60.74,49.19,51.96,21581604.0,55.55,0.0,60.74,49.19,51.96,1.0,21581604.0
2014-06-30,51.65,1,57.62,44.33,53.47,31200600.0,51.65,0.0,57.62,44.33,53.47,1.0,31200600.0
2014-03-31,53.43,1,58.48,49.43,58.01,21658900.0,53.43,0.0,58.48,49.43,58.01,1.0,21658900.0
2013-12-31,58.26,1,59.07,40.93,42.51,21667400.0,58.26,0.0,59.07,40.93,42.51,1.0,21667400.0
2013-09-30,42.562,1,43.11,32.24,34.17,28912000.0,42.562,0.0,43.11,32.24,34.17,1.0,28912000.0
2013-06-30,33.86,1,48.24,32.55,48.12,42770400.0,33.86,0.0,48.24,32.55,48.12,1.0,42770400.0
2013-03-31,48.24,1,50.61,36.3,37.5,19708500.0,48.24,0.0,50.61,36.3,37.5,1.0,19708500.0
2012-12-31,36.91,1,38.9633333333333,32.2376888151005,37.4927450792319,23274467.0,36.91,7.0,121.813,36.15,119.79,0.333333333333333,7835867.0
2012-09-30,37.3612904258111,1,38.8698890674498,29.3049980947365,30.8323759725782,18777900.0,119.37,0.0,124.19,93.63,98.51,1.0,6259300.0
2012-06-30,30.7509992823653,1,31.267428277947,25.3206701470061,27.3456977842265,16335000.0,98.25,0.0,99.9,80.9,87.37,1.0,5445000.0
2012-03-31,27.3081393118206,1,29.2017122956202,24.763552806318,26.9888922963701,14193600.0,87.25,0.0,93.3,79.12,86.23,1.0,4731200.0
2011-12-31,26.4317749556819,1,27.7901397076968,18.7479374759662,19.7682759763276,18062400.0,84.45,0.0,88.79,59.9,63.16,1.0,6020800.0
2011-09-30,19.9278994840529,1,24.1688769932239,17.5804949586815,23.3895386908006,17172000.0,63.67,0.0,77.22,56.17,74.73,1.0,5724000.0
2011-06-30,23.3926685635011,1,24.0123833581991,18.3254046613994,21.136030346444,22101900.0,74.74,0.0,76.72,58.55,67.53,1.0,7367300.0
2011-03-31,21.0483939108302,1,21.1172511102411,15.4052334318373,17.880962737929,19550400.0,67.25,0.0,67.47,49.22,57.13,1.0,6516800.0
