,accountspayable,accountsreceivable,accumulateddepreciation,aoci,cashandequivalents,commonequity,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
"(2018, 'Q3')",217852000.0,533533000.0,,-80000000.0,43523000.0,177848000.0,67994000.0,629783000.0,,448089000.0,1017327000.0,432449000.0,121858000.0,,13235000.0,41735000.0,64936000.0,21353000.0,65769000.0,1112136000.0,19182000.0,2272323000.0,806028000.0,1051240000.0,369964000.0,806028000.0,806028000.0,1466295000.0,2272323000.0,1099225000.0,1096331000.0,0.0,-403956000.0
"(2018, 'Q2')",165634000.0,393706000.0,,-79614000.0,85324000.0,176008000.0,48726000.0,209001000.0,,153432000.0,306579000.0,386943000.0,111962000.0,9543000.0,14022000.0,37538000.0,50889000.0,18433000.0,34392000.0,1087156000.0,6378000.0,1405882000.0,779262000.0,903511000.0,271627000.0,779262000.0,779262000.0,626620000.0,1405882000.0,390409000.0,354993000.0,0.0,-404288000.0
"(2018, 'Q1')",165233000.0,405572000.0,,-73550000.0,77769000.0,174998000.0,49774000.0,209834000.0,,159848000.0,285175000.0,364979000.0,111313000.0,9242000.0,15603000.0,28559000.0,59658000.0,17791000.0,30201000.0,1067473000.0,5595000.0,1384907000.0,773668000.0,876879000.0,280260000.0,773668000.0,773668000.0,611239000.0,1384907000.0,396715000.0,330979000.0,0.0,-395253000.0
2017,180614000.0,390931000.0,,-81702000.0,105057000.0,174655000.0,58785000.0,206135000.0,,163562000.0,286769000.0,345145000.0,108068000.0,,16715000.0,41409000.0,65540000.0,27288000.0,29102000.0,1033751000.0,4814000.0,1387595000.0,745256000.0,882542000.0,309753000.0,745256000.0,745256000.0,642339000.0,1387595000.0,396985000.0,332586000.0,0.0,-381448000.0
"(2017, 'Q3')",150255000.0,390874000.0,,-89412000.0,67313000.0,173448000.0,57615000.0,205341000.0,,168404000.0,317382000.0,344743000.0,106773000.0,12652000.0,20226000.0,33181000.0,58683000.0,17410000.0,32648000.0,1003480000.0,4012000.0,1346691000.0,705870000.0,836111000.0,270565000.0,705870000.0,705870000.0,640821000.0,1346691000.0,403807000.0,370256000.0,0.0,-381646000.0
"(2017, 'Q2')",137499000.0,336716000.0,,-97622000.0,62857000.0,172639000.0,44427000.0,203963000.0,,173460000.0,323940000.0,349020000.0,105279000.0,12424000.0,20603000.0,33839000.0,52048000.0,16958000.0,31342000.0,985297000.0,3248000.0,1294516000.0,681409000.0,782432000.0,237222000.0,681409000.0,681409000.0,613107000.0,1294516000.0,406805000.0,375885000.0,0.0,-378905000.0
"(2017, 'Q1')",149007000.0,347286000.0,,-87803000.0,58022000.0,172518000.0,46327000.0,205537000.0,,181465000.0,301771000.0,342044000.0,106283000.0,11802000.0,21290000.0,30009000.0,65719000.0,16991000.0,31629000.0,972174000.0,3248000.0,1299439000.0,680448000.0,777361000.0,264301000.0,680448000.0,680448000.0,618991000.0,1299439000.0,415795000.0,354690000.0,0.0,-376441000.0
2016,148543000.0,347857000.0,161466000.0,-85546000.0,59861000.0,172529000.0,57187000.0,202700000.0,269231000.0,191240000.0,324583000.0,338221000.0,107765000.0,12277000.0,21322000.0,35582000.0,65306000.0,16522000.0,33921000.0,944821000.0,3247000.0,1312025000.0,657916000.0,781521000.0,274283000.0,657916000.0,657916000.0,654109000.0,1312025000.0,422739000.0,379826000.0,0.0,-373888000.0
"(2016, 'Q3')",134871000.0,354553000.0,,-81196000.0,62932000.0,171735000.0,51401000.0,199236000.0,,195726000.0,367820000.0,346979000.0,108132000.0,10109000.0,19282000.0,39377000.0,62852000.0,17295000.0,37920000.0,940696000.0,3351000.0,1334339000.0,656842000.0,803841000.0,252475000.0,656842000.0,656842000.0,677497000.0,1334339000.0,422366000.0,425022000.0,0.0,-374393000.0
"(2016, 'Q2')",114824000.0,329287000.0,,-94314000.0,55634000.0,170668000.0,40310000.0,249267000.0,,185009000.0,363640000.0,359726000.0,106470000.0,11938000.0,19619000.0,36177000.0,62890000.0,16887000.0,38195000.0,996392000.0,3350000.0,1350395000.0,707567000.0,780824000.0,221374000.0,707567000.0,707567000.0,642828000.0,1350395000.0,463101000.0,421454000.0,0.0,-365179000.0
"(2016, 'Q1')",142636000.0,356606000.0,,-87641000.0,63966000.0,170407000.0,43466000.0,248580000.0,,191708000.0,351340000.0,350807000.0,104760000.0,90000.0,19623000.0,42527000.0,68220000.0,17216000.0,36877000.0,983072000.0,3975000.0,1376260000.0,710123000.0,813906000.0,258297000.0,710123000.0,710123000.0,666137000.0,1376260000.0,457594000.0,407840000.0,0.0,-355715000.0
2015,179825000.0,376305000.0,164343000.0,-60171000.0,69470000.0,170072000.0,63780000.0,254406000.0,268790000.0,198828000.0,317646000.0,362419000.0,104447000.0,10980000.0,19627000.0,37816000.0,63118000.0,17885000.0,43883000.0,969548000.0,3349000.0,1432556000.0,741328000.0,846010000.0,310072000.0,741328000.0,741328000.0,691228000.0,1432556000.0,482099000.0,381156000.0,0.0,-338121000.0
"(2015, 'Q3')",143881000.0,394408000.0,,-64223000.0,55165000.0,168923000.0,54010000.0,252717000.0,,203978000.0,386956000.0,381085000.0,104680000.0,490000.0,18814000.0,55359000.0,68456000.0,18271000.0,55005000.0,952355000.0,2720000.0,1466153000.0,736311000.0,886017000.0,269067000.0,736311000.0,736311000.0,729842000.0,1466153000.0,475456000.0,460775000.0,0.0,-320744000.0
"(2015, 'Q2')",150938000.0,385326000.0,,-38156000.0,33184000.0,168623000.0,54139000.0,260256000.0,,216305000.0,346636000.0,401474000.0,107352000.0,255000.0,19058000.0,57773000.0,63854000.0,18525000.0,61439000.0,934821000.0,2720000.0,1480450000.0,781666000.0,877757000.0,271651000.0,781666000.0,781666000.0,698784000.0,1480450000.0,495341000.0,427133000.0,0.0,-283622000.0
"(2015, 'Q1')",145614000.0,403521000.0,,-20703000.0,52033000.0,168001000.0,47687000.0,259156000.0,,208497000.0,321418000.0,367291000.0,106683000.0,260000.0,19073000.0,51915000.0,75839000.0,19563000.0,65741000.0,915482000.0,2842000.0,1468919000.0,790705000.0,874760000.0,271982000.0,790705000.0,790705000.0,678214000.0,1468919000.0,487476000.0,406232000.0,0.0,-272075000.0
2014,172401000.0,375732000.0,156872000.0,-1615000.0,71189000.0,166999000.0,55760000.0,193494000.0,260468000.0,159508000.0,167992000.0,335747000.0,103596000.0,21166000.0,23611000.0,53480000.0,60074000.0,20257000.0,51303000.0,896776000.0,2720000.0,1334169000.0,800308000.0,836148000.0,290955000.0,800308000.0,800308000.0,533861000.0,1334169000.0,394425000.0,242906000.0,0.0,-261852000.0
"(2014, 'Q3')",145352000.0,344096000.0,,-13884000.0,69086000.0,166495000.0,46849000.0,111201000.0,,88368000.0,,320045000.0,78834000.0,23792000.0,25197000.0,41284000.0,46022000.0,19945000.0,22159000.0,877547000.0,30000000.0,1096651000.0,781072000.0,774511000.0,268223000.0,781072000.0,781072000.0,315579000.0,1096651000.0,243306000.0,47356000.0,0.0,-249086000.0
"(2014, 'Q2')",140869000.0,305936000.0,,-10100000.0,66584000.0,165299000.0,48769000.0,111356000.0,,91669000.0,,323257000.0,80056000.0,20463000.0,25405000.0,54702000.0,46216000.0,20136000.0,24421000.0,857638000.0,15000000.0,1074159000.0,773479000.0,750479000.0,250854000.0,773479000.0,773479000.0,300680000.0,1074159000.0,243624000.0,49826000.0,0.0,-239358000.0
"(2014, 'Q1')",131195000.0,320281000.0,,-2790000.0,76877000.0,164492000.0,45373000.0,106973000.0,,87961000.0,,302404000.0,81149000.0,20568000.0,25340000.0,34174000.0,49007000.0,19702000.0,24552000.0,841448000.0,,1050089000.0,774622000.0,733736000.0,225575000.0,774622000.0,774622000.0,275467000.0,1050089000.0,235204000.0,49892000.0,0.0,-228528000.0
