year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q3,0.218401,41709219.7,0.050394,1799014000.0,2.0711,839063000.0,-797353780.3,5117219.7,992986000.0,57735000.0,14513000.0,72248000.0,6320000.0,656935000.0,700458000.0,681276000.0,1036509000.0,1017327000.0,992986000.0,1842537000.0,20.5169,-6.9196,2863949400.0,3856935400.0,3.5532,,1.0024,18.5702,0.016049,0.05385,2.1439,1.35,15.4586,18.766,23.5567,28.785,,0.30301,0.268511,0.342349,0.240659,0.24,-0.187348,-23.025245,0.874069,0.240529,0.278477,0.23537,0.286503,0.182294,0.177215,1.27299,-26.749105,0.786695,0.289397,0.087291,0.068197,0.069756,0.044211,0.710603,0.221201,0.0,0.221201,0.738949,0.857695,0.261051,1.5789,6.1813,5.2512,24.9924,11.087,59.049,69.5075,32.9213,95.6351,0.8248,2.3937,2.0531,1.2621,1.2859,0.10437,0.008207,0.096163,0.079319,0.183689,-0.489556,0.110138,0.069805,0.0,0.183689,0.295501,0.443196,4.223734,0.010411,0.552134,0.562544,0.0,0.0,0.437456,4.1543,3.9799,4.0774,6.3306,6.0648,6.2135,3.558,7.0271,5.0766,6.2579,4.3074,3.249,2.4798,-97.0489,2.8415,1.5598,0.229937,0.24517,0.238457,41709219.7,0.050394,0.05983
2018,Q2,0.097125,32420603.9,0.048593,1006895000.0,2.7744,61155000.0,-28734396.1,1470603.9,227633000.0,46735000.0,9776000.0,56511000.0,4811000.0,552938000.0,638262000.0,631884000.0,312957000.0,306579000.0,227633000.0,1092219000.0,19.8761,10.6318,2669928600.0,2897561600.0,3.4262,6.4053,0.9857,18.1473,0.017106,0.055104,2.8777,1.0697,12.4519,14.9894,18.9596,20.6755,31.6075,0.182288,0.234188,0.27181,0.285032,0.295082,2.095414,-1.291203,0.064664,-0.019853,-0.093009,-0.110623,-0.06555,-0.082174,-0.081395,0.244068,-0.171438,0.020499,0.28232,0.0847,0.070018,0.070048,0.046389,0.71768,0.212302,0.0,0.212302,0.694008,0.954231,0.305992,2.0061,7.4167,5.2746,24.9369,12.8061,49.2132,69.199,28.5021,89.9101,0.3368,1.8487,1.7641,0.3934,0.4016,0.134815,0.005979,0.128836,0.043393,0.178208,0.093897,0.140524,0.093062,0.0,0.178208,0.307881,0.481489,2.441073,0.005839,0.280694,0.286533,0.0,0.0,0.713467,1.3449,0.9782,1.3175,2.0478,1.4895,2.006,6.2148,21.849,15.1569,19.5998,12.9077,5.4904,3.2412,-13.4336,3.3263,1.7636,0.204137,0.235637,0.233283,32420603.9,0.048593,0.066842
2018,Q1,0.089387,34694841.0,0.050969,986669000.0,2.7685,59224000.0,-24529159.0,973841.0,213001000.0,52548000.0,9758000.0,62306000.0,6053000.0,524445000.0,602214000.0,596619000.0,290770000.0,285175000.0,213001000.0,1064438000.0,19.6682,10.2701,2588308800.0,2801309800.0,3.3455,6.4069,0.9769,18.4536,0.017635,0.05419,2.8392,1.0573,12.5066,15.1883,19.1941,21.1907,32.3022,0.164533,0.204787,0.210677,0.231997,0.228571,-0.774508,-1.238879,0.063857,-0.00113,0.066226,0.083241,-0.362306,-0.363274,-0.358209,-0.890377,-1.505654,0.058905,0.282685,0.091532,0.076152,0.077197,0.049539,0.717315,0.206533,0.0,0.206533,0.669306,0.958781,0.330694,1.9741,7.0388,5.3685,24.3534,12.0787,51.8556,67.9898,30.2184,89.627,0.3163,1.846,1.7699,0.3686,0.3758,0.141108,0.004234,0.136874,0.043299,0.184407,0.090613,0.152395,0.097795,0.0,0.184407,0.320854,0.455996,1.559557,0.005256,0.267911,0.273168,0.0,0.0,0.726832,1.2982,0.951,1.2732,1.9923,1.4595,1.954,6.1752,24.2604,16.0179,21.4658,13.2234,4.3583,1.5637,-11.3246,3.1288,1.7246,0.197934,0.227285,0.225173,34694841.0,0.050969,0.074015
2017,Q4,0.074865,54406751.2,0.079837,931782000.0,2.7925,5897000.0,48509751.2,1446751.2,186526000.0,48510000.0,9926000.0,58436000.0,5058000.0,472546000.0,577603000.0,572789000.0,291583000.0,286769000.0,186526000.0,1036839000.0,19.1028,9.6265,2303717650.0,2490243650.0,3.0912,6.1341,0.8882,17.2035,0.024392,0.058128,2.6726,0.9601,11.5726,14.1889,17.7843,15.1273,18.5662,0.103628,0.14117,0.989087,1.031688,1.0,0.217696,-0.485693,0.006369,0.00319,0.053907,0.065826,0.751,0.795619,0.786667,1.62156,0.339981,-0.029344,0.28777,0.08575,0.069918,0.071184,0.077714,0.71223,0.217852,0.0,0.217852,1.141871,0.956092,-0.141871,1.9216,7.0216,5.4321,24.0347,11.2776,51.9823,67.1934,32.365,86.8106,0.3239,1.9239,1.8395,0.3848,0.3913,0.222944,0.006366,0.216577,0.070151,0.293094,0.144404,0.136785,0.149333,0.0,0.293094,0.333201,0.39475,17.025109,0.004643,0.27658,0.281223,0.0,0.0,0.718777,1.355,0.8668,1.3327,2.0824,1.3321,2.048,5.6748,20.0455,22.4821,17.9554,20.392,35.5839,33.4938,20.0454,2.8492,1.6012,0.182187,0.222691,0.220835,33352900.0,0.048943,0.068059
2017,Q3,0.072859,31071812.3,0.045741,959951000.0,2.6454,-5130000.0,36201812.3,1577812.3,254081000.0,45514000.0,9933000.0,55447000.0,5001000.0,502245000.0,569558000.0,565546000.0,321394000.0,317382000.0,254081000.0,1027264000.0,17.8873,8.4163,2440724700.0,2694805700.0,3.4578,7.3488,0.9585,22.8069,0.018618,0.043846,2.8072,1.0583,12.851,15.898,23.9395,18.0588,22.8961,3.483517,2.37517,1.745662,1.659408,1.657895,-0.428233,-0.434973,-0.005316,0.11705,0.160028,0.201944,0.218899,0.22458,0.229508,7.657881,-0.63312,0.015026,0.280879,0.081623,0.067228,0.067001,0.043418,0.719121,0.213651,0.0,0.213651,0.680385,0.952432,0.319615,1.8995,6.8317,5.2803,23.6968,12.8101,53.4271,69.1251,28.4932,94.059,0.4126,1.9674,1.8738,0.4496,0.4553,0.121004,0.005612,0.115392,0.047616,0.168621,0.122281,0.127267,0.082472,0.0,0.168621,0.413243,0.490268,6.568286,0.003906,0.308959,0.312864,0.0,0.0,0.687136,1.5327,1.2117,1.5135,2.8551,2.2571,2.8195,5.8347,21.0226,14.3519,18.7127,12.0419,15.1723,12.8624,16.7214,3.0902,1.6934,0.197246,0.223682,0.222107,31071812.3,0.045741,0.063814
2017,Q2,-0.003642,25491703.5,0.041919,945740000.0,2.5451,-73183000.0,98674703.5,1406703.5,264331000.0,37867000.0,9931000.0,47798000.0,2810000.0,485601000.0,548458000.0,545210000.0,327188000.0,323940000.0,264331000.0,1008597000.0,17.3074,7.7211,2338637400.0,2602968400.0,3.4321,7.6932,0.9354,71.3108,0.023958,0.014023,2.7523,1.0411,19.7308,28.6371,71.9693,14.9746,23.8038,-0.017089,-0.011486,0.003097,0.005763,0.0,-0.797718,-0.054188,-0.071824,-0.026767,-0.10663,-0.131809,-0.110466,-0.120054,-0.128571,-0.909373,-0.039049,0.019726,0.283587,0.078599,0.062251,0.062269,0.039605,0.716413,0.221337,0.0,0.221337,0.673386,0.944543,0.326614,1.8905,7.5079,5.0684,23.6143,14.2367,48.6153,72.0142,25.638,94.9915,0.4145,1.9042,1.7986,0.4754,0.4802,0.106688,0.004887,0.101801,0.042193,0.148881,0.111318,0.117721,0.074876,0.0,0.148881,1.337216,1.79997,1.350178,0.00322,0.321179,0.324399,0.0,0.0,0.675601,2.4801,2.0037,2.4555,9.0464,7.3085,8.9566,5.8875,18.0319,12.1389,16.6938,10.8008,1.8067,0.4686,46.988,3.2983,1.6844,0.194229,0.21937,0.218071,25491703.5,0.041919,0.058815
2017,Q1,-0.026571,28657377.6,0.045863,927445000.0,2.5946,-74027000.0,102684377.6,1286377.6,246997000.0,43616000.0,9887000.0,53503000.0,1252000.0,458286000.0,516308000.0,513060000.0,305019000.0,301771000.0,246997000.0,985467000.0,17.2781,7.4513,1840714680.0,2087711680.0,2.7052,6.2728,0.7356,56.3651,0.030385,0.017741,2.251,0.8343,15.726,22.8577,57.913,11.0585,18.9661,0.069311,0.089801,0.087992,0.126796,0.147541,1.774288,0.16953,-0.073918,-0.014445,0.010463,0.026042,0.047701,0.050025,0.044776,-0.408015,0.088674,0.001685,0.285397,0.085626,0.069487,0.069803,0.043804,0.714603,0.21591,0.0,0.21591,0.660019,0.950798,0.339981,1.8704,7.1101,5.1891,23.7143,12.3276,51.3354,70.3399,29.6083,92.067,0.3871,1.9242,1.8295,0.4435,0.4483,0.118995,0.004779,0.114216,0.044218,0.163213,0.114133,0.130562,0.081933,0.0,0.163213,1.332884,2.023609,33.4377,0.003296,0.306221,0.309517,0.0,0.0,0.690483,2.2976,1.8605,2.2731,8.4612,6.8517,8.3711,5.3419,20.3243,13.3539,19.7409,12.7704,19.5079,18.9245,47.8492,2.9412,1.5335,0.183141,0.206327,0.205029,28657377.6,0.045863,0.066368
2016,Q4,-0.064253,27352628.3,0.043143,925885000.0,2.6261,-66968000.0,94320628.3,1285628.3,267969000.0,42509000.0,10440000.0,52949000.0,3458000.0,450624000.0,510485000.0,507238000.0,327830000.0,324583000.0,267969000.0,985746000.0,16.7605,6.7248,1771925560.0,2039894560.0,2.6932,6.7124,0.7033,59.9089,0.031415,0.016692,2.2032,0.8097,15.778,23.249,61.3397,12.5909,20.3534,-0.069503,-0.090386,-0.091366,-0.07053,-0.014706,-0.399142,2.49908,-0.06745,0.001317,3.371629,2.284376,1.656409,1.582789,1.587719,0.230949,0.472129,-0.040614,0.281464,0.083515,0.066947,0.067048,0.041115,0.718536,0.214517,0.0,0.214517,0.644425,0.951563,0.355575,1.8359,6.9582,5.1724,23.7444,11.0364,52.4562,70.5664,33.0723,89.9503,0.3713,1.9615,1.8665,0.4934,0.4983,0.113298,0.00495,0.108348,0.040226,0.153524,0.104468,0.123096,0.075484,0.0,0.153524,1.46499,2.731683,20.450549,0.003294,0.329277,0.33257,0.0,0.0,0.66743,2.5357,2.0727,2.5106,9.8579,8.0578,9.7602,5.1246,18.4822,11.8924,16.9787,10.389,30.747,29.2435,41.009,2.8493,1.4865,0.17886,0.202619,0.201331,27352628.3,0.043143,0.063801
2016,Q3,-0.068856,-41670106.5,-0.065812,965081000.0,2.5178,-105741000.0,64070893.5,3057893.5,308239000.0,-33097000.0,10771000.0,-22326000.0,3526000.0,491785000.0,554717000.0,551366000.0,371171000.0,367820000.0,308239000.0,1028013000.0,16.796,6.6965,1697243800.0,2005482800.0,2.5839,6.481,0.6622,53.7868,0.026163,0.018592,2.078,0.7825,15.0514,21.807,56.068,9.596,14.172,-1.402466,-1.741105,-2.415427,-2.563369,-2.628571,0.506332,1.214,-0.098748,0.037398,-1.459109,-1.863994,-2.639716,-2.867791,-2.868852,2.06302,-0.385871,-0.052842,0.276059,-0.035261,-0.052169,-0.052272,-0.070641,0.723941,0.225896,0.0,0.328228,1.261507,1.071275,-0.261507,1.8304,6.844,5.0605,24.0866,13.2174,53.331,72.1273,27.6152,97.8431,0.4614,2.0102,2.1535,0.56,0.5651,-0.165698,0.009515,-0.175213,-0.080837,-0.246535,0.139014,-0.095676,-0.129299,0.0,-0.246535,1.368975,3.10385,16.29325,0.00326,0.357797,0.361057,0.0,0.0,0.638943,2.7857,2.3134,2.7605,10.377,8.6175,10.2833,4.8249,-14.0301,-17.6643,-15.5248,-19.159,24.3535,22.8588,27.1602,3.1838,1.6536,0.191882,0.216436,0.215128,22233400.0,0.035114,-0.055997
2016,Q2,-0.117617,25413007.7,0.041637,1018923000.0,2.4658,-78915000.0,104328007.7,1466007.7,311356000.0,38307000.0,10322000.0,48629000.0,2544000.0,507166000.0,562800000.0,559450000.0,366990000.0,363640000.0,311356000.0,1074557000.0,17.9199,6.9214,1598747650.0,1910103650.0,2.2595,5.85,0.6126,15.2417,0.027984,0.065609,1.8746,0.7319,9.0509,11.2544,17.1548,10.0701,10.0394,-0.148577,-0.174898,-0.18722,-0.193894,-0.152778,-0.026876,1.302684,-0.071882,-0.049163,-0.0281,-0.042851,-0.035182,-0.014162,0.0,0.242942,0.18825,0.017425,0.283719,0.079674,0.062853,0.062763,0.039235,0.716281,0.220867,0.0,0.220867,0.662453,0.943666,0.337547,1.8438,7.304,4.9302,24.4108,14.1212,49.9723,74.0334,25.8477,98.158,0.4214,1.9009,1.7938,0.5139,0.5187,0.10267,0.004672,0.097997,0.041294,0.143964,0.179765,0.115723,0.072342,0.0,0.143964,0.412706,1.198583,7.372642,0.003118,0.338409,0.341527,0.0,0.0,0.658473,1.739,1.4753,1.7231,3.296,2.7963,3.2659,5.0486,17.7512,11.7762,16.5723,10.5973,8.6914,7.5125,48.3448,3.5272,1.7388,0.194333,0.21565,0.214366,25413007.7,0.041637,0.059227
