year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
2018,Q3,-773135000.0,9800000.0,,,4713000.0,380000.0,-26635000.0,844500000.0,710580000.0,-779455000.0,26694000.0,710580000.0,-779455000.0,26694000.0,-41801000.0,36592000.0,36592000.0,2224000.0,-194000.0,,-11619000.0,-6438000.0,-122107000.0,,118000.0
2018,Q2,,5695000.0,,,4081000.0,-1035000.0,-29982000.0,23000000.0,1657000.0,-4811000.0,11744000.0,1657000.0,-4811000.0,11744000.0,7555000.0,30950000.0,30950000.0,1000000.0,-242000.0,,-11244000.0,-5124000.0,-840000.0,-9017000.0,313000.0
2018,Q1,-5014000.0,5831000.0,,,3927000.0,1641000.0,-35025000.0,0.0,-27302000.0,-11067000.0,9440000.0,-27302000.0,-11067000.0,9440000.0,-27288000.0,33721000.0,33721000.0,986000.0,-1375000.0,,-11327000.0,-6336000.0,-839000.0,-13761000.0,283000.0
2017,Q4,5000.0,5984000.0,38772000.0,8561000.0,3942000.0,1280000.0,21587000.0,,-44596000.0,-5053000.0,86113000.0,-44596000.0,-5053000.0,86113000.0,37744000.0,52960000.0,52960000.0,1640000.0,-3374000.0,,-11383000.0,-5258000.0,-29839000.0,,200000.0
2017,Q3,-2778000.0,6056000.0,,,3877000.0,1119000.0,-9123000.0,-1000000.0,-21732000.0,-7779000.0,32848000.0,-21732000.0,-7779000.0,32848000.0,4456000.0,29494000.0,29494000.0,2544000.0,-1806000.0,,-11343000.0,-5077000.0,-4819000.0,-2764000.0,76000.0
2017,Q2,,6094000.0,,,3837000.0,-1280000.0,-30087000.0,1000000.0,5131000.0,-2810000.0,3794000.0,5131000.0,-2810000.0,3794000.0,4835000.0,24085000.0,24085000.0,-135000.0,-3632000.0,,-10950000.0,-3711000.0,21143000.0,-2430000.0,901000.0
2017,Q1,0.0,6237000.0,,,3650000.0,-299000.0,2835000.0,,-42152000.0,-1252000.0,41864000.0,-42152000.0,-1252000.0,41864000.0,-1839000.0,27371000.0,27371000.0,1771000.0,-5323000.0,,-10943000.0,-2999000.0,-22838000.0,-3048000.0,1747000.0
2016,Q4,-6362000.0,6515000.0,54749000.0,9497000.0,3925000.0,-998000.0,32623000.0,-23719000.0,-62971000.0,-9820000.0,70718000.0,-62971000.0,-9820000.0,70718000.0,-3071000.0,26067000.0,26067000.0,1588000.0,-7708000.0,,-10988000.0,-3689000.0,-20555000.0,-1000.0,231000.0
2016,Q3,-32892000.0,6740000.0,,,4031000.0,1956000.0,22893000.0,5719000.0,-15690000.0,-36418000.0,57450000.0,-15690000.0,-36418000.0,57450000.0,7298000.0,-44728000.0,-44728000.0,68514000.0,81000.0,,-10973000.0,-3704000.0,-820000.0,-9697000.0,178000.0
2016,Q2,-12000000.0,6242000.0,,,4080000.0,-998000.0,-15175000.0,108000000.0,-11546000.0,-14544000.0,18756000.0,-11546000.0,-14544000.0,18756000.0,-8332000.0,23947000.0,23947000.0,-338000.0,-2786000.0,,-10624000.0,-2625000.0,-96325000.0,-9811000.0,81000.0
