,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,capitalleaseobligations,cashandequivalents,commonequity,currentdeferredtaxliabilities,customerdeposits,grossppe,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
"(2017, 'Q3')",228113.0,88109.0,,439175.0,,,26608.0,7668321.0,56159.0,,684883.0,,6380.0,,245708.0,61726.0,,,-61726.0,1194060.0,-34576.0,-6562932.0,205780.0,1560865.0,1043663.0,114717.0,490052.0,1043663.0,1105389.0,517202.0,1560865.0,1200440.0,-34576.0
"(2017, 'Q2')",226758.0,60559.0,,413792.0,,,52636.0,7668321.0,54464.0,,684883.0,,6380.0,,271091.0,61073.0,,,-61073.0,1198598.0,-33923.0,-6535529.0,209173.0,1589264.0,1071719.0,113195.0,490395.0,1071719.0,1132792.0,517545.0,1589264.0,1204978.0,-33923.0
"(2017, 'Q1')",230595.0,46937.0,,388410.0,,,89797.0,7380324.0,59600.0,,684883.0,2331.0,6380.0,,296473.0,-40760.0,,,,911707.0,27150.0,-6318124.0,10178.0,1351294.0,1062200.0,136734.0,300373.0,1062200.0,1021440.0,329854.0,1351294.0,918087.0,29481.0
2016,174572.0,8373.0,,363027.0,,,146296.0,7347696.0,60777.0,,684883.0,2331.0,6380.0,,321856.0,33736.0,,,-33736.0,911707.0,-6586.0,-6197643.0,13465.0,1394612.0,1116317.0,154669.0,248814.0,1116317.0,1150053.0,278295.0,1394612.0,918087.0,-4255.0
"(2016, 'Q3')",192528.0,21172.0,,337645.0,,,248022.0,7371964.0,65223.0,,684883.0,9577.0,6380.0,,347238.0,-25910.0,,,,911707.0,27150.0,-6119261.0,13248.0,1534519.0,1252703.0,269194.0,270999.0,1252703.0,1226793.0,307726.0,1534519.0,918087.0,36727.0
"(2016, 'Q2')",242329.0,22007.0,,-312262.0,,,483135.0,7236965.0,67643.0,,684882.0,9173.0,6380.0,,372620.0,-67063.0,,,,861707.0,67150.0,-5823382.0,13034.0,1745849.0,1413583.0,505142.0,323006.0,1413583.0,1346520.0,359329.0,1745849.0,868087.0,76323.0
"(2016, 'Q1')",396396.0,21790.0,,286880.0,,,10742.0,7236965.0,66070.0,,682461.0,12512.0,6380.0,,395581.0,-26764.0,,,,861707.0,27150.0,-6505768.0,89639.0,1296200.0,731197.0,32532.0,552105.0,731197.0,704433.0,591767.0,1296200.0,868087.0,39662.0
2015,387575.0,22748.0,,-261299.0,,,22121.0,7206215.0,73027.0,,682461.0,14707.0,6380.0,,421162.0,-28088.0,,,,861707.0,27150.0,-6435968.0,89500.0,1334118.0,770247.0,44869.0,550102.0,770247.0,742159.0,591959.0,1334118.0,868087.0,41857.0
"(2015, 'Q3')",308218.0,22820.0,,249820.0,,,1770.0,7205715.0,74896.0,,682660.0,102956.0,6500.0,,432840.0,-29637.0,,,,861707.0,27150.0,-6449048.0,85385.0,1325637.0,756667.0,24590.0,468499.0,756667.0,727030.0,598605.0,1325635.0,868207.0,130106.0
"(2015, 'Q2')",298623.0,24267.0,,238142.0,,,3078.0,7116720.0,80897.0,,682461.0,21193.0,6500.0,,444319.0,-29637.0,,,,1161707.0,27150.0,-6345471.0,470396.0,1639871.0,771249.0,27345.0,849916.0,771249.0,741612.0,898259.0,1639871.0,1168207.0,48343.0
"(2015, 'Q1')",241665.0,23644.0,,219779.0,-920.0,,7125.0,7102220.0,87779.0,,682461.0,24298.0,6500.0,18444.0,462682.0,25876.0,,,-25876.0,1321707.0,82124.0,-6163304.0,466240.0,1840102.0,912120.0,49213.0,795684.0,912120.0,937996.0,927982.0,1840102.0,1328207.0,106422.0
2014,153629.0,22911.0,,208101.0,,,12862.0,6904920.0,70103.0,,682461.0,27392.0,5000.0,31228.0,474360.0,-17718.0,,,,1321707.0,135750.0,-5871988.0,465980.0,1868068.0,1032932.0,67001.0,689712.0,1032932.0,1015214.0,852854.0,1868068.0,1326707.0,163142.0
"(2014, 'Q3')",57146.0,,,,,,10021.0,6717421.0,103651.0,,,506223.0,5000.0,71241.0,504556.0,,4576.0,,,1321707.0,352950.0,-6020762.0,200472.0,1917101.0,696659.0,85838.0,361269.0,696659.0,696659.0,1220442.0,1917101.0,1326707.0,859173.0
"(2014, 'Q2')",79685.0,,,149969.0,,,29645.0,6702420.0,,60000.0,661917.0,429345.0,,49012.0,511948.0,,,,,1321707.0,380100.0,-5888796.0,149558.0,1912312.0,813624.0,78657.0,289243.0,813624.0,813624.0,1098688.0,1912312.0,1321707.0,809445.0
"(2014, 'Q1')",125795.0,,,125464.0,,,28406.0,6668420.0,1291.0,,670746.0,355415.0,,,545282.0,,,108689.0,,1321707.0,461550.0,-5840712.0,14947.0,1895395.0,827708.0,28406.0,250722.0,827708.0,827708.0,1067687.0,1895395.0,1321707.0,816965.0
2013,60281.0,,,98687.0,,,10442.0,6525920.0,,,656467.0,357993.0,,,557780.0,,,,,1321707.0,543000.0,-5643398.0,46133.0,1889929.0,882522.0,10442.0,106414.0,882522.0,882522.0,1007407.0,1889929.0,1321707.0,900993.0
"(2013, 'Q3')",112536.0,,,73072.0,,41709.0,121178.0,7615470.0,,,614539.0,335226.0,,,541467.0,,,10000.0,,1459500.0,,-6013888.0,21092.0,2122145.0,1601582.0,121178.0,143628.0,1601582.0,1601582.0,520563.0,2122145.0,1459500.0,376935.0
"(2013, 'Q2')",42146.0,,,47883.0,,39980.0,5917.0,6066470.0,,,,336989.0,,,532897.0,,,,,1459500.0,,-4511069.0,23798.0,1998314.0,1555401.0,5917.0,65944.0,1555401.0,1555401.0,442913.0,1998314.0,1459500.0,376969.0
"(2013, 'Q1')",24915.0,,,26062.0,,43506.0,32543.0,4675220.0,,,,339634.0,,,547707.0,,,,,1459500.0,,-3067323.0,23798.0,2039750.0,1607897.0,32543.0,48713.0,1607897.0,1607897.0,431853.0,2039750.0,1459500.0,383140.0
2012,110023.0,,,4241.0,,,71413.0,1841420.0,,,106496.0,341397.0,,,564156.0,,,,,1437000.0,,-230874.0,10603.0,2072569.0,1610546.0,71413.0,120626.0,1610546.0,1610546.0,462023.0,2072569.0,1437000.0,341397.0
"(2012, 'Q2')",,,6100.0,0.0,,,49526.0,1313658.0,,,0.0,,,,0.0,,,,102815.0,,,-1373047.0,,49526.0,43426.0,49526.0,6100.0,43426.0,43426.0,6100.0,49526.0,,
"(2012, 'Q1')",,406.0,11447.0,11567.0,,,56118.0,1313658.0,,,11567.0,,,,,,,,102706.0,,,-1371287.0,,56524.0,45077.0,56524.0,11447.0,45077.0,45077.0,11447.0,56524.0,,
2011,,,5997.0,11567.0,,,56497.0,1313658.0,,,11567.0,,,,0.0,,,,102371.0,,,-1365529.0,,56497.0,50500.0,56497.0,5997.0,50500.0,50500.0,5997.0,56497.0,,
