year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2017,Q3,,-55440.0,,1278181.0,0.0423,282965.0,-338405.0,-27718.0,172792.0,-54268.0,24274.0,-29994.0,0.0,-196163.0,-169555.0,-375335.0,205780.0,0.0,172792.0,1311169.0,0.0039,0.0039,,,,,,,,,,,,,,,,0.887889,0.814735,0.810742,0.905611,,0.914824,0.111905,0.284325,,0.857125,0.770462,0.766353,0.883383,,0.9032,0.472082,-0.003716,,,,,,,,,,1.72852,0.295533,0.0,0.0311,0.8799,,0.1622,0.2803,414.8386,0.0,1302.3714,-887.5328,-0.0252,1.3272,0.3922,0.0,0.1862,,0.94303,,,-0.410906,0.184151,,,0.015357,-0.404596,0.0,0.0,,0.156944,0.0,0.156944,0.0,0.047077,0.795979,-0.5111,-0.4291,0.0,0.418,0.351,0.0,,,,,,,,,0.2341,0.2341,-4.080269,-3.526812,-7.807118,-38808.0,,
2017,Q2,,-237281.0,-11.211009,1282949.0,0.0445,403737.0,-641018.0,438.0,150157.0,-236423.0,26491.0,-209932.0,0.0,-220663.0,-168027.0,-377200.0,209173.0,0.0,150157.0,1341965.0,0.0047,0.0047,,,,,,,,,,,,,,,,-1.304583,-1.356133,-3.272485,-1.349042,,-1.352096,-3.219023,0.459203,-0.213519,-1.060541,-0.857722,-0.864405,-0.86439,,-3.39393,-1.326077,0.368082,-0.146374,-9.918828,-11.211009,-11.17047,-11.231703,1.146374,11.064635,0.0,11.064635,1.0,1.005482,0.0,0.0288,1.1645,,0.1494,0.1988,313.4266,0.0,1836.0259,-1522.5993,-0.1279,1.3452,1.3526,0.0,0.1847,-0.498557,-0.002762,-0.495795,0.063422,-0.435136,-0.13777,-0.322047,-0.323812,-0.002416,-0.436187,0.0,0.0,,0.155871,0.0,0.155871,0.0,0.04551,0.798619,-0.3267,-0.2345,0.0,0.8209,0.5893,0.0,,-182.4252,-183.0872,-182.4252,-183.0872,-180.419,-180.419,-494.6127,0.2308,0.2308,-4.589879,-3.495029,-7.845911,-166096.7,-7.847706,-11.231703
2017,Q1,,-127269.0,-4.729256,937772.0,0.0312,148310.0,-275579.0,236.0,-83668.0,-127265.0,25383.0,-101882.0,0.0,-243258.0,-153461.0,-163639.0,12509.0,2331.0,-83668.0,1033949.0,0.005,0.005,,,,,,,,,,,,,,,,-2.029407,-1.149311,-1.149379,-0.862039,,-1.753972,-1.486687,0.187862,,-0.674617,-0.476015,-1.139507,-0.479039,,-2.393165,-1.384366,-0.074421,0.168964,-3.785887,-4.729256,-4.729107,-4.738025,0.831036,4.89822,0.0,4.89822,1.0,1.001886,0.0,0.0203,0.7831,,0.0778,0.0713,466.0799,0.0,5116.5202,-4650.4402,0.0008,1.534,1.5369,0.0023,0.0122,-0.147367,0.346804,-0.494171,-0.00039,-0.147757,0.333747,-0.09614,-0.096321,-0.039125,-0.153538,0.0,0.0,,0.009844,0.002254,0.012098,0.0,-0.039422,1.027323,0.0483,-0.3231,0.009,0.0287,-0.1917,0.0053,,,,,,,,,0.4552,0.4552,-9.039352,-5.702538,-6.080748,-89088.3,-3.310479,-4.738025
2016,Q4,,912279.0,,1013173.0,,195308.0,716971.0,998487.0,-136880.0,-86222.0,25383.0,-60839.0,50001.0,-226976.0,-80680.0,-94145.0,15796.0,2331.0,-136880.0,1165849.0,0.0053,0.0053,,,,,,,,,,,,,,,,0.776902,0.696594,30.573072,-6.965126,,-1.469607,0.116759,0.238802,,0.772598,0.705648,4.114292,0.706477,,0.940982,2.881586,0.018043,,,,,,,,,,0.982226,1.01793,0.0,,,,,,,,,,-0.0323,1.4421,1.4679,0.002,0.0137,,-32.644163,,,0.245931,0.337829,,,0.002985,0.245197,0.0,0.0,-0.313654,0.01155,0.001999,0.013549,0.0,0.028937,0.957514,0.0483,-0.4183,0.0071,0.0313,-0.2713,0.0046,,-54.8137,579.9612,-86.6008,548.1742,-9.9701,-41.7572,455.7985,0.6216,0.6216,,,,638595.3,,
2016,Q3,,-292933.0,,995216.0,,88113.0,-381046.0,768.0,-231577.0,-292921.0,25382.0,-267539.0,0.0,-236579.0,11443.0,-1805.0,22825.0,9577.0,-231577.0,1249618.0,0.0058,0.0058,,,,,,,,,,,,,,,,-5.659175,-4.648957,-4.649188,-1.840435,,-19.253887,-1.887441,0.097137,,-1.388164,-1.441238,-4.274556,-1.43124,,-1.400144,-2.319073,0.131941,,,,,,,,,,1.00534,0.997337,0.0,,,,,,,,,,-0.0264,1.4639,1.46,0.0078,0.0186,,-0.029823,,,0.341215,-0.554708,,,-0.02843,0.350916,0.0,0.0,,0.010602,0.007664,0.018266,0.0,-0.020734,1.002469,0.1978,-2.0072,0.083,-0.0519,0.5269,-0.0218,,,,,,,,,0.9933,0.9933,,,,-205053.1,,
2016,Q2,,-55537.0,,879212.0,,-344411.0,288874.0,-736599.0,-467308.0,663861.0,25382.0,689243.0,2421.0,-287965.0,195170.0,182136.0,22207.0,9173.0,-467308.0,1368727.0,0.0066,0.0066,,,,,,,,,,,,,,,,135.971979,50.79829,0.728037,4.659853,,17.269912,5.447733,-0.281468,,21.494276,12.211596,0.062065,10.945996,,35.3678,-0.489834,0.113685,,,,,,,,,,1.0,1.025911,0.0,,,,,,,,,,0.007,1.6214,1.6634,0.0068,0.0165,,-100.197103,,,0.501537,0.139685,,,-0.046309,0.524763,0.0,0.0,274.303594,0.009523,0.006702,0.016225,0.0,-0.048997,1.032772,0.0648,-1.3635,0.0268,-0.1124,2.3656,-0.0464,,,,,,,,,1.5639,1.5639,,,,-38875.9,,
2016,Q1,,-59212.0,,789462.0,0.0333,-625447.0,566235.0,9264.0,85029.0,-59212.0,25581.0,-33631.0,0.0,-440676.0,-429934.0,-519573.0,102151.0,12512.0,85029.0,806584.0,0.0034,0.0034,,,,,,,,,,,,,,,,0.872212,0.784571,0.81248,0.771222,,0.639765,2.009316,-0.44204,,0.876674,0.791639,-0.919457,-5.738168,,-1.578602,-0.118029,-0.034728,,,,,,,,,,1.0,1.156455,0.0,0.0234,1.6155,,0.0855,0.0511,225.9382,0.0,7139.9922,-6914.054,0.3421,1.9096,2.2083,0.0178,0.145,,0.032971,,,-0.4183,0.35415,,,-0.000541,-0.418526,0.0,0.0,,0.111134,0.015512,0.126646,0.0,-0.033182,0.906535,-0.2991,-0.249,-0.0366,-0.4345,-0.3617,-0.0532,,-6.3916,-6.3916,-6.3916,-6.3916,-2.0858,-2.0858,61.1221,0.0589,0.0589,-12.007848,-11.715142,-14.157688,-41448.4,,
2015,Q4,-1.05426,-30848.3,,817865.0,0.0476,-672859.0,642010.7,-45300.3,75706.0,-284180.0,11479.0,-272701.0,0.0,-437854.0,-415733.0,-505233.0,104207.0,14707.0,75706.0,846366.0,0.0036,0.0036,,,,,,,,,,,,,,,,-3.641087,-2.104435,0.772304,-0.890787,,6.890986,,-0.451364,,-5.787659,-4.480387,0.405093,1.139768,,3.545427,0.495218,-0.098377,,,,,,,,,,-0.054238,0.937624,0.000443,0.0343,2.4042,,0.1226,0.1056,151.8168,0.0,3456.6295,-3304.8127,0.3137,1.8221,1.7085,0.0198,0.1404,,-0.164365,,,-0.653646,0.16125,,,-0.026065,-0.670683,0.0,0.0,,0.105746,0.017377,0.123123,0.0,-0.033187,0.910064,-0.1825,-0.1326,-0.0258,-0.2141,-0.1555,-0.0302,,,,,,,,,0.0816,0.0816,-7.977372,-7.574344,-9.204967,-30848.3,,
2015,Q3,,-51854.0,,907103.0,0.1052,-481230.0,429376.0,51546.0,180073.0,-51854.0,11678.0,-40176.0,0.0,-360294.0,-358524.0,-443909.0,188341.0,102956.0,180071.0,915371.0,0.0036,0.0036,,,,,,,,,,,,,,,,0.188462,0.307283,0.70816,0.216465,,0.77703,0.374362,-0.346624,,-8.984102,-2.889731,0.746072,0.444355,,0.678565,7.611012,-0.258674,,,,,,,,,,2.130816,0.93582,0.0,0.0745,,,0.2577,0.4353,0.0,0.0,838.4439,-838.4439,0.6123,2.2777,2.1315,0.1416,0.2591,,0.118259,,,-0.641255,,,,-0.020817,-0.654604,0.0,0.0,,0.093279,0.112475,0.205754,0.0,-0.032377,0.826623,-0.5274,-0.5043,-0.2883,-0.3158,-0.302,-0.1727,,,,,,,,,0.0525,0.0525,-2.983233,-2.968577,-3.675565,-36297.8,,
2015,Q2,0.404203,-204207.6,-5.093728,1223623.0,0.1376,-139259.0,-64948.600000000006,-18117.6,482011.0,-13331.0,18363.0,5032.0,0.0,-355253.0,-352175.0,-822571.0,491589.0,21193.0,482011.0,1233201.0,0.0037,0.0037,,,,,,,,,,,,,,,,-0.910954,-1.416529,-0.730602,-2.763576,,0.746513,,-0.10218,1.204201,1.01912,0.951498,0.35329,0.378274,,0.239057,0.884229,-0.135193,0.549139,0.125518,-2.425118,-0.332527,-4.641806,0.450861,2.974258,0.0,2.974258,-32.66456,-0.42735,-1.100404,0.1002,,,0.3723,0.7009,0.0,0.0,520.7435,-520.7435,0.6631,2.284,-0.9761,0.0286,0.6629,-0.701135,-0.035136,-0.665999,-0.44162,-1.142755,,-0.033328,-0.465233,-0.019056,-1.164532,0.0,0.0,,0.381443,0.017185,0.398628,0.0,-0.024033,0.625404,-1.3416,-1.3155,-0.0578,-0.6906,-0.6771,-0.0298,,,,,,,,,0.0322,0.0322,-1.995669,-1.978378,-4.620874,-68056.1,-1.697583,0.142105
