,aoci,cashandequivalents,commonequity,customerandotherreceivables,deferredacquisitioncost,interestbearingdeposits,longtermdebt,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity
"(2018, 'Q2')",3208000.0,67399000.0,3888834000.0,,,,4265151000.0,5935579000.0,39844000.0,,470206000.0,-2402101000.0,68610000.0,234308000.0,101332000.0,71172000.0,220170000.0,6544356000.0,1489941000.0,1614941000.0,1654785000.0,4788239000.0,6544356000.0,125000000.0
"(2018, 'Q1')",3544000.0,70268000.0,3886852000.0,,,,4176210000.0,5734738000.0,-7543000.0,,381521000.0,-2345206000.0,11814000.0,224606000.0,101378000.0,68763000.0,78635000.0,6255290000.0,1545190000.0,1670190000.0,1662647000.0,4491265000.0,6255290000.0,125000000.0
2017,3603000.0,76786000.0,3901614000.0,,,,4021751000.0,5630268000.0,-7391000.0,,306231000.0,-2367073000.0,0.0,232839000.0,101537000.0,65755000.0,67160000.0,6079040000.0,1538144000.0,1663144000.0,1655753000.0,4321750000.0,6079040000.0,125000000.0
"(2017, 'Q3')",1898000.0,55681000.0,3900011000.0,,,,4034302000.0,5771527000.0,-12587000.0,,264215000.0,-2572723000.0,13922000.0,227668000.0,101537000.0,77915000.0,356220000.0,6169338000.0,1329186000.0,1454186000.0,1435689000.0,4632112000.0,6169338000.0,125000000.0
"(2017, 'Q2')",896000.0,63762000.0,3899191000.0,,,,4095853000.0,5767352000.0,-11185000.0,,298469000.0,-2530585000.0,15355000.0,262638000.0,101537000.0,69619000.0,245720000.0,6199202000.0,1369502000.0,1494502000.0,1478099000.0,4619566000.0,6199202000.0,125000000.0
"(2017, 'Q1')",-118000.0,65074000.0,4053215000.0,,,,3901336000.0,5745171000.0,148241000.0,,303646000.0,-2489961000.0,16868000.0,261553000.0,101606000.0,73549000.0,69700000.0,6187440000.0,1563136000.0,1688136000.0,1836377000.0,4249457000.0,6187440000.0,125000000.0
2016,1011000.0,61244000.0,4053291000.0,,,,3866702000.0,5755408000.0,151063000.0,,346260000.0,-2385399000.0,18452000.0,281567000.0,103201000.0,69906000.0,17900000.0,6232818000.0,1668903000.0,1793903000.0,1944966000.0,4184651000.0,6232818000.0,125000000.0
"(2016, 'Q3')",-434000.0,47908000.0,4054218000.0,,,,3760761000.0,5755678000.0,144700000.0,,380750000.0,-2495877000.0,47508000.0,259990000.0,103201000.0,109511000.0,294780000.0,6293847000.0,1557907000.0,1682907000.0,1827607000.0,4363039000.0,6293847000.0,125000000.0
"(2016, 'Q2')",-710000.0,55225000.0,4068042000.0,,,,3795098000.0,5474290000.0,147685000.0,,369621000.0,-2455302000.0,64033000.0,249518000.0,86200000.0,375092000.0,160540000.0,6274228000.0,1612030000.0,1771156000.0,1918841000.0,4269189000.0,6274228000.0,159126000.0
"(2016, 'Q1')",-431000.0,64454000.0,4069762000.0,,,,3811510000.0,5527521000.0,131903000.0,,460080000.0,-2625295000.0,59961000.0,343396000.0,86201000.0,90158000.0,106080000.0,6142213000.0,1444036000.0,1603162000.0,1735065000.0,4320947000.0,6142213000.0,159126000.0
2015,-6040000.0,50789000.0,4066222000.0,,,,3822141000.0,5529461000.0,141514000.0,,451475000.0,-2596917000.0,64105000.0,353604000.0,87926000.0,86956000.0,27000000.0,6118681000.0,1463265000.0,1622391000.0,1763905000.0,4266850000.0,6118681000.0,159126000.0
"(2015, 'Q3')",-6810000.0,45241000.0,4066293000.0,,,,3807699000.0,5580271000.0,147074000.0,,498920000.0,-2616919000.0,83005000.0,362057000.0,87937000.0,93230000.0,128200000.0,6217662000.0,1442564000.0,1601690000.0,1748764000.0,4380961000.0,6217662000.0,159126000.0
"(2015, 'Q2')",-7402000.0,46835000.0,4066522000.0,,,,3818487000.0,5564185000.0,189175000.0,,457591000.0,-2589336000.0,70303000.0,315357000.0,87942000.0,89083000.0,47520000.0,6157694000.0,1469784000.0,1628910000.0,1818085000.0,4251667000.0,6157694000.0,159126000.0
"(2015, 'Q1')",-7009000.0,164490000.0,4066974000.0,,,,3888284000.0,5484023000.0,219099000.0,,471512000.0,-2603564000.0,83537000.0,321064000.0,87942000.0,95428000.0,0.0,6215453000.0,1456401000.0,1615527000.0,1834626000.0,4292885000.0,6215453000.0,159126000.0
2014,-6456000.0,28971000.0,3697607000.0,,,,4022809000.0,5472779000.0,214370000.0,,503833000.0,-2649542000.0,110851000.0,320996000.0,87937000.0,91445000.0,112330000.0,6097028000.0,1041609000.0,1227735000.0,1442105000.0,4566986000.0,6097028000.0,186126000.0
"(2014, 'Q3')",-5517000.0,29186000.0,3695563000.0,,,37056000.0,3947786000.0,5224875000.0,215304000.0,,517378000.0,-2647921000.0,86853000.0,328854000.0,78909000.0,166024000.0,14450000.0,5937463000.0,1042125000.0,1228251000.0,1443555000.0,4414999000.0,5937463000.0,186126000.0
"(2014, 'Q2')",-5243000.0,33826000.0,3694316000.0,,,30753000.0,4152802000.0,5264939000.0,209708000.0,,556320000.0,-2735097000.0,93294000.0,319689000.0,78917000.0,223580000.0,53400000.0,6078665000.0,953976000.0,1140102000.0,1349810000.0,4649938000.0,6078665000.0,186126000.0
"(2014, 'Q1')",-4503000.0,38402000.0,3701830000.0,,,,4284763000.0,5369420000.0,198355000.0,,514514000.0,-2772345000.0,391962000.0,35795000.0,79121000.0,160816000.0,110060000.0,6083152000.0,924982000.0,983096000.0,1181451000.0,4822580000.0,6083152000.0,58114000.0
2013,-4602000.0,55751000.0,3702798000.0,,,,4337785000.0,5391209000.0,205287000.0,,505416000.0,-2798853000.0,107775000.0,330756000.0,79953000.0,127037000.0,50400000.0,6079413000.0,899343000.0,967457000.0,1172744000.0,4826716000.0,6079413000.0,68114000.0
"(2013, 'Q3')",-5467000.0,67622000.0,3705852000.0,,,17118000.0,4530971000.0,5510043000.0,213013000.0,,781330000.0,-2886352000.0,440300000.0,27438000.0,79969000.0,130511000.0,298550000.0,6489506000.0,814033000.0,882147000.0,1095160000.0,5314377000.0,6489506000.0,68114000.0
"(2013, 'Q2')",-4365000.0,46923000.0,3705485000.0,,,0.0,4656497000.0,5540513000.0,211687000.0,,760167000.0,-2917863000.0,450711000.0,33415000.0,79984000.0,123112000.0,187050000.0,6470715000.0,783257000.0,851371000.0,1063058000.0,5327673000.0,6470715000.0,68114000.0
"(2013, 'Q1')",-4664000.0,49558000.0,3718023000.0,,,0.0,4664260000.0,5497884000.0,220219000.0,,666808000.0,-2893093000.0,443069000.0,25235000.0,80030000.0,156143000.0,49200000.0,6370393000.0,820266000.0,888380000.0,1108599000.0,5181764000.0,6370393000.0,68114000.0
2012,-3542000.0,84413000.0,3714140000.0,,,281438000.0,4413083000.0,5234961000.0,239469000.0,,936421000.0,-2863287000.0,441172000.0,30747000.0,80046000.0,145585000.0,0.0,6401380000.0,847311000.0,915425000.0,1154894000.0,5166440000.0,6401380000.0,68114000.0
"(2012, 'Q3')",-6397000.0,102515000.0,3716130000.0,,,46729000.0,4871981000.0,5751208000.0,227306000.0,,553016000.0,-2902175000.0,368935000.0,28488000.0,80077000.0,158649000.0,66200000.0,6565388000.0,807558000.0,875672000.0,1102978000.0,5382333000.0,6565388000.0,68114000.0
"(2012, 'Q2')",-6292000.0,312964000.0,3685206000.0,,,8618000.0,5090443000.0,5944794000.0,221582000.0,,520484000.0,-2897490000.0,371368000.0,27054000.0,80401000.0,168864000.0,,6947106000.0,781424000.0,1147640000.0,1369222000.0,5497483000.0,6947106000.0,366216000.0
"(2012, 'Q1')",-4191000.0,83234000.0,3072737000.0,,,12039000.0,5133795000.0,6004802000.0,218889000.0,,561631000.0,-2873679000.0,423301000.0,22822000.0,83365000.0,173963000.0,67400000.0,6823630000.0,194867000.0,862019000.0,1080908000.0,5659357000.0,6823630000.0,667152000.0
2011,-6860000.0,91066000.0,3099542000.0,,,417164000.0,4772774000.0,5590329000.0,236345000.0,,1006497000.0,-2841467000.0,421259000.0,32607000.0,83384000.0,183970000.0,,6871862000.0,251215000.0,908329000.0,1144674000.0,5643804000.0,6871862000.0,657114000.0
"(2011, 'Q3')",-8312000.0,75831000.0,3107288000.0,,46670000.0,0.0,5233525000.0,6179415000.0,249802000.0,34516000.0,531305000.0,-2803679000.0,428963000.0,24999000.0,93385000.0,209481000.0,26200000.0,7042702000.0,295297000.0,951312000.0,1201114000.0,5748203000.0,7042702000.0,656015000.0
"(2011, 'Q2')",-1147000.0,85324000.0,3097199000.0,5179000.0,46984000.0,24177000.0,4913588000.0,6262701000.0,262036000.0,34982000.0,568358000.0,-2774353000.0,810014000.0,25988000.0,93387000.0,196426000.0,21500000.0,7164972000.0,321699000.0,979300000.0,1241336000.0,5830249000.0,7164972000.0,657601000.0
"(2011, 'Q1')",-2042000.0,81360000.0,3085763000.0,8049000.0,48171000.0,4066000.0,5009127000.0,6417197000.0,262559000.0,35323000.0,507814000.0,-2726882000.0,811095000.0,21818000.0,103404000.0,199241000.0,,7261832000.0,356839000.0,1014440000.0,1276999000.0,5881429000.0,7261832000.0,657601000.0
2010,-2076000.0,111325000.0,3071472000.0,,45387000.0,279309000.0,5181538000.0,6153671000.0,260730000.0,32876000.0,868993000.0,-2680955000.0,447320000.0,27323000.0,103428000.0,199190000.0,,7378566000.0,388441000.0,1046042000.0,1306772000.0,5968366000.0,7378566000.0,657601000.0
"(2010, 'Q3')",-4455000.0,145062000.0,3077942000.0,11038000.0,49958000.0,6491000.0,4994060000.0,6685389000.0,269038000.0,35833000.0,509256000.0,-2638318000.0,990464000.0,23879000.0,103537000.0,216369000.0,,7617072000.0,435169000.0,1193770000.0,1462808000.0,6050727000.0,7617072000.0,758601000.0
"(2010, 'Q2')",-2872000.0,78318000.0,3080400000.0,13191000.0,50272000.0,3276000.0,5094938000.0,6810113000.0,313581000.0,35794000.0,544112000.0,-2598290000.0,986438000.0,27647000.0,106389000.0,211795000.0,,7707801000.0,479238000.0,1139738000.0,1453319000.0,6148093000.0,7707801000.0,660500000.0
2009,-1138000.0,81260000.0,3073830000.0,23744000.0,50282000.0,246556000.0,4904550000.0,6711327000.0,294985000.0,34052000.0,821195000.0,-2493474000.0,1040132000.0,29819000.0,116656000.0,218660000.0,,7906468000.0,579218000.0,1239718000.0,1534703000.0,6255109000.0,7906468000.0,660500000.0
