year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofpreferredequity,saleofinvestments
2018,Q2,,,,,97485000.0,,2256000.0,,141535000.0,,17665000.0,-122059000.0,104303000.0,,17665000.0,-122059000.0,104303000.0,-91000.0,7156000.0,7156000.0,-2594000.0,-6107000.0,,-66881000.0,-42152000.0,-88515000.0,-50882000.0,,8608000.0
2018,Q1,,,,,92548000.0,,-19487000.0,,372088000.0,,86795000.0,-171628000.0,81323000.0,,86795000.0,-171628000.0,81323000.0,-3510000.0,95690000.0,95690000.0,-87428000.0,-5329000.0,,-73702000.0,-165815000.0,-75601000.0,-206262000.0,,69788000.0
2017,Q4,,5666000.0,7401000.0,196438000.0,97348000.0,,15963000.0,,-392411000.0,,-376852000.0,288843000.0,109114000.0,,-376852000.0,288843000.0,109114000.0,21105000.0,286189000.0,286189000.0,-296052000.0,243561000.0,391573000.0,-69509000.0,-222000.0,-91481000.0,-158493000.0,,-11027000.0
2017,Q3,,,,,92513000.0,,1809000.0,,207750000.0,,-20108000.0,-95205000.0,107519000.0,,-20108000.0,-95205000.0,107519000.0,-7794000.0,22144000.0,22144000.0,-8947000.0,-5477000.0,1607000.0,-63127000.0,-5956000.0,-90235000.0,-159254000.0,,-621000.0
2017,Q2,,,,,89155000.0,,-3823000.0,,426020000.0,,-17893000.0,-91251000.0,103902000.0,,-17893000.0,-91251000.0,103902000.0,-5242000.0,21591000.0,21591000.0,-3021000.0,-320651000.0,,-63868000.0,-6389000.0,-94237000.0,-59394000.0,,9375000.0
2017,Q1,,,,,87168000.0,,-27324000.0,,120305000.0,,21552000.0,-87683000.0,73604000.0,,21552000.0,-87683000.0,73604000.0,7473000.0,17155000.0,17155000.0,-3395000.0,-2461000.0,,-64266000.0,-7805000.0,-82151000.0,-32026000.0,,2273000.0
2016,Q4,,5060000.0,2152000.0,200278000.0,87710000.0,,6338000.0,,-40780000.0,,-224420000.0,136488000.0,101268000.0,,-224420000.0,136488000.0,101268000.0,13336000.0,177399000.0,177399000.0,-175239000.0,-30296000.0,555593000.0,-60446000.0,3695000.0,-87322000.0,-127689000.0,34791000.0,-335478000.0
2016,Q3,,,,,84848000.0,,-545000.0,,286693000.0,,-27458000.0,-79550000.0,99691000.0,,-27458000.0,-79550000.0,99691000.0,-7317000.0,30036000.0,30036000.0,-14648000.0,-14209000.0,270849000.0,-71090000.0,-283880000.0,-93293000.0,-194061000.0,-34791000.0,26774000.0
2016,Q2,,,,,80680000.0,,-5649000.0,,84955000.0,,-22901000.0,-89140000.0,102812000.0,,-22901000.0,-89140000.0,102812000.0,-9229000.0,245953000.0,245953000.0,-218172000.0,-8008000.0,-290075000.0,-59760000.0,-6505000.0,-86454000.0,-40088000.0,,293894000.0
2016,Q1,,,,,79828000.0,,-20824000.0,,86846000.0,,5283000.0,-65571000.0,73953000.0,,5283000.0,-65571000.0,73953000.0,13665000.0,29885000.0,29885000.0,-14936000.0,-1681000.0,3234000.0,-60703000.0,-4039000.0,-79576000.0,-19179000.0,,14810000.0
2015,Q4,25801000.0,5186000.0,2033000.0,207087000.0,79482000.0,,17990000.0,,103738000.0,,-140721000.0,44822000.0,101447000.0,,-140721000.0,44822000.0,101447000.0,5548000.0,75376000.0,75376000.0,-76587000.0,-29633000.0,362830000.0,-60946000.0,-22615000.0,-89605000.0,-180880000.0,27000000.0,-231589000.0
2015,Q3,-25801000.0,,,,77237000.0,,6019000.0,,51218000.0,,29137000.0,-131871000.0,101140000.0,,29137000.0,-131871000.0,101140000.0,-1594000.0,23769000.0,23769000.0,-5885000.0,-2089000.0,208000.0,-56292000.0,-2216000.0,-104500000.0,36300000.0,,438000.0
2015,Q2,,,,,75150000.0,,-3647000.0,-5000.0,179173000.0,,-106017000.0,-104291000.0,92653000.0,,-106017000.0,-104291000.0,92653000.0,-117655000.0,68688000.0,68688000.0,-47538000.0,-773000.0,146000.0,-82556000.0,-100950000.0,-101333000.0,-201856000.0,,97846000.0
2015,Q1,,,,,74432000.0,,-19743000.0,366585000.0,18473000.0,,50425000.0,20443000.0,64651000.0,,50425000.0,20443000.0,64651000.0,135519000.0,104150000.0,104150000.0,-94188000.0,-1657000.0,2546000.0,-52788000.0,-43666000.0,-71742000.0,-253188000.0,-27000000.0,133305000.0
2014,Q4,,3814000.0,3314000.0,463774000.0,71465000.0,,5271000.0,,167303000.0,-69000.0,13747000.0,-101997000.0,88035000.0,,13747000.0,-101997000.0,88035000.0,-215000.0,45459000.0,45459000.0,-37974000.0,-3942000.0,60099000.0,-48609000.0,-153652000.0,-90110000.0,-100936000.0,,81666000.0
2014,Q3,,,,,69437000.0,,2832000.0,,17156000.0,-38000.0,-270738000.0,176988000.0,89110000.0,,-270738000.0,176988000.0,89110000.0,-4640000.0,144515000.0,144515000.0,-127674000.0,-2944000.0,62402000.0,-50972000.0,-117310000.0,-94790000.0,-233924000.0,-16000.0,326686000.0
2014,Q2,,,,,71399000.0,,2012000.0,,-33216000.0,123658000.0,-78830000.0,-15224000.0,89478000.0,,-78830000.0,-15224000.0,89478000.0,-4576000.0,84605000.0,84605000.0,-68538000.0,-6750000.0,-67675000.0,-46164000.0,1860000.0,-88182000.0,-116358000.0,,138773000.0
2014,Q1,,,,,70307000.0,,-30971000.0,0.0,99190000.0,,-26061000.0,-46089000.0,54801000.0,,-26061000.0,-46089000.0,54801000.0,-17349000.0,81532000.0,81532000.0,-66067000.0,9932000.0,-28511000.0,-63302000.0,-23418000.0,-94242000.0,-62381000.0,-9500000.0,100082000.0
2013,Q4,,4915000.0,1258000.0,547270000.0,70322000.0,,-13243000.0,,-202827000.0,,-453695000.0,364351000.0,77473000.0,,-453695000.0,364351000.0,77473000.0,-11871000.0,148603000.0,148603000.0,-133124000.0,25168000.0,-14799000.0,-99485000.0,-2809000.0,-75222000.0,-176551000.0,,457181000.0
2013,Q3,,,,,72040000.0,,-12146000.0,,188135000.0,,-22008000.0,-32390000.0,75097000.0,,-22008000.0,-32390000.0,75097000.0,20699000.0,79410000.0,79410000.0,-64207000.0,-32229000.0,-2130000.0,-35721000.0,-34778000.0,-111748000.0,-142193000.0,,116266000.0
