year,period,amortizationexpense,cashincometaxespaid,cashinterestpaid,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,repaymentofdebt
2017,Q3,,,946.0,-109965.0,,-7197.0,33755.0,-652627.0,33755.0,-652627.0,-618872.0,-2871502.0,-2871502.0,2328840.0,42927.0,-1975.0
2017,Q2,,,375820.0,452735.0,,1281744.0,1242254.0,-672170.0,1242254.0,-672170.0,570084.0,-2453870.0,-2453870.0,1328965.0,,-39490.0
2017,Q1,,0.0,591693.0,-1426912.0,,1371969.0,1097456.0,-1902709.0,1097456.0,-1902709.0,-805253.0,-1517071.0,-1517071.0,1041274.0,-42927.0,-231586.0
2016,Q4,,,1087221.0,-1085938.0,,2272000.0,2138011.0,-3735421.0,2138011.0,-3735421.0,-1597411.0,-1433184.0,-1433184.0,-1216299.0,225001.0,-358990.0
2016,Q3,,,,-12111714.0,,5664570.0,5472467.0,-12240336.0,5472467.0,-12240336.0,-6767868.0,-805843.0,-805843.0,677221.0,-129431.0,-62672.0
2016,Q2,,,2240.0,-2254476.0,,5330370.0,4459188.0,-2902606.0,4459188.0,-2902606.0,1556582.0,-522257.0,-522257.0,-125873.0,-69842.0,-801340.0
2016,Q1,,0.0,0.0,-466475.0,,4999.0,-3700917.0,-941464.0,-3700917.0,-941464.0,-4642381.0,-530526.0,-530526.0,55537.0,-3705916.0,0.0
2015,Q4,,,590260.0,-618115.0,16000000.0,340533.0,13750461.0,-1497832.0,13750461.0,-1497832.0,12252629.0,-1099899.0,-1099899.0,220182.0,-339976.0,-2250096.0
2015,Q3,,,,101263.0,,276499.0,276499.0,-262734.0,276499.0,-262734.0,13765.0,-1112853.0,-1112853.0,748857.0,,
2015,Q2,-538855.0,,,97921.0,,142870.0,142870.0,-142906.0,142870.0,-142906.0,-36.0,-1426908.0,-1426908.0,1724936.0,,
2015,Q1,538855.0,0.0,0.0,137143.0,,237964.0,237964.0,-249685.0,237964.0,-249685.0,-11721.0,-1620827.0,-1620827.0,695143.0,,
