,accruedinvestmentincome,aoci,cashandequivalents,claimsandclaimexpenses,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,goodwill,intangibleassets,longtermdebt,mortgageservicingrights,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock,unearnedpremiumscredit,unearnedpremiumsdebit
"(2018, 'Q1')",108700000.0,51700000.0,2342000000.0,3194800000.0,0.0,3480300000.0,3646300000.0,10384800000.0,923100000.0,275800000.0,2004400000.0,682200000.0,355200000.0,11200000.0,11476600000.0,3441200000.0,5815000000.0,1816900000.0,1816900000.0,32427900000.0,4486900000.0,4489800000.0,4501000000.0,27926900000.0,32427900000.0,2900000.0,9552600000.0,-4860100000.0,7084800000.0,1248500000.0
2017,105400000.0,234000000.0,996800000.0,3782200000.0,0.0,3199400000.0,3484500000.0,10397400000.0,917700000.0,288600000.0,1068200000.0,670200000.0,347600000.0,10900000.0,11927200000.0,3438000000.0,5697300000.0,1837100000.0,1837100000.0,31843000000.0,4270600000.0,4270600000.0,4281500000.0,27561500000.0,31843000000.0,0.0,10030600000.0,-4860100000.0,7038600000.0,1237300000.0
"(2017, 'Q3')",114100000.0,256400000.0,992800000.0,4794200000.0,0.0,3188300000.0,3482600000.0,10436900000.0,916000000.0,306600000.0,1067900000.0,648100000.0,358400000.0,,12364200000.0,3205100000.0,5414600000.0,1800300000.0,1800300000.0,32405200000.0,4138200000.0,4138200000.0,4138200000.0,28267000000.0,32405200000.0,,10135700000.0,-4721100000.0,6962600000.0,1286400000.0
"(2017, 'Q2')",105300000.0,236900000.0,848200000.0,3093300000.0,0.0,3173900000.0,3326600000.0,10278100000.0,905500000.0,316500000.0,1136600000.0,624000000.0,355500000.0,,10468600000.0,2828900000.0,5500700000.0,1779100000.0,1779100000.0,30058900000.0,4224600000.0,4224600000.0,4224600000.0,25834300000.0,30058900000.0,,9993300000.0,-4686900000.0,6718300000.0,1336300000.0
"(2017, 'Q1')",111400000.0,148300000.0,874500000.0,3075400000.0,0.0,3175000000.0,3290000000.0,10163900000.0,894500000.0,330000000.0,1067300000.0,603300000.0,348800000.0,,10213800000.0,2750400000.0,5410800000.0,1750300000.0,1750300000.0,29567700000.0,4158800000.0,4158800000.0,4158800000.0,25408900000.0,29567700000.0,,9907100000.0,-4575300000.0,6601600000.0,1244000000.0
2016,110100000.0,94600000.0,1032000000.0,3301200000.0,0.0,3177400000.0,3267400000.0,10112900000.0,830900000.0,240300000.0,1067000000.0,624000000.0,343600000.0,0.0,10357000000.0,2811100000.0,5296700000.0,1692300000.0,1692300000.0,29709100000.0,4098100000.0,4098100000.0,4098100000.0,25611000000.0,29709100000.0,,9993500000.0,-4470600000.0,6626500000.0,1218000000.0
"(2016, 'Q3')",116823000.0,328106000.0,1116623000.0,3397455000.0,0.0,3169770000.0,3034091000.0,10042896000.0,839681000.0,263284000.0,1165557000.0,595067000.0,337100000.0,,10559281000.0,2990808000.0,5295671000.0,1738940000.0,1738940000.0,30283836000.0,4504914000.0,4504914000.0,4504914000.0,25778922000.0,30283836000.0,,10370208000.0,-4288633000.0,6443266000.0,1312738000.0
"(2016, 'Q2')",111985000.0,327254000.0,1232674000.0,3276722000.0,0.0,3152413000.0,3001603000.0,9748406000.0,834173000.0,250419000.0,1165255000.0,620185000.0,327861000.0,,10313866000.0,2992850000.0,5181375000.0,1714443000.0,1714443000.0,29804213000.0,4608071000.0,4608071000.0,4608071000.0,25196142000.0,29804213000.0,,10178705000.0,-4052971000.0,6298466000.0,1218299000.0
"(2016, 'Q1')",114572000.0,225240000.0,2060815000.0,3341718000.0,0.0,3154477000.0,3079611000.0,9723211000.0,839766000.0,274131000.0,1414704000.0,872196000.0,312324000.0,,10239350000.0,3214524000.0,5044544000.0,1719454000.0,1719454000.0,30287195000.0,4564645000.0,4564645000.0,4564645000.0,25722550000.0,30287195000.0,,9443449000.0,-3859616000.0,6308939000.0,1331527000.0
2015,129743000.0,118549000.0,1288305000.0,3896719000.0,0.0,3149906000.0,3150934000.0,9466694000.0,833512000.0,277163000.0,1164656000.0,1151256000.0,298414000.0,,9132869000.0,2762542000.0,4856674000.0,1798104000.0,1798104000.0,30036402000.0,4523967000.0,4523967000.0,4523967000.0,25512435000.0,30036402000.0,,10715385000.0,-3601162000.0,6423720000.0,1260717000.0
"(2015, 'Q3')",136960000.0,246038000.0,1543936000.0,4080309000.0,0.0,3140298000.0,3126301000.0,9465642000.0,841183000.0,300781000.0,1171305000.0,1233230000.0,286751000.0,,9200400000.0,2981626000.0,4824192000.0,1754350000.0,1754350000.0,30586091000.0,4683599000.0,4683599000.0,4683599000.0,25902492000.0,30586091000.0,,10887866000.0,-3526929000.0,6449260000.0,1274333000.0
"(2015, 'Q2')",133374000.0,348419000.0,1297436000.0,4010733000.0,0.0,3128268000.0,3078233000.0,9489876000.0,842202000.0,332370000.0,1171229000.0,1267033000.0,289416000.0,,8891109000.0,2992871000.0,4851670000.0,1919609000.0,1919609000.0,30842082000.0,4827960000.0,4827960000.0,4827960000.0,26014122000.0,30842082000.0,,11365016000.0,-3500397000.0,6429804000.0,1426284000.0
"(2015, 'Q1')",144591000.0,548997000.0,1065165000.0,3784275000.0,0.0,3136890000.0,2827411000.0,9417564000.0,828564000.0,331338000.0,1171153000.0,1255459000.0,286186000.0,,8542938000.0,3106105000.0,4840497000.0,1933658000.0,1933658000.0,30800356000.0,5128212000.0,5128212000.0,5128212000.0,25672144000.0,30800356000.0,,12011062000.0,-3398172000.0,6259389000.0,1573984000.0
