year,period,nopat,normalizednopat,netnonopex,investedcapital,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,investedcapitalincreasedecrease,freecashflow,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,revenuegrowth,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,nopatmargin,normalizednopatmargin,ebitdamargin,ebitmargin,pretaxincomemargin,profitmargin,sgaextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,investedcapitalturnover,assetturnover,faturnover,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex
2018,Q1,106000000.0,106000000.0,0.0,6505400000.0,2004400000.0,136500000.0,0.0,136500000.0,16500000.0,2004400000.0,2004400000.0,-337600000.0,6505400000.0,82.8002,60.676,1279300000.0,-1173300000.0,4953462012.2,4629962012.2,1.104,1.5065,0.7688,10.2812,0.023849,0.097265,0.7117,0.7186,12.6536,12.6536,9.6097,10.7548,,0.050542,-0.365411,-0.365411,-0.262865,-0.262865,-0.225296,-4.128099,-2.307955,0.244791,-0.027835,-0.137713,-0.137713,-0.661234,-0.661234,-0.65913,-1.461585,-10.144973,0.216031,0.065549,0.065549,0.08441,0.08441,0.08441,0.065549,0.0,0.91559,0.776557,1.0,0.223443,1.0985,0.2079,18.3048,0.3547,7.159,7.159,0.4453,0.4453,0.072004,0.0,0.072004,0.02554,0.097544,-0.135959,0.017546,0.013625,0.001628,0.097385,0.24699,0.85056,-4.587879,0.0,0.308113,0.308113,0.000446,0.001722,0.689719,5.478,-0.9227,5.478,4.1602,-0.7007,4.1602,6.3488,4.9302,5.5814,4.1628,-3.5209,-4.2884,-54.5721
2017,Q4,312900000.0,110180000.0,0.0,5349700000.0,1068200000.0,158300000.0,0.0,158300000.0,-7500000.0,1068200000.0,1068200000.0,71400000.0,5349700000.0,77.2106,55.4012,184600000.0,128300000.0,5577564466.9,5659864466.9,1.306,1.8202,0.8762,10.7343,0.021456,0.093159,1.058,0.8891,12.4038,12.7331,10.8927,10.6709,16.8951,-0.029974,1.899267,1.899267,8.996805,8.996805,6.986111,-0.071348,-0.768755,0.03574,0.056395,2.47119,2.47119,6.460733,6.460733,6.47619,-0.552768,-0.684822,0.027583,0.188109,0.066238,0.095167,0.095167,0.095167,0.188109,0.0,0.904833,1.976627,1.0,-0.976627,1.2108,0.2068,18.4187,0.2548,7.3455,7.3455,0.2495,0.2495,0.227756,0.0,0.227756,0.058034,0.285791,0.06372,0.019684,0.038907,0.001301,0.285419,0.229022,0.977483,,0.0,0.199675,0.199675,0.0,0.002037,0.798288,2.341,0.1565,2.341,2.0558,0.1374,2.0558,12.8699,25.439,13.4797,26.0488,13.3333,13.9431,10.4309
2017,Q3,-57300000.0,-57086988.8,0.0,5206100000.0,1067900000.0,-107600000.0,0.0,-107600000.0,12300000.0,1067900000.0,1067900000.0,75100000.0,5206100000.0,75.8956,53.4728,-464371000.0,407071000.0,5208215964.5,5283315964.5,1.2586,1.7863,0.8116,21.8833,0.02776,0.045697,1.0148,0.8233,15.5027,15.5027,22.1988,9.7299,7.5221,-0.134883,-1.487098,-1.487098,-1.396814,-1.396814,-1.443038,0.433542,0.237926,-0.081893,-0.008563,-1.602126,-1.602126,-1.476705,-1.476705,-1.486111,15.967347,-0.235298,-0.02893,-0.03639,-0.036255,-0.068335,-0.068335,-0.068335,-0.03639,0.0,1.068335,0.532528,1.0,0.467472,1.1799,0.2047,18.4526,0.2584,7.2531,7.2531,0.2581,0.2581,-0.042939,0.0,-0.042939,-0.011096,-0.054034,0.129153,-0.01399,-0.00745,0.0,-0.054034,0.50042,2.372689,29.813008,0.0,0.205125,0.205125,0.0,0.0,0.794875,3.1335,0.2204,3.1335,4.487,0.3155,4.487,-8.8197,-4.6967,-9.8279,-5.7049,30.0574,29.0492,33.3665
2017,Q2,120200000.0,120267263.6,0.0,5361200000.0,1136600000.0,178700000.0,0.0,178700000.0,16300000.0,1136600000.0,1136600000.0,288400000.0,5361200000.0,76.1053,54.0913,-412126000.0,532326000.0,5755821323.6,6044221323.6,1.3625,1.9169,0.8639,13.0903,0.025417,0.076392,1.1274,0.9072,9.0307,9.0307,13.7462,13.988,7.0956,-0.109054,-0.241189,-0.241189,-0.290018,-0.290018,-0.2,-2.103604,0.347105,-0.071385,0.031768,-0.169224,-0.169224,-0.164117,-0.164117,-0.146245,-2.012397,-0.406581,0.025851,0.075683,0.075726,0.112517,0.112517,0.112517,0.075683,0.0,0.887483,0.672636,1.0,0.327364,1.1967,0.2226,19.4989,0.2606,6.7775,6.7775,0.269,0.269,0.090571,0.0,0.090571,0.023603,0.114174,0.153006,0.025045,0.016846,0.0,0.114174,0.273596,1.720264,-1.503067,0.0,0.212005,0.212005,0.0,0.0,0.787995,1.6982,0.4309,1.6982,2.5849,0.6559,2.5849,14.4113,9.6935,13.0968,8.379,-1.9758,-3.2903,42.9295
2017,Q1,143800000.0,144067410.5,0.0,5226100000.0,1067300000.0,215100000.0,0.0,215100000.0,14800000.0,1067300000.0,1067300000.0,192800000.0,5226100000.0,73.2742,51.6997,-753249000.0,897049000.0,5429907844.5,5622707844.5,1.3056,1.8505,0.7919,11.1086,0.027372,0.09002,1.0759,0.82,7.7437,7.7437,11.5031,11.7433,4.527,-0.278577,-0.362855,-0.362855,-0.34755,-0.34755,-0.242515,1.069942,0.659923,-0.125975,-0.102344,2.93956,2.93956,3.594249,3.594249,2.513889,-0.862967,0.61682,0.01181,0.093419,0.093593,0.139739,0.139739,0.139739,0.093419,0.0,0.860261,0.668526,1.0,0.331474,1.2238,0.2291,20.7429,0.2845,6.8614,6.8614,0.2566,0.2566,0.114329,0.0,0.114329,0.032529,0.146858,0.221687,0.032016,0.021404,0.0,0.146858,0.250818,1.728723,1.635135,0.0,0.204225,0.204225,0.0,0.0,0.795775,1.4699,0.2655,1.4699,2.1835,0.3944,2.1835,17.0714,11.4127,15.8968,10.2381,1.9206,0.746,71.1944
2016,Q4,31300000.0,30898717.9,0.0,5165100000.0,1067000000.0,54600000.0,0.0,54600000.0,18400000.0,1067000000.0,1067000000.0,35000000.0,5165100000.0,66.168,48.8724,-523523000.0,554823000.0,5751263113.6,5786263113.6,1.4034,1.9001,0.7719,10.172,0.028019,0.098309,1.1203,0.7766,9.9901,6.8186,10.2339,53.2805,5.3137,-0.322427,-0.504686,-0.504686,-0.524237,-0.524237,-0.257732,1.589504,-0.239502,-0.09203,-0.057854,-0.752829,-0.752829,-0.783241,-0.783241,-0.696203,-0.309617,0.687249,-0.089123,0.018253,0.018019,0.03184,0.03184,0.03184,0.018253,0.0,0.96816,0.57326,1.0,0.42674,1.373,0.2494,23.212,0.2588,6.9294,6.9294,0.2604,0.2604,0.025062,0.0,0.025062,0.006487,0.031548,0.200654,0.007942,0.004553,0.0,0.031548,0.221613,1.748143,9.597826,0.0,0.206579,0.206579,0.0,0.0,0.793421,1.8422,0.0604,1.8422,1.8872,0.0619,1.8872,3.9281,2.2518,2.6043,0.9281,12.705,11.3813,39.9153
2016,Q3,144400000.0,144400000.0,0.0,5670471000.0,1165557000.0,220900000.0,0.0,220900000.0,19100000.0,1165557000.0,1165557000.0,48934000.0,5670471000.0,74.0595,55.927,-184433000.0,328833000.0,5611414457.3,5660348457.3,1.2456,1.6495,0.6788,9.3541,0.025798,0.106905,0.9982,0.6847,6.2598,6.2598,9.4357,,7.2169,-0.278049,7.8494,7.8494,21.563942,21.563942,24.7,-0.290583,-0.495378,-0.031501,0.021037,-0.061996,-0.061996,-0.147076,-0.147076,-0.122222,10.522523,-0.167855,-0.017816,0.079336,0.079336,0.121367,0.121367,0.121367,0.079336,0.0,0.878633,0.653689,1.0,0.346311,1.4346,0.2716,26.5038,0.2543,6.6246,6.6246,0.2587,0.2587,0.113816,0.0,0.113816,0.028946,0.142763,0.136104,0.032968,0.021551,0.0,0.142763,0.213863,1.461639,13.39267,0.0,0.205549,0.205549,0.0,0.0,0.794451,1.289,0.0541,1.289,1.943,0.0816,1.943,15.7786,10.3143,14.4143,8.95,18.2714,16.9071,23.4881
2016,Q2,169300000.0,169300000.0,0.0,5773326000.0,1165255000.0,235500000.0,0.0,235500000.0,24900000.0,1165255000.0,1165255000.0,-67419000.0,5773326000.0,73.4667,56.175,-225863000.0,395163000.0,5413647332.5,5346228332.5,1.1748,1.5364,0.6037,12.0715,0.021702,0.08284,0.926,0.5961,8.2113,8.2113,11.9211,,7.9282,-0.322493,4.883823,4.883823,4.163317,4.163317,4.744681,-0.935942,-0.287017,-0.037649,-0.16455,-0.302429,-0.302429,-0.231851,-0.231851,-0.191617,1.064162,-0.26878,-0.034456,0.094974,0.094974,0.13211,0.13211,0.13211,0.094974,0.0,0.86789,0.718896,1.0,0.281104,1.5236,0.2958,29.0572,0.2476,6.4271,6.4271,0.2529,0.2529,0.1447,0.0,0.1447,0.03583,0.180529,0.11456,0.039072,0.028089,0.0,0.180529,0.264791,1.492859,0.891566,0.0,0.201834,0.201834,0.0,0.0,0.798166,1.7897,-0.1035,1.7897,2.5983,-0.1503,2.5983,15.4934,11.1382,13.8553,9.5,1.4605,-0.1776,25.9976
2016,Q1,220400000.0,220856990.5,0.0,5979349000.0,1414704000.0,337600000.0,0.0,337600000.0,22800000.0,1414704000.0,1414704000.0,-646111000.0,5979349000.0,69.2446,52.3471,-320016000.0,540416000.0,5085770123.9,4439659123.9,1.1142,1.4738,0.5181,16.3028,0.021706,0.061339,0.7425,0.4523,9.7445,9.7445,14.2317,72.1122,7.0251,-0.17535,3.058034,3.058034,3.404124,3.404124,3.704225,-0.947474,29.316167,-0.050801,-0.156906,2.062604,2.062604,2.350104,2.350104,2.443299,-0.154973,-0.25925,0.051107,0.103295,0.103509,0.158223,0.158223,0.158223,0.103295,0.0,0.841777,0.652844,1.0,0.347156,1.599,0.3214,32.8038,0.2668,6.3023,6.3023,0.3099,0.3099,0.165166,0.0,0.165166,0.044063,0.209229,0.102938,0.050852,0.033199,0.0,0.209229,0.345453,1.801975,-15.175439,0.0,0.236598,0.236598,0.0,0.0,0.763402,3.1051,-1.4181,3.1051,4.5349,-2.0712,4.5349,23.2828,15.2,21.7103,13.6276,-23.8621,-25.4345,37.2701
2015,Q4,65789000.0,63833228.6,0.0,5688623000.0,1164656000.0,110233000.0,0.0,110233000.0,28861000.0,1164656000.0,1164656000.0,-123649000.0,5688623000.0,65.5484,49.4557,-663763000.0,729552000.0,5558646012.9,5434997012.9,1.2287,1.6285,0.5412,39.256,0.021459,0.025474,0.9554,0.5292,16.7076,27.0129,38.3827,23.6407,6.7485,-0.029942,0.22012,0.22012,0.322259,0.322259,0.366197,-1.478932,3.317744,-0.10449,0.003853,4.417972,4.417972,10.368983,10.368983,10.7,-1.830816,0.11956,-0.0284,0.025995,0.025223,0.043557,0.043557,0.043557,0.025995,0.0,0.956443,0.596818,1.0,0.403182,1.7059,0.3335,35.6575,0.2407,6.3469,6.3469,0.2574,0.2574,0.044346,0.0,0.044346,0.010672,0.055018,0.13377,0.014524,0.008668,0.0,0.055018,0.665254,2.733757,-10.37989,0.0,0.204734,0.204734,0.0,0.0,0.795266,3.5803,-0.3801,3.5803,8.225,-0.8732,8.225,8.0082,4.7794,5.9115,2.6827,-21.7635,-23.8602,53.0005
