year,period,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
2018,Q1,,,,,,-2200000.0,,1442400000.0,276400000.0,1344000000.0,79100000.0,,1344000000.0,79100000.0,-75700000.0,1345200000.0,,,,11900000.0,,,-29700000.0,-1156200000.0,-16500000.0,-350000000.0,-7000000.0,,1251800000.0,
2017,Q4,0.0,18800000.0,48100000.0,0.0,,-3800000.0,0.0,514200000.0,,143000000.0,-299200000.0,164000000.0,143000000.0,-299200000.0,164000000.0,4000000.0,519600000.0,519600000.0,-355600000.0,12200000.0,,,-30200000.0,-1256900000.0,-18700000.0,-221100000.0,-132100000.0,,950200000.0,26200000.0
2017,Q3,,,,,,1000000.0,,88700000.0,,22600000.0,-245700000.0,,22600000.0,-245700000.0,366700000.0,144600000.0,,,,900000.0,,,-28800000.0,-1123100000.0,-12300000.0,,-38200000.0,,889700000.0,
2017,Q2,,,,,,300000.0,,69000000.0,,-64600000.0,62500000.0,,-64600000.0,62500000.0,-24500000.0,-26300000.0,,,,10200000.0,,,-30300000.0,-1147200000.0,-16300000.0,,-113500000.0,,1226000000.0,
2017,Q1,,,,,,4800000.0,,0.0,0.0,-127700000.0,-58800000.0,,-127700000.0,-58800000.0,24200000.0,-157500000.0,,,,7100000.0,,,-29700000.0,-1102700000.0,-14800000.0,0.0,-105100000.0,,1058700000.0,
2016,Q4,0.0,226100000.0,56200000.0,0.0,,-10600000.0,0.0,,,-345000000.0,94300000.0,176600000.0,-345000000.0,94300000.0,176600000.0,-84700000.0,565400000.0,565400000.0,-388800000.0,-2900000.0,,,-30300000.0,-1561300000.0,-18400000.0,-123000000.0,-188800000.0,,1674000000.0,
2016,Q3,,,,,16100000.0,-3100000.0,,-100000.0,,-254400000.0,-114300000.0,,-254400000.0,-114300000.0,255800000.0,-116000000.0,,,,4400000.0,,,-30000000.0,-932200000.0,-19100000.0,,-228700000.0,,820900000.0,
2016,Q2,,,,,-57000000.0,-1900000.0,,100000.0,,-461100000.0,-387400000.0,,-461100000.0,-387400000.0,22200000.0,-828100000.0,,,,21200000.0,,100000.0,-32600000.0,-1383000000.0,-24900000.0,-250000000.0,-199800000.0,,1077500000.0,
2016,Q1,,,,,914800000.0,-500000.0,,249600000.0,,-19800000.0,1133000000.0,,-19800000.0,1133000000.0,-346000000.0,772500000.0,,,,8800000.0,,5800000.0,-32400000.0,-862300000.0,-22800000.0,,-245800000.0,,1103300000.0,
2015,Q4,0.0,80100000.0,54800000.0,0.0,-15102000.0,-20741000.0,0.0,,,-137068000.0,193926000.0,-299574000.0,-137068000.0,193926000.0,-299574000.0,-255580000.0,141600000.0,141600000.0,-441174000.0,-74499000.0,,7877000.0,-33294000.0,-655298000.0,-25467000.0,44952000.0,-74227000.0,,893187000.0,-3394000.0
2015,Q3,,,,,,-19980000.0,,,,-94945000.0,14624000.0,,-94945000.0,14624000.0,360578000.0,246500000.0,,,,687000.0,,-13777000.0,-20456000.0,-840745000.0,-27182000.0,-44255000.0,-30921000.0,,882564000.0,-13000.0
2015,Q2,,,,,,6798000.0,,,,-126037000.0,1735000.0,177666000.0,-126037000.0,1735000.0,346562000.0,232271000.0,,,168896000.0,-3047000.0,,3213000.0,-21616000.0,-1040362000.0,-40094000.0,2049000.0,-103423000.0,,1078794000.0,3397000.0
