date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,106.835,1,111.43,102.4,103.23,25133024.0,106.835,0.0,111.43,102.4,103.23,1.0,25133024.0
2018-06-30,103.49,1,105.99,84.3902740572841,90.2960024726973,48889474.0,103.49,0.56,105.99,84.88,90.82,1.0,48889474.0
2018-03-31,90.8825983927467,1,100.255571360845,83.853389655883,100.220991957075,32339972.0,91.41,0.56,101.475,84.34,101.44,1.0,32339972.0
2017-12-31,99.6282021781489,1,101.268253899844,91.2613777930063,93.9334009103043,28031521.0,100.84,0.56,102.85,92.9,95.62,1.0,28031521.0
2017-09-30,93.8351647662859,1,104.533868728624,84.4830838557432,101.890842931448,22485482.0,95.52,0.53,106.985,86.0,104.28,1.0,22485482.0
2017-06-30,101.314360410067,1,103.424872691731,89.755711300181,93.1332747499414,24706247.0,103.69,0.53,106.02,92.345,95.82,1.0,24706247.0
2017-03-31,92.9874806441964,1,98.4790586272601,86.5748493395315,90.5289658531963,24082167.0,95.67,0.53,101.32,89.55,93.64,1.0,24082167.0
2016-12-31,89.7748800633043,1,91.2637161100143,75.4281441763291,88.3133851114192,30151519.0,92.86,0.53,94.4,78.5,91.91,1.0,30151519.0
2016-09-30,88.6400802581702,1,89.0052101280684,78.9556834156283,82.6627024336903,22958470.0,92.25,0.5,92.63,82.64,86.52,1.0,22958470.0
2016-06-30,82.462064806424,1,84.752993082198,72.7268454424241,72.8123393829912,36215178.0,86.31,0.5,89.22,76.56,76.65,1.0,36215178.0
2016-03-31,73.2873057194752,1,76.8795899658175,60.7234606473167,74.4738597607269,48837240.0,77.15,0.5,81.49,64.365,78.94,1.0,48837240.0
2015-12-31,75.98333753647,1,82.2665387780008,72.0396554364167,74.131159558578,34307593.0,80.54,0.5,87.2,76.81,79.04,1.0,34307593.0
2015-09-30,74.1030227318225,1,74.807737047918,63.3549041781943,63.4109539312272,41802899.0,79.01,0.3,80.08,67.82,67.88,1.0,41802899.0
2015-06-30,62.5888908867446,1,64.8215393825553,55.5467912960958,56.7929439888259,40116287.0,67.0,0.3,69.39,59.73,61.07,1.0,40116287.0
2015-03-31,57.1091319854887,1,63.7173545731423,55.6304881187418,63.4395980144102,37538470.0,61.41,0.27,68.82,59.82,68.52,1.0,37538470.0
2014-12-31,63.3562710467906,1,64.7543123924088,55.477832734595,59.1204098506464,34916715.0,68.43,0.27,69.94,60.16,64.11,1.0,34916715.0
2014-09-30,59.2956224207855,1,62.0436932577053,57.9878870088455,60.5961480019579,29980147.0,64.3,0.27,67.28,63.14,65.98,1.0,29980147.0
2014-06-30,60.2012352459585,1,64.0217865598134,57.2070125117368,59.7475645723571,33734400.0,65.55,0.27,69.71,62.5425,65.32,1.0,33734400.0
2014-03-31,59.4182760964531,1,63.3514440030841,53.9066119839273,60.1705848967896,40297600.0,64.96,0.25,69.26,59.165,66.04,1.0,40297600.0
2013-12-31,60.471255596607,1,60.7992599964078,48.6093757301746,48.989065851184,36048500.0,66.37,0.5,66.73,53.77,54.19,1.0,36048500.0
2013-09-30,48.9077036823962,1,51.0050395889241,45.178794540832,46.0517712480951,34200300.0,54.1,0.25,56.42,50.2,51.17,1.0,34200300.0
2013-06-30,45.8177774915091,1,46.726753238247,40.0648017675735,40.3065875627734,41780100.0,50.91,0.25,51.92,44.74,45.01,1.0,41780100.0
2013-03-31,40.3065875627734,1,40.3424076805808,31.0270099856702,31.4323880055834,57300100.0,45.01,0.21,45.05,34.825,35.28,1.0,57300100.0
2012-12-31,30.9156423977819,1,36.6229736234666,29.9534264384273,33.1519374386506,53622100.0,34.7,0.21,41.36,33.62,37.44,1.0,53622100.0
2012-09-30,33.0279718606214,1,33.9222949592602,28.8645045690344,30.8445391812395,54116300.0,37.3,0.21,38.31,32.8,35.05,1.0,54116300.0
2012-06-30,30.659735950767,1,36.444213703281,28.5212985695855,35.3247370164512,76877600.0,34.84,0.21,41.67,32.41,40.39,1.0,76877600.0
2012-03-31,35.4209420442256,1,38.7922433700652,32.7304109979131,36.3797037621828,68334900.0,40.5,0.18,44.54,37.58,41.77,1.0,68334900.0
2011-12-31,35.7613271839892,1,36.3448656451015,28.8237356308851,30.7302966166923,55821200.0,41.06,0.18,41.73,33.26,35.46,1.0,55821200.0
2011-09-30,31.0249469508625,1,31.8049037177837,26.4180674735439,31.3224330175721,80596000.0,35.8,0.18,36.72,30.65,36.34,1.0,80596000.0
2011-06-30,31.2620981163275,1,34.4095043183334,29.5382437950522,33.242789636884,56893500.0,36.27,0.18,40.11,34.27,38.75,1.0,56893500.0
2011-03-31,33.0368988107459,1,35.8008213040364,31.5870842433566,33.177706234743,64818200.0,38.51,0.16,41.9,36.82,38.83,1.0,64818200.0
