,accruedinterestpayable,aoci,cashandequivalents,commonequity,goodwill,intangibleassets,longtermdebt,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,othershorttermpayables,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,unearnedpremiumsdebit
"(2018, 'Q2')",844600000.0,-651400000.0,652200000.0,3629000000.0,4403900000.0,1731000000.0,3252100000.0,427600000.0,69500000.0,2181100000.0,1007800000.0,395200000.0,1692500000.0,1466000000.0,6217700000.0,16230500000.0,4443600000.0,4443600000.0,4513100000.0,11717400000.0,16230500000.0,5142200000.0
"(2018, 'Q1')",799700000.0,-499500000.0,697900000.0,3587400000.0,4236300000.0,1639600000.0,2913100000.0,424200000.0,69900000.0,2043300000.0,1008500000.0,390400000.0,1410800000.0,1426700000.0,6431300000.0,16127500000.0,4514600000.0,4514600000.0,4584500000.0,11543000000.0,16127500000.0,5675400000.0
2017,947800000.0,-555400000.0,681200000.0,3569200000.0,4164800000.0,1644600000.0,2843000000.0,412200000.0,64100000.0,2300300000.0,1187900000.0,355300000.0,1623800000.0,1221800000.0,5276000000.0,14909700000.0,4235600000.0,4235600000.0,4299700000.0,10610000000.0,14909700000.0,4082800000.0
"(2017, 'Q3')",768100000.0,-498900000.0,564900000.0,3546800000.0,4160400000.0,1671200000.0,2898100000.0,413400000.0,62200000.0,2157600000.0,1191300000.0,147200000.0,1615600000.0,1062100000.0,3633500000.0,12810400000.0,4110000000.0,4110000000.0,4172200000.0,8638200000.0,12810400000.0,2227300000.0
"(2017, 'Q2')",711100000.0,-661900000.0,587800000.0,3503700000.0,3989000000.0,1662600000.0,2744800000.0,387600000.0,65300000.0,2087300000.0,1156800000.0,132500000.0,1481100000.0,1002900000.0,3914400000.0,12569600000.0,3844700000.0,3844700000.0,3910000000.0,8659600000.0,12569600000.0,2374200000.0
"(2017, 'Q1')",818100000.0,-699100000.0,564000000.0,3459800000.0,3896900000.0,1682100000.0,2249100000.0,375500000.0,64800000.0,1937300000.0,1123900000.0,139000000.0,1258000000.0,901800000.0,3723200000.0,11780600000.0,3662500000.0,3662500000.0,3727300000.0,8053300000.0,11780600000.0,2066800000.0
2016,772100000.0,-763600000.0,545500000.0,3443800000.0,3767800000.0,1627300000.0,2270200000.0,377600000.0,59200000.0,1934500000.0,1077500000.0,139900000.0,1392100000.0,916400000.0,3574100000.0,11489600000.0,3596600000.0,3596600000.0,3655800000.0,7833800000.0,11489600000.0,1844800000.0
"(2016, 'Q3')",651300000.0,-620500000.0,531800000.0,3417200000.0,3762600000.0,1629900000.0,2177700000.0,213900000.0,54700000.0,1981300000.0,1015600000.0,139600000.0,1397100000.0,889800000.0,3474900000.0,11200300000.0,3686500000.0,3686500000.0,3741200000.0,7459100000.0,11200300000.0,1683700000.0
"(2016, 'Q2')",658500000.0,-603500000.0,411100000.0,3368200000.0,3716100000.0,1659800000.0,2445600000.0,213900000.0,55900000.0,1914100000.0,1000400000.0,122500000.0,1430900000.0,835200000.0,3501500000.0,11384300000.0,3599900000.0,3599900000.0,3655800000.0,7728500000.0,11384300000.0,2038400000.0
"(2016, 'Q1')",728800000.0,-535400000.0,425400000.0,3379100000.0,3693400000.0,1672900000.0,2168000000.0,218200000.0,55200000.0,1692400000.0,966100000.0,119500000.0,1303500000.0,753400000.0,3077900000.0,10712600000.0,3597100000.0,3597100000.0,3652300000.0,7060300000.0,10712600000.0,1706800000.0
2015,812700000.0,-522500000.0,480400000.0,3386300000.0,3662900000.0,1698800000.0,2208700000.0,249000000.0,49900000.0,1673300000.0,963500000.0,115300000.0,1412100000.0,774500000.0,3122100000.0,10910500000.0,3638300000.0,3638300000.0,3688200000.0,7222300000.0,10910500000.0,1734000000.0
"(2015, 'Q3')",648300000.0,-496300000.0,369700000.0,3370300000.0,3579600000.0,1741800000.0,2239600000.0,200700000.0,55500000.0,1668200000.0,948300000.0,106200000.0,1349600000.0,778400000.0,2860100000.0,10510400000.0,3652400000.0,3652400000.0,3707900000.0,6802500000.0,10510400000.0,1600800000.0
"(2015, 'Q2')",633100000.0,-338700000.0,321700000.0,3266400000.0,3569400000.0,1761500000.0,2216600000.0,198200000.0,73000000.0,1657000000.0,974200000.0,124600000.0,1443800000.0,710800000.0,3056100000.0,10716100000.0,3638500000.0,3638500000.0,3711500000.0,7004600000.0,10716100000.0,1764500000.0
"(2015, 'Q1')",654100000.0,-380200000.0,276800000.0,2889400000.0,3418000000.0,1723600000.0,2220800000.0,190600000.0,74400000.0,1391700000.0,947600000.0,126800000.0,1186600000.0,636000000.0,2562000000.0,9730900000.0,3145200000.0,3145200000.0,3219600000.0,6511300000.0,9730900000.0,1543600000.0
