year,period,nopat,normalizednopat,netnonopex,investedcapital,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,investedcapitalincreasedecrease,freecashflow,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,revenuegrowth,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,nopatmargin,normalizednopatmargin,ebitdamargin,ebitmargin,pretaxincomemargin,profitmargin,sgaextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,investedcapitalturnover,assetturnover,faturnover,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex
2018,Q2,123700000.0,68320000.0,0.0,13982900000.0,9469800000.0,916400000.0,116200000.0,1032600000.0,31600000.0,9469800000.0,3252100000.0,7125100000.0,13982900000.0,24.3618,-9.2725,3413700000.0,-3290000000.0,11907072000.0,19101672000.0,2.6796,,1.8258,21.5357,0.02451,0.046435,1.3661,2.929,19.1495,34.1528,32.4527,21.0696,,0.117376,0.168232,0.178043,0.579821,0.579821,0.589744,1.163407,-2.704955,0.322986,-0.115743,1.94188,2.782088,-0.567483,-0.567483,-0.581081,3.439798,0.165673,0.003877,0.076123,0.042043,0.635446,0.563938,0.063754,0.076123,0.445969,0.436062,1.194015,0.113051,-0.194015,0.5312,0.4529,16.0,1.9149,3.4192,0.3865,0.7206,2.0983,0.04044,0.0,0.04044,0.077437,0.117877,-0.230131,0.255401,0.034475,0.016004,0.11599,0.496092,0.545192,16.800633,0.444665,0.232577,0.677241,0.0,0.00497,0.317788,9.4935,7.143,3.2603,16.0887,12.1052,5.5251,,,,,,,
2018,Q1,286000000.0,174790000.0,0.0,13928900000.0,9344400000.0,242300000.0,108700000.0,351000000.0,31100000.0,9344400000.0,2913100000.0,7235700000.0,13928900000.0,24.8738,-7.5003,4229300000.0,-3943300000.0,12474495000.0,19780095000.0,2.7631,,1.9642,24.5561,0.023131,0.040723,1.4201,3.1145,23.3036,47.0059,36.414,31.8469,,0.116193,0.171562,0.213928,0.181818,0.181818,0.165354,-15.03871,-6.04916,0.436028,0.246405,1.593507,1.348082,5.958637,5.958637,7.705882,-1.550747,-0.370391,0.121607,0.155629,0.095113,0.191,0.13185,0.13185,0.155629,0.422158,0.86815,1.180355,1.0,-0.180355,0.5376,0.4551,15.8832,1.8428,3.3576,3.3576,0.6354,2.0383,0.083661,0.0,0.083661,0.154167,0.237827,-0.312005,0.060009,0.070831,0.016206,0.233973,0.529087,0.58229,-6.996785,0.461723,0.209141,0.670864,0.0,0.005018,0.324117,11.009,8.5246,3.432,17.2025,13.3205,5.3628,,,,,,,
2017,Q4,41100000.0,21770000.0,0.0,12418700000.0,8119000000.0,-696100000.0,104700000.0,-591400000.0,35400000.0,8119000000.0,2843000000.0,5814000000.0,12418700000.0,23.518,-8.7385,2918600000.0,-2877500000.0,11396728000.0,17274828000.0,2.6907,,1.8502,24.6096,0.024954,0.040634,1.391,2.8045,21.6639,45.6885,34.605,20.2234,,0.064549,-4.584242,-11.117733,-0.593069,-0.593069,-0.679245,0.407553,-6.570376,0.307218,-0.069486,-3.880662,-8.198552,-0.701742,-0.701742,-0.760563,0.993441,-1.454786,0.160214,0.027876,0.014765,-0.401112,-0.472124,0.018787,0.027876,0.470361,1.472124,1.483755,-0.039793,-0.483755,0.562,0.4666,15.5979,1.7552,3.3184,-0.132,0.6612,1.8883,0.015667,0.0,0.015667,0.027499,0.043166,-0.22076,-0.220316,0.013008,0.015499,0.042497,0.566306,0.601563,11.161017,0.424843,0.228929,0.653772,0.0,0.005162,0.341066,10.1818,7.2912,3.5653,16.264,11.6466,5.6951,,,,,,,
2017,Q3,137800000.0,75110000.0,0.0,10703800000.0,6531600000.0,96700000.0,108600000.0,205300000.0,28200000.0,6531600000.0,2898100000.0,4351100000.0,10703800000.0,22.7701,-9.538,1310000000.0,-1172200000.0,11109775000.0,15523075000.0,2.7031,,1.8302,21.1897,0.031928,0.047193,1.4502,2.5573,9.9904,13.581,27.7644,20.9828,,0.068947,0.075996,0.018967,0.056748,0.056748,0.028986,-0.172443,-1.571742,0.139454,0.089528,-0.767734,-0.875691,0.759898,0.759898,0.820513,-0.192339,-0.320045,0.012735,0.086967,0.047403,0.129568,0.061029,0.061029,0.086967,0.429221,0.938971,1.425026,1.0,-0.425026,0.6041,0.5056,19.3534,1.5397,3.0342,3.0342,0.6946,1.5655,0.052535,0.0,0.052535,0.080887,0.133422,-0.074725,0.030858,0.043973,0.014772,0.131451,0.499911,0.499911,7.028369,0.339459,0.270754,0.610213,0.0,0.005811,0.383976,4.2036,2.8003,1.8652,11.6823,7.7823,5.1835,,,,,,,
2017,Q2,78300000.0,41440000.0,0.0,10569200000.0,6659200000.0,777900000.0,106000000.0,883900000.0,36300000.0,6659200000.0,2744800000.0,4590300000.0,10569200000.0,21.3713,-10.0439,966300000.0,-888000000.0,10299275000.0,14954875000.0,2.6788,,1.7257,19.9328,0.034378,0.050169,1.4149,2.5058,9.7154,13.1045,27.1069,19.1459,,0.01906,2.761277,4.657455,-0.49711,-0.49711,-0.535714,7.346939,-0.917927,0.100626,-0.116679,1.950267,2.897295,-0.676446,-0.676446,-0.692913,14.832258,-0.587415,0.089653,0.05384,0.028495,0.607784,0.534897,0.0372,0.05384,0.458571,0.465103,1.44732,0.069546,-0.44732,0.5917,0.4983,19.8437,1.6662,3.1661,0.2202,0.702,1.7031,0.031858,0.0,0.031858,0.053082,0.08494,-0.041106,0.266534,0.026828,0.016019,0.083579,0.502809,0.502809,6.760331,0.370359,0.259698,0.630057,0.0,0.006178,0.363765,4.3261,2.9821,1.7831,12.0703,8.3203,4.9752,,,,,,,
2017,Q1,242000000.0,147980000.0,0.0,9699600000.0,5972300000.0,199600000.0,100000000.0,299600000.0,29300000.0,5972300000.0,2249100000.0,4150300000.0,9699600000.0,20.4723,-10.7127,801400000.0,-559400000.0,10115006000.0,14330106000.0,2.7618,,1.7026,16.9516,0.034867,0.058992,1.4774,2.4122,16.094,28.6144,22.7787,25.3585,,0.266072,1.060523,2.583483,3.17962,3.17962,3.884615,-0.845,0.332379,0.090063,0.188736,0.815758,1.901163,1.39604,1.39604,1.396226,-0.944781,-0.471718,0.021,0.146987,0.089881,0.181973,0.121234,0.121234,0.146987,0.432337,0.878766,1.212425,1.0,-0.212425,0.6389,0.5282,20.0128,1.5202,3.048,3.048,0.6034,1.6023,0.093906,0.0,0.093906,0.142752,0.236659,-0.018529,0.06404,0.077643,0.016261,0.23281,0.436656,0.548879,0.52901,0.383851,0.231876,0.615726,0.0,0.006681,0.377593,6.7074,4.6612,2.5259,9.4934,6.5972,3.5751,,,,,,,
2016,Q4,101000000.0,55790000.0,0.0,9500100000.0,5844300000.0,68800000.0,96200000.0,165000000.0,79000000.0,5844300000.0,2270200000.0,3906700000.0,9500100000.0,20.2511,-10.1267,481100000.0,-380100000.0,9228096000.0,13193996000.0,2.5658,,1.6494,22.2686,0.037564,0.044906,1.3888,2.3583,17.9218,36.9683,29.6494,20.311,,0.037531,0.288056,1.422535,0.480938,0.480938,0.432432,-0.21941,0.396187,0.053343,-0.065641,-0.13522,-0.275026,-0.22546,-0.22546,-0.231884,0.172025,0.166082,0.011316,0.072924,0.040282,0.119134,0.049675,0.049675,0.072924,0.475957,0.950325,1.468023,1.0,-0.468023,0.6042,0.4995,17.8576,1.5217,3.0501,3.0501,0.621,1.5986,0.044062,0.0,0.044062,0.067048,0.11111,-0.003899,0.024814,0.036428,0.014856,0.109459,0.611685,0.838652,3.553165,0.376217,0.238966,0.615183,0.0,0.006232,0.378585,7.9385,5.3066,3.0837,13.1333,8.7791,5.1016,,,,,,,
2016,Q3,130400000.0,69300000.0,0.0,9393800000.0,5652600000.0,94900000.0,95900000.0,190800000.0,35700000.0,5652600000.0,2177700000.0,3723700000.0,9393800000.0,20.7573,-9.6059,586200000.0,-455800000.0,9034512000.0,12812912000.0,2.4507,,1.6294,23.6753,0.038454,0.042238,1.364,2.3108,18.3225,40.4831,31.0842,17.5881,,0.018903,-0.011911,-0.102176,-0.074521,-0.074521,-0.08,0.006303,-0.947031,0.066556,0.03868,-0.188085,-0.309818,-0.162492,-0.162492,-0.178571,7.146259,0.015551,-0.021775,0.087971,0.046752,0.128719,0.064022,0.064022,0.087971,0.422721,0.935978,1.374078,1.0,-0.374078,0.6093,0.5108,26.7472,1.4434,2.9145,2.9145,0.5821,1.5109,0.053598,0.0,0.053598,0.077365,0.130962,-0.019119,0.032701,0.044934,0.014794,0.129025,0.653324,0.89835,6.708683,0.369914,0.231823,0.601737,0.0,0.005823,0.39244,8.0832,5.3249,3.1141,13.7132,9.0337,5.2831,,,,,,,
2016,Q2,155700000.0,105490000.0,0.0,9602900000.0,5947100000.0,137500000.0,97500000.0,235000000.0,41200000.0,5947100000.0,2445600000.0,4105100000.0,9602900000.0,20.2926,-10.0113,618700000.0,-463000000.0,8444240000.0,12605240000.0,2.3457,,1.5305,21.5359,0.041191,0.046434,1.3126,2.2847,17.9664,38.5128,29.8208,17.3387,,0.040615,0.078476,0.070039,0.054878,0.054878,0.037037,2.185484,-0.847566,0.068865,0.097432,0.616231,1.468582,1.689119,1.689119,2.230769,-0.706,0.447428,0.079196,0.109102,0.073919,0.16467,0.096349,0.096349,0.109102,0.442155,0.903651,1.132364,1.0,-0.132364,0.5937,0.4993,26.776,1.5229,2.9998,2.9998,0.669,1.6268,0.06477,0.0,0.06477,0.098639,0.163408,-0.02109,0.048106,0.054473,0.017496,0.160549,0.632127,0.871067,0.713592,0.364629,0.254673,0.619303,0.0,0.005821,0.374876,8.4765,5.8511,3.4857,14.0693,9.7116,5.7857,,,,,,,
2016,Q1,57900000.0,41720000.0,0.0,8898200000.0,5245900000.0,55700000.0,89700000.0,145400000.0,61900000.0,5245900000.0,2168000000.0,3517000000.0,8898200000.0,20.3226,-9.9955,895800000.0,-837900000.0,7872960000.0,11445160000.0,2.1887,,1.4415,20.6423,0.035402,0.048444,1.2862,2.0956,16.7205,35.9571,27.6053,17.0112,,0.05612,0.306379,0.802589,0.787037,0.787037,1.0,-0.117387,0.572216,0.111941,-0.025845,0.135051,0.961268,-0.151026,-0.151026,-0.297297,-0.721913,-0.331056,-0.013394,0.044525,0.032082,0.111812,0.042833,0.042833,0.044525,0.478391,0.957167,1.039497,1.0,-0.039497,0.6463,0.5343,26.7197,1.4594,2.9749,2.9749,0.5936,1.4363,0.028777,0.0,0.028777,0.041996,0.070773,-0.056945,0.022886,0.02379,0.018859,0.069438,0.636035,0.709358,1.615509,0.345901,0.243645,0.589546,0.0,0.006204,0.40425,7.6638,5.1381,3.1673,12.6529,8.4829,5.2291,,,,,,,
