,accountspayable,accountsreceivable,accruedexpenses,aoci,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
"(2018, 'Q2')",104100000.0,134600000.0,34600000.0,-247600000.0,299100000.0,514700000.0,0.0,516800000.0,,,,,161300000.0,78700000.0,581000000.0,,357800000.0,255500000.0,,467800000.0,,,376300000.0,498300000.0,486300000.0,174700000.0,,,,15400000.0,30400000.0,44900000.0,2410100000.0,220100000.0,1070500000.0,667400000.0,220100000.0,220100000.0,2190000000.0,2410100000.0,981800000.0,1522600000.0,0.0,-64500000.0
"(2018, 'Q1')",133400000.0,170100000.0,36400000.0,-260100000.0,302000000.0,432800000.0,0.0,513200000.0,,,,,161300000.0,82100000.0,586300000.0,,352800000.0,253100000.0,,480300000.0,,,422700000.0,480200000.0,491000000.0,170400000.0,,,,-19400000.0,27700000.0,20000000.0,2385900000.0,169200000.0,1045600000.0,677700000.0,169200000.0,169200000.0,2216700000.0,2385900000.0,987500000.0,1539000000.0,0.0,-64500000.0
2017,100900000.0,64500000.0,35200000.0,-272600000.0,306200000.0,535000000.0,0.0,510500000.0,,,,,161300000.0,85500000.0,591400000.0,,359000000.0,145800000.0,,492800000.0,,,397200000.0,433700000.0,490400000.0,171100000.0,,,,-71000000.0,25000000.0,20000000.0,2258700000.0,102400000.0,1016700000.0,594800000.0,102400000.0,102400000.0,2156300000.0,2258700000.0,883000000.0,1561500000.0,0.0,-64500000.0
"(2017, 'Q3')",126200000.0,283100000.0,35800000.0,-273900000.0,298600000.0,392500000.0,0.0,508700000.0,182700000.0,,,5200000.0,160000000.0,88400000.0,596200000.0,160800000.0,349600000.0,251200000.0,,521900000.0,60000000.0,6000000.0,97700000.0,192600000.0,445600000.0,162000000.0,,0.0,,-19000000.0,22400000.0,,2294900000.0,151300000.0,940100000.0,564900000.0,151300000.0,151300000.0,2143600000.0,2294900000.0,1005200000.0,1578700000.0,0.0,-64500000.0
"(2017, 'Q2')",109600000.0,235700000.0,34900000.0,-283900000.0,304000000.0,413600000.0,0.0,504700000.0,172800000.0,,,5200000.0,159900000.0,91800000.0,601800000.0,164400000.0,352700000.0,264800000.0,,569200000.0,61500000.0,6000000.0,98400000.0,197300000.0,438400000.0,147800000.0,,0.0,,-31600000.0,19900000.0,,2287200000.0,124700000.0,918100000.0,539700000.0,124700000.0,124700000.0,2162500000.0,2287200000.0,1016400000.0,1622800000.0,0.0,-64500000.0
"(2017, 'Q1')",98200000.0,202200000.0,36000000.0,-293300000.0,309500000.0,382100000.0,0.0,502500000.0,208600000.0,,,5200000.0,159900000.0,95500000.0,604900000.0,160400000.0,361400000.0,284300000.0,,577500000.0,61700000.0,6000000.0,119600000.0,181700000.0,422100000.0,124800000.0,,100000.0,,-55900000.0,19900000.0,,2255200000.0,88800000.0,870300000.0,549600000.0,88800000.0,88800000.0,2166300000.0,2255200000.0,1023500000.0,1616700000.0,0.0,-64500000.0
2016,96200000.0,136400000.0,37100000.0,-303000000.0,312600000.0,410300000.0,0.0,463800000.0,221800000.0,,,,158100000.0,94400000.0,608000000.0,185100000.0,366000000.0,292500000.0,,548200000.0,,,122900000.0,173000000.0,483800000.0,161400000.0,,1100000.0,,-61800000.0,55600000.0,0.0,2249500000.0,34500000.0,854700000.0,583700000.0,34500000.0,34500000.0,2213900000.0,2249500000.0,1028800000.0,1630200000.0,0.0,-64500000.0
"(2016, 'Q3')",76300000.0,147300000.0,37400000.0,-319700000.0,315900000.0,129300000.0,0.0,399100000.0,204000000.0,24800000.0,,6000000.0,158100000.0,97700000.0,514500000.0,157200000.0,359700000.0,273700000.0,,599100000.0,,,115000000.0,147000000.0,489200000.0,95400000.0,,1100000.0,,-79900000.0,20300000.0,,1952000000.0,-65000000.0,573600000.0,491000000.0,-65000000.0,-65000000.0,2015900000.0,1952000000.0,1018700000.0,1524900000.0,0.0,-64500000.0
"(2016, 'Q2')",88600000.0,176800000.0,37700000.0,-328900000.0,254000000.0,183700000.0,0.0,353300000.0,193900000.0,26800000.0,,,158100000.0,101000000.0,576400000.0,164900000.0,360200000.0,269300000.0,,612900000.0,,,125200000.0,197600000.0,434100000.0,88000000.0,,900000.0,,-68800000.0,59000000.0,,2000100000.0,-108900000.0,677400000.0,576800000.0,-108900000.0,-108900000.0,2108100000.0,2000100000.0,962500000.0,1531300000.0,0.0,-64500000.0
"(2016, 'Q1')",86700000.0,182300000.0,37100000.0,-337900000.0,262200000.0,155500000.0,0.0,351800000.0,200800000.0,36700000.0,,,158100000.0,104300000.0,620400000.0,170600000.0,359400000.0,286200000.0,,619100000.0,,,103900000.0,186500000.0,431000000.0,94000000.0,,1300000.0,,-74700000.0,5200000.0,,1988000000.0,-125300000.0,649000000.0,516300000.0,-125300000.0,-125300000.0,2112000000.0,1988000000.0,979600000.0,1595700000.0,0.0,-64500000.0
2015,64200000.0,169500000.0,32600000.0,-347000000.0,269700000.0,208500000.0,0.0,349100000.0,230900000.0,,,6000000.0,158100000.0,107700000.0,633700000.0,156200000.0,363300000.0,324800000.0,,625400000.0,63200000.0,6000000.0,93200000.0,203100000.0,375000000.0,95200000.0,,1600000.0,,-79800000.0,5300000.0,,2025500000.0,-142200000.0,633400000.0,542100000.0,-142200000.0,-142200000.0,2166100000.0,2025500000.0,1028800000.0,1624000000.0,0.0,-64500000.0
"(2015, 'Q3')",88700000.0,189300000.0,37600000.0,-297300000.0,198500000.0,243300000.0,,346900000.0,211700000.0,14000000.0,,6400000.0,158100000.0,112100000.0,655900000.0,147900000.0,351800000.0,254600000.0,,521300000.0,,,92500000.0,243700000.0,394000000.0,97800000.0,,100000.0,,-94500000.0,5300000.0,,1957600000.0,-109400000.0,687000000.0,593400000.0,-109400000.0,-109400000.0,2066900000.0,1957600000.0,918800000.0,1473500000.0,,-64500000.0
"(2015, 'Q2')",88100000.0,175600000.0,38700000.0,-309200000.0,122800000.0,253500000.0,,332100000.0,197300000.0,19300000.0,,6400000.0,158100000.0,115500000.0,712600000.0,150100000.0,356300000.0,247300000.0,,525600000.0,,6000000.0,72700000.0,200900000.0,344900000.0,99700000.0,,100000.0,,-56600000.0,5300000.0,,1899300000.0,-98200000.0,677200000.0,536700000.0,-98200000.0,-98200000.0,1997400000.0,1899300000.0,865800000.0,1460700000.0,,-64500000.0
"(2015, 'Q1')",85000000.0,190000000.0,38300000.0,-321400000.0,124300000.0,215700000.0,,330900000.0,207000000.0,18700000.0,,6400000.0,158100000.0,118800000.0,718400000.0,161500000.0,357200000.0,256000000.0,,529700000.0,,,75500000.0,213500000.0,329300000.0,81800000.0,,100000.0,,-73900000.0,5200000.0,,1880800000.0,-128900000.0,661400000.0,555400000.0,-128900000.0,-128900000.0,2009600000.0,1880800000.0,862200000.0,1454200000.0,,-64500000.0
2014,104000000.0,170500000.0,31900000.0,-333700000.0,134100000.0,265900000.0,0.0,293300000.0,197400000.0,22000000.0,,6400000.0,158100000.0,122200000.0,776900000.0,138000000.0,366500000.0,268000000.0,,534500000.0,,,64000000.0,221400000.0,343400000.0,80600000.0,,1600000.0,,-70600000.0,5300000.0,,1918600000.0,-175500000.0,660400000.0,566400000.0,-175500000.0,-175500000.0,2092500000.0,1918600000.0,891700000.0,1526100000.0,0.0,-64500000.0
"(2014, 'Q3')",115400000.0,200500000.0,35000000.0,-205100000.0,133600000.0,154900000.0,,291300000.0,116000000.0,24400000.0,,7200000.0,158100000.0,125600000.0,778000000.0,131800000.0,369300000.0,182500000.0,,314800000.0,,,56200000.0,218100000.0,339000000.0,79300000.0,,200000.0,,-82500000.0,5500000.0,,1742300000.0,-60800000.0,567800000.0,497200000.0,-60800000.0,-60800000.0,1802900000.0,1742300000.0,805200000.0,1305700000.0,,-64500000.0
"(2014, 'Q2')",94400000.0,177300000.0,36000000.0,-212800000.0,127700000.0,120700000.0,,289100000.0,103400000.0,30400000.0,,7200000.0,158100000.0,128900000.0,778800000.0,131700000.0,369600000.0,180200000.0,,319600000.0,,,51500000.0,183700000.0,324800000.0,78300000.0,,100000.0,,-72000000.0,4200000.0,,1673200000.0,-60200000.0,511600000.0,428900000.0,-60200000.0,-60200000.0,1733300000.0,1673200000.0,792000000.0,1304400000.0,,-64500000.0
"(2014, 'Q1')",97100000.0,186100000.0,38000000.0,-220600000.0,132400000.0,144100000.0,,287500000.0,94200000.0,31000000.0,,7200000.0,153100000.0,132300000.0,691100000.0,136200000.0,372400000.0,185600000.0,,325000000.0,,,57000000.0,217700000.0,320000000.0,76500000.0,,100000.0,,-22800000.0,3000000.0,,1717800000.0,35500000.0,554400000.0,457200000.0,35500000.0,35500000.0,1682200000.0,1717800000.0,791000000.0,1225000000.0,,-8600000.0
2013,122500000.0,214100000.0,36600000.0,-222400000.0,134700000.0,197600000.0,0.0,286000000.0,104400000.0,29600000.0,,7300000.0,159600000.0,135700000.0,696300000.0,105900000.0,374700000.0,175700000.0,,321000000.0,72000000.0,,48800000.0,206000000.0,241600000.0,73800000.0,,200000.0,,-14000000.0,2900000.0,,1755300000.0,49600000.0,596000000.0,479700000.0,49600000.0,49600000.0,1705500000.0,1755300000.0,784600000.0,1225800000.0,0.0,0.0
"(2013, 'Q3')",105000000.0,219300000.0,40400000.0,-417500000.0,138700000.0,181900000.0,0.0,283200000.0,131100000.0,13300000.0,1100000.0,7500000.0,164600000.0,130700000.0,659200000.0,127900000.0,364600000.0,192700000.0,,502900000.0,70100000.0,,49000000.0,192400000.0,236300000.0,111900000.0,,2000000.0,,-10300000.0,2800000.0,,1750400000.0,-144600000.0,591400000.0,480300000.0,-144600000.0,-144600000.0,1893000000.0,1750400000.0,794400000.0,1412700000.0,0.0,
"(2013, 'Q2')",73400000.0,142000000.0,41600000.0,-440500000.0,139900000.0,134600000.0,0.0,278600000.0,95400000.0,2400000.0,10800000.0,7500000.0,94900000.0,13100000.0,660800000.0,59200000.0,155900000.0,,2500000.0,505800000.0,69500000.0,,37500000.0,126300000.0,232000000.0,111200000.0,460000000.0,2700000.0,10000000.0,-207700000.0,2800000.0,,1411100000.0,-369600000.0,385700000.0,357800000.0,-369600000.0,-369600000.0,1778000000.0,1411100000.0,869500000.0,1420200000.0,0.0,
"(2013, 'Q1')",58600000.0,120600000.0,40900000.0,-463400000.0,142900000.0,140700000.0,0.0,277200000.0,87600000.0,,10900000.0,7500000.0,94900000.0,13500000.0,660900000.0,58700000.0,147800000.0,,2400000.0,514300000.0,68800000.0,,38400000.0,124100000.0,235800000.0,114400000.0,460000000.0,,6000000.0,-195900000.0,2800000.0,,1385200000.0,-382100000.0,364400000.0,332400000.0,-382100000.0,-382100000.0,1764300000.0,1385200000.0,873000000.0,1434900000.0,0.0,
2012,56100000.0,111500000.0,39500000.0,-486300000.0,150000000.0,162100000.0,0.0,275500000.0,100100000.0,2500000.0,9400000.0,7500000.0,94900000.0,13900000.0,201000000.0,46900000.0,143900000.0,,2200000.0,522800000.0,69300000.0,,45100000.0,103300000.0,229200000.0,113500000.0,,3900000.0,,-181900000.0,2700000.0,,919300000.0,-392700000.0,368100000.0,318600000.0,-392700000.0,-392700000.0,1308100000.0,919300000.0,407300000.0,989500000.0,,
"(2012, 'Q3')",40700000.0,113100000.0,40800000.0,-255300000.0,157600000.0,155700000.0,0.0,271600000.0,100400000.0,1600000.0,10700000.0,6800000.0,94900000.0,14200000.0,201000000.0,41300000.0,133700000.0,,400000.0,286800000.0,66800000.0,,54300000.0,115700000.0,232500000.0,112800000.0,,,,-184700000.0,2800000.0,,908100000.0,-168400000.0,366000000.0,317900000.0,-168400000.0,-168400000.0,1072400000.0,908100000.0,408400000.0,758600000.0,,
"(2012, 'Q2')",39600000.0,107800000.0,38500000.0,-269900000.0,146400000.0,150200000.0,0.0,269600000.0,101400000.0,3200000.0,8800000.0,6800000.0,94900000.0,14600000.0,201000000.0,37400000.0,127700000.0,,300000.0,292800000.0,66800000.0,,46300000.0,99700000.0,225100000.0,107200000.0,,4200000.0,,-175200000.0,2800000.0,,874000000.0,-175500000.0,344900000.0,297600000.0,-175500000.0,-175500000.0,1045300000.0,874000000.0,401400000.0,747700000.0,0.0,
"(2012, 'Q1')",33300000.0,105000000.0,40300000.0,-284700000.0,146600000.0,201400000.0,0.0,267600000.0,104700000.0,500000.0,8200000.0,6800000.0,94900000.0,15000000.0,276000000.0,46700000.0,127200000.0,,300000.0,298700000.0,66800000.0,,47100000.0,95700000.0,226600000.0,107500000.0,,4300000.0,,-176900000.0,2800000.0,,931200000.0,-194000000.0,400700000.0,291800000.0,-194000000.0,-194000000.0,1120900000.0,931200000.0,403300000.0,829100000.0,0.0,
2011,33800000.0,107000000.0,40700000.0,-299400000.0,149900000.0,188000000.0,0.0,267100000.0,108500000.0,5300000.0,3100000.0,6800000.0,94900000.0,15400000.0,276100000.0,49500000.0,126900000.0,,4500000.0,304800000.0,66300000.0,,51100000.0,104100000.0,235100000.0,116000000.0,,,,-179300000.0,2800000.0,,939500000.0,-211600000.0,400900000.0,299800000.0,-211600000.0,-211600000.0,1146700000.0,939500000.0,411700000.0,851300000.0,0.0,
"(2011, 'Q3')",24400000.0,109800000.0,54700000.0,-234100000.0,155800000.0,237700000.0,0.0,266000000.0,107100000.0,6600000.0,,7100000.0,94900000.0,15700000.0,276000000.0,45300000.0,124700000.0,,7900000.0,229600000.0,,,58100000.0,100000000.0,301400000.0,113000000.0,,4500000.0,,-179800000.0,62000000.0,0.0,994200000.0,-147900000.0,457500000.0,355300000.0,-147900000.0,-147900000.0,1137600000.0,994200000.0,412000000.0,782300000.0,0.0,
2010,27100000.0,106700000.0,40700000.0,-281200000.0,177000000.0,181500000.0,0.0,263200000.0,110000000.0,7500000.0,0.0,7100000.0,94900000.0,16900000.0,276100000.0,51100000.0,126400000.0,,7600000.0,247300000.0,,,59100000.0,110300000.0,320700000.0,117400000.0,,5100000.0,,-182200000.0,66000000.0,26700000.0,991500000.0,-200200000.0,432600000.0,361200000.0,-200200000.0,-200200000.0,1186600000.0,991500000.0,432500000.0,825400000.0,0.0,
