year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q2,0.016536,50029598.3,0.107084,271900000.0,6.5206,-60900000.0,110929598.3,15229598.3,51800000.0,53600000.0,20000000.0,73600000.0,8100000.0,-126100000.0,433500000.0,403100000.0,611400000.0,581000000.0,51800000.0,831500000.0,2.9308,-0.265,,,,,,,,,,,,,,,,0.142857,0.240741,0.211865,0.432099,0.40625,1.938725,1.125774,-0.182993,-0.050407,0.635556,1.126984,0.687506,1.485714,1.5,2.256813,2.596116,-0.177058,0.209118,0.157534,0.145548,0.114726,0.074486,0.790882,0.023759,0.0,0.06357,0.735729,0.882463,0.264271,0.8394,10.6481,,5.5496,15.9261,34.2783,0.0,22.9184,11.3599,0.7538,13.6233,12.022,2.6397,2.7778,0.69825,0.117196,0.581054,0.437981,1.136232,0.237862,0.096303,0.062525,0.0,1.136232,0.0,0.276596,14.802469,0.03656,0.698737,0.735298,0.0,0.0,0.264702,2.8424,0.2408,2.7011,55.4927,4.7015,52.7335,,6.4578,6.0277,5.4819,5.0518,14.4458,13.4699,13.365,1.604,1.0402,-0.063961,0.219883,0.204464,50029598.3,0.107084,0.101241
2018,Q1,0.213916,29647058.8,0.060258,330400000.0,5.9332,-1200000.0,30847058.8,15647058.8,161200000.0,25200000.0,19800000.0,45000000.0,4100000.0,-57200000.0,395600000.0,367900000.0,614000000.0,586300000.0,161200000.0,783200000.0,2.2651,-0.9933,,,,,,,,,,,,,,,,0.304348,0.565217,0.343875,1.372881,1.25,-29.774194,-0.156282,-0.003619,-0.068535,-0.108911,-0.151515,0.89219,1.269231,1.257143,-1.510433,-0.780866,1.017094,0.13252,0.091463,0.080488,0.05122,0.028455,0.86748,0.013618,0.0,0.052033,0.748663,0.742063,0.251337,0.8463,10.5501,,5.4996,14.7047,34.5968,0.0,24.8221,9.7748,1.5649,17.9818,13.3436,3.4651,3.6288,0.357526,0.07748,0.280046,0.438244,0.79577,-0.000494,0.043347,0.024082,0.000387,0.795462,0.0,-2.818182,-23.268293,0.035368,0.748596,0.783963,0.0,0.0,0.216037,2.982,0.7829,2.8475,-450.2822,-118.2174,-429.9682,,3.1111,3.6601,2.6049,3.154,-11.7778,-12.284,3.8083,1.5429,0.9191,-0.029126,0.201436,0.187331,29647058.8,0.060258,0.038008
2017,Q4,-0.007516,15668122.3,0.029663,163800000.0,8.2934,-125100000.0,140768122.3,67668122.3,61400000.0,29700000.0,20800000.0,50500000.0,18900000.0,-108100000.0,446900000.0,421900000.0,616400000.0,591400000.0,61400000.0,718800000.0,1.4027,-1.9781,,,,,,,,,,,,,,,,-0.142615,-0.244275,-0.242288,-3.872928,-3.592593,0.706849,5.493534,-0.433022,0.091097,0.097826,0.173913,-0.085805,-5.126984,-5.117647,16.838983,8.543322,-0.565978,0.07554,0.095608,-0.013063,0.056229,-0.098448,0.92446,0.040326,0.0,0.088603,-2.270742,0.771044,3.270742,0.8328,18.6879,,5.1785,16.3917,19.5313,0.0,22.2674,-2.736,2.2804,32.6681,25.1885,5.7754,6.0195,0.246008,0.430048,-0.184041,-0.419693,-0.173685,0.499223,0.046827,-0.081986,0.007971,-0.172301,0.0,-0.673913,9.888889,0.03478,0.82276,0.85754,0.0,0.0,0.14246,3.1546,0.3142,3.0266,-50.9388,-5.074,-48.8728,,3.7125,1.9585,1.35,-0.404,23.3625,21.0,17.596,1.7093,1.0415,-0.057586,0.238067,0.22475,-4830000.0,-0.009144,0.043355
2017,Q3,0.043769,17138709.7,0.035403,377400000.0,5.2328,35800000.0,-18661290.3,4538709.7,226100000.0,25300000.0,20700000.0,46000000.0,4400000.0,5100000.0,397600000.0,375200000.0,618600000.0,596200000.0,226100000.0,769900000.0,2.0474,-1.3139,,,,,,,,,,,,,,,,13.432432,2.297436,1.67561,2.135135,2.0,-1.261641,0.298302,0.104801,0.053307,-0.285714,-0.414352,-0.58485,-0.481481,-0.46875,-1.289216,-1.357611,0.134014,0.138401,0.095022,0.052262,0.052262,0.026028,0.861599,0.046478,0.0,0.086139,0.677419,0.735178,0.322581,0.8859,8.7416,9.9553,5.3044,15.6336,41.7542,36.6637,23.3472,55.0707,7.2265,48.5915,35.7234,3.9405,4.0886,0.185259,0.014372,0.170887,1.234921,1.42018,0.176728,0.0463,0.023058,0.012586,1.402306,0.0,0.118227,-2.681818,0.029095,0.774386,0.803481,0.0,0.0,0.196519,3.0353,1.1094,2.9254,6.2275,2.2762,6.002,,3.2857,2.2258,2.7143,1.6544,-1.5325,-2.1039,-2.4235,1.6642,1.2066,0.002711,0.211354,0.199447,17138709.7,0.035403,0.038422
2017,Q2,0.125367,41283149.2,0.089824,332800000.0,5.5016,-10900000.0,52183149.2,16983149.2,208100000.0,43200000.0,21200000.0,64400000.0,3400000.0,-15300000.0,398300000.0,378400000.0,621700000.0,601800000.0,208100000.0,746400000.0,1.7036,-1.735,,,,,,,,,,,,,,,,0.699208,0.981651,2.674299,3.118644,2.555556,0.139665,0.542253,-0.031714,0.133975,0.866667,1.68323,0.871329,3.118644,3.0,14.16129,0.427295,0.003619,0.193647,0.140122,0.133812,0.093995,0.052872,0.806353,0.021105,0.0,0.059835,0.671271,0.837963,0.328729,0.8681,9.0225,9.5427,5.2206,15.8547,40.4542,38.2493,23.0216,55.6819,39.509,256.7246,215.1257,4.826,4.9856,0.494172,0.05148,0.442692,17.490318,17.98449,0.334512,0.081597,0.045898,0.053892,17.015266,0.0,0.217742,12.0,0.026661,0.80627,0.832931,0.0,0.0,0.167069,4.0344,1.3504,3.9053,6.0803,2.0352,5.8856,,5.5385,5.2927,5.1026,4.8568,5.2308,4.7949,6.6901,1.7011,1.2142,-0.008222,0.214036,0.203342,41283149.2,0.089824,0.078764
2017,Q1,0.135612,22060869.6,0.054431,331600000.0,5.3407,-14500000.0,36560869.6,16160869.6,242700000.0,16100000.0,18400000.0,34500000.0,2700000.0,-41500000.0,340600000.0,320700000.0,624800000.0,604900000.0,242700000.0,713700000.0,1.2282,-2.3043,,,,,,,,,,,,,,,,-0.019886,-0.174359,0.878822,0.156863,0.0,0.902208,-0.182849,-0.041895,-0.238444,-0.414261,-0.590331,0.066866,-0.674033,-0.703704,-1.028311,0.686527,0.147802,0.162596,0.085122,0.084875,0.039724,0.014557,0.837404,0.033309,0.0,0.07772,0.641304,0.571429,0.358696,0.853,9.4133,9.4085,5.0214,16.8426,38.7751,38.7949,21.6712,55.8987,-20.3077,-120.8889,-69.0794,6.8043,7.0281,0.2907,0.045345,0.245355,-4.9826,-4.6919,0.247963,0.033884,0.012417,-0.039886,-4.879041,0.0,0.420213,-1.148148,0.027883,0.847555,0.875438,0.0,0.00014,0.124422,4.8966,1.902,4.7406,8.9871,3.491,8.7008,,2.1757,2.9812,1.8108,2.6163,-0.4189,-0.7838,4.9407,1.5835,1.0741,-0.022932,0.188208,0.177212,22060869.6,0.054431,0.022699
2016,Q4,0.093936,20678197.7,0.038854,288900000.0,6.086,-1000000.0,21678197.7,2578197.7,253300000.0,39300000.0,19600000.0,58900000.0,17600000.0,-83700000.0,326600000.0,271000000.0,663600000.0,608000000.0,253300000.0,699200000.0,0.5251,-3.3181,,,,,,,,,,,,,,,,0.294505,0.393617,0.325474,1.350649,0.8,38.758621,-0.681674,-0.003449,0.147477,16.918919,3.015385,2.228177,2.630631,2.588235,1.427938,1.815139,-0.154274,0.143555,0.110673,0.073844,0.073844,0.03401,0.856445,0.03307,0.0,0.069711,0.526163,0.875318,0.473837,0.824,11.5155,8.9505,4.8301,19.0449,31.6963,40.7799,19.1652,53.311,-6.5124,-40.7143,-35.6379,17.0787,18.6404,0.236468,0.007541,0.228927,-1.490862,-1.254394,0.207089,0.060848,0.028024,-0.025714,-1.28665,0.0,0.216667,6.221591,0.079519,0.869565,0.949085,0.0,0.001573,0.049342,5.1723,1.9743,4.7389,11.2605,4.2982,10.3171,,7.7059,4.0545,4.2549,0.6036,21.4706,18.0196,4.2506,1.4643,0.9366,-0.047522,0.185431,0.153864,20678197.7,0.038854,0.064637
2016,Q3,0.051701,6405533.6,0.013811,341600000.0,5.2771,33000000.0,-26594466.4,17505533.6,405500000.0,-19500000.0,15800000.0,-3700000.0,10500000.0,-26400000.0,102900000.0,82600000.0,534800000.0,514500000.0,405500000.0,470900000.0,-0.9701,-4.7881,,,,,,,,,,,,,,,,0.883281,0.597107,1.206941,0.707124,0.721311,0.071259,-1.116414,0.106935,0.135651,-1.097625,-1.894495,-0.429892,-2.881356,-2.888889,0.259777,-1.785989,-0.00611,0.125916,-0.007978,0.031479,-0.042044,-0.023933,0.874084,0.023286,0.0,0.094437,0.438735,1.297436,0.561265,0.8776,10.1937,9.8322,4.8225,18.1806,35.8064,37.123,20.0763,52.8531,-4.754,-22.5727,-29.2867,-8.0516,-8.3693,0.072883,0.04252,0.030362,-0.144344,-0.071462,0.097816,-0.036899,-0.021004,-0.006928,-0.071957,0.0,0.342105,4.295238,0.043109,1.092589,1.135698,0.0,0.002336,-0.138034,4.6545,3.5292,4.4778,8.2531,6.2577,7.9398,,-3.3051,1.0857,-5.0847,-0.694,7.6441,5.8644,-4.5075,1.1682,0.5633,-0.015388,0.059979,0.048146,10220000.0,0.022035,-0.054549
2016,Q2,-0.107907,11235652.2,0.027511,343700000.0,4.7685,-22600000.0,33835652.2,5335652.2,451700000.0,21800000.0,16100000.0,37900000.0,11800000.0,-24100000.0,159600000.0,100600000.0,635400000.0,576400000.0,451700000.0,527400000.0,-1.7231,-5.8228,,,,,,,,,,,,,,,,-0.436012,-0.56746,-0.520637,-0.65896,-0.64,-0.440625,-0.869531,-0.061698,0.144298,0.076705,0.117949,-0.043111,0.156863,0.125,2.129338,-0.243758,-0.006934,0.127081,0.092801,0.053624,0.053379,0.014447,0.872919,0.033301,0.0,0.073457,0.513043,0.527523,0.486957,0.8682,9.6073,9.3181,4.7252,16.6112,37.9921,39.1711,21.9731,55.1901,-4.4449,-18.9199,-9.9807,-5.337,-5.8833,0.131187,0.011649,0.119538,-0.531338,-0.400152,0.116506,0.046346,0.012543,-0.004852,-0.402093,0.0,-0.197917,3.033898,0.11187,1.092909,1.204778,0.0,0.001706,-0.206485,7.3119,5.1979,6.6329,33.8709,24.0785,30.7258,,2.0962,1.0804,0.9615,-0.0543,3.4423,2.3077,3.2534,1.1744,0.625,-0.014237,0.094282,0.059428,11235652.2,0.027511,0.028159
2016,Q1,0.104954,11741860.5,0.0329,346100000.0,4.8047,-33000000.0,44741860.5,6641860.5,470100000.0,19500000.0,15700000.0,35200000.0,7700000.0,-17600000.0,137900000.0,132700000.0,625600000.0,620400000.0,470100000.0,501600000.0,-1.9857,-6.1442,,,,,,,,,,,,,,,,0.67619,3.875,6.79995,2.545455,2.333333,0.109551,-0.7849,-0.087048,-0.266393,-0.226374,-0.308511,-0.247346,-0.337662,-0.466667,-9.931034,-0.343004,0.19386,0.13225,0.098627,0.055478,0.054637,0.01429,0.86775,0.032502,0.0,0.076772,0.593023,0.441026,0.406977,0.9006,9.3591,8.9359,4.8624,17.2836,38.9994,40.8466,21.1182,58.7278,-3.8687,-15.3038,-6.7494,-5.0032,-5.0452,0.158074,0.013583,0.144492,-0.55899,-0.400916,-0.452896,0.049208,0.01287,-0.005538,-0.403136,0.0,-0.641026,-4.116883,0.010367,1.236842,1.247209,0.0,0.002592,-0.249801,5.3838,4.0456,5.3391,-3.1721,-2.3836,-3.1457,,1.7568,1.0578,1.0631,0.3641,-2.8559,-3.5495,4.0308,1.257,0.6543,-0.010102,0.079153,0.076168,11741860.5,0.0329,0.024096
