,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,interestbearingdeposits,loansheldforsale,longtermdebt,netpremisesandequipment,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,retainedearnings,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
"(2016, 'Q2')",189000.0,31485000.0,,12767000.0,2106000.0,1999000.0,109959000.0,,3349000.0,164440000.0,9570000.0,-1435000.0,3708000.0,20922000.0,202590000.0,32443000.0,32443000.0,32443000.0,169096000.0,202590000.0,0.0,46121000.0,
"(2016, 'Q1')",97000.0,35049000.0,,12838000.0,,1591000.0,113272000.0,2000000.0,3407000.0,167505000.0,10569000.0,-1468000.0,3614000.0,20872000.0,207049000.0,32339000.0,32339000.0,32339000.0,173557000.0,207049000.0,0.0,44752000.0,
2015,-221000.0,29922000.0,,13374000.0,,2135000.0,114423000.0,5000000.0,3464000.0,165649000.0,10858000.0,-1457000.0,2659000.0,20802000.0,208935000.0,32498000.0,32498000.0,32498000.0,175443000.0,208935000.0,0.0,50268000.0,
"(2015, 'Q3')",48000.0,29807000.0,,13386000.0,,1190000.0,115697000.0,5000000.0,3517000.0,166534000.0,11550000.0,-1525000.0,2530000.0,20832000.0,208983000.0,32741000.0,32741000.0,32741000.0,175254000.0,208983000.0,0.0,48412000.0,
"(2015, 'Q2')",-159000.0,24516000.0,,13313000.0,,2058000.0,116690000.0,5000000.0,3540000.0,165323000.0,11607000.0,-1484000.0,2568000.0,20888000.0,208495000.0,32558000.0,32558000.0,32558000.0,174949000.0,208495000.0,0.0,52142000.0,
"(2015, 'Q1')",29000.0,25412000.0,,13363000.0,,1495000.0,114419000.0,5000000.0,3568000.0,167182000.0,12170000.0,-1612000.0,2404000.0,21098000.0,209987000.0,32878000.0,32878000.0,32878000.0,176081000.0,209987000.0,0.0,54418000.0,
2014,-20000.0,32898000.0,0.0,13753000.0,,2068000.0,114130000.0,12000000.0,3623000.0,166249000.0,12327000.0,-1646000.0,3084000.0,21126000.0,217523000.0,33213000.0,33213000.0,33213000.0,183401000.0,217523000.0,0.0,54545000.0,
"(2014, 'Q3')",-202000.0,28477000.0,,15137000.0,,1059000.0,113828000.0,14000000.0,3655000.0,163009000.0,12440000.0,-1717000.0,3389000.0,21634000.0,216309000.0,34852000.0,34852000.0,34852000.0,180592000.0,216309000.0,0.0,57909000.0,
"(2014, 'Q2')",-67000.0,25653000.0,,15811000.0,,1863000.0,117566000.0,15000000.0,3680000.0,166489000.0,13197000.0,-1750000.0,3358000.0,21420000.0,222124000.0,35414000.0,35414000.0,35414000.0,185845000.0,222124000.0,0.0,62028000.0,
"(2014, 'Q1')",-295000.0,24232000.0,,15086000.0,,1344000.0,119109000.0,15000000.0,3611000.0,162758000.0,11528000.0,-1087000.0,2378000.0,20056000.0,216155000.0,33760000.0,33760000.0,33760000.0,181480000.0,216155000.0,0.0,57675000.0,
2013,-405000.0,22281000.0,646000.0,15353000.0,,1955000.0,119146000.0,17000000.0,3620000.0,164519000.0,11740000.0,-1087000.0,2422000.0,20523000.0,220926000.0,34384000.0,34384000.0,34384000.0,185896000.0,220926000.0,0.0,64139000.0,
"(2013, 'Q3')",-109000.0,22640000.0,,12451000.0,,912000.0,121657000.0,19000000.0,3644000.0,178788000.0,12115000.0,,3224000.0,20300000.0,224692000.0,22768000.0,22768000.0,22768000.0,201924000.0,224692000.0,0.0,64636000.0,-9874000.0
"(2013, 'Q2')",-182000.0,15366000.0,,12451000.0,,1794000.0,120231000.0,20000000.0,3683000.0,168976000.0,12268000.0,,2914000.0,20125000.0,216204000.0,22520000.0,22520000.0,22520000.0,193684000.0,216204000.0,0.0,64656000.0,-9874000.0
2012,622000.0,16346000.0,0.0,12477000.0,,1804000.0,119068000.0,22000000.0,3805000.0,171721000.0,11469000.0,,2963000.0,19620000.0,221340000.0,22852000.0,22852000.0,22852000.0,198488000.0,221340000.0,0.0,70652000.0,-9867000.0
