year,period,nopat,normalizednopat,netnonopex,investedcapital,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,investedcapitalincreasedecrease,freecashflow,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,revenuegrowth,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,nopatmargin,normalizednopatmargin,ebitdamargin,ebitmargin,pretaxincomemargin,profitmargin,sgaextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,investedcapitalturnover,assetturnover,faturnover,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex
2016,Q2,150000.0,150000.0,0.0,33494000.0,1051000.0,225000.0,108000.0,333000.0,2000.0,0.0,0.0,-31485000.0,32443000.0,16.0912,16.0912,-5052000.0,5202000.0,,,,,,,,,,,,,,,,0.014615,4.397959,2.113861,2.388889,2.388889,2.4,-5.182927,-0.58796,-0.131064,0.003805,-0.031977,-0.038462,-0.127907,-0.127907,-0.125,-16.176991,0.450641,-0.056294,0.113723,0.113723,0.252464,0.170584,0.170584,0.113723,0.671721,0.867324,0.666667,1.0,0.333333,0.1453,0.0255,1.5192,0.1083,6.3243,6.3243,0.0,0.0,0.016522,0.0,0.016522,0.001789,0.018311,0.152499,0.004343,0.002895,0.0,0.018311,2.147392,3.594104,-857.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5845,1.0563,1.5704,1.0423,-12.0775,-12.0915,36.6338
2016,Q1,172000.0,172000.0,0.0,35492000.0,3153000.0,234000.0,110000.0,344000.0,4000.0,2000000.0,2000000.0,-33049000.0,34339000.0,14.6995,14.6995,-3414000.0,3586000.0,,,,,,,,,,,,,,,,-0.017203,0.570776,1.412371,1.293333,1.293333,1.0,1.229209,-0.66931,-0.08775,0.016241,0.988439,2.295775,1.388889,1.388889,1.666667,-0.870115,-0.534407,-0.077938,0.130898,0.130898,0.261796,0.178082,0.178082,0.130898,0.65449,0.86758,0.735043,1.0,0.264957,0.1402,0.025,1.4951,0.1408,6.3946,6.3946,0.0618,0.0618,0.018347,0.0,0.018347,0.002583,0.02093,0.096696,0.004453,0.003273,0.0,0.02093,5.185792,7.693989,28.25,0.0,0.058243,0.058243,0.0,0.0,0.941757,3.4965,-57.778,3.4965,10.929,-180.5956,10.929,1.4717,1.0818,1.4465,1.0566,0.7107,0.6855,22.5535
2015,Q4,72000.0,49700.0,0.0,38492000.0,5994000.0,71000.0,102000.0,173000.0,-3000.0,5000000.0,5000000.0,-24922000.0,37498000.0,14.7718,14.7718,-7630000.0,7702000.0,,,,,,,,,,,,,,,,0.014118,0.330769,0.245614,0.090909,0.090909,-0.4,0.445183,0.289253,-0.165431,-0.010712,0.130719,0.339623,0.531915,0.531915,0.5,4.05814,-0.302039,-0.006119,0.055684,0.038438,0.133797,0.054911,0.054911,0.055684,0.696829,0.983759,1.014085,1.0,-0.014085,0.1238,0.0246,1.4779,0.2877,6.4899,6.4899,0.1539,0.1539,0.006893,0.0,0.006893,0.001983,0.008876,0.182381,0.001349,0.001368,0.0,0.008876,11.046512,14.651163,,0.0,0.13334,0.13334,0.0,0.0,0.86666,11.1857,-55.7539,11.1857,58.1395,-289.7907,58.1395,0.4176,0.4235,0.4353,0.4412,5.1176,5.1353,45.3059
2015,Q3,47000.0,47000.0,0.0,38729000.0,5988000.0,53000.0,100000.0,153000.0,17000.0,5000000.0,5000000.0,-24807000.0,37741000.0,13.6421,13.6421,-10988000.0,11035000.0,,,,,,,,,,,,,,,,-0.367377,-0.762053,-0.898273,-0.857143,-0.857143,-0.866667,1.873096,2.448163,-0.221011,0.005385,2.561224,1.262376,1.435185,1.435185,1.4,-0.580488,-0.125941,0.004748,0.03596,0.03596,0.117062,0.040551,0.040551,0.03596,0.664116,0.959449,0.886792,1.0,0.113208,0.118,0.0245,1.4554,0.3085,6.292,6.292,0.1527,0.1527,0.004244,0.0,0.004244,0.001309,0.005553,0.250277,0.000995,0.000883,0.0,0.005553,4.275,24.8,10.117647,0.0,0.132482,0.132482,0.0,0.0,0.867518,12.3762,-61.4035,12.3762,62.5,-310.0875,62.5,0.2994,0.2655,0.2034,0.1695,0.9718,0.8757,62.3446
2015,Q2,-108000.0,-108000.0,0.0,38546000.0,5988000.0,-202000.0,104000.0,-98000.0,16000.0,5000000.0,5000000.0,-19516000.0,37558000.0,14.7991,14.7991,-12733000.0,12625000.0,,,,,,,,,,,,,,,,-0.041298,0.662069,0.509709,-1.073022,-1.073022,-1.075758,0.227545,2.734203,-0.248308,-0.027674,-1.447489,-3.082474,-2.44,-2.44,-2.25,1.831643,0.164238,-0.009253,-0.083077,-0.083077,-0.075385,-0.155385,-0.155385,-0.083077,0.672308,1.066923,0.534653,1.0,0.465347,0.1331,0.0278,1.656,0.3215,6.3352,6.3352,0.1536,0.1536,-0.011058,0.0,-0.011058,-0.003555,-0.014613,0.291567,-0.004314,-0.002307,0.0,-0.014613,0.977901,7.38674,25.625,0.0,0.133127,0.133127,0.0,0.0,0.866873,5.5928,-21.83,5.5928,13.8122,-53.9116,13.8122,-1.1222,-0.6,-1.2111,-0.6889,2.2778,2.1889,70.1389
2015,Q1,75000.0,75000.0,0.0,38906000.0,6028000.0,97000.0,122000.0,219000.0,3000.0,5000000.0,5000000.0,-20412000.0,37878000.0,17.3042,17.3042,-10769000.0,10844000.0,,,,,,,,,,,,,,,,-0.064381,-0.384831,-0.574561,-0.671053,-0.671053,-0.6,-2.918288,,-0.216789,0.048627,0.684615,0.701754,0.136364,0.136364,-0.2,-1.818937,0.815199,-0.156455,0.056096,0.056096,0.1638,0.07255,0.07255,0.056096,0.664174,0.91623,0.773196,1.0,0.226804,0.1362,0.0283,1.681,0.3293,6.3949,6.3949,0.1521,0.1521,0.007642,0.0,0.007642,0.002517,0.010159,0.28715,0.002055,0.001589,0.0,0.010159,0.188302,1.378143,-164.333333,0.0,0.132003,0.132003,0.0,0.0,0.867997,7.1225,-29.0769,7.1225,2.5654,-10.4731,2.5654,0.4974,0.3846,0.4821,0.3692,-2.5282,-2.5436,55.6103
2014,Q4,66000.0,39900.0,0.0,46122000.0,12909000.0,57000.0,73000.0,130000.0,-17000.0,12000000.0,12000000.0,-20898000.0,45213000.0,15.305,15.305,-5908000.0,5974000.0,,,,,,,,,,,,,,,,-0.115811,-0.634831,-0.744395,-0.704036,-0.704036,-0.444444,0.018613,,-0.11355,-0.382865,-0.797823,-0.890595,-0.799392,-0.799392,-0.666667,4.055838,1.78399,-0.072309,0.051765,0.031294,0.101961,0.044706,0.044706,0.051765,0.699608,0.947451,1.157895,1.0,-0.157895,0.1248,0.0279,1.6916,0.452,6.4862,6.4862,0.3613,0.3613,0.006462,0.0,0.006462,0.002921,0.009382,0.163216,0.001249,0.001447,0.0,0.009382,0.456232,1.427212,,0.0,0.26541,0.26541,0.0,0.0,0.73459,14.3027,-24.9082,14.3027,5.7088,-9.942,5.7088,0.2317,0.2683,0.3008,0.3374,2.4472,2.5163,24.2846
2014,Q3,329000.0,329000.0,0.0,49717000.0,14865000.0,521000.0,122000.0,643000.0,34000.0,14000000.0,14000000.0,-14477000.0,48852000.0,15.8659,15.8659,7949000.0,-7620000.0,,,,,,,,,,,,,,,,0.408316,0.816384,1.977143,0.88,0.88,0.875,-1.548747,,0.190313,0.523599,3.217241,2.264563,-0.777552,-0.777552,-0.772727,-1.58982,-0.046703,-0.030461,0.159245,0.159245,0.311229,0.252178,0.252178,0.159245,0.445789,0.647628,0.631478,1.0,0.368522,0.1376,0.0285,1.7243,0.5877,7.6536,7.6536,0.4017,0.4017,0.021908,0.0,0.021908,0.012876,0.034784,,0.007197,0.004545,0.0,0.034784,0.409473,1.212041,-5.794118,0.0,0.28658,0.28658,0.0,0.0,0.71342,13.1455,-13.5934,13.1455,6.1974,-6.4086,6.1974,2.0038,1.2654,1.8731,1.1346,-0.7577,-0.8885,-29.3077
2014,Q2,1479000.0,-288400.0,0.0,51279000.0,15865000.0,-412000.0,122000.0,-290000.0,129000.0,15000000.0,15000000.0,-10653000.0,50414000.0,15.9108,15.9108,8759000.0,-7280000.0,,,,,,,,,,,,,,,,-0.034188,-1.651685,-2.681633,5.036735,5.036735,5.0,-0.217799,,0.205997,-0.051085,-1.814607,-2.807018,5.486842,5.486842,5.6,0.299611,,0.03229,1.090708,-0.212684,-0.213864,-0.303835,-0.303835,1.090708,0.609882,0.949853,-3.589806,1.0,4.589806,0.1214,0.026,1.5467,0.6191,7.566,7.566,0.4236,0.4236,0.132421,0.0,0.132421,0.081978,0.214399,,-0.007894,0.028337,0.0,0.214399,0.384798,0.922565,2.589147,0.0,0.297536,0.297536,0.0,0.0,0.702464,19.3299,-13.7281,19.3299,7.1259,-5.0608,7.1259,-1.6285,5.8458,-2.1383,5.336,1.3202,0.8103,-28.7747
2014,Q1,228000.0,159600.0,0.0,49675000.0,15915000.0,228000.0,128000.0,356000.0,48000.0,15000000.0,15000000.0,-9232000.0,48760000.0,15.3129,15.3129,,,,,,,,,,,,,,,,,,-0.025239,-0.240938,-0.123077,-0.123077,-0.123077,-0.090909,0.127193,,,-0.009015,0.0,0.022422,0.022422,0.022422,0.111111,-0.565144,,-0.045262,0.159552,0.111686,0.249125,0.159552,0.159552,0.159552,0.596221,0.840448,1.0,1.0,0.0,0.1156,0.0266,1.5901,0.4714,6.4027,6.4027,0.4443,0.4443,0.018443,0.0,0.018443,0.008694,0.027137,,0.004238,0.004238,0.0,0.027137,0.797933,2.097589,5.354167,0.0,0.307629,0.307629,0.0,0.0,0.692371,9.9272,-6.1099,9.9272,17.2216,-10.5993,17.2216,0.912,0.912,0.72,0.72,1.028,0.836,
