year,period,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
2016,Q2,48000.0,5000.0,146000.0,60000.0,-1883000.0,,-4937000.0,3088000.0,-1715000.0,-4937000.0,3088000.0,-1715000.0,-3564000.0,-3065000.0,150000.0,150000.0,-40000.0,408000.0,-100000.0,-50000.0,-5000000.0,-2000.0,-2000000.0,-180000.0,8090000.0,
2016,Q1,49000.0,,166000.0,61000.0,-67000.0,,-2217000.0,7231000.0,113000.0,-2217000.0,7231000.0,113000.0,5127000.0,1856000.0,172000.0,172000.0,-42000.0,-544000.0,-102000.0,-60000.0,-4000000.0,-4000.0,-3000000.0,-427000.0,11235000.0,
2015,Q4,52000.0,,170000.0,50000.0,638000.0,,-1107000.0,352000.0,870000.0,-1107000.0,352000.0,870000.0,115000.0,-885000.0,72000.0,72000.0,108000.0,448000.0,-642000.0,-50000.0,-4840000.0,3000.0,,-28000.0,5189000.0,
2015,Q3,60000.0,,,40000.0,-117000.0,,714000.0,4405000.0,172000.0,714000.0,4405000.0,172000.0,5291000.0,1211000.0,47000.0,47000.0,142000.0,-391000.0,-103000.0,,-5111000.0,-17000.0,,-3000.0,9533000.0,
2015,Q2,60000.0,,358000.0,44000.0,103000.0,,-1399000.0,93000.0,410000.0,-1399000.0,93000.0,410000.0,-896000.0,-1859000.0,-108000.0,-108000.0,196000.0,563000.0,-102000.0,115000.0,-10344000.0,-16000.0,,-1000.0,10453000.0,
2015,Q1,64000.0,,211000.0,58000.0,-643000.0,,-7021000.0,28000.0,-493000.0,-7021000.0,28000.0,-493000.0,-7486000.0,933000.0,75000.0,75000.0,-62000.0,-573000.0,-103000.0,15000.0,-7532000.0,-3000.0,-7000000.0,-278000.0,7563000.0,
2014,Q4,58000.0,69000.0,246000.0,15000.0,499000.0,,840000.0,2979000.0,602000.0,840000.0,2979000.0,602000.0,4421000.0,3240000.0,66000.0,66000.0,-46000.0,994000.0,-34000.0,10000.0,-7168000.0,17000.0,-2000000.0,-1360000.0,10130000.0,
2014,Q3,63000.0,,263000.0,59000.0,-100000.0,,-6203000.0,9224000.0,-197000.0,-6203000.0,9224000.0,-197000.0,2824000.0,-3480000.0,329000.0,329000.0,-755000.0,-927000.0,-115000.0,207000.0,-10000000.0,-34000.0,-1000000.0,-681000.0,19258000.0,
2014,Q2,62000.0,1000.0,252000.0,60000.0,-7000.0,,4104000.0,-3017000.0,334000.0,4104000.0,-3017000.0,334000.0,1421000.0,3731000.0,1479000.0,1479000.0,-1740000.0,488000.0,-115000.0,480000.0,-10964000.0,-129000.0,,,8076000.0,
2014,Q1,71000.0,,256000.0,57000.0,-7000.0,,-5067000.0,6761000.0,257000.0,-5067000.0,6761000.0,257000.0,1951000.0,-1761000.0,228000.0,228000.0,-92000.0,-611000.0,-695000.0,,-1000000.0,-48000.0,-2000000.0,,7809000.0,
2013,Q4,89000.0,1000.0,268000.0,44000.0,264000.0,12842000.0,-3523000.0,2594000.0,591000.0,-3523000.0,2594000.0,591000.0,-338000.0,-14269000.0,223000.0,223000.0,-29000.0,1022000.0,,,-9091000.0,-20000.0,-2000000.0,-1132000.0,11705000.0,
2013,Q3,117000.0,,279000.0,62000.0,117000.0,,7930000.0,-1036000.0,359000.0,7930000.0,-1036000.0,359000.0,7253000.0,9812000.0,175000.0,175000.0,-112000.0,-882000.0,,,-4931000.0,-23000.0,-1000000.0,,3918000.0,
2013,Q2,137000.0,,284000.0,63000.0,19000.0,,-2063000.0,-811000.0,427000.0,-2063000.0,-811000.0,427000.0,-2447000.0,,245000.0,245000.0,-37000.0,,,,-4567000.0,-1000.0,,,3757000.0,
2013,Q1,142000.0,,314000.0,67000.0,-144000.0,,-2699000.0,3938000.0,228000.0,-2699000.0,3938000.0,228000.0,1467000.0,-87000.0,260000.0,260000.0,-97000.0,-612000.0,,,-3898000.0,-7000.0,-2000000.0,,7843000.0,
2012,Q4,149000.0,,343000.0,82000.0,-1748000.0,,-2959000.0,-374000.0,-1500000.0,-2959000.0,-374000.0,-1500000.0,-4833000.0,-2406000.0,-825000.0,-825000.0,412000.0,947000.0,,430000.0,-8170000.0,-65000.0,-1500000.0,,7861000.0,
2012,Q3,145000.0,47000.0,375000.0,75000.0,-192000.0,,-1017000.0,7967000.0,210000.0,-1017000.0,7967000.0,210000.0,7160000.0,852000.0,293000.0,293000.0,-182000.0,-869000.0,,71000.0,-9503000.0,-12000.0,-1000000.0,,17484000.0,-2000.0
