,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,loansheldforsale,longtermdebt,mortgageservicingrights,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,restrictedcash,retainedearnings,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
"(2018, 'Q2')",-396000.0,34710000.0,0.0,258024000.0,16473000.0,0.0,1031752000.0,1231195000.0,5540000.0,25579000.0,39199000.0,4928000.0,25000.0,39620000.0,1359356000.0,297097000.0,297097000.0,322676000.0,1036680000.0,1359356000.0,0.0,32214000.0,-151000.0
"(2018, 'Q1')",-343000.0,47459000.0,0.0,256699000.0,18627000.0,0.0,1038457000.0,1247200000.0,5228000.0,25672000.0,37814000.0,4485000.0,26000.0,37615000.0,1362585000.0,293971000.0,293971000.0,319643000.0,1042942000.0,1362585000.0,0.0,6218000.0,
2017,-233000.0,53721000.0,0.0,255033000.0,17005000.0,26740000.0,1072996000.0,1253541000.0,1284000.0,27082000.0,36861000.0,5304000.0,301000.0,35556000.0,1395738000.0,290356000.0,290356000.0,317438000.0,1078300000.0,1395738000.0,0.0,6285000.0,0.0
"(2017, 'Q3')",-170000.0,43086000.0,0.0,250119000.0,12930000.0,,857127000.0,1053285000.0,1921000.0,10685000.0,38810000.0,4777000.0,1075000.0,34875000.0,1157413000.0,284824000.0,284824000.0,295509000.0,861904000.0,1157413000.0,0.0,6306000.0,
"(2017, 'Q2')",-131000.0,42040000.0,0.0,248985000.0,16067000.0,,850315000.0,1044745000.0,1969000.0,10626000.0,34969000.0,3447000.0,29000.0,32880000.0,1146122000.0,281734000.0,281734000.0,292360000.0,853762000.0,1146122000.0,0.0,6303000.0,
"(2017, 'Q1')",-140000.0,29840000.0,0.0,245617000.0,13695000.0,,650965000.0,856756000.0,1552000.0,10563000.0,33300000.0,4003000.0,714000.0,31104000.0,942112000.0,276581000.0,276581000.0,287144000.0,654968000.0,942112000.0,0.0,6255000.0,
2016,0.0,35723000.0,0.0,245061000.0,12481000.0,50000.0,670110000.0,869091000.0,1289000.0,10431000.0,31278000.0,4569000.0,1185000.0,27231000.0,957402000.0,272292000.0,272292000.0,282723000.0,674679000.0,957402000.0,0.0,6323000.0,
"(2016, 'Q3')",,23318000.0,0.0,244822000.0,9147000.0,,535311000.0,755627000.0,915000.0,10382000.0,30190000.0,2914000.0,35000.0,25803000.0,819232000.0,270625000.0,270625000.0,281007000.0,538225000.0,819232000.0,0.0,,
"(2016, 'Q2')",,68359000.0,0.0,244359000.0,6949000.0,,448310000.0,630534000.0,760000.0,10274000.0,22771000.0,4146000.0,382000.0,22666000.0,729755000.0,267025000.0,267025000.0,277299000.0,452456000.0,729755000.0,0.0,,
"(2016, 'Q1')",,23893000.0,0.0,212135000.0,8108000.0,,396528000.0,584298000.0,1155000.0,10173000.0,24163000.0,3952000.0,1067000.0,19896000.0,642684000.0,232031000.0,232031000.0,242204000.0,400480000.0,642684000.0,0.0,,
2015,,30795000.0,0.0,211881000.0,5444000.0,,369539000.0,554877000.0,58000.0,10011000.0,18592000.0,2453000.0,39000.0,15921000.0,609805000.0,227802000.0,227802000.0,237813000.0,371992000.0,609805000.0,0.0,,
"(2015, 'Q3')",,28507000.0,0.0,211747000.0,6458000.0,,328634000.0,510594000.0,121000.0,9832000.0,19918000.0,3855000.0,,11530000.0,565598000.0,223277000.0,223277000.0,233109000.0,332489000.0,565598000.0,0.0,,
"(2015, 'Q2')",,36240000.0,0.0,211513000.0,3538000.0,,270153000.0,444408000.0,121000.0,9658000.0,17531000.0,3235000.0,,7279000.0,501838000.0,218792000.0,218792000.0,228450000.0,273388000.0,501838000.0,0.0,,
"(2015, 'Q1')",,27104000.0,0.0,211015000.0,1737000.0,,98014000.0,285834000.0,122000.0,9547000.0,11542000.0,3174000.0,,4589000.0,326339000.0,215604000.0,215604000.0,225151000.0,101188000.0,326339000.0,0.0,,
2014,,53099000.0,0.0,159063000.0,1340000.0,,99928000.0,211159000.0,290000.0,9473000.0,6870000.0,1550000.0,,2744000.0,272758000.0,161807000.0,161807000.0,171280000.0,101478000.0,272758000.0,0.0,,
