year,period,nopat,normalizednopat,netnonopex,investedcapital,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,investedcapitalincreasedecrease,freecashflow,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,revenuegrowth,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,nopatmargin,normalizednopatmargin,ebitdamargin,ebitmargin,pretaxincomemargin,profitmargin,sgaextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,investedcapitalturnover,assetturnover,faturnover,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex
2018,Q2,8213000.0,8213000.0,0.0,1354428000.0,1031752000.0,8215000.0,1534000.0,9749000.0,-3595000.0,1031752000.0,1031752000.0,997017000.0,1354428000.0,11.221,11.221,211753000.0,-203540000.0,,,,,,,,,,,,,,,,0.146659,0.128356,0.148951,0.156435,0.156435,0.027778,1.11296,0.503517,0.185313,0.002306,0.008691,-0.014752,-0.013098,-0.013098,-0.026316,1.241727,0.505574,-0.002704,0.555796,0.555796,0.659741,0.555932,0.555932,0.555796,0.0,0.444068,0.999757,1.0,0.000243,0.0454,0.0452,15.0832,3.0601,4.0737,4.0737,3.1975,3.1975,0.025209,0.0,0.025209,0.077142,0.102351,-0.144859,0.025131,0.025125,0.058866,0.096326,0.825407,0.825407,,0.0,0.761762,0.761762,0.0,0.018885,0.219352,27.4592,26.5348,27.4592,33.4019,32.2774,33.4019,0.6418,0.6417,0.9227,0.9226,0.0525,0.3334,-15.9028
2018,Q1,8322000.0,8322000.0,0.0,1358100000.0,1038457000.0,8338000.0,1327000.0,9665000.0,-4807000.0,1038457000.0,1038457000.0,990972000.0,1358100000.0,11.1373,11.1373,419991000.0,-411669000.0,,,,,,,,,,,,,,,,0.07873,-0.017385,-0.041499,-0.043228,-0.043228,-0.173913,-0.771829,-0.416232,0.4477,0.144287,0.085955,0.249513,0.253691,0.253691,0.225806,0.524461,0.04477,-0.023255,0.564471,0.564471,0.655565,0.565557,0.565557,0.564471,0.0,0.434443,0.998081,1.0,0.001919,0.0477,0.0475,16.1475,2.7842,3.7982,3.7982,3.2488,3.2488,0.026913,0.0,0.026913,0.074932,0.101845,-0.339876,0.026866,0.026814,0.059716,0.095763,0.817651,0.817651,,0.0,0.76464,0.76464,0.0,0.018903,0.216458,28.4782,27.176,28.4782,34.8733,33.2787,34.8733,0.6674,0.6661,1.0521,1.0508,-0.2225,0.1622,-32.9493
2017,Q4,6638000.0,6638000.0,0.0,1390434000.0,1072996000.0,6673000.0,2227000.0,8900000.0,-5221000.0,1072996000.0,1072996000.0,1018974000.0,1390434000.0,12.4517,12.4517,437601000.0,-430963000.0,,,,,,,,,,,,,,,,0.098661,0.063321,0.083807,0.077073,0.077073,0.0,-1.462244,-0.270086,0.459263,-0.094334,-0.038877,-0.14041,-0.13971,-0.13971,-0.184211,-2.252088,-0.311504,0.206308,0.515213,0.515213,0.690779,0.517929,0.517929,0.515213,0.0,0.482071,0.994755,1.0,0.005245,0.0458,0.0456,41.7132,2.9044,3.9208,3.9208,3.3802,3.3802,0.023598,0.0,0.023598,0.068538,0.092137,-0.34776,0.023623,0.023499,0.062505,0.086378,0.708629,0.708629,,0.0,0.771699,0.771699,0.0,0.019477,0.208824,29.288,27.8135,29.288,35.5839,33.7923,35.5839,0.5863,0.5832,1.045,1.0419,-0.5136,-0.0549,-37.8636
2017,Q3,7716000.0,7716000.0,0.0,1152636000.0,857127000.0,7763000.0,1497000.0,9260000.0,-3473000.0,857127000.0,857127000.0,812966000.0,1152636000.0,11.2816,11.2816,336318000.0,-328602000.0,,,,,,,,,,,,,,,,0.17512,-0.039917,-0.017963,-0.021681,-0.021681,-0.095238,1.335489,-0.332055,0.411994,0.103903,0.071759,0.085734,0.086455,0.086455,0.055556,1.784838,0.198461,0.008717,0.542387,0.542387,0.650921,0.545691,0.545691,0.542387,0.0,0.454309,0.993946,1.0,0.006054,0.0533,0.0531,37.0289,2.4153,3.4286,3.4286,2.9005,2.9005,0.028928,0.0,0.028928,0.069869,0.098797,-0.311474,0.028991,0.028816,0.036542,0.095187,0.683514,0.683514,,0.0,0.743623,0.743623,0.0,0.00927,0.247107,23.7392,22.5161,23.7392,28.8799,27.392,28.8799,0.7205,0.7161,1.0428,1.0384,0.4333,0.7556,-30.4967
2017,Q2,7102000.0,7102000.0,0.0,1142675000.0,850315000.0,7150000.0,1490000.0,8640000.0,-8449000.0,850315000.0,850315000.0,808246000.0,1142675000.0,12.2351,12.2351,417066000.0,-409964000.0,,,,,,,,,,,,,,,,0.188509,0.001971,0.038188,0.035126,0.035126,-0.142857,-6.031915,-0.862245,0.574781,-0.057072,-0.121594,-0.178066,-0.18349,-0.18349,-0.217391,-2.791587,-0.410367,0.218062,0.551098,0.551098,0.670443,0.554823,0.554823,0.551098,0.0,0.445177,0.993287,1.0,0.006713,0.0539,0.0537,36.9271,2.2797,3.293,3.293,2.9085,2.9085,0.029726,0.0,0.029726,0.067765,0.097491,-0.414515,0.029806,0.029606,0.036689,0.093914,0.64603,0.64603,,0.0,0.744144,0.744144,0.0,0.009299,0.246557,23.302,22.1492,23.302,28.4863,27.0769,28.4863,0.7694,0.7642,1.6786,1.6734,-0.6402,0.269,-44.1154
2017,Q1,8698000.0,8698000.0,0.0,938109000.0,650965000.0,8699000.0,1137000.0,9836000.0,0.0,650965000.0,650965000.0,620411000.0,938109000.0,14.7186,14.7186,299377000.0,-290679000.0,,,,,,,,,,,,,,,,0.192999,0.078036,0.092839,0.092302,0.092302,-0.08,0.494686,0.055022,0.468705,0.16543,0.175149,0.412863,0.411326,0.411326,0.483871,-1.124061,0.143343,-0.015453,0.636424,0.636424,0.71969,0.636497,0.636497,0.636424,0.0,0.363503,0.999885,1.0,0.000115,0.0613,0.061,35.717,1.9788,2.9939,2.9939,2.267,2.267,0.039023,0.0,0.039023,0.07722,0.116243,-0.342163,0.038832,0.038827,0.039173,0.11169,0.608295,0.608295,,0.0,0.693912,0.693912,0.0,0.01126,0.294828,17.8474,17.0097,17.8474,21.9854,20.9535,21.9854,1.137,1.1368,1.137,1.1368,-0.2051,-0.2051,-37.9923
2016,Q4,6163000.0,4309900.0,0.0,952833000.0,670110000.0,6157000.0,2213000.0,8370000.0,-2443000.0,670110000.0,670110000.0,633202000.0,952833000.0,15.6024,15.6024,345481000.0,-339318000.0,231586805.9,875219805.9,0.8505,0.8505,5.0201,8.3197,0.080888,0.120197,0.9185,18.9721,24.4735,30.275,30.3117,,,-0.005259,-0.092978,-0.264485,-0.265698,-0.265698,-0.425926,382.242424,,0.568832,-0.031307,-0.132193,-0.221126,-0.218588,-0.218588,-0.261905,1.908745,-0.375495,0.167233,0.525539,0.367519,0.713738,0.525028,0.525028,0.525539,0.0,0.474972,1.000975,1.0,-0.000975,0.0591,0.0589,68.4959,1.9973,3.0108,3.0108,2.3702,2.3702,0.031079,0.0,0.031079,0.062072,0.093151,-0.405858,0.030909,0.030939,0.039271,0.089493,0.593752,0.593752,,0.0,0.703282,0.703282,0.0,0.010947,0.285771,18.738,17.706,18.738,23.2081,21.9298,23.2081,0.8121,0.8128,1.1343,1.1351,1.668,1.9902,-44.7531
2016,Q3,7887000.0,7887000.0,0.0,816318000.0,535311000.0,7905000.0,1740000.0,9645000.0,-1932000.0,535311000.0,535311000.0,511958000.0,816318000.0,14.4994,14.4994,254575000.0,-246688000.0,254771598.9,777111598.9,0.9414,0.9414,5.5153,8.5086,0.079283,0.117529,0.952,16.8228,21.221,24.969,24.9843,,,0.106986,0.136176,-0.00353,-0.004795,-0.004795,-0.16,-1.448883,,0.453188,0.116481,0.11852,0.147815,0.149541,0.149541,0.0,-15.450355,-0.120571,0.125011,0.651495,0.651495,0.796712,0.652982,0.652982,0.651495,0.0,0.347018,0.997723,1.0,0.002277,0.067,0.0667,89.1776,1.6804,2.6936,2.6936,1.905,1.905,0.043678,0.0,0.043678,0.073398,0.117075,,0.043563,0.043464,0.039318,0.112472,0.524016,0.524016,,0.0,0.655763,0.655763,0.0,0.012718,0.331519,14.618,13.9803,14.618,17.2104,16.4596,17.2104,1.1389,1.1363,1.4172,1.4146,-2.005,-1.7267,-35.5407
2016,Q2,6861000.0,6861000.0,0.0,725609000.0,448310000.0,6887000.0,1736000.0,8623000.0,-2623000.0,448310000.0,448310000.0,379569000.0,725609000.0,16.2928,16.2928,227006000.0,-220145000.0,227317177.6,617160177.6,0.8513,0.8513,5.0488,7.5939,0.091615,0.131684,0.8505,13.7074,17.4024,19.8119,19.8176,,,0.23076,0.426704,0.213568,0.212405,0.212405,0.166667,0.853583,,0.455284,-0.053509,-0.05491,-0.134799,-0.13839,-0.13839,-0.16,0.727536,0.284323,0.136015,0.632758,0.632758,0.79526,0.635156,0.635156,0.632758,0.0,0.364844,0.996225,1.0,0.003775,0.0736,0.0731,102.2111,1.4206,2.4352,2.4352,1.6167,1.6167,0.046543,0.0,0.046543,0.066119,0.112662,,0.046439,0.046264,0.039411,0.108222,0.486128,0.486128,,0.0,0.61784,0.61784,0.0,0.014159,0.368001,12.6413,10.7029,12.6413,14.3957,12.1883,14.3957,1.1359,1.1316,1.5685,1.5642,-0.1395,0.2931,-36.3096
2016,Q1,7963000.0,5572000.0,0.0,638732000.0,396528000.0,7960000.0,1164000.0,9124000.0,-2119000.0,396528000.0,396528000.0,371568000.0,638732000.0,14.539,14.539,315567000.0,-307604000.0,178583470.4,560324470.4,0.7697,0.7697,4.154,6.2084,0.090027,0.161073,0.8772,13.0335,17.0389,18.7155,18.7149,,,0.898889,1.350335,1.086501,1.087287,1.087287,0.785714,-5.123506,,0.976489,-0.028247,-0.01127,-0.049098,-0.051233,-0.051233,-0.074074,-95.090909,,0.051667,0.695094,0.486383,0.796439,0.694832,0.694832,0.695094,0.0,0.305168,1.000377,1.0,-0.000377,0.0894,0.0887,67.3312,1.0582,2.0734,2.0734,1.6372,1.6372,0.062133,0.0,0.062133,0.065747,0.127881,,0.061653,0.061676,0.042195,0.122485,0.467836,0.467836,,0.0,0.620805,0.620805,0.0,0.015927,0.363268,12.058,11.299,12.058,13.2441,12.4104,13.2441,1.5961,1.5968,2.0211,2.0217,-0.6226,-0.1977,-61.6812
