year,period,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,saleofinvestments,saleofplantpropertyandequipment
2018,Q2,1502000.0,,10996000.0,32000.0,400000.0,33000.0,29285000.0,-14433000.0,1011000.0,672000.0,-14433000.0,1011000.0,672000.0,-12750000.0,8213000.0,8213000.0,-9475000.0,,229000.0,-6411000.0,-44658000.0,-362000.0,-37340000.0,41845000.0,3957000.0
2018,Q1,1305000.0,,13643000.0,22000.0,-3323000.0,52000.0,13315000.0,-43321000.0,39564000.0,-2780000.0,-43321000.0,39564000.0,-2780000.0,-6537000.0,8322000.0,8322000.0,-9106000.0,-83000.0,185000.0,-7673000.0,-22218000.0,,-48932000.0,56790000.0,4807000.0
2017,Q4,2203000.0,,10422000.0,24000.0,-4503000.0,3915000.0,796534000.0,228098000.0,-212391000.0,-5846000.0,228098000.0,-212391000.0,-5846000.0,9861000.0,6638000.0,6638000.0,-10208000.0,11491000.0,224000.0,-5750000.0,-247933000.0,,-578092000.0,30097000.0,5221000.0
2017,Q3,1473000.0,,9244000.0,24000.0,4495000.0,50000.0,38245000.0,-176000.0,-2401000.0,4669000.0,-176000.0,-2401000.0,4669000.0,2092000.0,7716000.0,7716000.0,-9039000.0,-174000.0,55000.0,-5662000.0,-34705000.0,,-32635000.0,28776000.0,3473000.0
2017,Q2,1467000.0,,9303000.0,23000.0,-4809000.0,40000.0,292307000.0,195255000.0,-177791000.0,-5949000.0,195255000.0,-177791000.0,-5949000.0,11515000.0,7102000.0,7102000.0,-9732000.0,-2352000.0,2708000.0,-5263000.0,-211872000.0,,-89477000.0,22924000.0,8449000.0
2017,Q1,1128000.0,,6245000.0,9000.0,-2287000.0,33000.0,34000.0,-24758000.0,19973000.0,-1569000.0,-24758000.0,19973000.0,-1569000.0,-6354000.0,8698000.0,8698000.0,-9117000.0,0.0,68000.0,-4693000.0,-5572000.0,,-20132000.0,25477000.0,0.0
2016,Q4,2210000.0,,5878000.0,3000.0,1861000.0,-288000.0,228846000.0,123717000.0,-122901000.0,12647000.0,123717000.0,-122809000.0,12647000.0,13555000.0,6164000.0,6164000.0,2409000.0,-6080000.0,136000.0,-4668000.0,-138405000.0,,-94093000.0,12925000.0,2443000.0
2016,Q3,1734000.0,,4857000.0,6000.0,-6412000.0,36000.0,235675000.0,82986000.0,-114457000.0,-13917000.0,82986000.0,-114457000.0,-13917000.0,-45388000.0,7886000.0,7886000.0,-17131000.0,,134000.0,-4660000.0,-220189000.0,478000.0,-148065000.0,103666000.0,1454000.0
2016,Q2,1730000.0,,4711000.0,6000.0,2390000.0,31964000.0,139058000.0,81505000.0,-36878000.0,-846000.0,81505000.0,-36878000.0,-846000.0,43781000.0,6861000.0,6861000.0,-11833000.0,,47000.0,-3990000.0,-52123000.0,-238000.0,-85527000.0,12575000.0,2861000.0
2016,Q1,1159000.0,0.0,3241000.0,5000.0,-2982000.0,0.0,33459000.0,22360000.0,-25129000.0,-3105000.0,22360000.0,-25129000.0,-3105000.0,-5874000.0,7963000.0,7963000.0,-9250000.0,,48000.0,-3826000.0,-38316000.0,-240000.0,-7273000.0,11020000.0,2359000.0
2015,Q4,855000.0,,3352000.0,2000.0,686000.0,-121000.0,110413000.0,37476000.0,-35182000.0,33000.0,37476000.0,-35182000.0,33000.0,2327000.0,8393000.0,8393000.0,-9903000.0,-5059000.0,47000.0,-3823000.0,-47071000.0,234000.0,-63934000.0,9960000.0,1648000.0
2015,Q3,556000.0,,3273000.0,,-5100000.0,,150881000.0,54981000.0,-56990000.0,-5683000.0,54981000.0,-56990000.0,-5683000.0,-7692000.0,7925000.0,7925000.0,-9064000.0,,48000.0,-3500000.0,-66847000.0,-95000.0,-92400000.0,9180000.0,724000.0
2015,Q2,369000.0,,1647000.0,,-4689000.0,,189054000.0,169281000.0,-154388000.0,-5778000.0,169281000.0,-154388000.0,-5778000.0,9115000.0,5659000.0,5659000.0,-7117000.0,,47000.0,-2858000.0,-159650000.0,-97000.0,-16915000.0,4991000.0,321000.0
2015,Q1,66000.0,0.0,897000.0,1000.0,674000.0,51529000.0,,47719000.0,-74487000.0,753000.0,47719000.0,-74487000.0,753000.0,-26015000.0,3815000.0,3815000.0,-3803000.0,,20000.0,-1896000.0,-76770000.0,-42000.0,-1914000.0,2269000.0,36000.0
