date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,1.01,1,1.26,0.8501,1.25,5512877.0,1.01,0.0,1.26,0.8501,1.25,1.0,5512877.0
2018-06-30,1.25,1,1.36,1.12,1.34,1361139.0,1.25,0.0,1.36,1.12,1.34,1.0,1361139.0
2018-03-31,1.35,1,1.87,1.33,1.6,1327008.0,1.35,0.0,1.87,1.33,1.6,1.0,1327008.0
2017-12-31,1.6,1,2.12,1.3,2.06,3074955.0,1.6,0.0,2.12,1.3,2.06,1.0,3074955.0
2017-09-30,2.08,1,2.79,1.85,2.6,4696931.0,2.08,0.0,2.79,1.85,2.6,1.0,4696931.0
2017-06-30,2.6,1,4.12,2.11,2.28,17296194.0,2.6,0.0,4.12,2.11,2.28,1.0,17296194.0
2017-03-31,2.3,1,2.65,1.32,1.39,4066942.0,2.3,0.0,2.65,1.32,1.39,1.0,4066942.0
2016-12-31,1.4,1,1.69,0.7,1.16,3775815.0,1.4,0.0,1.69,0.7,1.16,1.0,3775815.0
2016-09-30,1.16,1,1.9,0.9101,1.58,4919707.0,1.16,0.0,1.9,0.9101,1.58,1.0,4919707.0
2016-06-30,1.52,1,1.98,1.18,1.87,1483969.0,1.52,0.0,1.98,1.18,1.87,1.0,1483969.0
2016-03-31,1.92,1,2.65,1.26,2.14,2986989.0,1.92,0.0,2.65,1.26,2.14,1.0,2986989.0
2015-12-31,2.25,1,3.32,2.148,2.73,1739698.0,2.25,0.0,3.32,2.148,2.73,1.0,1739698.0
2015-09-30,2.7,1,4.5,2.456,3.872,2543857.0,2.7,0.0,4.5,2.456,3.872,1.0,2543857.0
2015-06-30,3.72,1,4.7882,3.55,4.23,2640741.0,3.72,0.0,4.7882,3.55,4.23,1.0,2640741.0
2015-03-31,4.2,1,5.16,3.9,4.9959,964172.0,4.2,0.0,5.16,3.9,4.9959,1.0,964172.0
2014-12-31,5.16,1,5.45,4.53,4.75,864772.0,5.16,0.0,5.45,4.53,4.75,1.0,864772.0
2014-09-30,4.92,1,5.02,4.15,4.83,1244229.0,4.92,0.0,5.02,4.15,4.83,1.0,1244229.0
2014-06-30,4.77,1,5.5,3.92,5.03,4394800.0,4.77,0.0,5.5,3.92,5.03,1.0,4394800.0
2014-03-31,5.0,1,5.9999,4.2803,4.75,4224900.0,5.0,0.0,5.9999,4.2803,4.75,1.0,4224900.0
2013-12-31,4.77,1,8.45,4.72,6.56,4064800.0,4.77,0.0,8.45,4.72,6.56,1.0,4064800.0
2013-09-30,6.56,1,8.5,5.484,8.01,2057800.0,6.56,0.0,8.5,5.484,8.01,1.0,2057800.0
2013-06-30,7.96,1,8.575,4.0,4.0,5184000.0,7.96,0.0,8.575,4.0,4.0,1.0,5184000.0
2013-03-31,4.0,1,4.35,3.95,4.0,9000.0,4.0,0.0,4.35,3.95,4.0,1.0,9000.0
2012-12-31,4.0,1,5.0,3.5,3.75,14800.0,4.0,0.0,5.0,3.5,3.75,1.0,14800.0
2012-09-30,3.75,1,5.0,3.75,4.1,8000.0,3.75,0.0,5.0,3.75,4.1,1.0,8000.0
2012-06-30,4.1,1,5.0,3.5,4.25,10400.0,4.1,0.0,5.0,3.5,4.25,1.0,10400.0
2012-03-31,4.25,1,4.9,3.0,4.9,10800.0,4.25,0.0,4.9,3.0,4.9,1.0,10800.0
2011-12-31,4.9,1,4.9,3.35,3.35,4900.0,4.9,0.0,4.9,3.35,3.35,1.0,4900.0
2011-09-30,3.35,1,5.0,1.1,1.1,8400.0,3.35,0.0,5.0,1.1,1.1,1.0,8400.0
2011-06-30,1.1,1,5.25,0.4,5.25,2200.0,1.1,0.0,5.25,0.4,5.25,1.0,2200.0
2011-03-31,5.25,1,5.25,0.3,5.25,9100.0,5.25,0.0,5.25,0.3,5.25,1.0,9100.0
2010-12-31,5.25,1,5.25,5.25,5.25,0.0,5.25,0.0,5.25,5.25,5.25,1.0,0.0
2010-09-30,5.25,1,5.4,5.25,5.4,200.0,5.25,0.0,5.4,5.25,5.4,1.0,200.0
2010-06-30,5.4,1,5.4,0.25,4.75,700.0,5.4,0.0,5.4,0.25,4.75,1.0,700.0
2010-03-31,4.75,1,5.4,1.01,5.4,2800.0,4.75,0.0,5.4,1.01,5.4,1.0,2800.0
2009-12-31,5.4,1,5.4,4.0,5.25,4400.0,5.4,0.0,5.4,4.0,5.25,1.0,4400.0
2009-09-30,5.25,1,5.25,5.25,5.25,200.0,5.25,0.0,5.25,5.25,5.25,1.0,200.0
2009-06-30,5.25,1,5.75,2.65,5.2,3200.0,5.25,0.0,5.75,2.65,5.2,1.0,3200.0
2009-03-31,5.24,1,5.25,0.05,5.25,1300.0,5.24,0.0,5.25,0.05,5.25,1.0,1300.0
2008-12-31,5.25,1,5.25,5.25,5.25,300.0,5.25,0.0,5.25,5.25,5.25,1.0,300.0
