year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q2,0.093965,47708477.4,0.071985,2706568000.0,1.0051,182898000.0,-135189522.6,4647477.4,-738710000.0,54348000.0,115207000.0,169555000.0,88634000.0,165490000.0,2022461000.0,1347832000.0,1530007000.0,855378000.0,-738710000.0,4975285000.0,19.995,10.2493,12618041610.0,11879331610.0,3.6624,7.1449,4.8007,68.6655,0.0,0.014563,4.3891,4.5197,17.4812,47.6649,63.083,14.0513,2193.9322,-0.05807,-0.369191,-0.157407,-0.241243,-0.242424,-0.022045,0.529847,0.072473,-0.00892,-0.044884,-0.207501,-0.122999,-0.198328,-0.193548,0.144112,0.620945,-0.009011,0.644687,0.255832,0.086181,0.082003,0.064972,0.355313,0.256814,0.090092,0.558506,0.835276,0.948572,0.164724,0.5208,6.0027,,3.0759,10.5244,60.8064,0.0,34.6813,26.1251,-0.2231,1.4993,1.4222,0.2483,0.4441,0.072349,-0.006188,0.078536,-0.017524,0.054825,0.002071,0.042706,0.033837,0.0,0.054825,0.0,2.008538,2.478518,0.135596,0.171925,0.307521,0.0,0.0,0.692479,2.2515,-1.0871,1.2587,8.1248,-3.9228,4.5423,4.1375,5.9048,5.1835,-3.7251,-4.4465,23.868,14.238,-14.6881,2.1861,2.0565,0.062963,0.769478,0.512805,47930660.9,0.07232,0.077785
2018,Q1,0.113996,54399579.0,0.081348,2731179000.0,1.0181,411048000.0,-356648421.0,685579.0,-655078000.0,68578000.0,108945000.0,177523000.0,113075000.0,186323000.0,997876000.0,329131000.0,668745000.0,0.0,-655078000.0,4055002000.0,19.6871,9.8493,12208843920.0,11553765920.0,3.6054,7.2066,4.7479,61.832,0.0,0.016173,4.2303,4.4931,16.7446,41.1116,58.4506,13.5867,,-0.093253,-0.344692,-0.275166,-0.279809,-0.27907,0.346324,-10.414618,0.177166,-0.00999,0.231652,0.719264,1.060565,1.028934,1.066667,-0.027507,0.243308,-0.005344,0.648846,0.265465,0.102519,0.102551,0.080323,0.351154,0.230865,0.097297,0.546327,0.793494,0.987095,0.206506,0.5629,5.8085,,3.0798,10.5573,62.8395,0.0,34.5732,28.2663,-0.2398,1.375,1.3573,0.0,0.1975,0.082823,-0.00086,0.083683,-0.020068,0.062755,-0.084485,0.057722,0.045211,0.0,0.062755,0.0,1.562466,1.698076,0.164919,0.0,0.164919,0.0,0.0,0.835081,0.9692,-0.9494,0.0,3.3832,-3.314,0.0,6.1115,14.1398,11.2164,-9.1746,-12.098,39.5897,16.2753,-73.5358,1.2911,1.1464,0.072459,0.388063,0.127995,66228989.9,0.099038,0.101227
2017,Q4,0.096325,26400321.6,0.039084,2745854000.0,1.0024,497726000.0,-471325678.4,-73678.4,-616615000.0,39888000.0,104246000.0,144134000.0,106852000.0,177616000.0,889552000.0,889552000.0,662913000.0,662913000.0,-616615000.0,4025382000.0,19.4688,9.626,11233123440.0,10616508440.0,3.3407,6.7567,4.4879,51.4523,0.0,0.019435,3.8664,4.2415,14.9896,33.4794,48.6131,13.2543,,-0.329616,-0.684216,-0.706583,-0.711106,-0.711538,0.071756,-9.336528,0.221396,0.087018,-0.234698,-0.538397,-0.562437,-0.5625,-0.571429,-0.164416,-0.423962,0.091419,0.659671,0.213383,0.058352,0.059052,0.039193,0.340329,0.216315,0.088343,0.601319,0.669804,0.9909,0.330196,0.5549,6.0309,,3.0092,11.1991,60.5213,0.0,32.5919,27.9294,-0.2418,1.3697,1.3572,0.1972,0.1972,0.039178,9.3e-05,0.039086,-0.009452,0.029726,-0.11187,0.032766,0.021747,0.0,0.029726,0.0,1.654417,1.847799,0.0,0.164683,0.164683,0.0,0.0,0.835317,0.936,-0.8706,0.936,3.0355,-2.8235,3.0355,5.8275,8.2243,5.4434,-13.807,-16.588,40.7095,18.6781,-97.1806,2.9478,2.5693,0.070961,0.355395,0.355395,60949477.6,0.090232,0.058515
2017,Q3,0.063921,60334951.3,0.097095,2515856000.0,1.0532,391331000.0,-330996048.7,-177048.7,-756799000.0,86412000.0,101924000.0,188336000.0,119740000.0,113476000.0,865477000.0,865477000.0,657131000.0,657131000.0,-756799000.0,3929786000.0,19.082,10.1315,8355723600.0,7598924600.0,2.5532,4.8088,3.4194,29.4749,0.0,0.033927,3.0204,3.1097,9.7531,18.831,26.9444,9.6462,,-0.066349,-0.232187,-0.20668,-0.203789,-0.186047,-0.061771,-3.182146,0.184197,0.025695,0.046265,0.002971,0.065593,0.066253,0.060606,0.051898,-0.151115,-0.003096,0.637161,0.303084,0.138199,0.13906,0.09738,0.362839,0.200391,0.092092,0.498961,0.702574,0.996725,0.297426,0.5514,6.4405,,2.9062,10.4428,56.6725,0.0,34.9523,21.7202,-0.2796,1.3759,1.3714,0.2008,0.2008,0.102262,0.000197,0.102065,-0.02854,0.073722,-0.047112,0.076684,0.053699,0.0,0.073722,0.0,1.360053,1.973367,0.0,0.167218,0.167218,0.0,0.0,0.832782,0.8434,-0.9713,0.8434,2.3301,-2.6835,2.3301,4.6537,18.2073,12.7128,-7.0223,-12.5169,49.7874,24.5577,-69.7421,3.0113,2.6791,0.046437,0.354174,0.354174,60568205.9,0.097471,0.138605
2017,Q2,0.058897,56621020.1,0.09346,2523670000.0,1.0233,344165000.0,-287543979.9,-130979.9,-763502000.0,86156000.0,93852000.0,180008000.0,97005000.0,156172000.0,839293000.0,839293000.0,651400000.0,651400000.0,-763502000.0,3938572000.0,18.9529,10.0699,8638996590.0,7875494590.0,2.6281,4.9464,3.5901,28.8955,0.0,0.034607,3.1207,3.2728,9.9374,18.3295,26.4496,9.8037,,-0.101523,-0.220977,-0.236858,-0.22928,-0.214286,-0.080763,-10.737156,0.15791,0.009227,-0.08056,-0.176722,-0.245567,-0.239076,-0.232558,0.575068,-8.202914,0.087727,0.645644,0.297125,0.141282,0.142211,0.093676,0.354356,0.203882,0.088099,0.504363,0.661515,0.995763,0.338485,0.5495,6.3302,,2.9294,10.355,57.6602,0.0,35.2486,22.4116,-0.2694,1.3606,1.3548,0.1982,0.1982,0.095635,0.000151,0.095484,-0.025726,0.069909,-0.019736,0.07814,0.051472,0.0,0.069909,0.0,1.176353,2.315685,0.0,0.16539,0.16539,0.0,0.0,0.83461,0.8219,-0.9634,0.8219,2.1877,-2.5642,2.1877,4.8802,18.5441,12.187,-2.3351,-8.6922,48.3498,27.4705,-61.8907,3.1032,2.7038,0.064901,0.348788,0.348788,58586380.0,0.096704,0.141609
2017,Q1,0.057366,75051116.5,0.125024,2320131000.0,1.0466,106296000.0,-31244883.5,468116.5,-938415000.0,104650000.0,91130000.0,195780000.0,91181000.0,171516000.0,1016585000.0,1016585000.0,645719000.0,645719000.0,-938415000.0,3904265000.0,18.6021,10.7732,10457708700.0,9519293700.0,3.2093,5.5415,4.4077,33.109,0.0,0.030203,4.1029,4.0121,11.711,20.9629,30.1859,11.5658,45.5339,-0.017425,-0.081454,-0.010792,-0.003674,0.02381,-0.254764,0.494216,0.048014,-0.025695,-0.089404,-0.171509,-0.165871,-0.186122,-0.173077,-0.225836,-1.552641,0.032028,0.657289,0.326141,0.175471,0.174332,0.124244,0.342711,0.191588,0.086894,0.481818,0.712506,1.000258,0.287494,0.5496,6.1957,,2.9752,10.6492,58.9121,0.0,34.2749,24.6371,-0.2885,1.3549,1.3553,0.1982,0.1982,0.13085,-0.000509,0.131359,-0.037893,0.092957,0.092219,0.095815,0.068287,0.0,0.092957,0.0,1.068635,1.56412,0.0,0.165388,0.165388,0.0,0.0,0.834612,0.7944,-1.1545,0.7944,2.0476,-2.9757,2.0476,5.8745,22.7648,16.3261,2.93,-3.5088,31.0241,11.1893,-6.7968,3.6621,3.2625,0.07229,0.428466,0.428466,75051116.5,0.125024,0.174377
2016,Q4,0.063825,89975405.5,0.146035,2248128000.0,1.0487,33438000.0,56537405.5,-1663594.5,-976242000.0,126314000.0,88688000.0,215002000.0,75938000.0,98311000.0,935329000.0,935329000.0,640087000.0,640087000.0,-976242000.0,3864457000.0,18.2979,10.4781,11750016200.0,10773774200.0,3.6441,6.3637,5.0213,37.1681,0.0,0.026905,4.7923,4.6041,13.1979,23.2503,34.069,12.3579,38.0974,0.0379,0.033827,-0.000699,0.036406,0.061224,-0.25444,1.278853,0.015098,0.054889,0.065844,0.122362,0.18305,0.205776,0.209302,-0.268519,-0.627268,0.058179,0.66975,0.348959,0.200495,0.205014,0.148735,0.33025,0.189532,0.075886,0.469255,0.728369,0.996042,0.271631,0.5471,6.2485,,3.0113,11.716,58.414,0.0,31.154,27.26,-0.2967,1.3482,1.3429,0.1985,0.1985,0.153145,0.001767,0.151377,-0.044909,0.108236,0.126734,0.112157,0.081368,0.0,0.108236,0.0,1.182398,2.425953,0.0,0.165634,0.165634,0.0,0.0,0.834366,0.7841,-1.1959,0.7841,2.0241,-3.0871,2.0241,6.7165,26.9902,19.2255,10.7641,2.9994,39.3637,23.1376,12.0806,3.497,3.2185,0.042012,0.399705,0.399705,90022749.5,0.146111,0.204202
2016,Q3,0.059951,76053757.9,0.130215,2124525000.0,1.0651,-75630000.0,151683757.9,53757.9,-1044406000.0,112543000.0,89177000.0,201720000.0,79870000.0,44209000.0,955428000.0,955428000.0,634504000.0,634504000.0,-1044406000.0,3803435000.0,18.0446,10.6985,9305944830.0,8261538830.0,2.9366,4.953,4.0406,29.7397,0.0,0.033625,3.8887,3.5872,10.2187,17.9892,26.1352,8.8389,21.0894,0.032825,-0.028906,-0.148862,-0.136756,-0.122449,0.379173,1.676916,-0.034375,0.020852,0.006848,0.017614,0.025058,0.032118,0.02381,0.030605,4.136496,-0.025226,0.649924,0.345373,0.191357,0.192689,0.130123,0.350076,0.19402,0.072494,0.458567,0.680479,0.992385,0.319521,0.5395,6.3625,,3.0057,11.813,57.3673,0.0,30.8981,26.4692,-0.3086,1.3651,1.3548,0.2002,0.2002,0.13869,-5.6e-05,0.138746,-0.042811,0.095879,0.181164,0.103949,0.070196,0.0,0.095879,0.0,1.262482,3.153224,0.0,0.166824,0.166824,0.0,0.0,0.833176,0.7848,-1.2918,0.7848,2.0072,-3.304,2.0072,5.2523,24.1198,16.2996,7.0024,-0.8179,53.9751,36.8577,32.5083,3.214,2.9412,0.019196,0.414847,0.414847,78059810.5,0.133649,0.191222
2016,Q2,0.058093,74194590.7,0.12968,2179505000.0,1.0523,44664000.0,29530590.700000003,559590.7,-970968000.0,110595000.0,89753000.0,200348000.0,78141000.0,120336000.0,989042000.0,989042000.0,628970000.0,628970000.0,-970968000.0,3779443000.0,17.8578,10.5298,9867170600.0,8896202600.0,3.132,5.3116,4.3467,30.3649,0.0,0.032933,4.0818,3.9189,11.0917,19.2309,27.0064,10.2794,31.2425,0.092881,0.056758,0.065205,0.095759,0.135135,-0.07444,1.155866,0.020921,0.007768,0.005501,-0.029272,-0.022081,-0.016338,0.0,0.276925,1.478034,-0.015507,0.639381,0.350176,0.192577,0.193302,0.128702,0.360619,0.187959,0.065876,0.446804,0.673394,0.988734,0.326606,0.5404,6.4186,,3.0442,10.126,56.8657,0.0,36.0458,20.8199,-0.3037,1.3559,1.3406,0.1996,0.1996,0.136466,-0.000595,0.137061,-0.04162,0.094845,0.132,0.104467,0.069555,0.0,0.094845,0.0,1.157854,3.127283,0.0,0.166419,0.166419,0.0,0.0,0.833581,0.7842,-1.2106,0.7842,1.9094,-2.9476,1.9094,5.8147,23.8403,15.9937,6.9959,-0.8507,52.6771,35.8327,6.3657,3.6266,3.2748,0.05301,0.435692,0.435692,74511086.1,0.130233,0.191124
2016,Q1,0.078226,75869873.1,0.133638,2213835000.0,1.0436,137645000.0,-61775126.900000006,1011873.1,-899747000.0,113930000.0,85322000.0,199252000.0,82340000.0,159725000.0,997595000.0,997595000.0,623485000.0,623485000.0,-899747000.0,3737067000.0,17.5375,10.2052,9865842230.0,8966095230.0,3.1686,5.4452,4.4071,30.9742,0.0,0.032285,4.05,4.0052,11.4213,19.6341,27.5866,10.1301,47.852,0.015266,-0.060139,-0.039197,-0.037147,-0.023256,0.91893,0.457003,0.066297,-0.019742,-0.038132,-0.067531,-0.15736,-0.153382,-0.142857,-0.225499,0.695313,-0.000386,0.656989,0.350966,0.201011,0.200678,0.131856,0.343011,0.180163,0.07194,0.455978,0.664831,0.9883,0.335169,0.548,6.2035,,3.1172,11.4266,58.8376,0.0,31.9431,26.8945,-0.2962,1.3405,1.3248,0.2002,0.2002,0.139471,-0.001121,0.140592,-0.041639,0.097832,0.087352,0.109965,0.072253,0.0,0.097832,0.0,1.094604,2.32418,0.0,0.166838,0.166838,0.0,0.0,0.833162,0.7942,-1.1461,0.7942,1.9183,-2.7683,1.9183,6.0402,24.4853,16.3056,6.7892,-1.3905,41.1289,23.4328,-13.2764,3.9937,3.61,0.071349,0.445626,0.445626,80402692.3,0.141623,0.19833
