year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
2018,Q2,,8909000.0,9775000.0,,106298000.0,,-12625000.0,10280000.0,131310000.0,1132622000.0,823927000.0,-418102000.0,219681000.0,823927000.0,-418102000.0,219681000.0,612881000.0,43061000.0,43061000.0,,51133000.0,-273334000.0,236000.0,-394534000.0,-88634000.0,-944000.0,-165727000.0,64830000.0,
2018,Q1,-79000.0,4850000.0,18313000.0,,104095000.0,,1165000.0,-22532000.0,22738000.0,,-30661000.0,-111485000.0,192010000.0,-30661000.0,-111485000.0,192010000.0,51029000.0,53714000.0,53714000.0,,51883000.0,-29714000.0,-715000.0,-73352000.0,-113075000.0,-3900000.0,-19785000.0,75736000.0,
2017,Q4,-171872000.0,4850000.0,12161000.0,,99396000.0,,623000.0,-6495000.0,13940000.0,,-50898000.0,-201936000.0,197441000.0,-50898000.0,-201936000.0,197441000.0,-54770000.0,19107000.0,19107000.0,,80583000.0,-10273000.0,-203000.0,-77399000.0,-106852000.0,,-54565000.0,154390000.0,
2017,Q3,,4746000.0,25333000.0,,97178000.0,,2037000.0,22594000.0,16060000.0,,-119738000.0,-103108000.0,236291000.0,-119738000.0,-103108000.0,236291000.0,15482000.0,67879000.0,67879000.0,,43894000.0,-6784000.0,-752000.0,-67879000.0,-119740000.0,,-129014000.0,85263000.0,
2017,Q2,-197191000.0,4646000.0,13013000.0,,89206000.0,,5233000.0,31022000.0,8150000.0,,-105511000.0,-294939000.0,224633000.0,-105511000.0,-294939000.0,224633000.0,-170584000.0,56752000.0,56752000.0,,43007000.0,-7417000.0,-808000.0,-88913000.0,-97005000.0,-1096000.0,-105148000.0,88978000.0,
2017,Q1,-10000.0,4597000.0,41133000.0,,86533000.0,,5019000.0,-61952000.0,17530000.0,,-88858000.0,140306000.0,142618000.0,-88858000.0,140306000.0,142618000.0,199085000.0,74583000.0,74583000.0,,38857000.0,-33921000.0,-335000.0,-92306000.0,-91181000.0,0.0,-72467000.0,324138000.0,
2016,Q4,-92503000.0,4680000.0,55507000.0,,84008000.0,,-8442000.0,-37514000.0,17221000.0,,-68691000.0,-164723000.0,184222000.0,-68691000.0,-164723000.0,184222000.0,-57634000.0,91639000.0,91639000.0,,41409000.0,-6985000.0,3927000.0,-166253000.0,-75938000.0,,-78927000.0,166044000.0,
2016,Q3,-2936000.0,4666000.0,26488000.0,,84511000.0,,-154000.0,43153000.0,15244000.0,,-86063000.0,-110472000.0,251848000.0,-86063000.0,-110472000.0,251848000.0,55159000.0,76000000.0,76000000.0,,43518000.0,-6150000.0,-1633000.0,-230223000.0,-79870000.0,,-95157000.0,204190000.0,
2016,Q2,,4639000.0,10218000.0,,85114000.0,,-3676000.0,45321000.0,8745000.0,,-88154000.0,-138807000.0,244369000.0,-88154000.0,-138807000.0,244369000.0,13732000.0,73635000.0,73635000.0,,35660000.0,-5914000.0,842000.0,-288742000.0,-78141000.0,,-90985000.0,227234000.0,
2016,Q1,0.0,4653000.0,28010000.0,,80669000.0,,4365000.0,-3300000.0,18350000.0,,-116871000.0,-55428000.0,191373000.0,-116871000.0,-55428000.0,191373000.0,23439000.0,74858000.0,74858000.0,,34493000.0,-26496000.0,-2354000.0,-95843000.0,-82340000.0,,-108725000.0,125109000.0,
2015,Q4,-18702000.0,4641000.0,27988000.0,,80329000.0,,-2697000.0,12607000.0,7503000.0,,-124521000.0,-86872000.0,247092000.0,-124521000.0,-86872000.0,247092000.0,33002000.0,88420000.0,88420000.0,,61095000.0,-31844000.0,543000.0,-108690000.0,-78837000.0,,-100180000.0,118814000.0,
2015,Q3,500000.0,4631000.0,34990000.0,,74785000.0,,-4048000.0,-15905000.0,17776000.0,,-65085000.0,-114452000.0,182608000.0,-65085000.0,-114452000.0,182608000.0,-977000.0,88040000.0,88040000.0,,31057000.0,-5703000.0,-1128000.0,-178200000.0,-133064000.0,-800000.0,-76358000.0,197440000.0,
2015,Q2,-106883000.0,4677000.0,-12076000.0,,73989000.0,,3456000.0,94812000.0,12072000.0,,-51210000.0,-291378000.0,264023000.0,-51210000.0,-291378000.0,264023000.0,-75109000.0,67200000.0,67200000.0,,23345000.0,1356000.0,-1827000.0,-308685000.0,-96013000.0,-1250000.0,-63388000.0,222030000.0,
2015,Q1,-16062000.0,4576000.0,24131000.0,,70460000.0,,-6747000.0,-70037000.0,24440000.0,,-56213000.0,57138000.0,99729000.0,-56213000.0,57138000.0,99729000.0,93907000.0,77746000.0,77746000.0,,16984000.0,-17973000.0,-82000.0,-97304000.0,-137069000.0,,-62680000.0,307655000.0,
2014,Q4,,4524000.0,48488000.0,,67763000.0,,-5267000.0,7201000.0,11748000.0,,-29550000.0,-136413000.0,195541000.0,-29550000.0,-136413000.0,195541000.0,24311000.0,97107000.0,97107000.0,,18946000.0,-739000.0,-1477000.0,-157211000.0,-92320000.0,1575000.0,-42134000.0,114595000.0,
2014,Q3,,4482000.0,57363000.0,,67415000.0,,-7318000.0,-14821000.0,17362000.0,,-27895000.0,-177895000.0,173282000.0,-27895000.0,-177895000.0,173282000.0,-39826000.0,91155000.0,91155000.0,,25051000.0,-4660000.0,5194000.0,-204607000.0,-71782000.0,-1575000.0,-39022000.0,93300000.0,
2014,Q2,115000.0,4516000.0,5881000.0,,58712000.0,,1291000.0,36022000.0,13670000.0,-868000.0,-62036000.0,-134040000.0,200224000.0,-62036000.0,-134040000.0,200224000.0,5439000.0,72886000.0,72886000.0,,28088000.0,-3494000.0,2860000.0,-204648000.0,-70519000.0,,-71344000.0,138152000.0,
2014,Q1,-386647000.0,1941000.0,54479000.0,,53516000.0,,762000.0,-49472000.0,122299000.0,679603000.0,555508000.0,-730458000.0,89023000.0,555508000.0,-730458000.0,89023000.0,-85165000.0,72800000.0,72800000.0,,10238000.0,-112385000.0,-832000.0,-658943000.0,-84006000.0,-17862000.0,-116147000.0,399970000.0,
2013,Q4,-3237000.0,,19317000.0,,49976000.0,,527000.0,20893000.0,9289000.0,,-46846000.0,-26537000.0,171732000.0,-46846000.0,-26537000.0,171732000.0,98876000.0,80349000.0,80349000.0,,20514000.0,-8124000.0,692000.0,-91329000.0,-62335000.0,,-48011000.0,130433000.0,-761000.0
2013,Q3,-27420000.0,,8395000.0,,47954000.0,-80000.0,1319000.0,13770000.0,26157000.0,,-2373000.0,-126684000.0,157888000.0,-2373000.0,-126684000.0,157888000.0,30150000.0,79756000.0,79756000.0,,16408000.0,1096000.0,-2958000.0,-93681000.0,-60389000.0,,-29626000.0,57509000.0,335000.0
