date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,72.01,1,81.24,69.38,72.68,55254595.0,72.01,0.0,81.24,69.38,72.68,1.0,55254595.0
2018-06-30,73.23,1,83.08,68.5,70.81,131501802.0,73.23,0.0,83.08,68.5,70.81,1.0,131501802.0
2018-03-31,70.98,1,78.28,61.0,65.13,115911247.0,70.98,0.0,78.28,61.0,65.13,1.0,115911247.0
2017-12-31,65.04,1,68.03,48.72,49.35,158857022.0,65.04,0.0,68.03,48.72,49.35,1.0,158857022.0
2017-09-30,48.72,1,53.45,44.65,50.15,121170860.0,48.72,0.0,53.45,44.65,50.15,1.0,121170860.0
2017-06-30,49.81,1,62.58,46.81,59.74,166447181.0,49.81,0.0,62.58,46.81,59.74,1.0,166447181.0
2017-03-31,59.7,1,71.64,59.5,67.27,123382854.0,59.7,0.0,71.64,59.5,67.27,1.0,123382854.0
2016-12-31,66.68,1,71.04,52.63,52.96,139696013.0,66.68,0.0,71.04,52.63,52.96,1.0,139696013.0
2016-09-30,52.99,1,58.47,47.8,55.81,137999598.0,52.99,0.0,58.47,47.8,55.81,1.0,137999598.0
2016-06-30,55.93,1,57.5,48.88,55.14,116461423.0,55.93,0.0,57.5,48.88,55.14,1.0,116461423.0
2016-03-31,55.57,1,57.05,39.43,51.8,191945547.0,55.57,0.0,57.05,39.43,51.8,1.0,191945547.0
2015-12-31,52.63,1,76.39,50.56,69.06,144191853.0,52.63,0.0,76.39,50.56,69.06,1.0,144191853.0
2015-09-30,69.06,1,76.98,63.14,70.3,115145867.0,69.06,0.0,76.98,63.14,70.3,1.0,115145867.0
2015-06-30,69.82,1,78.44,69.13,70.98,89459132.0,69.82,0.0,78.44,69.13,70.98,1.0,89459132.0
2015-03-31,71.045,1,73.53,56.85,63.48,98952784.0,71.045,0.0,73.53,56.85,63.48,1.0,98952784.0
