year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q2,1.023697,-54846000.0,-21.407494,-13960000.0,-0.3356,14690000.0,-69536000.0,-4877000.0,-82876000.0,-50270000.0,573000.0,-49697000.0,3973000.0,-20268000.0,86024000.0,86024000.0,24622000.0,24622000.0,-81670000.0,93538000.0,1.2894,1.2894,395689654.4,324019654.4,6.7162,6.7162,55.3335,,0.0,-0.41317,,45.3111,,,,,,-0.965862,-0.96613,-0.840902,-0.916724,-0.538462,-1.122322,-6.787658,0.51274,0.19552,-0.082629,-0.084153,-0.251135,-0.058015,,0.092225,-0.211724,0.053623,1.0,-19.397736,-21.407494,-19.62139,-19.503903,0.0,7.992974,14.41452,22.407494,0.988213,1.005868,0.0,0.0352,5.5542,,0.4466,,65.7163,0.0,0.0,65.7163,-1.1655,1.5767,1.586,0.3573,0.3573,,0.032509,,,-1.270152,,-0.691367,-0.687227,0.077691,-1.171472,0.0,0.0,-10.673043,0.0,0.26323,0.26323,0.0,0.106908,0.629862,-0.1531,0.5078,-0.1531,-0.1388,0.4606,-0.1388,-1.7827,-170.4068,-185.9186,-183.8746,-199.3864,-143.7424,-157.2102,-235.7153,3.7946,3.3134,-2.834289,12.029646,12.029646,-38392200.0,-14.985246,-19.736534
2018,Q1,-0.71285,-43837000.0,-20.455903,-14751000.0,-0.272,13549000.0,-57386000.0,3392000.0,-127844000.0,-46368000.0,464000.0,-45904000.0,1321000.0,-12339000.0,138657000.0,138657000.0,24472000.0,24472000.0,-126524000.0,137565000.0,2.3242,2.3242,574417581.5,457893581.5,5.5718,5.5718,98.1072,,0.0,-0.243008,,78.2056,,,,,,-0.400793,-0.411894,-1.451048,-0.420037,,-2.481294,-8.410382,0.478763,0.146602,-0.28159,-0.280247,-0.04116,-0.298142,,-0.440972,-0.606236,0.284557,1.0,-21.420439,-20.455903,-21.636958,-22.038731,0.0,7.031731,14.424172,21.455903,0.98824,1.030689,0.0,0.0346,1.5297,,0.4561,,238.6059,0.0,0.0,238.6059,-1.2245,1.7676,1.8219,0.2164,0.2164,,-0.028895,,,-1.456089,,-0.747597,-0.761479,0.052157,-1.380145,0.0,0.0,-35.36109,0.0,0.177894,0.177894,0.0,0.072693,0.749413,-0.1794,0.9274,-0.1794,-0.1607,0.8309,-0.1607,1.816,-32.5847,-30.806,-33.513,-31.7344,-32.8264,-33.7547,-40.3275,7.0098,6.3188,-2.10743,23.68181,23.68181,-30685900.0,-14.319132,-22.30098
2017,Q4,-0.82588,-42104000.0,-22.527555,-20618000.0,-0.6412,-6377000.0,-35727000.0,-5722000.0,-152580000.0,-36218000.0,400000.0,-35818000.0,1829000.0,-16679000.0,154003000.0,141503000.0,21957000.0,9457000.0,-148725000.0,153919000.0,3.0763,3.0763,425794119.9,287069119.9,3.4912,3.4912,38.1024,,0.0,-0.295021,,25.6885,,,,,,-0.239635,-0.247692,-2.490632,-0.223994,0.104651,-1.722516,-36.16437,-0.447792,2.239168,-0.217347,-0.216553,-0.152145,-0.216504,-0.811765,-0.101121,-0.83253,0.082829,1.0,-19.164259,-22.527555,-19.378277,-19.466025,0.0,7.751204,15.776351,23.527555,0.985855,1.018941,0.0,0.0619,1.6546,,1.2368,,220.6004,0.0,0.0,220.6004,-1.146,1.5124,1.541,0.0717,0.1664,,0.041834,,,-1.052531,,-1.199749,-1.205181,0.041894,-1.008436,0.0,0.0,-17.723893,0.081212,0.061441,0.142653,0.0,0.064969,0.792378,-0.1781,1.2063,-0.0767,-0.1738,1.1773,-0.0749,1.587,-52.7959,-61.3761,-55.4621,-64.0423,-47.2551,-49.9213,-52.0802,4.8345,4.5023,-1.492528,13.781029,12.662461,-29472800.0,-15.769288,-19.745318
2017,Q3,-0.964041,-36544000.0,-63.334489,-22480000.0,-1.4359,-17048000.0,-19496000.0,-6637000.0,-185762000.0,-29771000.0,348000.0,-29423000.0,2056000.0,-11511000.0,195270000.0,182770000.0,24874000.0,12374000.0,-181907000.0,188156000.0,3.5473,3.5473,689216391.1,517309391.1,4.4964,4.4964,34.392,,0.0,-0.172602,,25.8138,,,,,,-1.851895,-1.849172,-3.083128,-1.709458,-1.073171,-1.631626,-2.514059,-3.138439,-0.544234,-0.163884,-0.164385,-0.226597,-0.147181,-0.089744,-0.473473,-1.183447,0.215358,1.0,-50.993068,-63.334489,-51.596187,-51.831889,0.0,20.459272,43.875217,64.334489,0.980204,1.024856,0.0,0.129,2.6485,,2.8674,,137.813,0.0,0.0,137.813,-1.1437,1.5994,1.6391,0.0758,0.1523,,0.059736,,,-1.224505,,-6.654637,-6.685037,0.051488,-1.161458,0.0,0.0,-14.319066,0.066434,0.065765,0.132199,0.0,0.053147,0.814654,-0.2138,1.5632,-0.1063,-0.2583,1.8893,-0.1285,4.7557,-40.2311,-49.3838,-43.0095,-52.1622,-39.7838,-42.5622,-26.3459,6.9932,6.5465,-0.574401,9.744012,9.120259,-25580800.0,-44.334142,-52.878683
2017,Q2,-0.861549,-29793000.0,-23.533175,-28650000.0,-1.9491,-20864000.0,-8929000.0,-3723000.0,-217163000.0,-25568000.0,288000.0,-25280000.0,2036000.0,-10304000.0,228981000.0,218564000.0,25697000.0,15280000.0,-213588000.0,214210000.0,4.5665,4.5665,849475222.7,645887222.7,4.7586,4.7586,23.9228,,0.0,-0.117827,,18.1894,,,,,,-0.428329,-0.428619,-0.803996,-0.427086,0.103448,-0.337081,0.095064,-2.679681,-0.830363,0.228563,0.221461,-0.665809,0.216152,,-0.489045,-2.153022,-0.012367,1.0,-19.968404,-23.533175,-20.195893,-20.592417,0.0,6.99842,17.534755,24.533175,0.991594,1.028278,0.0,0.2055,7.2697,,5.7226,,50.2082,0.0,0.0,50.2082,-1.1612,1.5288,1.572,0.0811,0.1363,,0.02837,,,-0.885667,,-4.150741,-4.232236,0.044243,-0.846482,0.0,0.0,-9.81336,0.04863,0.071332,0.119962,0.0,0.046683,0.833355,-0.2642,2.196,-0.1571,-0.3741,3.1094,-0.2224,6.0044,-35.3638,-41.2075,-38.1798,-44.0235,-27.6349,-30.4509,-12.3499,8.372,7.8053,-0.29018,6.448534,6.155172,-20855100.0,-16.473223,-20.766983
2017,Q1,0.275945,-17885000.0,-2.396489,-28300000.0,-2.8018,-25629000.0,7744000.0,15374000.0,-106937000.0,-32841000.0,71000.0,-32770000.0,1185000.0,-3217000.0,128954000.0,121662000.0,25484000.0,18192000.0,-106687000.0,104121000.0,2.2011,2.2011,901363851.5,794676851.5,11.4623,11.4623,20.775,,0.0,-0.102388,,18.316,,,,,,-1.836738,-1.775374,-0.512985,-1.726818,,-0.513422,1.712354,-9.595283,-0.304733,-0.134145,-0.131356,-0.482756,-0.118927,,-0.1269,6.622047,-0.98722,1.0,-4.390996,-2.396489,-4.400509,-4.456519,0.0,0.904596,2.491893,3.396489,0.991415,1.021498,0.0,0.4036,7.9376,,9.1322,,45.9836,0.0,0.0,45.9836,-1.2803,1.946,1.9878,0.2313,0.3241,,-0.217374,,,-1.670676,,-1.776095,-1.798701,0.0,-1.670676,0.0,0.0,-11.323207,0.070034,0.17472,0.244754,0.0,0.0,0.755246,-0.2842,1.1896,-0.2029,-0.4599,1.9253,-0.3283,5.0079,-46.517,-25.3329,-48.1955,-27.0113,-19.0057,-20.6841,10.9688,5.7876,5.427,-0.074147,2.972181,2.804112,-12519500.0,-1.677543,-4.495109
2016,Q4,1.301458,-12062000.0,-1.123719,-14241000.0,-5.4237,-13078000.0,1016000.0,17662000.0,-120976000.0,-29028000.0,134000.0,-28894000.0,467000.0,-1201000.0,144802000.0,140635000.0,25277000.0,21110000.0,-120726000.0,132012000.0,4.5022,4.5022,308665960.3,187939960.3,2.8919,2.8919,7.3891,,0.0,-0.230758,,4.4991,,,,,,-1.720716,-1.662386,-0.108232,-1.638381,-0.154362,-0.037466,1.1165,-11.245056,-0.331048,-1.80062,-1.778065,-0.347709,-1.692879,-3.195122,-0.06436,1.183129,-1.621686,1.0,-2.69182,-1.123719,-2.704304,-2.769145,0.0,0.459661,1.664058,2.123719,0.997684,1.026354,0.0,0.362,4.8602,,20.0542,,75.1005,0.0,0.0,75.1005,-1.1028,1.5397,1.5803,0.1978,0.2368,,-0.213699,,,-0.950365,,-0.978967,-1.002439,0.0,-0.950365,0.0,0.0,-25.496788,0.031565,0.15991,0.191475,0.0,0.0,0.808525,-0.3692,1.7634,-0.3083,-0.5122,2.4464,-0.4278,1.8269,-37.9451,-15.7673,-38.5556,-16.3778,-15.5647,-16.1752,1.3281,8.1359,8.0184,-0.028751,3.466402,3.366648,-8443400.0,-0.786603,-2.775573
2016,Q3,2.584897,-8950000.0,-0.557771,-5432000.0,-9.5693,-3402000.0,-5548000.0,2088000.0,-36449000.0,-10449000.0,132000.0,-10317000.0,117000.0,-656000.0,60560000.0,59518000.0,25017000.0,23975000.0,-36199000.0,56034000.0,1.1577,1.1577,128321211.6,92122211.6,4.1377,4.1377,3.5941,,0.0,-0.411226,,2.5802,,,,,,-0.233058,-0.224971,-0.049238,-0.259758,,-0.674199,0.471267,-1.675862,0.754812,0.417086,0.416159,0.458068,0.395774,0.528736,0.251355,0.437722,0.302338,1.0,-0.642964,-0.557771,-0.65119,-0.687897,0.0,0.277951,1.279821,1.557771,0.992715,1.064121,0.0,0.4518,3.7988,,38.7655,,96.083,0.0,0.0,96.083,-1.0882,1.8675,1.9873,0.773,0.8066,,-0.045349,,,-1.247155,,-0.294233,-0.310819,4.7e-05,-1.247096,0.0,0.0,-95.615385,0.018596,0.427865,0.446461,0.0,0.0,0.553468,-0.4985,0.7213,-0.4777,-0.5193,0.7515,-0.4977,-1.3236,-15.5955,-13.3582,-15.7701,-13.5328,-16.697,-16.8716,-8.2806,4.0004,3.8303,-0.018374,1.696216,1.667031,-6265000.0,-0.39044,-0.692945
2016,Q2,-0.240595,-16515000.0,-1.806102,-7786000.0,-5.4086,-6648000.0,-9867000.0,1753000.0,-45297000.0,-17897000.0,198000.0,-17699000.0,48000.0,-4514000.0,65612000.0,65612000.0,24829000.0,24829000.0,-45297000.0,62340000.0,1.7948,1.7948,79208335.6,33911335.6,2.1116,2.1116,3.2822,,0.0,-0.637471,,1.4052,,,,,,-23.753846,-18.264801,-16.77718,-19.61851,,-50.0,-7.875958,-5.841828,0.563344,-0.532116,-0.512465,-0.39709,-0.497745,,-0.685427,0.092356,-1.915013,1.0,-1.935586,-1.806102,-1.95724,-1.997813,0.0,0.432087,2.374016,2.806102,0.995857,1.024976,0.0,0.3217,3.6729,,25.4433,,99.3756,0.0,0.0,99.3756,-1.0913,1.5347,1.5731,0.6619,0.6619,,-0.032861,,,-1.032915,,-0.629586,-0.642637,0.0,-1.032915,0.0,0.0,-311.3125,0.0,0.398284,0.398284,0.0,0.0,0.601716,-0.5147,0.939,-0.5147,-0.52,0.9486,-0.52,-1.9181,-40.038,-36.9463,-40.1454,-37.0537,-33.4295,-33.5369,-22.0738,5.1879,5.0202,-0.187047,2.718767,2.718767,-11560500.0,-1.264272,-2.006124
2016,Q1,0.198566,-11821000.0,-2.021029,-2671000.0,-12.3087,-950000.0,-10871000.0,376000.0,-34515000.0,-11833000.0,281000.0,-11552000.0,269000.0,-3794000.0,45697000.0,45197000.0,15103000.0,14603000.0,-34388000.0,46947000.0,1.7308,1.7308,50779274.9,16391274.9,1.5946,1.5946,1.8786,,0.0,-0.652057,,0.6064,,,,,,-0.936955,-0.899358,-0.897432,-0.973944,,-2.363429,-1.095412,-0.552005,0.254074,-0.087759,-0.085298,-0.08609,-0.082638,,0.227498,-0.246531,-1.296647,1.0,-1.975038,-2.021029,-2.023081,-2.085314,0.0,0.645751,2.375278,3.021029,0.99397,1.037015,0.0,0.4266,5.6679,,31.7813,,64.3983,0.0,0.0,64.3983,-1.0478,1.3791,1.4301,0.4586,0.4743,,-0.00781,,,-0.720619,,-0.862978,-0.889524,0.0,-0.720619,0.0,0.0,-32.959108,0.01065,0.311053,0.321703,0.0,0.0,0.678297,-0.4832,1.1003,-0.4672,-0.4696,1.0691,-0.454,-2.6238,-27.016,-26.9886,-27.6301,-27.6027,-20.242,-20.8562,-24.8196,4.5474,4.282,-0.140363,1.690603,1.672105,-8274700.0,-1.41472,-2.097965
