year,period,amortizationexpense,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,saleofinvestments
2018,Q2,-153000.0,146000.0,726000.0,2456000.0,1383000.0,,,1383000.0,8060000.0,-42404000.0,1383000.0,8060000.0,-42404000.0,-32961000.0,-49969000.0,-49969000.0,4535000.0,,-6464000.0,-3973000.0,,18497000.0
2018,Q1,-97000.0,507000.0,561000.0,-5107000.0,24141000.0,24432000.0,,25740000.0,-30778000.0,-46712000.0,25740000.0,-30778000.0,-46712000.0,-51750000.0,-47229000.0,-47229000.0,5161000.0,,-49057000.0,-1321000.0,-22833000.0,19600000.0
2017,Q4,-83000.0,477000.0,483000.0,-517000.0,1179000.0,,,-1945000.0,43435000.0,-32417000.0,-1945000.0,43435000.0,-32417000.0,9073000.0,-36383000.0,-36383000.0,4083000.0,1000.0,,-1829000.0,-3125000.0,45264000.0
2017,Q3,-79000.0,521000.0,427000.0,-3973000.0,-121119000.0,121192000.0,,-840000.0,19607000.0,-29440000.0,-840000.0,19607000.0,-29440000.0,-10673000.0,-29907000.0,-29907000.0,4092000.0,129000.0,-29037000.0,-2056000.0,-1042000.0,50700000.0
2017,Q2,-23000.0,511000.0,311000.0,2021000.0,132373000.0,,,132415000.0,6114000.0,-19980000.0,132415000.0,6114000.0,-19980000.0,118549000.0,-26069000.0,-26069000.0,3780000.0,42000.0,-6000000.0,-2036000.0,,14150000.0
2017,Q1,-42000.0,499000.0,113000.0,16652000.0,535000.0,,,781000.0,-68688000.0,-13418000.0,781000.0,-68688000.0,-13418000.0,-81325000.0,-33259000.0,-33259000.0,3118000.0,246000.0,-86759000.0,-1185000.0,,19256000.0
2016,Q4,26000.0,505000.0,108000.0,16302000.0,1183000.0,94852000.0,,97186000.0,-8117000.0,-11907000.0,97186000.0,-8117000.0,-11907000.0,77162000.0,-29724000.0,-29724000.0,1381000.0,1151000.0,-11650000.0,-467000.0,,4000000.0
2016,Q3,26000.0,468000.0,106000.0,-1458000.0,2683000.0,,,2683000.0,-4093000.0,-11187000.0,2683000.0,-4093000.0,-11187000.0,-12597000.0,-11038000.0,-11038000.0,1177000.0,,-19311000.0,-117000.0,,15335000.0
2016,Q2,92000.0,303000.0,106000.0,2059000.0,25593000.0,10000000.0,,35593000.0,14567000.0,-14943000.0,35593000.0,14567000.0,-14943000.0,35217000.0,-18268000.0,-18268000.0,1068000.0,,,-48000.0,,14615000.0
2016,Q1,160000.0,303000.0,121000.0,2088000.0,,,,,8011000.0,-8866000.0,,8011000.0,-8866000.0,-855000.0,-12197000.0,-12197000.0,962000.0,,,-269000.0,,8280000.0
