date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,5.815,1,9.07,5.11,8.66,32965385.0,5.815,0.0,9.07,5.11,8.66,1.0,32965385.0
2018-06-30,8.66,1,15.0,8.221,13.15,83659310.0,8.66,0.0,15.0,8.221,13.15,1.0,83659310.0
2018-03-31,12.95,1,14.0,9.83,11.69,75956302.0,12.95,0.0,14.0,9.83,11.69,1.0,75956302.0
2017-12-31,10.74,1,16.4,10.24,16.0,57481730.0,10.74,0.0,16.4,10.24,16.0,1.0,57481730.0
2017-09-30,15.95,1,25.22,15.16,22.01,40464165.0,15.95,0.0,25.22,15.16,22.01,1.0,40464165.0
2017-06-30,21.73,1,27.49,19.5,25.16,50271364.0,21.73,0.0,27.49,19.5,25.16,1.0,50271364.0
2017-03-31,25.23,1,27.79,12.33,13.25,71157192.0,25.23,0.0,27.79,12.33,13.25,1.0,71157192.0
2016-12-31,13.02,1,16.2,3.68,4.86,139735143.0,13.02,0.0,16.2,3.68,4.86,1.0,139735143.0
2016-09-30,4.79,1,5.22,3.36,3.79,9201023.0,4.79,0.0,5.22,3.36,3.79,1.0,9201023.0
2016-06-30,3.79,1,6.08,2.6004,2.74,23322823.0,3.79,0.0,6.08,2.6004,2.74,1.0,23322823.0
2016-03-31,2.76,1,5.95,2.5875,5.64,3901729.0,2.76,0.0,5.95,2.5875,5.64,1.0,3901729.0
2015-12-31,5.74,1,6.5,5.22,5.85,3151717.0,5.74,0.0,6.5,5.22,5.85,1.0,3151717.0
2015-09-30,5.76,1,7.74,5.425,6.17,7849031.0,5.76,0.0,7.74,5.425,6.17,1.0,7849031.0
2015-06-30,6.03,1,8.79,5.3,8.79,12661591.0,6.03,0.0,8.79,5.3,8.79,1.0,12661591.0
2015-03-31,9.76,1,14.05,9.0,13.13,5352564.0,9.76,0.0,14.05,9.0,13.13,1.0,5352564.0
2014-12-31,13.05,1,14.19,7.8,8.98,3125215.0,13.05,0.0,14.19,7.8,8.98,1.0,3125215.0
2014-09-30,8.96,1,14.44,7.72,14.01,4985657.0,8.96,0.0,14.44,7.72,14.01,1.0,4985657.0
2014-06-30,13.96,1,17.44,11.66,15.55,6778700.0,13.96,0.0,17.44,11.66,15.55,1.0,6778700.0
2014-03-31,15.46,1,19.69,12.81,12.85,6129900.0,15.46,0.0,19.69,12.81,12.85,1.0,6129900.0
