year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q2,0.710835,-35662000.0,-0.730884,-236199000.0,-0.8925,28018000.0,-63680000.0,-1593000.0,-402123000.0,-35662000.0,-39000.0,-35701000.0,173000.0,-159126000.0,242997000.0,242997000.0,0.0,0.0,-402123000.0,165924000.0,2.9212,2.9212,566864000.0,164741000.0,3.4164,3.4164,2.5383,,0.0,-0.120558,,0.7377,,,,,,-0.636159,-0.611041,-0.611041,-0.583279,-0.132075,-0.630767,-1.341045,0.106042,0.062334,-0.465618,-0.455711,-0.455711,-0.454821,-0.25,1.442499,-0.279897,-0.205515,1.0,-0.731683,-0.730884,-0.730884,-0.698235,0.0,0.256963,1.47392,1.730884,0.999062,0.956228,0.0,0.595,,,67.0637,,0.0,0.0,0.0,0.0,-3.2448,3.3671,3.2197,0.0,0.0,,0.004405,,,-0.613129,,-0.43491,-0.415483,0.0,-0.613129,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8831,,,,,,,,2.4779,2.4465,-0.712541,1.088101,1.088101,-24963400.0,-0.511618,-0.698891
2018,Q1,1.201294,-24498000.0,-0.533377,-195932000.0,-0.9736,25256000.0,-49754000.0,-1080000.0,-393029000.0,-24498000.0,139000.0,-24359000.0,296000.0,-107467000.0,285562000.0,285562000.0,0.0,0.0,-393029000.0,197097000.0,4.0389,4.0389,465064000.0,72035000.0,2.3596,2.3596,2.2904,,0.0,-0.11996,,0.3548,,,,,,0.454397,0.455261,0.455261,0.474261,0.582609,-1.133711,-1.391909,0.114183,-0.47398,-3.094317,-3.155186,-3.155186,-2.906848,-2.2,-0.241299,-4.464281,-0.003657,1.0,-0.530351,-0.533377,-0.533377,-0.509863,0.0,0.196473,1.336904,1.533377,0.999829,0.956078,0.0,0.5785,,,61.3626,,0.0,0.0,0.0,0.0,-2.8318,3.0827,2.9473,0.0,0.0,,0.00335,,,-0.489992,,-0.308565,-0.294962,0.0,-0.489992,0.0,0.0,-68.682432,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9395,,,,,,,,2.8859,2.8324,-0.529266,1.40637,1.40637,-17148600.0,-0.373364,-0.50995
2017,Q4,55.883388,11367000.0,0.130182,-195218000.0,-0.9188,-2995000.0,14362000.0,-914000.0,-317792000.0,11367000.0,264000.0,11631000.0,450000.0,-100542000.0,217250000.0,217250000.0,0.0,0.0,-317792000.0,122574000.0,2.8178,2.8178,646845000.0,329053000.0,5.2772,5.2772,3.6343,,0.0,-0.118906,,1.8488,,,,,,1.307495,1.298786,1.298786,1.324362,1.40404,-1.171193,-0.902115,-0.015581,1.115059,1.487571,1.470177,1.470177,1.530864,1.816327,0.70013,-0.90098,0.150598,1.0,0.133206,0.130182,0.130182,0.14065,0.0,0.086662,0.783155,0.869818,1.0,1.080408,0.0,0.5357,5.2318,,57.1469,,69.7654,0.0,0.0,69.7654,-3.0317,3.4844,3.7646,0.0,0.0,,0.003162,,,-0.806675,,0.069742,0.075349,0.0,-0.806675,0.0,0.0,-36.395556,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.488,,,,,,,,2.5396,2.4946,-0.564893,1.220615,1.220615,7956900.0,0.091128,0.14065
2017,Q3,,-24176000.0,-0.585616,-229830000.0,-0.6349,-169218000.0,145042000.0,-1042000.0,-329705000.0,-24176000.0,321000.0,-23855000.0,597000.0,-147124000.0,182581000.0,182581000.0,0.0,0.0,-329705000.0,99875000.0,2.1278,2.1278,923282616.1,593577616.1,9.2444,9.2444,10.0136,,0.0,-0.137614,,6.4377,,,,10.6207,14.8804,0.336919,0.331822,0.331822,0.36284,0.489583,-0.933824,10.719619,-2.791823,0.447511,-0.093263,-0.092158,-0.092158,-0.0751,0.075472,-3.241709,-0.223211,0.130147,1.0,-0.577841,-0.585616,-0.585616,-0.560376,0.0,0.163457,1.422159,1.585616,0.991429,0.965172,0.0,0.3632,,,30.4703,,0.0,0.0,0.0,0.0,-2.448,2.5311,2.443,0.0,0.0,,0.004244,,,-1.266864,,-0.212704,-0.203536,0.0,-1.266864,0.0,0.0,-91.485762,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.407,,,,,,,,2.2063,2.1802,-1.595653,1.980207,1.980207,-16923200.0,-0.409931,-0.565221
2017,Q2,,-22136000.0,-0.776157,-264217000.0,-0.3187,-208856000.0,186720000.0,-618000.0,-321215000.0,-22136000.0,316000.0,-21820000.0,148000.0,-170417000.0,150798000.0,150798000.0,0.0,0.0,-321215000.0,56998000.0,1.4039,1.4039,583422000.0,262207000.0,10.2358,10.2358,11.4576,,0.0,-0.240359,,5.1494,,,,3.1874,3.8833,0.393872,0.388306,0.388306,0.398586,0.442105,1.903877,10.571641,-3.77262,0.366882,0.511266,0.507783,0.507783,0.516916,0.53913,3.557095,0.470781,-0.194536,1.0,-0.765077,-0.776157,-0.776157,-0.754488,0.0,0.242111,1.534046,1.776157,0.999535,0.972533,0.0,0.1913,,,21.368,,0.0,0.0,0.0,0.0,-2.6795,2.7982,2.7213,0.0,0.0,,0.002424,,,-1.473897,,-0.148451,-0.144307,0.0,-1.473897,0.0,0.0,164.621622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2129,,,,,,,,1.8304,1.7689,-3.34676,2.961469,2.961469,-15495200.0,-0.54331,-0.754839
2017,Q1,,-44972000.0,-2.15538,-221188000.0,-0.1656,-171925000.0,126953000.0,-429000.0,-251805000.0,-44972000.0,326000.0,-44646000.0,427000.0,-130215000.0,121590000.0,121590000.0,0.0,0.0,-251805000.0,30617000.0,0.7911,0.7911,356040000.0,104235000.0,11.6288,11.6288,15.8946,,0.0,-0.433918,,4.6533,,,,3.3685,6.3024,-0.725783,-0.726637,-0.726637,-0.726607,-0.642857,-1.546518,6.25736,-3.489942,12.592834,-0.18033,-0.182105,-0.182105,-0.176457,-0.161616,-1.099592,-0.134744,-0.150684,1.0,-2.139756,-2.15538,-2.15538,-2.134819,0.0,0.277402,2.877977,3.15538,1.000135,0.990327,0.0,0.0932,,,12.6804,,0.0,0.0,0.0,0.0,-2.3633,2.4231,2.3997,0.0,0.0,,0.00183,,,-1.557544,,-0.200878,-0.198961,0.0,-1.557544,0.0,0.0,-22.313817,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.834,,,,,,,,1.911,1.8867,-5.81317,5.428125,5.428125,-31480400.0,-1.508766,-2.134532
2016,Q4,,-38044000.0,-24.784365,-192223000.0,-0.0154,-184767000.0,146723000.0,-182000.0,-260343000.0,-38044000.0,219000.0,-37825000.0,48000.0,-78290000.0,182053000.0,182053000.0,0.0,0.0,-260343000.0,68120000.0,1.8069,1.8069,392457000.0,132114000.0,5.7613,5.7613,255.6723,,0.0,-0.34589,,86.0678,,,,2.2815,2.7349,-0.900849,-0.897456,-0.897456,-0.906733,-0.455882,5.175541,9.415911,-24.780982,,-0.051395,-0.051462,-0.051462,-0.0428,-0.03125,4.387388,10.855446,-2.171369,1.0,-24.641694,-24.784365,-24.784365,-24.665798,0.0,4.002606,21.781759,25.784365,0.999894,0.995321,0.0,0.0069,,,0.974,,0.0,0.0,0.0,0.0,-2.0028,2.2256,2.2152,0.0,0.0,,0.000913,,,-1.363483,,-0.171696,-0.170874,0.0,-1.363483,0.0,0.0,1993.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0565,,,,,,,,2.5932,2.5744,-51.003257,118.601303,118.601303,-26630800.0,-17.349055,-24.668404
2016,Q3,,-36182000.0,,-60612000.0,,-48558000.0,12376000.0,126000.0,-161322000.0,-36182000.0,206000.0,-35976000.0,1256000.0,-22314000.0,139008000.0,139008000.0,0.0,0.0,-161322000.0,100710000.0,2.6574,2.6574,342976013.1,181654013.1,3.4056,3.4056,,,0.0,-0.343295,,,,,,,,-0.845302,-0.838703,-0.838703,-0.864339,-0.411765,-2.127339,2.002236,-4.028372,,0.000639,0.000166,0.000166,-0.014785,-0.010526,-0.047783,-0.233019,-0.09485,,,,,,,,,,1.009593,0.993947,0.0,,,,,,,,,,-1.2952,1.3355,1.3275,0.0,0.0,,-0.00079,,,-0.956778,,,,-0.001316,-0.958037,0.0,0.0,-22.486465,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1422,,,,,,,,6.318,6.1717,,,,-25327400.0,,
2016,Q2,,-36188000.0,,-55361000.0,,-52324000.0,16136000.0,-409000.0,-188649000.0,-36188000.0,189000.0,-35999000.0,1249000.0,-17059000.0,171590000.0,171590000.0,0.0,0.0,-188649000.0,133288000.0,3.5251,3.5251,282826698.9,94177698.9,2.1219,2.1219,,,0.0,-0.356787,,,,,,,,-2.357489,-2.323354,-2.323354,-2.347273,-1.375,-1.224561,2.531559,-17.228844,,-0.391535,-0.389388,-0.389388,-0.38689,-0.357143,-2.546117,-0.077574,-0.123785,,,,,,,,,,0.99613,0.992539,0.0,,,,,,,,,,-1.2063,1.2412,1.2319,0.0,0.0,,0.002396,,,-0.713037,,,,-0.001145,-0.713853,0.0,0.0,-21.581265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5683,,,,,,,,9.1975,9.0125,,,,-25331600.0,,
2016,Q1,,-26046000.0,,-49263000.0,,-43539000.0,17493000.0,-248000.0,-217025000.0,-26046000.0,176000.0,-25870000.0,109000.0,-10904000.0,206121000.0,206121000.0,0.0,0.0,-217025000.0,167762000.0,4.5497,4.5497,332231081.9,115206081.9,1.9804,1.9804,,,0.0,-0.228212,,,,,,,,-1.408304,-1.390419,-1.390419,-1.412155,-0.320755,3.088655,2.852163,-7.606394,,-0.300065,-0.299052,-0.299052,-0.299189,-0.029412,1.760911,2.003384,-5.607162,,,,,,,,,,0.999458,0.991016,0.0,,,,,,,,,,-1.2096,1.2383,1.2272,0.0,0.0,,0.001563,,,-0.577953,,,,-0.001227,-0.578662,0.0,0.0,159.944954,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.259,,,,,,,,16.3718,16.185,,,,-18232200.0,,
