year,period,amortizationexpense,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofpreferredequity,saleofinvestments
2018,Q2,-253000.0,214000.0,40611000.0,,,,224000.0,-3568000.0,8996000.0,212000.0,-3568000.0,8996000.0,5640000.0,-34069000.0,-34069000.0,2493000.0,-12000.0,-72867000.0,-173000.0,,,69472000.0
2018,Q1,-60000.0,199000.0,717000.0,95729000.0,1000.0,,95911000.0,12434000.0,-20330000.0,95911000.0,12434000.0,-20330000.0,88015000.0,-23418000.0,-23418000.0,2232000.0,183000.0,-48599000.0,-296000.0,,,61329000.0
2017,Q4,67000.0,197000.0,-31115000.0,5040000.0,1000.0,,5243000.0,-8308000.0,-16378000.0,5243000.0,-8308000.0,-16378000.0,-19443000.0,12280000.0,12280000.0,2193000.0,204000.0,-64988000.0,-450000.0,,,57130000.0
2017,Q3,154000.0,167000.0,-33956000.0,62856000.0,1000.0,,63779000.0,-44959000.0,-54617000.0,63785000.0,-44959000.0,-54617000.0,-35791000.0,-23134000.0,-23134000.0,2152000.0,930000.0,-88112000.0,-597000.0,,,43750000.0
2017,Q2,198000.0,118000.0,43059000.0,45357000.0,1000.0,,45472000.0,-31690000.0,24364000.0,45466000.0,-31690000.0,24364000.0,38140000.0,-21517000.0,-21517000.0,2506000.0,110000.0,-61170000.0,-148000.0,,,29628000.0
2017,Q1,191000.0,135000.0,29260000.0,1680000.0,2000.0,,1746000.0,-92303000.0,-9528000.0,1746000.0,-92303000.0,-9528000.0,-100085000.0,-44543000.0,-44543000.0,5429000.0,68000.0,-116366000.0,-427000.0,,,24490000.0
2016,Q4,95000.0,124000.0,131589000.0,3531000.0,1000.0,,3529000.0,22306000.0,95670000.0,3529000.0,22306000.0,95670000.0,121505000.0,-37862000.0,-37862000.0,1724000.0,-1000.0,-14871000.0,-48000.0,,,37225000.0
2016,Q3,112000.0,94000.0,5925000.0,,,,2329000.0,45567000.0,-28243000.0,2329000.0,45567000.0,-28243000.0,19653000.0,-36308000.0,-36308000.0,1934000.0,,-13454000.0,-1256000.0,,,60277000.0
2016,Q2,143000.0,46000.0,7413000.0,,,,-94000.0,29787000.0,-26955000.0,-94000.0,29787000.0,-26955000.0,2738000.0,-35779000.0,-35779000.0,1222000.0,,-18524000.0,-1249000.0,,,49560000.0
2016,Q1,144000.0,32000.0,41805000.0,61166000.0,3000.0,,61182000.0,-84955000.0,17434000.0,61182000.0,-84955000.0,17434000.0,-6339000.0,-25798000.0,-25798000.0,1251000.0,19000.0,-100160000.0,-109000.0,,,15314000.0
2015,Q4,140000.0,11000.0,-4534000.0,4282000.0,2000.0,,4340000.0,1638000.0,-22912000.0,4340000.0,1638000.0,-22912000.0,-16934000.0,-19857000.0,-19857000.0,1328000.0,60000.0,-12644000.0,-72000.0,,,14354000.0
2015,Q3,147000.0,35000.0,9099000.0,13955000.0,2000.0,,13950000.0,-14455000.0,-9031000.0,13950000.0,-14455000.0,-9031000.0,-9536000.0,-19475000.0,-19475000.0,1163000.0,-3000.0,-29097000.0,-115000.0,,,14757000.0
2015,Q2,136000.0,31000.0,-2690000.0,64683000.0,3000.0,,64754000.0,-4276000.0,-12117000.0,64754000.0,-4276000.0,-12117000.0,48361000.0,-10689000.0,-10689000.0,1095000.0,73000.0,-29454000.0,-27000.0,1000.0,,25205000.0
