date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,7.82,1,10.735,7.69,9.76,16384847.0,7.82,0.0,10.735,7.69,9.76,1.0,16384847.0
2018-06-30,9.98,1,11.6,7.9,9.48,32560084.0,9.98,0.0,11.6,7.9,9.48,1.0,32560084.0
2018-03-31,9.53,1,15.8579,9.29,14.98,25593122.0,9.53,0.0,15.8579,9.29,14.98,1.0,25593122.0
2017-12-31,14.87,1,20.25,14.07,19.64,21761157.0,14.87,0.0,20.25,14.07,19.64,1.0,21761157.0
2017-09-30,19.67,1,19.73,12.7839,14.27,25309339.0,19.67,0.0,19.73,12.7839,14.27,1.0,25309339.0
2017-06-30,14.37,1,16.54,8.69,9.21,61976578.0,14.37,0.0,16.54,8.69,9.21,1.0,61976578.0
2017-03-31,9.2,1,10.7,8.5801,10.66,14948345.0,9.2,0.0,10.7,8.5801,10.66,1.0,14948345.0
2016-12-31,10.41,1,11.07,7.16,9.08,12821719.0,10.41,0.0,11.07,7.16,9.08,1.0,12821719.0
2016-09-30,9.05,1,9.38,7.31,7.52,11975370.0,9.05,0.0,9.38,7.31,7.52,1.0,11975370.0
2016-06-30,7.48,1,9.99,7.0,8.91,15565317.0,7.48,0.0,9.99,7.0,8.91,1.0,15565317.0
2016-03-31,9.01,1,12.74,7.02,12.67,34642122.0,9.01,0.0,12.74,7.02,12.67,1.0,34642122.0
2015-12-31,12.92,1,13.2,7.91,9.61,25527562.0,12.92,0.0,13.2,7.91,9.61,1.0,25527562.0
2015-09-30,9.66,1,14.2,5.91,10.64,50861040.0,9.66,0.0,14.2,5.91,10.64,1.0,50861040.0
2015-06-30,10.29,1,11.12,7.27,11.12,30065247.0,10.29,0.0,11.12,7.27,11.12,1.0,30065247.0
2015-03-31,11.11,1,13.9,8.47,11.61,7583020.0,11.11,0.0,13.9,8.47,11.61,1.0,7583020.0
2014-12-31,11.64,1,21.75,8.6,21.49,15068675.0,11.64,0.0,21.75,8.6,21.49,1.0,15068675.0
2014-09-30,22.13,1,28.33,20.1,27.9,7277151.0,22.13,0.0,28.33,20.1,27.9,1.0,7277151.0
2014-06-30,27.79,1,31.0,16.41,19.69,15294700.0,27.79,0.0,31.0,16.41,19.69,1.0,15294700.0
2014-03-31,19.56,1,28.5,18.75,22.9,6236300.0,19.56,0.0,28.5,18.75,22.9,1.0,6236300.0
