,accountspayable,accountsreceivable,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,othercurrentliabilities,otherequity,othernoncurrentassets,othertaxespayable,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
"(2018, 'Q3')",4357778.0,2723222.0,5852.0,,63387329.0,285778.0,63082.0,,13039399.0,2312900.0,2000000.0,,23098.0,456930.0,,30289.0,,743964.0,-55326517.0,3653944.0,18878724.0,8060812.0,3473038.0,8817512.0,8061212.0,8061212.0,10817512.0,18878724.0,15382588.0,2000000.0,400.0
"(2018, 'Q2')",3560749.0,1930539.0,22300.0,,61270145.0,691864.0,63082.0,,13039399.0,2451230.0,2000000.0,,24238.0,456930.0,,30289.0,,737626.0,-52884334.0,3076785.0,18235621.0,8385811.0,2690465.0,7849410.0,8386211.0,8386211.0,9849410.0,18235621.0,15520918.0,2000000.0,400.0
"(2018, 'Q1')",3277528.0,2209074.0,827351.0,,53833816.0,678016.0,63082.0,,13039399.0,2589560.0,8000000.0,,25905.0,456930.0,,24902.0,,457136.0,-49987683.0,2851638.0,19173327.0,3846133.0,3493561.0,7327194.0,3846133.0,3846133.0,15327194.0,19173327.0,15653861.0,8000000.0,0.0
2017,2174543.0,2116924.0,469845.0,,52561093.0,480987.0,63082.0,,13039399.0,2727890.0,8040706.0,,27309.0,456930.0,,20384.0,,613927.0,-46179146.0,1417483.0,19015678.0,6381947.0,3200696.0,4593025.0,6381947.0,6381947.0,12633731.0,19015678.0,15787673.0,8040706.0,0.0
"(2017, 'Q3')",906479.0,12001.0,10426.0,,42486062.0,0.0,63082.0,,,10000.0,29458.0,61811.0,6851.0,456930.0,,20384.0,,122662.0,-44268615.0,570739.0,244135.0,-1782553.0,206900.0,1997230.0,-1782553.0,-1782553.0,2026688.0,244135.0,30384.0,29458.0,0.0
"(2017, 'Q2')",1060327.0,21621.0,211265.0,0.0,42039379.0,274100.0,63082.0,,,10000.0,18456.0,81036.0,7115.0,456930.0,,20384.0,,78197.0,-43997064.0,514408.0,429618.0,-1957685.0,392119.0,2368847.0,-1957685.0,-1957685.0,2387303.0,429618.0,30384.0,18456.0,0.0
"(2017, 'Q1')",1147154.0,222534.0,5656.0,,41645382.0,210837.0,63082.0,,,,,141197.0,7378.0,,,20384.0,,125492.0,-43487913.0,942762.0,522641.0,-1842531.0,494879.0,2363835.0,-1841194.0,-1841194.0,2363835.0,522641.0,20384.0,,
2016,1022382.0,192100.0,56172.0,,41646719.0,260637.0,63082.0,,0.0,0.0,0.0,120410.0,7642.0,456930.0,,20384.0,,187935.0,-43200939.0,335832.0,584643.0,-1554220.0,556617.0,2138863.0,-1554220.0,-1554220.0,2138863.0,584643.0,20384.0,,0.0
"(2016, 'Q3')",1004155.0,208647.0,38726.0,,39709518.0,86269.0,63082.0,,,,,96870.0,7905.0,,,20384.0,,10122.0,-41254345.0,772762.0,382654.0,-1544827.0,354365.0,1926268.0,-1543614.0,-1543614.0,1926268.0,382654.0,20384.0,,
"(2016, 'Q2')",1086647.0,133847.0,25989.0,0.0,39668191.0,196538.0,63082.0,,,,,294136.0,8168.0,,,20384.0,,20311.0,-41315593.0,802762.0,502835.0,-1647402.0,474283.0,2149029.0,-1646194.0,-1646194.0,2149029.0,502835.0,20384.0,,
