year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q3,8.463776,-609581.6,-0.24417,13709304.0,1.9709,14902086.0,-15511667.6,1832601.4,5648092.0,-1149789.0,679796.0,-469993.0,0.0,-1696382.0,-1690530.0,-5344474.0,5653944.0,2000000.0,5648092.0,13715156.0,0.2974,-0.2691,,,,,,,,,,,,,,,,-6.413607,-9.718045,-4.6704,-7.993493,-3.5,-0.041879,-57.262523,12.493554,-0.241426,0.740078,0.490873,0.687106,0.156894,0.25,0.501897,0.088888,0.019985,0.371728,-0.188257,-0.244123,-0.460552,-0.978225,0.628272,0.614789,0.001061,0.615851,1.000195,2.123614,-0.000195,1.29,9.019,,823.7025,4.0742,40.47,0.0,89.5888,-49.1188,0.9935,3.0457,6.4679,0.2481,0.7014,-0.48124,0.587573,-1.068813,-1.061869,-1.543109,-1.478337,-0.594126,-1.26194,6.4e-05,-1.54301,0.0,0.0,,0.266417,0.145824,0.412241,2.9e-05,0.0,0.58773,-1.8445,-1.8426,-0.6525,-1.0539,-1.0528,-0.3728,,-0.89,-0.4718,-0.89,-0.4718,-0.2813,-0.2813,-12.0067,0.3939,0.3095,-0.137531,-0.137057,-0.433294,-426624.1,-0.170886,-0.978035
2018,Q2,7.445734,-1948205.0,-0.591962,13440696.0,1.7115,15076782.0,-17024987.0,948446.0,5054485.0,-2258353.0,450145.0,-1808208.0,0.0,-2104460.0,-2082160.0,-5158945.0,5076785.0,2000000.0,5054485.0,13462996.0,0.348,-0.2948,,,,,,,,,,,,,,,,-2.64572,-3.481428,-2.776448,-4.689179,-2.0,-15.138309,-68.887569,9.215153,-0.376454,-4.24666,-0.624276,-1.448133,0.239432,0.333333,-1.999507,-0.093427,-0.030981,-0.120929,-0.549424,-0.591962,-0.6862,-0.880147,1.120929,0.471033,0.0,0.471033,1.0,1.282639,0.0,1.0824,10.3493,,644.3906,3.9846,35.2679,0.0,91.6024,-56.3345,0.8363,2.9035,3.7241,0.2385,0.6054,-1.013142,0.352839,-1.365981,-1.14235,-2.155492,-1.48347,-0.742755,-0.952686,6.2e-05,-2.155358,0.0,0.0,,0.228536,0.148555,0.377092,3e-05,0.0,0.622879,-1.9095,-1.9011,-0.7522,-1.0442,-1.0396,-0.4113,,-3.5381,-3.0522,-3.5381,-3.0522,-1.1431,-1.1431,-26.6725,0.3428,0.2488,-0.208325,-0.206118,-0.510696,-1363743.5,-0.414373,-0.880147
2018,Q1,11.433928,-795792.0,-0.150774,13870420.0,1.1106,14774508.0,-15570300.0,3012745.0,10024287.0,-1390375.0,1947319.0,556944.0,0.0,-1809346.0,-981995.0,-3833633.0,10851638.0,8000000.0,10024287.0,14697771.0,0.18,-0.5514,,,,,,,,,,,,,,,,3.0102,-4.013558,-1.869549,-12.271366,-8.0,4.640727,-58.071043,16.341891,3.159711,1.41438,0.310673,0.603319,-0.670462,-0.2,2.000378,0.165175,-0.097582,0.148173,0.105521,-0.150774,-0.263426,-0.721582,0.851827,0.298947,0.0,0.298947,1.0,2.739216,0.0,0.7312,5.9223,,432.6752,2.6109,61.6314,0.0,139.7971,-78.1657,5.4672,9.8237,26.9093,2.08,2.8214,-0.167453,0.549701,-0.717155,-3.920824,-4.088278,-1.312038,-0.192604,-0.527585,0.000667,-4.085551,0.0,0.0,,0.194018,0.5443,0.738319,0.0,0.0,0.261681,-8.0593,-7.4448,-5.9414,-3.1693,-2.9276,-2.3364,,-0.575,-0.3291,-0.575,-0.3291,0.3019,0.3019,-6.4389,0.4768,0.4144,-0.251285,-0.136381,-0.532422,-557054.4,-0.105542,-0.721582
2017,Q4,5.347668,-2006125.7,-1.581061,15370291.0,0.333,16644851.0,-18650976.7,273805.3,8988344.0,-2017004.0,672963.0,-1344041.0,10000.0,-444691.0,25154.0,-1392329.0,9458189.0,8040706.0,8988344.0,15840136.0,0.4441,-0.6531,,,,,,,,,,,,,,,,0.307021,-0.039813,-0.034205,-0.171242,0.117647,-46.732155,-4.571133,13.059292,3.809886,-20.200722,-17.802006,-17.661218,-7.39599,-6.5,-1.091934,-68.649142,13.886086,0.235395,-1.059261,-1.589634,-1.589634,-1.796851,0.764605,1.822107,0.002922,1.825029,0.994607,1.136485,0.005393,0.2395,2.0327,,134.2915,1.0387,179.5615,0.0,351.4071,-171.8456,1.9197,4.0599,4.6141,1.2599,1.482,-0.526464,0.059086,-0.585551,-1.124108,-1.650572,-1.27196,-0.380664,-0.430286,0.0,-1.650572,0.0,0.0,-72.9748,0.089487,0.507616,0.597103,0.0,0.0,0.402897,-4.3377,-4.1222,-3.6876,-3.2552,-3.0935,-2.7674,,-7.3268,-7.2873,-7.3632,-7.3236,-2.6508,-2.6872,-67.7503,0.6969,0.5632,-0.189487,0.010718,-0.593286,-2006125.7,-1.581061,-1.806595
2017,Q3,-0.647836,-107502.4,-0.407515,-1192782.0,-1.2763,-383204.0,275701.6,164047.6,589771.0,-107276.0,43880.0,-63396.0,0.0,-1230017.0,-1219591.0,-1790330.0,600197.0,29458.0,589771.0,-1182356.0,-0.1311,-0.1318,,,,,,,,,,,,,,,,-1.925178,-2.571579,-2.574896,-5.433687,-3.0,-28.387846,5.819537,-0.473338,-0.323027,0.872181,0.787124,0.791615,0.466661,0.5,-7.759267,0.099367,0.270954,0.805307,-0.240318,-0.406657,-0.406657,-1.029378,0.194693,1.157142,0.054822,1.211964,1.002111,2.525989,-0.002111,4.0775,11.5827,8.7347,173.198,0.7254,31.5124,41.7873,503.1488,-429.8492,-0.398,-0.1884,-0.476,-0.0165,-0.3367,,0.247842,,,1.812457,,-1.658128,-4.197254,-0.000365,1.813118,0.0,0.0,,-0.482713,-0.024915,-0.507628,0.0,0.0,1.507628,-0.2162,-0.2125,-0.0106,-0.2113,-0.2077,-0.0104,,-0.6553,-0.6567,-0.6553,-0.6567,-2.1309,-2.1309,1.6842,0.1036,0.0112,-0.962564,-0.954405,-1.401043,-75093.2,-0.28466,-1.02721
2017,Q2,-0.521998,-515882.9,-1.323876,-1636086.0,-1.4074,-766665.0,250782.09999999998,-6731.9,321599.0,-503936.0,7955.0,-495981.0,0.0,-1673585.0,-1462320.0,-1976728.0,532864.0,18456.0,321599.0,-1424821.0,-0.1541,-0.1549,,,,,,,,,,,,,,,,0.27796,0.266661,0.248653,0.267645,0.333333,1.201439,1.45356,-0.881811,-0.082007,-0.790164,-0.817145,-0.860224,-0.774206,-1.0,1.257381,1.951424,-0.809653,0.335971,-1.272804,-1.293218,-1.293218,-1.306601,0.664029,1.522922,0.106268,1.629189,1.023707,0.986951,-0.023707,3.7817,22.6817,5.4038,230.7319,0.9443,16.0923,67.545,386.5357,-302.8984,-0.3048,-0.2587,-0.2554,-0.0094,-0.2722,,-0.012258,,,1.488103,,-4.890588,-4.941198,-0.000335,1.488601,0.0,0.0,,-0.361033,-0.012953,-0.373987,0.0,0.0,1.373987,-0.2015,-0.1216,-0.007,-0.2,-0.1207,-0.0069,,,,,,,,,0.1655,0.0983,-0.949208,-0.829385,-1.121142,-352755.2,-0.905253,-1.276342
2017,Q1,2.973258,-277323.0,-0.653313,-904088.0,-2.4394,-13737.0,-263586.0,9651.0,937106.0,-277323.0,264.0,-277059.0,0.0,-931850.0,-926194.0,-1868956.0,942762.0,0.0,937106.0,-898432.0,-0.1378,-0.1378,,,,,,,,,,,,,,,,0.468571,0.468064,0.46749,0.457271,0.5,0.551791,0.507965,-0.015429,1.123582,0.85715,0.857033,0.857033,0.852576,0.882353,-13.566021,0.921266,0.290667,0.104781,-0.652691,-0.653313,-0.653313,-0.676049,0.895219,0.737222,0.020872,0.758094,1.0,1.034801,0.0,3.5021,15.4211,5.3225,,1.241,23.6689,68.5768,294.1251,-201.8794,-0.4468,-0.3853,-0.3987,0.0,-0.512,,0.013319,,,1.768078,,-2.287998,-2.367621,-0.000785,1.769465,0.0,0.0,,-1.049342,0.0,-1.049342,0.0,0.0,2.05083,-0.3325,-0.3306,0.0,-0.3325,-0.3305,0.0,,-28.7352,-28.7352,-28.7352,-28.7352,-20.7767,-20.7767,-27.3118,0.2094,0.0965,-0.425759,-0.423175,-0.853919,-194126.1,-0.457319,-0.676049
2016,Q4,-0.103889,-1939776.0,-9.70412,-1274560.0,-0.9456,1408013.0,-3347789.0,6817.0,279660.0,-1939776.0,264.0,-1939512.0,1.0,-1302586.0,-1246414.0,-1582246.0,335832.0,0.0,279660.0,-1218388.0,-0.1282,-0.1282,,,,,,,,,,,,,,,,0.058447,0.106443,0.106395,0.150928,0.37037,1.068461,-8.104081,0.524874,-0.733151,-29.30454,-29.417463,-29.417463,-32.782667,-18.0,0.252807,-57.522664,-0.574351,0.985532,-9.7028,-9.70412,-9.70412,-9.738224,0.014468,10.55629,0.133362,10.689652,1.0,1.003514,0.0,3.3335,11.5336,6.567,,0.4948,31.6467,55.5812,737.6028,-650.3749,-0.1764,-0.2336,-0.2345,0.0,-0.2161,,0.016089,,,1.294325,,-32.348479,-32.462162,-0.000231,1.294624,0.0,0.0,15957.0,-0.275636,0.0,-0.275636,0.0,0.0,1.275636,-0.1091,-0.0908,0.0,-0.1091,-0.0908,0.0,,-284.5498,-284.5498,-284.5499,-284.5499,2.3408,2.3406,-491.0942,0.2602,0.1161,-0.696187,-0.666165,-0.845655,-1357843.2,-6.792884,-9.738224
2016,Q3,4.267813,68260.0,0.091125,-809578.0,-2.1715,125465.0,-57205.0,7013.0,734036.0,68260.0,263.0,68523.0,0.0,-837867.0,-799141.0,-1571903.0,772762.0,0.0,734036.0,-770852.0,-0.1276,-0.1276,,,,,,,,,,,,,,,,1.165081,1.13853,1.13853,1.10258,1.090909,1.420044,0.971476,0.134181,-0.081127,1.099755,1.099334,1.099416,1.088097,1.166667,1.049715,0.89654,0.068831,0.503365,0.091476,0.091125,0.091125,0.081763,0.496635,0.37685,0.03539,0.41224,1.0,0.89726,0.0,8.2842,16.4251,13.6283,,0.9918,22.222,26.7824,368.0352,-319.0307,-0.6228,-0.0989,-0.0887,0.0,-0.5006,,0.004868,,,1.493953,,0.754893,0.677335,-0.000262,1.494344,0.0,0.0,,-1.002478,0.0,-1.002478,0.0,0.0,2.004051,-0.2415,-0.2294,0.0,-0.2335,-0.2218,0.0,,9.7334,9.7334,9.7334,9.7334,1.8162,1.8162,-8.157,0.184,0.1284,-0.442332,-0.421888,-0.829849,47782.0,0.063787,0.081763
2016,Q2,9.31975,-686611.0,-0.842241,-869421.0,-1.604,-133692.0,-552919.0,8613.0,776773.0,-687180.0,264.0,-686916.0,8432.0,-897973.0,-871984.0,-1674746.0,802762.0,0.0,776773.0,-843432.0,-0.1364,-0.1364,,,,,,,,,,,,,,,,-15.814334,-3.956221,-2.067676,-2.433917,-0.5,-1.086769,0.690719,-0.181714,6.630565,-0.317579,-0.318086,-0.318415,-0.314817,-0.5,0.42732,-0.032131,0.023508,0.343748,-0.842615,-0.842241,-0.842939,-0.852806,0.656252,0.958102,0.227887,1.185989,1.0,1.011706,0.0,4.9161,16.7351,,,0.63,21.8105,0.0,579.4014,-557.5909,-0.6766,-0.1055,-0.1067,0.0,-0.4876,,0.005129,,,1.657574,,-4.143992,-4.192501,-0.000243,1.657977,0.0,0.0,-30.384369,-0.95178,0.0,-0.95178,0.0,0.0,1.953213,-0.2179,-0.2109,0.0,-0.2074,-0.2007,0.0,,-85.4276,-85.3569,-86.4759,-86.4051,-31.85,-32.8982,-68.7368,0.2207,0.0744,-0.697552,-0.677363,-1.300954,-480627.7,-0.589569,-0.852806
