year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofplantpropertyandequipment,repaymentofdebt,saleofplantpropertyandequipment
2018,Q3,,540326.0,,,139470.0,-36044.0,,347000.0,347000.0,,-363448.0,347000.0,,-363448.0,-16448.0,-2442183.0,-2442183.0,1434983.0,,,,,
2018,Q2,,310148.0,,,139997.0,781628.0,,,-70000.0,-5387.0,-729664.0,-70000.0,-5387.0,-729664.0,-805051.0,-2896651.0,-2896651.0,935214.0,,-5387.0,,-70000.0,
2018,Q1,,1807585.0,0.0,91043.0,139734.0,1167626.0,,50000.0,-368000.0,-4518.0,730024.0,-368000.0,-4518.0,730024.0,357506.0,-3808537.0,-3808537.0,1423616.0,,-4518.0,,-418000.0,
2017,Q4,-2990000.0,626209.0,,,46754.0,-150094.0,1230000.0,3029167.0,4189167.0,-3000000.0,-729748.0,4189167.0,-3000000.0,-729748.0,459419.0,-2279930.0,-2279930.0,1027313.0,,,-10000.0,-70000.0,
2017,Q3,,43616.0,,,264.0,-315331.0,,148000.0,148000.0,,-348839.0,148000.0,,-348839.0,-200839.0,-271551.0,-271551.0,194163.0,,,,,
2017,Q2,-10000.0,7692.0,,,263.0,239190.0,,164000.0,164000.0,-10000.0,51609.0,164000.0,-10000.0,51609.0,205609.0,-509151.0,-509151.0,313615.0,,,,,
2017,Q1,,0.0,0.0,0.0,264.0,135994.0,,150000.0,150000.0,,-200516.0,150000.0,0.0,-200516.0,-50516.0,-286974.0,-286974.0,-49800.0,,0.0,,0.0,
2016,Q4,,,,,264.0,178100.0,,20000.0,20000.0,-18511.0,15957.0,20000.0,-18511.0,15957.0,17446.0,-1946593.0,-1946593.0,1784186.0,,-18510.0,-1.0,,
2016,Q3,,,,,263.0,-48773.0,,60000.0,,,12737.0,,,12737.0,12737.0,61247.0,61247.0,,,,,-60000.0,
2016,Q2,,,,,264.0,-12762.0,,,,-8432.0,-256201.0,,-8432.0,-256201.0,-264633.0,-695224.0,-695224.0,451521.0,,,-8432.0,,
2016,Q1,,,0.0,0.0,0.0,99899.0,503000.0,0.0,503000.0,,-447372.0,503000.0,,-447372.0,55628.0,-528761.0,-528761.0,-18510.0,,,,,
2015,Q4,,110940.0,,,,32158.0,500000.0,-40000.0,460000.0,-1874.0,-233080.0,460000.0,-1874.0,-233080.0,225046.0,-2292613.0,-2292613.0,1916435.0,,-1874.0,,,
2015,Q3,,77659.0,,,,159314.0,,40000.0,40000.0,,-30323.0,40000.0,,-30323.0,9677.0,-597066.0,-597066.0,329770.0,,,,,
2015,Q2,,97797.0,,,,95998.0,,,,,-122774.0,,,-122774.0,-122774.0,-202458.0,-202458.0,-114111.0,,,,,
2015,Q1,,93866.0,0.0,0.0,,25704.0,0.0,200000.0,200000.0,,-195460.0,200000.0,,-195460.0,4540.0,-1315030.0,-1315030.0,1000000.0,,,,,
2014,Q4,,95773.0,,,,-926559.0,400000.0,,400000.0,,-324965.0,400000.0,,-324965.0,75035.0,-556205.0,-556205.0,1062026.0,,,,,
2014,Q3,,83772.0,4159.0,,,148106.0,,,,,-267291.0,,,-267291.0,-267291.0,-487169.0,-487169.0,-12000.0,,,,,
2014,Q2,,79012.0,,,,34209.0,,400000.0,400000.0,,-215612.0,400000.0,,-215612.0,184388.0,-548667.0,-548667.0,219834.0,,,,,
2014,Q1,,77004.0,0.0,0.0,,29633.0,,0.0,0.0,,-218753.0,,,-218753.0,-218753.0,-325390.0,-325390.0,0.0,,,,,
2013,Q4,,36753.0,,,,101127.0,,400000.0,400000.0,,-146984.0,400000.0,,-146984.0,253016.0,-284864.0,-284864.0,,,,,,
2013,Q3,,25414.0,,,,17486.0,,20000.0,20000.0,,-107818.0,20000.0,,-107818.0,-87818.0,-150718.0,-150718.0,,,,,,
2013,Q2,,510.0,,,,28720.0,,180000.0,180000.0,,-683.0,180000.0,,-683.0,179317.0,-29913.0,-29913.0,,,,,,
2013,Q1,,0.0,0.0,0.0,0.0,59158.0,0.0,0.0,-10000.0,,5698.0,-10000.0,0.0,5698.0,-4302.0,-51435.0,-51435.0,-2025.0,0.0,,0.0,-10000.0,0.0
2012,Q4,,,,,,80232.0,,,,,-17273.0,,,-17273.0,-17273.0,-97505.0,-97505.0,,,,,,
2012,Q3,,,,,,82713.0,,,,,20848.0,,,20848.0,20848.0,-61865.0,-61865.0,,,,,,
2012,Q2,,,,,,-9.0,,30000.0,30000.0,,-29099.0,30000.0,,-29099.0,901.0,-45278.0,-45278.0,16188.0,,,,,
2012,Q1,,0.0,0.0,0.0,0.0,-439464.0,0.0,100000.0,-3426523.0,,3424374.0,-3426523.0,0.0,3424374.0,-2149.0,4339710.0,4339710.0,-475872.0,0.0,,0.0,-3526523.0,0.0
