,accountspayable,accountsreceivable,aoci,cashandequivalents,commonequity,currentdeferredrevenue,intangibleassets,netinventory,netppe,noncurrentdeferredrevenue,noncurrentnotereceivables,notereceivable,othercurrentassets,otherequity,othernoncurrentassets,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
"(2018, 'Q1')",1379538.0,446393.0,-16843.0,647267.0,118139926.0,,1087890.0,973947.0,259265.0,,,,33243.0,0.0,285867.0,383901.0,-106705838.0,,8679010.0,12796783.0,11417245.0,11163761.0,1379538.0,11417245.0,11417245.0,1379538.0,12796783.0,1373757.0,,0.0
2017,1785037.0,981261.0,0.0,438432.0,110647169.0,,1130667.0,947612.0,235113.0,,,,0.0,-3469.0,196211.0,396987.0,-104845847.0,,5011607.0,9337890.0,5797853.0,7775899.0,1785037.0,7552853.0,7552853.0,1785037.0,9337890.0,1326878.0,,1755000.0
"(2017, 'Q3')",1657792.0,1146845.0,0.0,135133.0,104628437.0,12500.0,1173444.0,2148007.0,242048.0,,,,,-8788.0,129549.0,480268.0,-100824469.0,,10178.0,5465472.0,3795180.0,3920431.0,1670292.0,3795180.0,3795180.0,1670292.0,5465472.0,1302993.0,,0.0
"(2017, 'Q2')",1535552.0,940624.0,1009.0,197175.0,104624119.0,,1216221.0,2228839.0,260756.0,,,,,-14163.0,179496.0,464965.0,-99646816.0,,1011625.0,6499701.0,4964149.0,4843228.0,1535552.0,4964149.0,4964149.0,1535552.0,6499701.0,1395717.0,,0.0
"(2017, 'Q1')",1359187.0,554585.0,156.0,2085082.0,104594633.0,,1258998.0,2169732.0,258225.0,,,,,-19369.0,259449.0,362254.0,-98828807.0,,157475.0,7105800.0,5746613.0,5329128.0,1359187.0,5746613.0,5746613.0,1359187.0,7105800.0,1518447.0,,0.0
2016,1697430.0,656945.0,0.0,72700.0,100891786.0,,1301775.0,2036521.0,259392.0,,,,,-24572.0,336996.0,370777.0,-97479537.0,,50001.0,5085107.0,3387677.0,3186944.0,1697430.0,3387677.0,3387677.0,1697430.0,5085107.0,1638771.0,,0.0
"(2016, 'Q3')",1309406.0,799774.0,-2540.0,195860.0,100886637.0,,1344552.0,1942516.0,245553.0,,,,,-29891.0,343198.0,308511.0,-96383706.0,,599942.0,5779906.0,4470500.0,3846603.0,1309406.0,4470500.0,4470500.0,1309406.0,5779906.0,1687750.0,,0.0
"(2016, 'Q2')",1565702.0,638798.0,297.0,379531.0,100848374.0,,1387329.0,1217242.0,304255.0,,,,,-36482.0,66813.0,142034.0,-96693860.0,,1548029.0,5684031.0,4118329.0,3925634.0,1565702.0,4118329.0,4118329.0,1565702.0,5684031.0,1454142.0,,0.0
"(2016, 'Q1')",1543173.0,862742.0,2303.0,180390.0,100793649.0,,1430106.0,1212158.0,321215.0,,,,,,66813.0,138306.0,-95684928.0,,2442467.0,6654197.0,5111024.0,4836063.0,1543173.0,5111024.0,5111024.0,1543173.0,6654197.0,1496919.0,,0.0
2015,1668731.0,736284.0,-6231.0,402059.0,100785408.0,,1472883.0,1131654.0,251145.0,,,,,0.0,66813.0,185967.0,-94175999.0,,4025104.0,8271909.0,6603178.0,6481068.0,1668731.0,6603178.0,6603178.0,1668731.0,8271909.0,1539696.0,,0.0
