year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q1,-0.546684,-1893457.0,-6.259879,2090968.0,1.0688,-1413088.0,-480369.0,-33466.0,-9326277.0,-1890582.0,59921.0,-1830661.0,37827.0,457946.0,9784223.0,9784223.0,0.0,0.0,-9326277.0,11417245.0,0.1841,0.1666,51453800.0,42127523.0,4.5067,4.9813,17.209,,0.0,-0.153089,20.1474,14.0898,,,,,,-0.423657,-0.398559,-0.390047,-0.378517,0.842105,-0.152856,0.797998,-0.403272,-0.677796,0.536829,0.530267,0.418007,0.537475,0.918919,-0.262928,0.770294,-0.005633,0.016448,-6.052272,-6.259879,-6.250374,-6.149239,0.983552,3.026806,1.454566,6.276327,1.0,0.983819,0.0,0.3005,5.974,1.5554,11.5555,1.7854,61.0978,234.6594,204.4317,91.3255,-0.674,1.1596,1.1408,0.0,0.0,-6.690461,0.005786,-6.696247,4.513424,-2.177037,-2.048966,-1.87797,-1.847583,0.0,-2.177037,0.0,0.0,-47.594893,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3684,,,,,,,,8.0924,7.084,0.153162,3.272384,3.272384,-1325419.9,-4.381916,-6.149239
2017,Q4,0.437175,-3253399.0,-3.465598,2102814.0,1.2499,-1162162.0,-2091237.0,767989.0,-5450039.0,-4024801.0,72347.0,-3952454.0,17316.0,540823.0,5990862.0,5990862.0,0.0,0.0,-5450039.0,7552853.0,0.6168,0.4965,1259600.0,-2435439.0,0.2173,0.2699,0.3755,,0.0,-5.848134,,,,,,,,-2.859762,-2.680491,-1.962653,-2.669712,-0.85,-1.229173,0.04383,-0.355948,0.38906,-2.473176,-2.408621,-1.762793,-2.414774,-1.846154,-0.342801,-0.814134,-0.423866,-0.6333,-4.210247,-3.465598,-4.287313,-4.283678,1.6333,1.749406,0.32772,2.832298,1.0,0.999152,0.0,0.4652,4.0956,1.6126,13.568,1.3819,89.1202,226.3401,264.1377,51.3226,-0.5094,1.3183,1.3172,0.0,0.0,-4.331795,-0.275623,-4.056171,2.066078,-2.265717,-2.031237,-1.994412,-1.992721,0.160413,-1.902267,0.0,0.0,-82.325826,0.0,0.0,0.0,0.232363,0.0,0.767637,0.0,0.0,0.0,0.0,0.0,0.0,-15.589,,,,,,,,4.3562,3.6029,0.161213,1.785805,1.785805,-2277379.3,-2.425918,-4.283678
2017,Q3,0.102142,-1177576.0,-1.742412,3649869.0,0.838,-24829.0,-1152747.0,68.0,-145311.0,-1180771.0,42777.0,-1137994.0,0.0,2104828.0,2250139.0,2250139.0,0.0,0.0,-145311.0,3795180.0,0.4268,0.2948,7202584.0,7057273.0,1.8978,2.7473,2.3468,,0.0,-0.61655,1.9336,2.2994,,,,,,-3.599555,-4.872764,-4.90881,-4.796953,-3.166667,0.050344,-2.436989,-0.006757,-0.370067,-0.464775,-0.44052,-0.43491,-0.439649,-0.444444,-0.029139,0.516717,-0.028088,0.52129,-1.683844,-1.742412,-1.747139,-1.742513,0.47871,1.212677,0.429763,2.263702,1.0,0.997352,0.0,0.5459,3.1533,0.6074,12.5888,0.8374,115.7514,600.8938,435.8785,280.7667,-0.1139,1.3605,1.3569,0.0,0.0,-1.460214,-0.000145,-1.46007,0.16624,-1.293974,-1.210638,-0.953677,-0.951151,0.0,-1.293974,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.8966,,,,,,,,2.3472,0.7736,0.685802,0.733148,0.733148,-824303.2,-1.219688,-1.742513
2017,Q2,0.121669,-820662.0,-0.764929,3755349.0,1.0113,1564580.0,-2385242.0,-2654.0,-1208800.0,-819684.0,42777.0,-776907.0,20417.0,2098876.0,3307676.0,3307676.0,0.0,0.0,-1208800.0,4964149.0,0.5455,0.4119,11375000.0,10166200.0,2.2914,3.035,3.7835,,0.0,-0.2596,2.7071,3.3814,,,,,,0.190669,0.194306,0.191308,0.189234,0.526316,-0.482379,-2.066563,0.714169,0.607885,0.39582,0.393638,0.397526,0.39374,0.526316,0.339443,-0.003028,0.071715,0.729144,-0.724145,-0.764929,-0.764017,-0.762455,0.270856,0.773566,0.292522,1.494072,1.0,0.997955,0.0,0.4935,3.8071,0.6706,10.6423,0.7452,95.8733,544.2642,489.8032,150.3343,-0.3453,1.3415,1.3387,0.0,0.0,-0.773536,0.001692,-0.775228,0.267702,-0.505834,-1.528483,-0.377065,-0.376294,0.0,-0.505834,0.0,0.0,-50.524955,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.3617,,,,,,,,3.1541,1.3998,0.69811,1.10017,1.10017,-574463.4,-0.53545,-0.762455
2017,Q1,-0.095895,-1362153.0,-2.041443,3504056.0,0.9646,1015889.0,-2378042.0,-12883.0,-2242557.0,-1351807.0,65921.0,-1285886.0,16774.0,1727384.0,3969941.0,3969941.0,0.0,0.0,-2242557.0,5746613.0,0.8094,0.6321,12780000.0,10537443.0,2.2239,2.8478,4.4219,,0.0,-0.246,3.0072,3.646,,,,,,0.120903,0.110193,0.10205,0.105809,0.321429,0.09198,-2.314255,0.408288,0.021502,-0.25573,-0.236164,-0.240422,-0.231275,0.05,-1.44201,-0.087305,0.073226,0.612258,-1.927143,-2.041443,-2.025938,-2.022136,0.387742,1.184757,0.522206,2.653701,1.0,0.998123,0.0,0.4201,4.0783,0.6752,9.9756,0.7868,89.4982,540.555,463.9078,166.1454,-0.4481,1.2673,1.2649,0.0,0.0,-1.969237,0.005296,-1.974533,0.884808,-1.08443,-1.398386,-0.851053,-0.849456,0.0,-1.08443,0.0,0.0,-93.100215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.3805,,,,,,,,3.9208,2.058,0.597682,1.373616,1.373616,-953507.1,-1.42901,-2.022136
2016,Q4,0.393926,-1098137.0,-1.681152,3264976.0,1.0884,1088961.0,-2187098.0,-2305.0,-122701.0,-1093550.0,69535.0,-1024015.0,35278.0,1366813.0,1489514.0,1489514.0,0.0,0.0,-122701.0,3387677.0,0.6273,0.3863,10260000.0,10137299.0,3.0286,4.9187,3.4651,,0.0,-0.321982,3.1049,3.4237,,,,,,0.730569,0.716634,0.694053,0.693644,0.710145,0.43502,-2.219921,0.500438,0.065243,-3.339189,-4.586692,-4.645123,-4.533175,-4.333333,0.42795,-3.726389,-0.111498,0.434311,-1.567678,-1.681152,-1.67413,-1.677623,0.565689,1.088041,0.391927,2.115463,1.0,1.002087,0.0,0.4433,4.2504,0.6837,11.5992,0.6435,85.8736,533.837,567.1976,52.513,-0.4554,1.3369,1.3397,0.0,0.0,-1.829719,0.001013,-1.830733,0.833721,-0.995999,-1.62382,-0.742224,-0.743773,0.0,-0.995999,0.0,0.0,-18.127417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.9867,,,,,,,,1.8775,0.4593,0.461619,0.503059,0.503059,-768695.9,-1.176807,-1.677623
2016,Q3,2.618264,301262.0,0.491296,3674698.0,0.7073,-500934.0,802196.0,-8893.0,-795802.0,304891.0,132874.0,437765.0,6561.0,1741395.0,2537197.0,2537197.0,0.0,0.0,-795802.0,4470500.0,0.8116,0.5675,18502651.8,17706849.8,4.1388,5.9191,6.6645,,0.0,-0.312642,4.8186,6.3778,,,,,,1.193121,1.129886,1.128447,1.133291,1.133333,-0.078371,1.488298,-0.119966,-0.358905,1.456035,1.299687,1.296868,1.307409,1.315789,-0.606449,-0.641297,0.677355,0.613991,0.713905,0.491296,0.497215,0.505799,0.386009,0.910461,0.403749,0.122694,1.0,1.017265,0.0,0.3298,2.7617,0.6343,12.0786,0.7164,132.1645,575.4055,509.4827,198.0873,-0.4498,1.1798,1.2002,0.0,0.0,0.3475,0.002771,0.344729,-0.155067,0.192433,-1.354898,0.164,0.166832,0.0,0.192433,0.0,0.0,-170.386679,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6864,,,,,,,,2.9377,1.2185,0.627233,0.913872,0.913872,210883.4,0.343908,0.505799
2016,Q2,-0.010793,-1014802.0,-1.060969,2190769.0,0.6112,-3251184.0,2236382.0,-5870.0,-1927560.0,-1017364.0,57427.0,-959937.0,-2310.0,432372.0,2359932.0,2359932.0,0.0,0.0,-1927560.0,4118329.0,0.7588,0.5032,17475780.4,15548220.4,4.2434,6.399,7.492,,0.0,-0.48191,7.0972,6.6656,,,,,,0.53008,0.520869,0.520651,0.516385,0.536585,0.595839,1.815355,-0.59743,0.296011,0.343738,0.330335,0.331028,0.331359,0.321429,0.59538,0.235965,-0.119525,0.710557,-1.003608,-1.060969,-1.063648,-1.054832,0.289443,0.853378,0.336637,1.771526,1.0,0.991712,0.0,0.2459,1.812,0.8438,8.9957,0.6301,201.4326,432.5917,579.2725,54.7518,-0.5299,1.1682,1.1585,0.0,0.0,-0.648473,0.001364,-0.649837,0.344372,-0.3041,-1.366435,-0.2616,-0.259432,0.0,-0.3041,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.8012,,,,,,,,2.5073,1.6391,0.185361,1.011722,1.011722,-710361.4,-0.742678,-1.054832
2016,Q1,0.446971,-1516958.0,-2.055435,2488167.0,0.5644,-3326380.0,1809422.0,-8029.0,-2622857.0,-1519214.0,56479.0,-1462735.0,83772.0,670033.0,3292890.0,3292890.0,0.0,0.0,-2622857.0,5111024.0,0.9421,0.6785,9114075.6,6491218.6,1.7832,2.476,3.8899,,0.0,-1.042239,2.6088,2.7704,,,,,,-0.148596,-0.122146,-0.115249,-0.141572,-0.076923,-0.384773,1.538267,-0.572079,0.574926,0.615137,0.606334,0.577368,0.578157,0.594203,-0.519446,3.663894,0.143451,0.728968,-1.981964,-2.055435,-2.058491,-2.044556,0.271032,1.251397,0.49225,2.784402,1.0,0.99323,0.0,0.2129,1.6229,0.8473,8.4969,0.7479,224.9048,430.7574,488.0035,167.6587,-0.5703,1.1395,1.1317,0.0,0.0,-1.160087,0.001458,-1.161545,0.662378,-0.49771,-1.503441,-0.438177,-0.43521,0.0,-0.49771,0.0,0.0,-20.530189,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.3953,,,,,,,,3.1338,2.2587,0.285969,1.405401,1.405401,-1061870.6,-1.438804,-2.044556
2015,Q4,-0.676104,-3589308.6,-7.659512,2176015.0,0.5825,-2910069.0,-679239.6000000001,-12316.6,-4427163.0,-3859144.0,58483.0,-3800661.0,52697.0,385174.0,4812337.0,4812337.0,0.0,0.0,-4427163.0,6603178.0,1.2844,0.9979,6220513.2,1793350.2,0.942,1.2125,2.9411,,0.0,-1.496969,0.8241,0.8479,,,,,,-3.498787,-3.137631,-2.849178,-2.921057,-2.631579,-0.004638,0.59867,-0.572163,1.765089,-0.676671,-0.644028,-0.530353,-0.53724,-0.533333,-0.091865,0.586546,-0.478878,0.561523,-8.110534,-8.236266,-8.235335,-7.633229,0.438477,1.758858,0.860954,8.797788,0.929974,0.996681,0.070026,0.1697,1.5129,0.9336,9.3456,0.5929,241.2575,390.9483,615.5993,16.6065,-0.6608,1.1641,1.1602,0.0,0.0,-4.461589,0.001741,-4.46333,2.949409,-1.51218,-1.79011,-1.397769,-1.295575,0.0,-1.51218,0.0,0.0,-21.479325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.2882,,,,,,,,3.8838,3.0942,0.182111,2.275283,2.275283,-3589308.6,-7.659512,-8.208003
