year,period,acquisitions,amortizationexpense,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofpreferredequity,saleofinvestments
2018,Q1,,3469.0,56452.0,-10923.0,0.0,,,5717325.0,-3708118.0,-1800372.0,5717325.0,-3708118.0,-1800372.0,208835.0,-1859991.0,-1859991.0,10621.0,5717325.0,,,-3972386.0,-37827.0,,,302095.0
2017,Q4,,5319.0,67028.0,-177568.0,2390586.0,,3675000.0,6746334.0,-5017481.0,-1425554.0,6746334.0,-5017481.0,-1425554.0,303299.0,-4021378.0,-4021378.0,2701045.0,680748.0,,,-5000193.0,-17316.0,,,28.0
2017,Q3,,0.0,0.0,0.0,,,,,999585.0,-1061627.0,,999585.0,-1061627.0,-62042.0,-1177653.0,-1177653.0,116026.0,,,,-3980.0,,,,1003565.0
2017,Q2,,0.0,0.0,0.0,-39550.0,,,16700.0,-873039.0,-1031568.0,16700.0,-873039.0,-1031568.0,-1887907.0,-818009.0,-818009.0,-213559.0,56250.0,,,-1502958.0,-20417.0,,,650336.0
2017,Q1,,5203.0,60718.0,-307690.0,3452861.0,,,3697811.0,-123766.0,-1561663.0,3697811.0,-123766.0,-1561663.0,2012382.0,-1349270.0,-1349270.0,29376.0,244950.0,,,-1202210.0,-16774.0,,,1095218.0
2016,Q4,,5319.0,64216.0,330498.0,,,,,516339.0,-639499.0,,516339.0,-639499.0,-123160.0,-1095831.0,-1095831.0,56299.0,,,,1416.0,-35278.0,,,550201.0
2016,Q3,,24834.0,108040.0,-344773.0,,,,,934236.0,-1117907.0,,934236.0,-1117907.0,-183671.0,310154.0,310154.0,-1216162.0,,,,-9717.0,-6561.0,,,950514.0
2016,Q2,,,57427.0,91465.0,,,,,895028.0,-695887.0,,895028.0,-695887.0,199141.0,-1008932.0,-1008932.0,164153.0,,,,-8145.0,2310.0,,,900863.0
2016,Q1,,,56479.0,-284859.0,0.0,,,,1498186.0,-1719855.0,0.0,1498186.0,-1719855.0,-221669.0,-1508929.0,-1508929.0,17454.0,0.0,,,-19498.0,-83772.0,,,1601456.0
2015,Q4,,,58483.0,694222.0,,,,,1140583.0,-1131896.0,,1140583.0,-1131896.0,8687.0,-3576992.0,-3576992.0,1692391.0,,42.0,,-8621.0,-52697.0,,,1201859.0
2015,Q3,,,80581.0,735009.0,,,,,1168801.0,-1036663.0,,1168801.0,-1036663.0,132138.0,-2326893.0,-2326893.0,474640.0,,,,-17764.0,-15745.0,,,1202310.0
2015,Q2,584.0,,80582.0,-572573.0,,,,,1646799.0,-1721808.0,,1646799.0,-1721808.0,-75009.0,-3408028.0,-3408028.0,2178211.0,,655.0,,-7327.0,1.0,,,1652886.0
2015,Q1,-64675.0,,80349.0,-2327.0,,,,,1122378.0,-1241976.0,,1122378.0,-1241976.0,-119598.0,,,-1319998.0,,5355.0,,-27228.0,-44510.0,,,1253436.0
2014,Q4,,,87875.0,-292695.0,,,,,939997.0,-1126671.0,,939997.0,-1126671.0,-186674.0,,,-921851.0,,,-15793.0,-13904.0,-1.0,,15793.0,953902.0
2014,Q3,,,87876.0,-126590.0,,,,,1202707.0,-962474.0,,1202707.0,-962474.0,240233.0,1090595.0,1090595.0,-2014355.0,,,,-23229.0,-23327.0,,,1249263.0
2014,Q2,,,86822.0,-1088146.0,,,,-15793.0,1074680.0,-962414.0,-15793.0,1074680.0,-962414.0,96473.0,-494995.0,-494995.0,533905.0,,,,-4989.0,-1660.0,,-15793.0,1081329.0
2014,Q1,0.0,,86825.0,-318926.0,13846360.0,,,13538860.0,-12504315.0,-832370.0,13538860.0,-12504315.0,-832370.0,202175.0,-595600.0,-595600.0,-4669.0,,4669.0,,-12508984.0,0.0,-307500.0,,0.0
2013,Q4,,,88598.0,-168697.0,-40.0,307500.0,,307460.0,-23406.0,-861657.0,307460.0,-23406.0,-861657.0,-577603.0,-781558.0,-781558.0,,,,,,-23406.0,,,
2013,Q3,,,89514.0,-364022.0,,,,,-28886.0,-843761.0,,-28886.0,-843761.0,-872647.0,-544253.0,-544253.0,-25000.0,,,,,-28886.0,,,
2013,Q2,,,88141.0,-206719.0,1600000.0,,,1600000.0,36886.0,-604504.0,1600000.0,36886.0,-604504.0,1032382.0,-261330.0,-261330.0,-224596.0,,100000.0,,,-63114.0,,,
2013,Q1,,,88144.0,-878363.0,0.0,,225000.0,225000.0,83560.0,-420080.0,225000.0,83560.0,-420080.0,-111520.0,60368.0,60368.0,309771.0,,91286.0,,0.0,-7726.0,0.0,,
