date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,0.2661,1,0.41,0.2,0.4,62392733.0,0.2661,0.0,0.41,0.2,0.4,1.0,62392733.0
2018-06-30,0.3872,1,0.9,0.31,0.8405,418898644.0,0.3872,0.0,0.9,0.31,0.8405,1.0,418898644.0
2018-03-31,0.8299,1,0.9803,0.126,0.139,1134109218.0,0.8299,0.0,0.9803,0.126,0.139,1.0,1134109218.0
2017-12-31,0.134,1,1.82,0.122,0.81,63264317.0,0.134,0.0,1.82,0.122,0.81,1.0,63264317.0
2017-09-30,0.81,1,1.3,0.6992,1.3,4524871.0,0.81,0.0,1.3,0.6992,1.3,1.0,4524871.0
2017-06-30,1.25,1,2.1,1.15,1.75,4858472.0,1.25,0.0,2.1,1.15,1.75,1.0,4858472.0
2017-03-31,1.8,1,2.9,1.15,1.825,14040319.0,1.8,0.0,2.9,1.15,1.825,1.0,14040319.0
2016-12-31,1.9,1,3.6,1.55,3.19,2929163.0,1.9,0.0,3.6,1.55,3.19,1.0,2929163.0
2016-09-30,3.3589,1,3.7,2.47,3.3,2121225.0,3.3589,0.0,3.7,2.47,3.3,1.0,2121225.0
2016-06-30,3.22,1,3.5,1.43,1.506,5047425.0,3.22,0.0,3.5,1.43,1.506,1.0,5047425.0
2016-03-31,1.68,1,2.47,1.08,1.23,2816201.0,1.68,0.0,2.47,1.08,1.23,1.0,2816201.0
2015-12-31,1.21,1,3.73,1.12,3.06,1171598.0,1.21,0.0,3.73,1.12,3.06,1.0,1171598.0
2015-09-30,3.15,1,4.54,2.25,4.47,1775893.0,3.15,0.0,4.54,2.25,4.47,1.0,1775893.0
2015-06-30,4.35,1,5.2799,3.65,4.15,1801803.0,4.35,0.0,5.2799,3.65,4.15,1.0,1801803.0
2015-03-31,4.24,1,4.85,3.08,3.9901,769744.0,4.24,0.0,4.85,3.08,3.9901,1.0,769744.0
2014-12-31,3.99,1,4.3,2.43,3.7,1619800.0,3.99,0.0,4.3,2.43,3.7,1.0,1619800.0
2014-09-30,3.6,1,5.09,2.56,4.3299,1162655.0,3.6,0.0,5.09,2.56,4.3299,1.0,1162655.0
2014-06-30,4.26,1,4.65,3.075,4.6,1239300.0,4.26,0.0,4.65,3.075,4.6,1.0,1239300.0
2014-03-31,4.56,1,5.52,4.3,5.5,1954900.0,4.56,0.0,5.52,4.3,5.5,1.0,1954900.0
