date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,9.915,1,12.035,9.67,11.0,77709773.0,9.915,0.0,12.035,9.67,11.0,1.0,77709773.0
2018-06-30,11.02,1,13.32,8.56,9.31,207339807.0,11.02,0.0,13.32,8.56,9.31,1.0,207339807.0
2018-03-31,9.43,1,10.44,8.225,8.64,164916633.0,9.43,0.0,10.44,8.225,8.64,1.0,164916633.0
2017-12-31,8.53,1,10.22,7.755,9.51,230100405.0,8.53,0.0,10.22,7.755,9.51,1.0,230100405.0
2017-09-30,9.67,1,9.76,6.605,6.73,181333760.0,9.67,0.0,9.76,6.605,6.73,1.0,181333760.0
2017-06-30,6.73,1,9.07,6.19,8.42,170295664.0,6.73,0.0,9.07,6.19,8.42,1.0,170295664.0
2017-03-31,8.44,1,9.4,7.2,9.11,168303554.0,8.44,0.0,9.4,7.2,9.11,1.0,168303554.0
2016-12-31,8.91,1,10.38,6.3,7.0,289372931.0,8.91,0.0,10.38,6.3,7.0,1.0,289372931.0
2016-09-30,6.93,1,7.49,5.87,6.75,301931189.0,6.93,0.0,7.49,5.87,6.75,1.0,301931189.0
2016-06-30,6.66,1,8.74,5.34,7.55,399792221.0,6.66,0.0,8.74,5.34,7.55,1.0,399792221.0
2016-03-31,7.77,1,9.49,5.01,8.55,184294280.0,7.77,0.0,9.49,5.01,8.55,1.0,184294280.0
2015-12-31,8.52,1,12.24,7.9,10.06,103983030.0,8.52,0.0,12.24,7.9,10.06,1.0,103983030.0
2015-09-30,9.8,1,11.74,9.04,11.51,112282326.0,9.8,0.0,11.74,9.04,11.51,1.0,112282326.0
2015-06-30,11.43,1,12.98,11.26,11.86,89334233.0,11.43,0.0,12.98,11.26,11.86,1.0,89334233.0
2015-03-31,11.85,1,13.5,10.395,12.6,111850708.0,11.85,0.0,13.5,10.395,12.6,1.0,111850708.0
2014-12-31,12.54,1,13.6,8.05,12.15,83637039.0,12.54,0.0,13.6,8.05,12.15,1.0,83637039.0
2014-09-30,12.19,1,13.75,10.13,13.1,59001223.0,12.19,0.0,13.75,10.13,13.1,1.0,59001223.0
2014-06-30,13.25,1,14.11,9.89,10.75,48030200.0,13.25,0.0,14.11,9.89,10.75,1.0,48030200.0
2014-03-31,10.75,1,11.06,8.11,9.19,35869100.0,10.75,0.0,11.06,8.11,9.19,1.0,35869100.0
2013-12-31,9.26,1,11.4,8.7,9.72,37761600.0,9.26,0.0,11.4,8.7,9.72,1.0,37761600.0
2013-09-30,9.75,1,10.18,6.9,7.42,34786900.0,9.75,0.0,10.18,6.9,7.42,1.0,34786900.0
2013-06-30,7.32,1,7.72,6.14,6.9,24286800.0,7.32,0.0,7.72,6.14,6.9,1.0,24286800.0
2013-03-31,6.86,1,7.78,5.3406,5.39,17853800.0,6.86,0.0,7.78,5.3406,5.39,1.0,17853800.0
2012-12-31,5.39,1,5.39,3.27,4.74,17505500.0,5.39,0.0,5.39,3.27,4.74,1.0,17505500.0
2012-09-30,4.17,1,4.21,2.69,3.1,9830800.0,4.17,0.0,4.21,2.69,3.1,1.0,9830800.0
2012-06-30,3.08,1,3.55,2.4,3.31,12123600.0,3.08,0.0,3.55,2.4,3.31,1.0,12123600.0
2012-03-31,3.35,1,3.72,2.42,2.85,5626900.0,3.35,0.0,3.72,2.42,2.85,1.0,5626900.0
2011-12-31,2.85,1,3.75,2.2,2.8,2444500.0,2.85,0.0,3.75,2.2,2.8,1.0,2444500.0
2011-09-30,2.85,1,3.73,2.55,3.3,1861800.0,2.85,0.0,3.73,2.55,3.3,1.0,1861800.0
2011-06-30,3.34,1,4.85,3.0,4.05,1644900.0,3.34,0.0,4.85,3.0,4.05,1.0,1644900.0
2011-03-31,4.05,1,4.9,2.5,2.83,2429000.0,4.05,0.0,4.9,2.5,2.83,1.0,2429000.0
2010-12-31,2.85,1,2.85,1.95,2.4,617100.0,2.85,0.0,2.85,1.95,2.4,1.0,617100.0
2010-09-30,2.4,1,2.65,2.1,2.6,205200.0,2.4,0.0,2.65,2.1,2.6,1.0,205200.0
2010-06-30,2.9,1,3.24,2.2,3.1,187200.0,2.9,0.0,3.24,2.2,3.1,1.0,187200.0
2010-03-31,3.1,1,10.01,1.85,1.85,175300.0,3.1,0.0,10.01,1.85,1.85,1.0,175300.0
2009-12-31,1.85,1,1.95,0.1,1.2,34600.0,1.85,0.0,1.95,0.1,1.2,1.0,34600.0
2009-09-30,1.2,1,1.8,1.1,1.8,38700.0,1.2,0.0,1.8,1.1,1.8,1.0,38700.0
2009-06-30,1.8,1,1.8,1.45,1.45,25700.0,1.8,0.0,1.8,1.45,1.45,1.0,25700.0
2009-03-31,1.45,1,2.0,0.31,2.0,7900.0,1.45,0.0,2.0,0.31,2.0,1.0,7900.0
2008-12-31,2.0,1,4.0,1.75,4.0,45800.0,2.0,0.0,4.0,1.75,4.0,1.0,45800.0
2008-09-30,3.5,1,4.75,2.6,2.7,20600.0,3.5,0.0,4.75,0.26,0.27,10.0,120500.0
2008-06-30,2.7,1,2.7,1.5,2.5,21300.0,0.27,0.0,0.27,0.15,0.25,1.0,213000.0
2008-03-31,2.5,1,5.1,2.0,3.5,16800.0,0.25,0.0,0.51,0.2,0.35,1.0,168000.0
