date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,0.9208,1,1.17,0.91,1.07,8576255.0,0.9208,0.0,1.17,0.91,1.07,1.0,8576255.0
2018-06-30,1.07,1,1.38,0.8946,1.02,42531188.0,1.07,0.0,1.38,0.8946,1.02,1.0,42531188.0
2018-03-31,1.0,1,1.05,0.6532,0.707,75346858.0,1.0,0.0,1.05,0.6532,0.707,1.0,75346858.0
2017-12-31,0.7061,1,1.14,0.425,0.95,75834580.0,0.7061,0.0,1.14,0.425,0.95,1.0,75834580.0
2017-09-30,0.9533,1,1.655,0.775,1.53,92967538.0,0.9533,0.0,1.655,0.775,1.53,1.0,92967538.0
2017-06-30,1.53,1,2.83,1.28,2.6,203799752.0,1.53,0.0,2.83,1.28,2.6,1.0,203799752.0
2017-03-31,2.61,1,3.9,2.2327,3.13,93773492.0,2.61,0.0,3.9,2.2327,3.13,1.0,93773492.0
2016-12-31,3.06,1,4.25,2.57,4.22,36704634.0,3.06,0.0,4.25,2.57,4.22,1.0,36704634.0
2016-09-30,4.2,1,4.68,3.6,3.76,38814132.0,4.2,0.0,4.68,3.6,3.76,1.0,38814132.0
2016-06-30,3.81,1,4.53,2.09,2.1,65233165.0,3.81,0.0,4.53,2.09,2.1,1.0,65233165.0
2016-03-31,2.13,1,2.5154,1.27,1.51,16770999.0,2.13,0.0,2.5154,1.27,1.51,1.0,16770999.0
2015-12-31,1.46,1,1.92,1.3097,1.46,9215086.0,1.46,0.0,1.92,1.3097,1.46,1.0,9215086.0
2015-09-30,1.47,1,1.9599,1.3663,1.74,7840463.0,1.47,0.0,1.9599,1.3663,1.74,1.0,7840463.0
2015-06-30,1.71,1,1.94,1.38,1.45,7278755.0,1.71,0.0,1.94,1.38,1.45,1.0,7278755.0
2015-03-31,1.45,1,1.86,1.25,1.53,11483323.0,1.45,0.0,1.86,1.25,1.53,1.0,11483323.0
2014-12-31,1.54,1,2.19,1.31,2.07,10119785.0,1.54,0.0,2.19,1.31,2.07,1.0,10119785.0
2014-09-30,2.08,1,2.77,2.05,2.6,10591851.0,2.08,0.0,2.77,2.05,2.6,1.0,10591851.0
2014-06-30,2.59,1,2.64,1.81,2.08,12260900.0,2.59,0.0,2.64,1.81,2.08,1.0,12260900.0
2014-03-31,2.07,1,2.46,1.55,1.7,24666300.0,2.07,0.0,2.46,1.55,1.7,1.0,24666300.0
2013-12-31,1.64,1,2.55,1.58,2.26,6605700.0,1.64,0.0,2.55,1.58,2.26,1.0,6605700.0
2013-09-30,2.3,1,3.23,2.1001,2.18,6682300.0,2.3,0.0,3.23,2.1001,2.18,1.0,6682300.0
2013-06-30,2.1,1,3.27,1.9,3.27,8742400.0,2.1,0.0,3.27,1.9,3.27,1.0,8742400.0
2013-03-31,3.29,1,4.18,2.83,4.05,8379800.0,3.29,0.0,4.18,2.83,4.05,1.0,8379800.0
2012-12-31,3.96,1,4.39,3.11,3.72,15286400.0,3.96,0.0,4.39,3.11,3.72,1.0,15286400.0
2012-09-30,3.71,1,4.2,2.69,2.94,16687600.0,3.71,0.0,4.2,2.69,2.94,1.0,16687600.0
2012-06-30,2.95,1,3.93,2.35,3.8,18093300.0,2.95,0.0,3.93,2.35,3.8,1.0,18093300.0
2012-03-31,3.76,1,5.45,3.5,4.01,18260300.0,3.76,0.0,5.45,3.5,4.01,1.0,18260300.0
2011-12-31,3.83,1,6.2699,3.42,5.07,21360000.0,3.83,0.0,6.2699,3.42,5.07,1.0,21360000.0
2011-09-30,5.04,1,9.63,4.68,7.73,11325100.0,5.04,0.0,9.63,4.68,7.73,1.0,11325100.0
2011-06-30,7.73,1,9.65,7.1,8.73,4835000.0,7.73,0.0,9.65,7.1,8.73,1.0,4835000.0
2011-03-31,8.68,1,9.2,7.3,8.97,6407900.0,8.68,0.0,9.2,7.3,8.97,1.0,6407900.0
2010-12-31,8.79,1,9.19,6.96,7.69,5268400.0,8.79,0.0,9.19,6.96,7.69,1.0,5268400.0
2010-09-30,7.6,1,8.48,4.7,5.17,4681100.0,7.6,0.0,8.48,4.7,5.17,1.0,4681100.0
2010-06-30,5.32,1,6.94,5.11,6.06,5333700.0,5.32,0.0,6.94,5.11,6.06,1.0,5333700.0
2010-03-31,6.06,1,7.1,5.03,6.5,6835500.0,6.06,0.0,7.1,5.03,6.5,1.0,6835500.0
2009-12-31,6.32,1,7.57,3.36,3.53,13981000.0,6.32,0.0,7.57,3.36,3.53,1.0,13981000.0
2009-09-30,3.58,1,4.13,1.91,2.81,9945200.0,3.58,0.0,4.13,1.91,2.81,1.0,9945200.0
2009-06-30,2.78,1,4.0,1.76,2.19,7528400.0,2.78,0.0,4.0,1.76,2.19,1.0,7528400.0
2009-03-31,2.2,1,2.68,0.79,0.94,5593100.0,2.2,0.0,2.68,0.79,0.94,1.0,5593100.0
2008-12-31,0.92,1,1.89,0.3603,1.7601,5091300.0,0.92,0.0,1.89,0.3603,1.7601,1.0,5091300.0
2008-09-30,1.85,1,3.56,1.37,3.42,2698900.0,1.85,0.0,3.56,1.37,3.42,1.0,2698900.0
2008-06-30,3.35,1,5.76,3.09,4.69,4436800.0,3.35,0.0,5.76,3.09,4.69,1.0,4436800.0
2008-03-31,4.8,1,5.68,3.2001,4.34,3768300.0,4.8,0.0,5.68,3.2001,4.34,1.0,3768300.0
