date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,20.12,1,21.5073,19.23,20.26,42519.0,20.12,0.0,21.5073,19.23,20.26,1.0,42519.0
2018-06-30,20.5099,1,27.54907933434,20.42,25.2698389577579,194956.0,20.5099,0.211673,27.8,20.42,25.5,1.0,194956.0
2018-03-31,25.2698389577579,1,27.9950176688887,24.2887746217509,26.5718449046667,316713.0,25.5,0.213255,28.25,24.51,27.02,1.0,316713.0
2017-12-31,26.070303790626,1,27.4077467614013,22.618520829287,23.980370616685,537089.0,26.51,0.179509,27.87,23.0,24.55,1.0,537089.0
2017-09-30,23.8436190123536,1,25.6799976990895,21.5782004032911,22.0047236817029,350762.0,24.41,0.183551,26.29,22.26,22.7,1.0,350762.0
2017-06-30,22.0047236817029,1,23.2032143538171,20.7597581158944,21.1156946544894,126205.0,22.7,0.170473,24.12,21.51,21.95,1.0,126205.0
2017-03-31,21.6351696027092,1,22.2604635218627,18.9896953293677,19.6482082051022,212429.0,22.49,0.177232,23.14,19.74,20.6,1.0,212429.0
2016-12-31,19.5814424490655,1,21.8514781543151,19.2189997734374,20.076637237889,524484.0,20.53,0.156555,22.91,20.15,21.2,1.0,524484.0
2016-09-30,20.190278580745,1,20.8153059664529,18.078873457926,18.078873457926,279053.0,21.32,0.153212,21.98,19.23,19.23,1.0,279053.0
2016-06-30,18.078873457926,1,18.3797179460454,15.557279703764,15.8462405610538,444854.0,19.23,0.148611,19.55,16.69,17.0,1.0,444854.0
2016-03-31,15.8089552891454,1,16.3029851419312,13.2083075735372,14.7655897266924,364880.0,16.96,0.143333,17.49,14.17,16.0,1.0,364880.0
2015-12-31,15.0239875469095,1,17.5946389679186,13.9719392788826,15.679389205265,199257.0,16.28,0.129924,19.2,15.14,17.11,1.0,199257.0
2015-09-30,15.6244059584902,1,17.1181174958708,11.9762781363404,13.6118851655826,218698.0,17.05,0.13002,18.68,13.18,14.98,1.0,218698.0
2015-06-30,13.8208793970969,1,14.9748910232844,11.3137572648512,11.4849048667876,150219.0,15.21,0.143016,16.48,12.56,12.75,1.0,150219.0
2015-03-31,11.3858194130349,1,13.511652784456,10.9354309868864,12.7590030805209,236732.0,12.64,0.086073,15.0,12.14,14.25,1.0,236732.0
2014-12-31,12.8037715123824,1,14.3399706911865,12.5351609212136,14.3399706911865,497972.0,14.3,0.133265,16.15,14.0,16.15,1.0,497972.0
2014-09-30,14.3399706911865,1,16.8191048924572,14.2422990641877,16.3078323118689,167060.0,16.15,0.125912,19.08,16.04,18.5,1.0,167060.0
2014-06-30,16.3959827567979,1,18.908270437275,14.921533068311,15.4813092209323,393000.0,18.6,0.149364,21.45,17.06,17.7,1.0,393000.0
2014-03-31,15.4988022257017,1,18.6736783576245,14.5104474562297,18.4044299720029,457000.0,17.72,0.142948,21.5,16.59,21.19,1.0,457000.0
2013-12-31,18.2741484950893,1,21.9951762732029,17.9527875187023,20.9374756345445,269600.0,21.04,0.54685,26.41,20.67,25.14,1.0,269600.0
2013-09-30,20.9374756345445,1,22.9862500999773,18.1807912928444,22.4199221989634,617100.0,25.14,0.0,27.6,21.83,26.92,1.0,617100.0
2013-06-30,22.7363995554123,1,26.6257372624339,21.345564857334,25.5050841119105,306000.0,27.3,0.301768,32.55,25.63,31.18,1.0,306000.0
2013-03-31,26.1921999122314,1,27.8690896630145,24.5643898614713,24.6543693115133,162300.0,32.02,0.0,34.07,30.03,30.14,1.0,162300.0
2012-12-31,24.4907703114369,1,26.4262990786091,21.9873821344639,21.9873821344639,216200.0,29.94,0.461218,33.16,27.59,27.59,1.0,216200.0
