year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2017,Q4,,-3813289.0,,6442559.0,,892414.0,-4705703.0,2514.0,-11504.0,-3812720.0,137879.0,-3674841.0,-6953.0,-2583817.0,-2562313.0,-2572313.0,10000.0,0.0,-11504.0,6464063.0,0.1581,0.0276,,,,,,,,,,,,,,,,-5.385941,-4.33806,-5.784603,-5.789057,-8.0,-5.500548,0.233494,0.160791,,,,,,,,-95.886965,,,,,,,,,,,1.000809,1.0,-0.000809,,,,,,,,,,-0.0263,1.6913,1.6913,0.0,0.0015,,-0.015534,,,-1.158208,-1.342242,,,4e-06,-1.158203,0.0,0.0,,0.001547,0.0,0.001547,0.0,0.0,0.998453,-0.0015,0.0018,0.0,-0.0014,0.0016,0.0,,,,,,,,,0.3252,0.1261,,,,-2667145.6,,
2017,Q2,,-2426236.8,,7218855.0,,7267199.0,-9693435.8,-635.8,-19777.0,-2422550.0,139523.0,-2283027.0,279775.0,-2146424.0,-2126647.0,-2126647.0,0.0,0.0,-19777.0,7238632.0,0.1775,0.0492,,,,,,,,,,,,,,,,-0.948211,-0.861744,-1.083896,-0.958932,-0.888889,-1.344996,-7.498859,150.322667,,-2.009055,-1.726025,-1.64683,-1.722152,-1.68018,0.616608,-0.077726,-0.102627,,,,,,,,,,1.001259,1.0,-0.001259,,,,,,,,,,-0.0034,1.4651,1.4651,0.0,0.0,,0.051849,,,-1.198201,-1.60714,,,0.0,-1.198201,0.0,0.0,-1.806101,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.3549,0.0146,,,,-1696229.5,,
2017,Q1,,-916657.5,,8044432.0,,8077687.0,-8994344.5,-25597.5,-490840.0,-888675.0,129956.0,-758719.0,0.0,-1857087.0,-1366247.0,-1366247.0,0.0,0.0,-490840.0,8535272.0,0.2125,0.0792,,,,,,,,,,,,,,,,0.385338,0.348168,0.020815,0.05643,0.174721,-13.166194,-8.808506,242.901428,,-0.318461,-0.244204,-0.630917,-0.585369,-1.22,-1.363781,-0.465077,0.449409,,,,,,,,,,1.002684,1.0,-0.002684,,,,,,,,,,-0.0579,1.3429,1.3429,0.0,0.0,,0.103916,,,-0.734533,-1.386723,,,0.0,-0.734533,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5257,0.2338,,,,-639942.8,,
2016,Q4,,-562050.4,,5550145.0,,5577111.0,-6139161.4,1.6,-312173.0,-714252.0,138794.0,-575458.0,9260.0,-4476418.0,-4164245.0,-4164245.0,0.0,0.0,-312173.0,5862318.0,0.149,0.0098,,,,,,,,,,,,,,,,-1.156228,-1.199011,-1.207844,-1.207843,-1.125,-1.178179,-3.260312,206.820107,,-0.043404,-0.049081,-0.301537,-0.30154,0.090909,0.005014,-13.998,115.273405,,,,,,,,,,0.78691,1.0,0.21309,,,,,,,,,,-0.0538,1.8102,1.8102,0.0,0.0,,-1e-05,,,-1.088327,-1.564554,,,9e-06,-1.088317,0.0,0.0,-60.212851,0.0,0.0,0.0,0.0,9e-06,0.999991,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.1138,0.0666,,,,-562050.4,,
2017,Q3,,0.0,,0.0,,48569.0,-48569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,0.881346,1.0,,1.0,1.0,1.0,,,,0.994989,-1.0,,,,,,,,,,,,,,,,,,,,,,0.0379,-0.0379,,,,,0.0,,,184.235116,-1.797769,,,0.0,184.235116,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,
2016,Q3,,-431836.0,,-48569.0,-164.0083,-22504.0,-409332.0,0.0,-1775.0,-680836.0,129316.0,-551520.0,1704.0,-48569.0,-46794.0,-46794.0,0.0,0.0,-1775.0,-46794.0,-0.0012,-0.0012,,,,,,,,,,,,,,,,-233.689362,-288.717447,-182.76,-182.76,,-42.416828,-38.296765,-0.86338,,0.529363,0.476773,0.629096,0.651246,0.650794,-1.600605,0.641112,-0.004654,,,,,,,,,,0.634273,1.0,0.365727,2171.088,,,,36.3384,0.0,0.0,10.0445,-10.0445,0.0817,-0.0817,-0.0817,0.0,0.0,,0.0,,,-2.60302,,,,0.0,-2.60302,0.0,0.0,-328.862089,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0365,0.0365,-0.007936,-0.007646,-0.007646,-431836.0,,
2016,Q2,,-1164279.3,,-48344.0,-167.8261,-23722.0,-1140557.3,73946.7,-4748.0,-1301226.0,129368.0,-1171858.0,0.0,-48344.0,-43596.0,-43596.0,0.0,0.0,-4748.0,-43596.0,-0.0011,-0.0011,,,,,,,,,,,,,,,,-42.264343,-47.040538,-41.984542,-44.714613,,-12.0035,-82.191634,-0.963447,,0.050641,0.045567,-0.243698,-0.311194,-0.171004,-2.989098,-0.2438,-0.453736,,,,,,,,,,0.951584,1.0,0.048416,1286.573,,,,43.5047,0.0,0.0,8.3899,-8.3899,0.15,-0.15,-0.15,0.0,0.0,,-15.538275,,,-16.368837,,,,0.0,-16.368837,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0982,0.0982,-0.007896,-0.00712,-0.00712,-1164279.3,,
2016,Q1,,-936143.3,,-33255.0,-258.6719,-19149.0,-916994.3,8206.7,-1818.0,-1363350.0,128982.0,-1234368.0,3675633.0,-33255.0,-31437.0,-31437.0,0.0,0.0,-1818.0,-31437.0,-0.0009,-0.0009,,,,,,,,,,,,,,,,-282.047008,-311.623252,-213.662532,-215.544371,,21.241218,-212.094452,-1.357507,,-1.335111,-1.379868,-1.346181,-1.349215,-1.33625,-0.965381,-1.337618,-0.23322,,,,,,,,,,0.692669,1.0,0.307331,528.9935,,,,59.0363,0.0,0.0,6.1826,-6.1826,0.9569,-0.9569,-0.9569,0.0,0.0,,-0.70873,,,-142.998513,,,,0.0,-142.998513,0.0,0.0,0.029473,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0547,0.0547,-0.005429,-0.005132,-0.005132,-936143.3,,
2015,Q4,1946.898472,2704199.7,0.441841,-26966.0,-291.4153,-11869.0,2716068.7,-11.3,-1983.0,3589011.0,94444.0,3683455.0,78508.0,-26966.0,-24983.0,-24983.0,0.0,0.0,-1983.0,-24983.0,-0.0007,-0.0007,,,,,,,,,,,,,,,,1191.515514,1160.990627,875.014124,875.017776,,2743.569676,259.659184,-0.786183,2443.208067,1568.42766,1528.238723,1151.723277,1151.728085,,243.447664,246.477786,-0.034567,0.782289,0.601843,0.586409,0.586411,0.441843,0.217711,-0.006037,0.0,0.19588,0.75347,1.0,0.24653,427.4585,,,,67.3058,0.0,0.0,5.423,-5.423,2.1421,-2.1421,-2.1421,0.0,0.0,,0.000788,,,-398.956301,,250.666473,188.86959,0.0,-398.956301,0.0,0.0,39.859275,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0735,0.0735,-0.0044,-0.004076,-0.004076,2704199.7,0.441841,0.586411
2015,Q3,-0.506309,-2350.0,-0.938498,-26065.0,-0.6053,-13325.0,10975.0,0.0,-3863.0,-2350.0,0.0,-2350.0,0.0,-26065.0,-22202.0,-22202.0,0.0,0.0,-3863.0,-22202.0,-0.0027,-0.0027,,,,,,,,,,,,,,,,-3.545455,-3.545455,-3.545455,-3.545455,,-14.21085,,-1.045918,-0.065323,0.913239,0.913239,0.913239,0.913239,,0.221109,1.800511,-0.058606,0.301917,-0.938498,-0.938498,-0.938498,-0.938498,0.698083,1.240415,0.0,1.240415,1.0,1.0,0.0,1.6175,,,,,0.0,0.0,0.0,0.0,0.5199,-0.5688,-0.5688,0.0,0.0,,0.0,,,2.889785,,-1.518064,-1.518064,0.0,2.889785,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.1482,0.1482,-2.219242,-1.890336,-1.890336,-1645.0,-0.656949,-0.938498
