year,period,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment
2017,Q4,,6239.0,131.0,137879.0,-2508408.0,2587406.0,,,3630006.0,6953.0,-3624517.0,3630006.0,6953.0,-3624517.0,12442.0,-2411762.0,-2411762.0,1157774.0,1042600.0,,,6953.0
2017,Q3,,,,144409.0,390731.0,1.0,10000.0,,540914.0,-193.0,-553690.0,540914.0,-193.0,-553690.0,-12969.0,-1404041.0,-1404041.0,315211.0,530913.0,,,-193.0
2017,Q2,,,,139523.0,354337.0,300021.0,,,314021.0,-279775.0,-505302.0,314021.0,-279775.0,-505302.0,-471056.0,-2425601.0,-2425601.0,1426439.0,14000.0,,,-279775.0
2017,Q1,,,,129956.0,-231931.0,1500000.0,,,1500000.0,,-1317976.0,1500000.0,0.0,-1317976.0,182024.0,-891060.0,-891060.0,-324941.0,,,,0.0
2016,Q4,-319688.0,800.0,,138794.0,-143318.0,1332.0,,,1154025.0,-328948.0,-557571.0,1152693.0,-328948.0,-557571.0,266174.0,-647052.0,-647052.0,94005.0,1152693.0,,,-9260.0
2016,Q3,,,,129316.0,-280036.0,,-11000.0,,539000.0,-1704.0,-560381.0,539000.0,-1704.0,-560381.0,-23085.0,-431836.0,-431836.0,22175.0,550000.0,,,-1704.0
2016,Q2,,,,129368.0,924557.0,49334.0,11000.0,,260334.0,,-215481.0,260334.0,,-215481.0,44853.0,-1153226.0,-1153226.0,-116180.0,200000.0,,,
2016,Q1,,,,128982.0,1175019.0,3550395.0,,,3550395.0,-3675633.0,108331.0,3550395.0,-3675633.0,108331.0,-16907.0,-944350.0,-944350.0,-251320.0,,,,-3675633.0
2015,Q4,-4950000.0,,,94444.0,836116.0,864452.0,-12000.0,,852452.0,-5728508.0,3129272.0,852452.0,-5728508.0,3129272.0,-1746784.0,2704212.0,2704212.0,-505500.0,,,-700000.0,-78508.0
2015,Q3,,,,,-10557.0,,12000.0,,12000.0,,-12907.0,12000.0,,-12907.0,-907.0,-2350.0,-2350.0,,,,,
2015,Q2,,,,,10516.0,,,,,,-16571.0,,,-16571.0,-16571.0,-27087.0,-27087.0,,,,,
2015,Q1,,0.0,0.0,,-991.0,,0.0,,,,-5352.0,0.0,0.0,-5352.0,-5352.0,-4361.0,-4361.0,,,,,
2014,Q4,,,,,1953.0,18020.0,,,18020.0,404.0,-1141.0,18020.0,404.0,-1141.0,17283.0,-3094.0,-3094.0,,,,,404.0
2014,Q3,,,,,1494.0,4150.0,,,4150.0,,977.0,4150.0,,977.0,5127.0,-517.0,-517.0,,,,,
2014,Q2,,,,,1249.0,,5000.0,,5000.0,-404.0,-1088.0,5000.0,-404.0,-1088.0,3508.0,-2337.0,-2337.0,,,,,-404.0
2014,Q1,,0.0,0.0,,-1182.0,,5000.0,,5000.0,,-8709.0,5000.0,0.0,-8709.0,-3709.0,-7527.0,-7527.0,,,,,
2013,Q4,,,,,466.0,,5000.0,-5000.0,,,-2994.0,,,-2994.0,-2994.0,-3460.0,-3460.0,,,,,
2013,Q3,,,,,1085.0,5000.0,,5000.0,9262.0,,-3063.0,9262.0,,-3063.0,6199.0,-4148.0,-4148.0,,,-738.0,,
2013,Q2,,,,,-251.0,,,,,,-1364.0,,,-1364.0,-1364.0,-1113.0,-1113.0,,,,,
2013,Q1,,0.0,0.0,,58.0,0.0,0.0,,,,-370.0,0.0,0.0,-370.0,-370.0,-428.0,-428.0,,,0.0,,
