,accruedinterestpayable,allowanceforloanandleaselosses,aoci,cashandequivalents,commonequity,interestbearingdeposits,interestbearingdepositsatotherbanks,loansandleases,loansheldforsale,longtermdebt,netloansandleases,netpremisesandequipment,noninterestbearingdeposits,otherassets,otherlongtermliabilities,retainedearnings,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
2013,56000.0,1910000.0,24000.0,20036000.0,6504000.0,121845000.0,17068000.0,146477000.0,,,144567000.0,2961000.0,33308000.0,-13526000.0,697000.0,9469000.0,176673000.0,15986000.0,20767000.0,20767000.0,155906000.0,176673000.0,4781000.0,5567000.0,-11000.0
"(2013, 'Q3')",109000.0,1942000.0,56000.0,21535000.0,6504000.0,123363000.0,18483000.0,150292000.0,105000.0,,148350000.0,3036000.0,38173000.0,-14144000.0,598000.0,9500000.0,183054000.0,16049000.0,20811000.0,20811000.0,162243000.0,183054000.0,4762000.0,5689000.0,-11000.0
"(2013, 'Q2')",84000.0,-1999000.0,65000.0,13727000.0,6503000.0,121234000.0,10603000.0,149726000.0,1585000.0,,151725000.0,3102000.0,34250000.0,-9655000.0,501000.0,9539000.0,176908000.0,16118000.0,20839000.0,20839000.0,156069000.0,176908000.0,4743000.0,5821000.0,11000.0
"(2013, 'Q1')",116000.0,-1936000.0,137000.0,13013000.0,6504000.0,121997000.0,10193000.0,148428000.0,748000.0,,150364000.0,3172000.0,31495000.0,-8627000.0,472000.0,9517000.0,174950000.0,16169000.0,20870000.0,20870000.0,154080000.0,174950000.0,4723000.0,6087000.0,11000.0
2012,88000.0,1876000.0,147000.0,20168000.0,6504000.0,120427000.0,17334000.0,148370000.0,3247000.0,3000000.0,146494000.0,3224000.0,36684000.0,-12643000.0,1078000.0,9456000.0,182077000.0,16096000.0,20800000.0,20800000.0,161277000.0,182077000.0,4704000.0,4253000.0,-11000.0
"(2012, 'Q3')",132000.0,-1855000.0,163000.0,32251000.0,6501000.0,117704000.0,1937000.0,150454000.0,473000.0,3000000.0,152309000.0,3297000.0,37890000.0,-15121000.0,838000.0,9212000.0,180114000.0,15887000.0,20550000.0,20550000.0,159564000.0,180114000.0,4685000.0,4968000.0,11000.0
"(2012, 'Q2')",114000.0,-1844000.0,161000.0,21970000.0,6499000.0,117347000.0,848000.0,151743000.0,985000.0,3000000.0,153587000.0,3292000.0,35882000.0,-8974000.0,591000.0,9167000.0,177417000.0,15838000.0,20483000.0,20483000.0,156934000.0,177417000.0,4667000.0,5709000.0,11000.0
"(2012, 'Q1')",150000.0,-1919000.0,146000.0,7857000.0,6496000.0,113150000.0,915000.0,149441000.0,162000.0,3500000.0,151360000.0,3177000.0,28648000.0,-2426000.0,767000.0,9387000.0,166881000.0,16040000.0,20666000.0,20666000.0,146215000.0,166881000.0,4648000.0,5836000.0,11000.0
2011,131000.0,-1865000.0,139000.0,19365000.0,6493000.0,116144000.0,2751000.0,147766000.0,976000.0,3000000.0,149631000.0,2451000.0,31748000.0,-8831000.0,492000.0,9290000.0,172057000.0,15933000.0,20542000.0,20542000.0,151515000.0,172057000.0,4631000.0,5714000.0,11000.0
"(2011, 'Q3')",167000.0,-2039000.0,138000.0,33160000.0,6489000.0,117662000.0,1546000.0,145477000.0,614000.0,3000000.0,147516000.0,2494000.0,34551000.0,-14814000.0,674000.0,9133000.0,176416000.0,15771000.0,20362000.0,20362000.0,156054000.0,176416000.0,4613000.0,5900000.0,11000.0
"(2011, 'Q2')",159000.0,-1979000.0,102000.0,21288000.0,6485000.0,116972000.0,2506000.0,147743000.0,454000.0,3000000.0,149722000.0,2535000.0,31690000.0,-8818000.0,759000.0,8846000.0,172598000.0,15444000.0,20018000.0,20018000.0,152580000.0,172598000.0,4596000.0,4911000.0,11000.0
2010,195000.0,-1583000.0,92000.0,39545000.0,6477000.0,119197000.0,2501000.0,141938000.0,450000.0,5000000.0,143521000.0,2585000.0,29046000.0,-16388000.0,1152000.0,8659000.0,174369000.0,15239000.0,19779000.0,19779000.0,154590000.0,174369000.0,4562000.0,2155000.0,11000.0
