year,period,nopat,normalizednopat,netnonopex,investedcapital,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,investedcapitalincreasedecrease,freecashflow,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,revenuegrowth,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,nopatmargin,normalizednopatmargin,ebitdamargin,ebitmargin,pretaxincomemargin,profitmargin,sgaextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,investedcapitalturnover,assetturnover,faturnover,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex
2013,Q4,48000.0,48000.0,0.0,20767000.0,0.0,79000.0,-124000.0,-45000.0,3000.0,0.0,0.0,-37104000.0,20767000.0,22.8371,22.8371,-3033000.0,3081000.0,,,,,,,,,,,,,,,,-0.077513,-1.065982,-0.787062,-0.851393,-0.851393,-1.081081,1.207295,46.4,-0.127437,-0.083492,-1.283019,-0.805897,0.2,0.2,0.5,-0.592928,0.108672,-0.002114,0.019967,0.019967,-0.018719,0.032862,0.032862,0.019967,0.670965,0.967138,0.607595,1.0,0.392405,0.443,0.055,3.1922,0.0722,8.6306,8.6306,0.0,0.0,0.008846,0.0,0.008846,0.000638,0.009484,0.150874,0.001809,0.001099,0.228186,0.00732,0.726444,0.726444,149.666667,0.0,0.0,0.0,0.230221,0.0,0.769779,0.0,0.0,0.0,0.0,0.0,0.0,0.8681,0.5275,0.8352,0.4945,4.9341,4.9011,33.8571
2013,Q3,40000.0,284900.0,0.0,20811000.0,0.0,407000.0,-248000.0,159000.0,10000.0,0.0,0.0,-40018000.0,20811000.0,26.7483,26.7483,-2739000.0,2779000.0,,,,,,,,,,,,,,,,0.092007,0.089041,1.004926,-0.674797,-0.674797,-2.0,6.304636,43.753846,-0.116306,0.089738,-0.47,1.451807,-0.60396,-0.60396,-3.0,12.734043,0.012386,-0.001344,0.01525,0.108616,0.060618,0.155166,0.155166,0.01525,0.605032,0.82196,0.09828,1.0,0.90172,0.4542,0.0555,3.1814,0.0725,8.7804,8.7804,0.0,0.0,0.006926,0.0,0.006926,0.000502,0.007429,0.150718,0.008608,0.000846,0.227872,0.005736,0.395695,0.395695,110.3,0.0,0.0,0.0,0.228821,0.0,0.771179,0.0,0.0,0.0,0.0,0.0,0.0,4.2842,0.4211,4.1789,0.3158,11.6105,11.5053,29.2526
2013,Q2,101000.0,101000.0,0.0,20839000.0,0.0,166000.0,134000.0,300000.0,8000.0,0.0,0.0,-24330000.0,20839000.0,23.0257,23.0257,-2644000.0,2745000.0,,,,,,,,,,,,,,,,0.035714,3.307692,1.721739,1.716312,1.716312,1.088235,0.928949,5.529703,-0.112592,-0.012715,-0.21671,-0.275109,-0.278571,-0.278571,-0.625,-1.028932,-0.201106,-0.001485,0.041961,0.041961,0.124636,0.068966,0.068966,0.041961,0.699626,0.906107,0.608434,1.0,0.391566,0.4446,0.0556,3.082,0.0726,8.5747,8.5747,0.0,0.0,0.018656,0.0,0.018656,0.001354,0.020011,0.150309,0.003836,0.002334,0.226659,0.015475,0.349345,0.349345,-11.75,0.0,0.0,0.0,0.227602,0.0,0.773454,0.0,0.0,0.0,0.0,0.0,0.0,1.6436,1.0,1.5644,0.9208,-0.9307,-1.0099,27.1782
2013,Q1,140000.0,140000.0,0.0,20870000.0,0.0,229000.0,154000.0,383000.0,26000.0,0.0,0.0,-23206000.0,20870000.0,20.2113,20.2113,-3296000.0,3436000.0,,,,,,,,,,,,,,,,0.034805,0.035135,-0.202091,-0.195402,-0.195402,-0.384615,0.620449,,-0.13639,-0.064467,-0.438416,-0.382749,-0.566563,-0.566563,-0.783784,2.5,51.861538,-0.123109,0.057424,0.057424,0.157096,0.093929,0.093929,0.057424,0.704266,0.88146,0.611354,1.0,0.388646,0.4339,0.0572,3.0777,0.0843,8.2298,8.2298,0.0,0.0,0.024915,0.0,0.024915,0.002099,0.027014,0.166134,0.005369,0.003283,0.224552,0.020948,0.539326,0.539326,124.961538,0.0,0.0,0.0,0.226306,0.0,0.774748,0.0,0.0,0.0,0.0,0.0,0.0,1.7481,1.0687,1.5496,0.8702,24.8015,24.6031,26.229
2012,Q4,323000.0,323000.0,0.0,23800000.0,3000000.0,371000.0,311000.0,682000.0,10000.0,3000000.0,3000000.0,-34502000.0,23800000.0,20.12,20.12,258000.0,65000.0,,,,,,,,,,,,,,,,0.169659,0.125413,0.578723,0.374468,0.374468,0.608696,-6.194245,,0.010959,0.084929,3.671233,0.827586,1.626016,1.626016,5.166667,-15.344371,2.0,0.010616,0.123945,0.123945,0.261704,0.142364,0.142364,0.123945,0.62548,0.834612,0.87062,1.0,0.12938,0.4093,0.0547,3.4143,0.1451,8.566,8.566,0.1442,0.1442,0.050728,0.0,0.050728,0.007362,0.05809,0.009336,0.007789,0.006781,0.225267,0.045004,0.501044,0.501044,-216.6,0.0,0.12605,0.12605,0.197647,0.0,0.676303,2.809,-32.3052,2.809,6.263,-72.0292,6.263,2.7279,2.375,2.6544,2.3015,-15.9265,-16.0,0.4779
2012,Q3,123000.0,123000.0,0.0,23550000.0,3000000.0,203000.0,-57000.0,146000.0,84000.0,3000000.0,3000000.0,-31188000.0,23550000.0,19.8588,19.8588,188000.0,-65000.0,,,,,,,,,,,,,,,,0.002086,-0.32093,-0.442308,-0.662088,-0.662088,-0.846154,1.328976,,0.008047,0.033563,2.123077,1.882609,1.87234,1.87234,1.176471,1.114135,0.892739,0.002853,0.051207,0.051207,0.060783,0.084513,0.084513,0.051207,0.690674,0.890508,0.605911,1.0,0.394089,0.3969,0.0522,3.2153,0.1467,8.7146,8.7146,0.146,0.146,0.020325,0.0,0.020325,0.002981,0.023306,,0.004414,0.002674,0.226193,0.018034,0.613811,0.613811,1.797619,0.0,0.127389,0.127389,0.198938,0.0,0.674607,3.0242,-31.4395,3.0242,7.6726,-79.7647,7.6726,1.471,0.8913,0.8623,0.2826,1.0942,0.4855,-0.471
2012,Q2,-141000.0,-141000.0,0.0,23483000.0,3000000.0,-230000.0,100000.0,-130000.0,185000.0,3000000.0,3000000.0,-19818000.0,23483000.0,26.3967,26.3967,465000.0,-606000.0,,,,,,,,,,,,,,,,-0.024759,-1.442177,-2.167513,-1.715736,-1.715736,-3.125,-1.287484,,0.020202,-0.013582,-1.351351,-1.801394,-1.810345,-1.810345,-3.615385,-1.65985,,-0.028263,-0.060671,-0.060671,-0.055938,-0.098967,-0.098967,-0.060671,0.712134,1.060241,0.613043,1.0,0.386957,0.4002,0.0532,3.1938,0.1481,8.6421,8.6421,0.1465,0.1465,-0.024281,0.0,-0.024281,-0.003597,-0.027878,,-0.005262,-0.003226,0.227624,-0.021532,0.379747,0.379747,-7.151351,0.0,0.127752,0.127752,0.19874,0.0,0.674445,2.8275,-18.6786,2.8275,4.7468,-31.3576,4.7468,-1.5753,-0.9658,-2.8425,-2.2329,-9.0616,-10.3288,-4.1507
2012,Q1,174000.0,174000.0,0.0,24166000.0,3500000.0,287000.0,83000.0,370000.0,795000.0,3500000.0,3500000.0,-5272000.0,24166000.0,22.9143,22.9143,,,,,,,,,,,,,,,,,,0.031975,0.365314,0.97931,0.2,0.2,0.444444,1.608498,,,0.057451,-0.389439,0.221277,-0.259574,-0.259574,-0.434783,3.808153,,0.026506,0.073854,0.073854,0.157046,0.121817,0.121817,0.073854,0.654924,0.839983,0.606272,1.0,0.393728,0.3875,0.0561,2.9474,0.1694,8.0751,8.0751,0.1694,0.1694,0.028617,0.0,0.028617,0.004847,0.033464,,0.006835,0.004144,0.223846,0.025973,0.246392,0.246392,2.522013,0.0,0.144832,0.144832,0.192336,0.0,0.663742,2.3569,-3.5502,2.3569,3.6082,-5.4351,3.6082,1.9524,1.1837,-3.4558,-4.2245,13.6395,8.2313,
2011,Q4,235000.0,164500.0,0.0,23542000.0,3000000.0,235000.0,371000.0,606000.0,28000.0,3000000.0,3000000.0,-19116000.0,23542000.0,22.7614,22.7614,,,,,,,,,,,,,,,,,,,,,,,,-0.768847,,,-0.070505,1.818605,-0.354396,-0.354396,-0.354396,-0.410256,1.908497,,0.007705,0.105476,0.073833,0.271993,0.105476,0.105476,0.105476,0.653501,0.867594,1.0,1.0,0.0,0.3947,0.0536,3.6898,0.146,8.5917,8.5917,0.146,0.146,0.041627,0.0,0.041627,0.006079,0.047706,0.092516,0.005658,0.005658,0.226904,0.036881,0.382572,0.382572,14.892857,0.0,0.127432,0.127432,0.196712,0.0,0.67679,2.1645,-13.7922,2.1645,3.1881,-20.3146,3.1881,1.4968,1.4968,1.3185,1.3185,2.6561,2.4777,
2011,Q3,364000.0,254800.0,0.0,23362000.0,3000000.0,364000.0,-149000.0,215000.0,29000.0,3000000.0,3000000.0,-31706000.0,23362000.0,22.53,22.53,,,,,,,,,,,,,,,,,,-0.095472,-0.504608,0.064327,0.064327,0.064327,0.054054,-1.684211,,,0.005875,-0.268707,0.847716,0.847716,0.847716,1.4375,-1.099739,,0.014945,0.151856,0.1063,0.089695,0.151856,0.151856,0.151856,0.640801,0.823112,1.0,1.0,0.0,,,,0.1473,8.664,8.664,0.1473,0.1473,,0.0,,,,,,,,,,,-15.827586,0.0,0.128414,0.128414,0.197457,0.0,0.675071,,,,,,,2.1928,2.1928,2.0181,2.0181,-2.7651,-2.9398,
