,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
"(2018, 'Q2')",50663000.0,187318000.0,103336000.0,-21163000.0,296782000.0,564988000.0,,6792000.0,17239000.0,284115000.0,459812000.0,817803000.0,,191041000.0,328909000.0,,6319000.0,19929000.0,,,4647000.0,48758000.0,,27613000.0,178010000.0,201000.0,,1786556000.0,721835000.0,702754000.0,178231000.0,721835000.0,721835000.0,1064721000.0,1786556000.0,754893000.0,886490000.0
"(2018, 'Q1')",60337000.0,177053000.0,68845000.0,-14813000.0,309377000.0,559335000.0,,7592000.0,14956000.0,284980000.0,537478000.0,816499000.0,,192963000.0,325218000.0,,6190000.0,35598000.0,,,4590000.0,48928000.0,,25623000.0,265994000.0,201000.0,,1863472000.0,810516000.0,705016000.0,151931000.0,810516000.0,810516000.0,1052956000.0,1863472000.0,833238000.0,901025000.0
2017,51976000.0,141383000.0,87151000.0,-13968000.0,368119000.0,550472000.0,,15775000.0,12286000.0,285310000.0,569484000.0,815195000.0,,183568000.0,313418000.0,,6521000.0,43404000.0,,,4627000.0,48578000.0,,37081000.0,294741000.0,3901000.0,,1909511000.0,831245000.0,730151000.0,171089000.0,831245000.0,831245000.0,1078266000.0,1909511000.0,865942000.0,907177000.0
"(2017, 'Q3')",55340000.0,188839000.0,96107000.0,-17301000.0,345380000.0,544721000.0,,4714000.0,22164000.0,284922000.0,697085000.0,813891000.0,,182488000.0,297679000.0,,9175000.0,157859000.0,4994000.0,,2198000.0,11481000.0,,46162000.0,359958000.0,,0.0,2053928000.0,887378000.0,762869000.0,183319000.0,887378000.0,887378000.0,1166550000.0,2053928000.0,993380000.0,983231000.0
"(2017, 'Q2')",42770000.0,177591000.0,61020000.0,-16183000.0,322742000.0,538600000.0,,2832000.0,17244000.0,285054000.0,720000000.0,812587000.0,,181549000.0,276936000.0,,8225000.0,157867000.0,4994000.0,,2239000.0,11758000.0,,22008000.0,362855000.0,,0.0,1996344000.0,885272000.0,703890000.0,128860000.0,885272000.0,885272000.0,1111072000.0,1996344000.0,1015518000.0,982212000.0
"(2017, 'Q1')",50647000.0,233682000.0,63953000.0,-17590000.0,307425000.0,527684000.0,,41707000.0,13543000.0,285031000.0,743158000.0,811283000.0,,172325000.0,252656000.0,,7042000.0,157749000.0,4994000.0,,1900000.0,11449000.0,,21208000.0,360318000.0,,1310000.0,2025737000.0,870412000.0,735950000.0,174844000.0,870412000.0,870412000.0,1155325000.0,2025737000.0,1037131000.0,980481000.0
2016,59534000.0,283154000.0,75716000.0,-21967000.0,200772000.0,521860000.0,,16198000.0,19113000.0,284293000.0,758854000.0,809979000.0,9000.0,174793000.0,238404000.0,,5286000.0,157607000.0,,,1063000.0,11395000.0,,25986000.0,319291000.0,4994000.0,1106000.0,1973720000.0,819184000.0,685811000.0,175555000.0,819184000.0,819184000.0,1154536000.0,1973720000.0,1049505000.0,978981000.0
"(2016, 'Q3')",55172000.0,262999000.0,72021000.0,-18108000.0,174050000.0,521268000.0,,4762000.0,18552000.0,284584000.0,810071000.0,808675000.0,114000.0,179679000.0,216041000.0,,5038000.0,176814000.0,4987000.0,,866000.0,9932000.0,,26326000.0,306836000.0,0.0,1143000.0,1960911000.0,809996000.0,644197000.0,155494000.0,809996000.0,809996000.0,1150915000.0,1960911000.0,1100673000.0,995421000.0
"(2016, 'Q2')",48323000.0,205005000.0,71155000.0,-19333000.0,156294000.0,513716000.0,,1242000.0,13095000.0,284379000.0,835255000.0,807370000.0,130000.0,187966000.0,195724000.0,,4758000.0,180393000.0,4981000.0,,921000.0,10244000.0,,43201000.0,283927000.0,0.0,1480000.0,1915113000.0,778310000.0,593946000.0,138796000.0,778310000.0,778310000.0,1136803000.0,1915113000.0,1125443000.0,998007000.0
"(2016, 'Q1')",45929000.0,172183000.0,71410000.0,-16927000.0,140998000.0,461580000.0,,13247000.0,16156000.0,284716000.0,849311000.0,807142000.0,130000.0,190869000.0,186258000.0,,4381000.0,180610000.0,4974000.0,,1031000.0,6935000.0,,21069000.0,221934000.0,42857000.0,4901000.0,1855847000.0,666587000.0,530020000.0,194573000.0,666587000.0,666587000.0,1189260000.0,1855847000.0,1139569000.0,994687000.0
2015,46019000.0,150621000.0,88075000.0,-17142000.0,346266000.0,458659000.0,,23670000.0,15866000.0,284710000.0,864989000.0,994033000.0,129000.0,185316000.0,179614000.0,,4207000.0,188808000.0,,,764000.0,6763000.0,,19988000.0,180048000.0,57746000.0,5941000.0,2042545000.0,621565000.0,708132000.0,231376000.0,621565000.0,621565000.0,1420980000.0,2042545000.0,1154799000.0,1189604000.0
