year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,othernetchangesincash,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
2018,Q2,-50000.0,1304000.0,1055000.0,13200000.0,20161000.0,,-3642000.0,-292000.0,,-295000.0,-13552000.0,318000.0,-295000.0,-13552000.0,318000.0,-14130000.0,-87984000.0,-87984000.0,,70479000.0,-3000.0,-560000.0,,-13521000.0,,,,19000.0
2018,Q1,,1304000.0,8205000.0,12262000.0,20278000.0,,-48749000.0,546000.0,,-4250000.0,-22340000.0,-31591000.0,-4250000.0,-22340000.0,-31591000.0,-58140000.0,-28747000.0,-28747000.0,,24323000.0,-4796000.0,,,-22341000.0,,,,1000.0
2017,Q4,,1304000.0,-44155000.0,-33691000.0,21381000.0,548000.0,-35542000.0,359000.0,,359000.0,-17628000.0,39460000.0,359000.0,-17628000.0,39460000.0,22739000.0,-65217000.0,-65217000.0,,117534000.0,,,,-17632000.0,,,4815000.0,-4811000.0
2017,Q3,,1304000.0,254000.0,11567000.0,21580000.0,496000.0,17406000.0,338000.0,,338000.0,-27466000.0,50777000.0,338000.0,-27466000.0,50777000.0,23519000.0,-2897000.0,-2897000.0,,13384000.0,,-626000.0,,-27466000.0,,,,
2017,Q2,-200000.0,1304000.0,43943000.0,11083000.0,21298000.0,,-2848000.0,5782000.0,,5782000.0,-23130000.0,32444000.0,5782000.0,-23130000.0,32444000.0,15193000.0,2537000.0,2537000.0,,10153000.0,,97000.0,,-27589000.0,,,,4659000.0
2017,Q1,,1304000.0,-42000.0,11041000.0,20914000.0,,58404000.0,1115000.0,,1115000.0,-22331000.0,126583000.0,1115000.0,-22331000.0,126583000.0,105896000.0,41027000.0,41027000.0,,4934000.0,0.0,,,-22483000.0,,,,152000.0
2016,Q4,-75000.0,1304000.0,-103103000.0,-33022000.0,21978000.0,-191000.0,-17849000.0,904000.0,,-19096000.0,-26129000.0,72138000.0,-19096000.0,-26129000.0,72138000.0,26722000.0,32455000.0,32455000.0,,34250000.0,,,,-26054000.0,,-20000000.0,5966000.0,-5966000.0
2016,Q3,-500000.0,1304000.0,2302000.0,11162000.0,21874000.0,155000.0,-25595000.0,2715000.0,,-22285000.0,-19658000.0,59544000.0,-22285000.0,-19658000.0,59544000.0,17756000.0,47909000.0,47909000.0,,14052000.0,,,,-19158000.0,,-25000000.0,,
2016,Q2,-2375000.0,1841000.0,57726000.0,11247000.0,21643000.0,-198000.0,-62265000.0,6176000.0,,4619000.0,-16217000.0,27092000.0,4619000.0,-16217000.0,27092000.0,15296000.0,61993000.0,61993000.0,,3880000.0,,,,-19808000.0,-1557000.0,,,5966000.0
2016,Q1,-1000000.0,6311000.0,43075000.0,10613000.0,22468000.0,236000.0,-65213000.0,0.0,,-203571000.0,-10918000.0,8985000.0,-203571000.0,-10918000.0,8985000.0,-205268000.0,41886000.0,41886000.0,,3533000.0,,,,-9918000.0,-203571000.0,,,0.0
2015,Q4,1800000.0,792000.0,4064000.0,-38614000.0,23088000.0,-23000.0,-45686000.0,-1000.0,,-9219000.0,-4506000.0,45549000.0,-9219000.0,-4506000.0,45549000.0,31801000.0,32785000.0,32785000.0,,34570000.0,,,,-6306000.0,-9218000.0,,2459000.0,-2459000.0
2015,Q3,-2107000.0,1104000.0,8689000.0,13392000.0,19093000.0,-272000.0,-3432000.0,1000.0,,-5355000.0,-8048000.0,71050000.0,-5355000.0,-8048000.0,71050000.0,57375000.0,47967000.0,47967000.0,,6318000.0,,,,-6028000.0,-5356000.0,,,87000.0
2015,Q2,-3299000.0,1510000.0,-12991000.0,13386000.0,23633000.0,-121000.0,91219000.0,958000.0,,9693000.0,-11797000.0,135783000.0,9693000.0,-11797000.0,135783000.0,133558000.0,32508000.0,32508000.0,,-13087000.0,18053000.0,,,-8512000.0,-9318000.0,,,14000.0
2015,Q1,-24637000.0,1015000.0,238000.0,11836000.0,25791000.0,165000.0,7311000.0,10958000.0,,36789000.0,-29367000.0,45266000.0,36789000.0,-29367000.0,45266000.0,52853000.0,37538000.0,37538000.0,,-26389000.0,29944000.0,,,-7088000.0,-4113000.0,,,2358000.0
