date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,18.71,1,19.65,16.3,16.4,74059090.0,18.71,0.0,19.65,16.3,16.4,1.0,74059090.0
2018-06-30,16.59,1,19.809,10.755,18.56,180391200.0,16.59,0.0,19.809,10.755,18.56,1.0,180391200.0
2018-03-31,18.71,1,33.63,16.79,32.24,128133124.0,18.71,0.0,33.63,16.79,32.24,1.0,128133124.0
2017-12-31,32.23,1,33.55,31.75,33.21,139305077.0,32.23,0.0,33.55,31.75,33.21,1.0,139305077.0
2017-09-30,33.19,1,33.73,31.82,33.54,151681254.0,33.19,0.0,33.73,31.82,33.54,1.0,151681254.0
2017-06-30,33.54,1,34.0,23.17,24.19,261726836.0,33.54,0.0,34.0,23.17,24.19,1.0,261726836.0
2017-03-31,24.08,1,25.13,17.7442,22.13,107865242.0,24.08,0.0,25.13,17.7442,22.13,1.0,107865242.0
2016-12-31,21.83,1,28.42,17.61,27.2,101524626.0,21.83,0.0,28.42,17.61,27.2,1.0,101524626.0
2016-09-30,27.26,1,35.4,26.07,28.5,78127495.0,27.26,0.0,35.4,26.07,28.5,1.0,78127495.0
2016-06-30,28.485,1,31.92,19.18,23.25,116653443.0,28.485,0.0,31.92,19.18,23.25,1.0,116653443.0
2016-03-31,23.53,1,39.46,17.57,36.72,130324064.0,23.53,0.0,39.46,17.57,36.72,1.0,130324064.0
2015-12-31,37.31,1,37.86,19.08,28.68,95055944.0,37.31,0.0,37.86,19.08,28.68,1.0,95055944.0
2015-09-30,28.505,1,47.35,26.3,44.17,71563126.0,28.505,0.0,47.35,26.3,44.17,1.0,71563126.0
2015-06-30,43.66,1,57.1,38.63,47.28,126421667.0,43.66,0.0,57.1,38.63,47.28,1.0,126421667.0
2015-03-31,47.51,1,55.86,35.45,36.54,128122887.0,47.51,0.0,55.86,35.45,36.54,1.0,128122887.0
2014-12-31,36.2,1,45.25,33.16,36.16,93911499.0,36.2,0.0,45.25,33.16,36.16,1.0,93911499.0
2014-09-30,36.27,1,39.48,31.34,34.17,77258125.0,36.27,0.0,39.48,31.34,34.17,1.0,77258125.0
2014-06-30,33.25,1,33.305,20.52,22.11,54800800.0,33.25,0.0,33.305,20.52,22.11,1.0,54800800.0
2014-03-31,22.0,1,28.0,20.63,24.67,60001100.0,22.0,0.0,28.0,20.63,24.67,1.0,60001100.0
2013-12-31,24.62,1,26.1599,19.03,19.67,50204800.0,24.62,0.0,26.1599,19.03,19.67,1.0,50204800.0
2013-09-30,19.68,1,20.22,13.34,13.6,46433400.0,19.68,0.0,20.22,13.34,13.6,1.0,46433400.0
2013-06-30,13.52,1,15.49,12.855,13.83,38256700.0,13.52,0.0,15.49,12.855,13.83,1.0,38256700.0
2013-03-31,13.83,1,14.7,12.44,13.69,45544000.0,13.83,0.0,14.7,12.44,13.69,1.0,45544000.0
