,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,deferredacquisitioncost,intangibleassets,longtermdebt,mortgageservicingrights,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity
"(2018, 'Q2')",10138000.0,70857000.0,17330000.0,0.0,1543733000.0,,,,1447254000.0,109209000.0,3169771000.0,619874000.0,570702000.0,236108000.0,13756000.0,-61196000.0,14000000.0,3880768000.0,1492675000.0,1492675000.0,2112549000.0,1768219000.0,3880768000.0
"(2018, 'Q1')",7376000.0,70732000.0,39344000.0,0.0,1564149000.0,,,,1441283000.0,108959000.0,3170757000.0,639998000.0,607399000.0,248294000.0,12517000.0,-46856000.0,14000000.0,3938976000.0,1524669000.0,1524669000.0,2164667000.0,1774309000.0,3938976000.0
2017,2614000.0,70611000.0,74823000.0,0.0,1596598000.0,,,,1382909000.0,153829000.0,3126620000.0,648440000.0,594129000.0,249588000.0,10846000.0,-32013000.0,41500000.0,3960247000.0,1567199000.0,1567199000.0,2215639000.0,1744608000.0,3960247000.0
"(2017, 'Q3')",-553000.0,70498000.0,48255000.0,0.0,1594416000.0,,,,1543847000.0,250194000.0,3142434000.0,606256000.0,632601000.0,249818000.0,19473000.0,-30325000.0,59000000.0,4092957000.0,1563538000.0,1563538000.0,2169794000.0,1923163000.0,4092957000.0
"(2017, 'Q2')",-520000.0,70367000.0,43442000.0,0.0,1592153000.0,,,,1519753000.0,249848000.0,3166510000.0,610203000.0,564734000.0,254328000.0,24311000.0,-21439000.0,24000000.0,4048845000.0,1570194000.0,1570194000.0,2180397000.0,1868448000.0,4048845000.0
"(2017, 'Q1')",438000.0,70247000.0,47707000.0,0.0,1589849000.0,,,,1501896000.0,276507000.0,3132084000.0,617959000.0,534583000.0,246266000.0,24021000.0,-11753000.0,,4014902000.0,1578534000.0,1578534000.0,2196493000.0,1818409000.0,4014902000.0
2016,-798000.0,70129000.0,71805000.0,0.0,1595010000.0,,,,1488718000.0,276163000.0,3094934000.0,589548000.0,530154000.0,258988000.0,22904000.0,-5635000.0,0.0,3995960000.0,1588577000.0,1588577000.0,2178125000.0,1817835000.0,3995960000.0
"(2016, 'Q3')",-12844000.0,,49242000.0,,1500945000.0,,24786000.0,93819000.0,1295519000.0,266816000.0,2720338000.0,512137000.0,421140000.0,273947000.0,2378000.0,8815000.0,,3578519000.0,1496916000.0,1496916000.0,2009053000.0,1569466000.0,3578519000.0
"(2016, 'Q2')",-15220000.0,,83853000.0,,1287929000.0,,23423000.0,61795000.0,1244765000.0,273542000.0,2358206000.0,465289000.0,423381000.0,229358000.0,10840000.0,22919000.0,,3235040000.0,1295628000.0,1295628000.0,1760917000.0,1474123000.0,3235040000.0
"(2016, 'Q1')",-11467000.0,,84860000.0,,1140986000.0,,21776000.0,64396000.0,1296558000.0,154679000.0,2437107000.0,475262000.0,374669000.0,223293000.0,10840000.0,23695000.0,,3148327000.0,1153214000.0,1153214000.0,1628476000.0,1519851000.0,3148327000.0
2015,-4463000.0,0.0,72776000.0,0.0,1092309000.0,,,,1337806000.0,147188000.0,2437580000.0,420866000.0,337491000.0,152359000.0,37284000.0,12642000.0,20800000.0,3032319000.0,1100488000.0,1100488000.0,1521354000.0,1510965000.0,3032319000.0
