year,period,nopat,normalizednopat,netnonopex,investedcapital,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,investedcapitalincreasedecrease,freecashflow,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,revenuegrowth,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,nopatmargin,normalizednopatmargin,ebitdamargin,ebitmargin,pretaxincomemargin,profitmargin,sgaextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,investedcapitalturnover,assetturnover,faturnover,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex
2018,Q2,-7311126.9,-7311126.9,-5041126.9,3644660000.0,1532111000.0,-7327000.0,30871000.0,23544000.0,23801000.0,1532111000.0,1518111000.0,1501025000.0,3644660000.0,18.2577,18.2577,-149857000.0,142545873.1,2237653563.7,4358552563.7,1.4991,1.4991,10.8157,45.7944,0.039094,0.021837,1.1959,21.0671,52.0356,,,43.5995,38.5111,-0.091235,-0.204245,-4.338041,-4.563661,-1.371644,-0.357143,-0.412389,1.181175,-0.039493,-0.020168,-0.038981,-0.34391,-0.214636,0.454327,0.0,0.137669,0.981598,-0.01247,-0.146389,-0.146389,0.471417,-0.146707,-0.046213,-0.045452,0.250766,1.146707,0.983536,0.314999,0.002166,0.0556,0.0522,0.0653,0.7329,1.8471,0.5818,0.7186,0.7252,-0.008142,-0.003205,-0.004938,-0.003619,-0.011761,0.030427,-0.007655,-0.002372,0.286534,-0.008391,2.77905,4.510456,1.096467,0.003841,0.41653,0.420371,0.0,0.170077,0.409551,18.2915,17.9203,18.1243,-41.769,-40.9215,-41.3873,-0.4332,-0.4322,-1.8403,-1.8393,1.5428,0.1357,8.4272
2018,Q1,-6019193.2,-3816400.0,-1859193.2,3690682000.0,1526015000.0,-5452000.0,29951000.0,24499000.0,18136000.0,1526015000.0,1512015000.0,1474154000.0,3690682000.0,18.2739,18.2739,-77954000.0,71934806.8,2052478441.8,4166630441.8,1.3462,1.3462,9.6859,38.5384,0.043102,0.025948,1.129,19.6629,46.3969,,,35.2259,86.3383,-0.143273,-0.259804,-1.737454,-1.819271,-1.208302,-0.5,-0.063294,1.08602,-0.020685,-0.02474,1.269056,0.711244,0.680826,-1.166774,-0.653846,-0.35239,8.650046,-0.005384,-0.118091,-0.074874,0.480646,-0.106963,-0.073924,-0.081615,0.202821,1.106963,1.104034,0.691123,-0.104034,0.0568,0.0533,0.0672,0.7104,1.8238,1.2605,0.6985,0.705,-0.006709,-0.0012,-0.005509,-0.003914,-0.010623,0.012939,-0.005699,-0.004349,0.288446,-0.007559,2.186649,2.982154,1.264832,0.003793,0.409684,0.413478,0.0,0.173409,0.413113,16.9927,16.4152,16.8368,-51.3902,-49.6437,-50.9187,-0.3431,-0.3788,-1.4845,-1.5202,1.4436,0.3023,4.527
2017,Q4,-18858651.6,-8256216.0,-43802651.6,3710659000.0,1495020000.0,-18881000.0,29678000.0,10797000.0,23278000.0,1495020000.0,1453520000.0,1409351000.0,3710659000.0,18.6128,18.6128,-26313000.0,7454348.3999999985,2303712000.0,4361503000.0,1.47,1.47,10.4511,37.477,0.039176,0.026683,1.1754,19.7866,44.3229,,,36.3965,299.5124,0.026314,-0.522193,-9.211466,-9.131454,-0.27141,0.181818,-0.359093,1.008679,-0.007041,-0.02694,-0.566751,-4.858207,-13.544058,0.877606,0.733333,1.283605,1.013808,-0.034472,-0.360834,-0.157971,0.206586,-0.361262,-0.210145,0.477269,0.281073,1.361262,-2.271146,0.581696,0.001184,0.0592,0.0554,0.0709,0.695,1.8108,1.0533,0.656,0.6748,-0.021359,-0.028687,0.007327,0.005093,-0.016266,0.003911,-0.020018,0.026446,0.28176,-0.011683,1.547661,1.547661,1.521651,0.011184,0.391715,0.402899,0.0,0.174751,0.422351,15.1928,14.3222,14.7711,-127.225,-119.9347,-123.6934,-0.9777,-0.9765,-2.183,-2.1819,1.8341,0.6288,0.386
2017,Q3,-1296656.8,431900.0,-14581656.8,3843139000.0,1673345000.0,-3223000.0,28144000.0,24921000.0,12516000.0,1673345000.0,1614345000.0,1605617000.0,3843139000.0,18.2231,18.2231,538567000.0,-539863656.8,2455596000.0,4667469000.0,1.5705,1.5705,11.2083,40.6697,0.042862,0.024588,1.2145,21.3042,42.3534,1033.5405,1046.9908,33.4157,,0.245675,0.504255,-7.234043,-4.192751,39.751534,0.875,0.129387,-0.142878,0.162976,-0.022672,-0.157704,-2.468337,-1.632029,1.175016,0.071429,-0.650748,0.313834,0.012814,-0.024141,0.008041,0.463983,-0.060006,0.014485,0.247342,0.175327,1.060006,17.075835,-0.24139,0.597686,0.0613,0.0571,0.0747,0.7105,1.8358,-0.4431,0.744,0.7712,-0.00148,-0.009823,0.008343,0.005927,0.004447,-0.149449,-0.003427,0.014128,0.267632,0.003257,1.323777,1.323777,1.239294,0.015352,0.420059,0.435411,0.0,0.15775,0.406839,15.1842,14.5696,14.6488,375.3591,360.1666,362.1244,-0.2089,-0.084,-1.0202,-0.8953,1.0054,0.1941,-34.9925
2017,Q2,2051577.7,2051577.7,-4056422.3,3794517000.0,1614120000.0,2195000.0,27392000.0,29587000.0,44368000.0,1614120000.0,1590120000.0,1546367000.0,3794517000.0,18.7683,18.7683,788835000.0,-786783422.3,2325802293.4,4482372293.4,1.4812,1.4812,11.1552,43.3724,0.044152,0.023056,1.1813,21.4988,44.01,542.923,546.6206,32.504,,0.295056,0.275357,-0.724038,-0.739082,-0.766469,-0.416667,0.791963,-4.200771,0.262448,-0.076275,-0.106079,-0.703098,-0.72076,-0.694157,-0.222222,0.813549,0.059158,0.006867,0.037331,0.037331,0.538366,0.03994,0.118911,0.111141,0.170388,0.96006,0.93466,2.977221,0.06534,0.0613,0.0572,0.0755,0.7254,1.8481,5.5022,0.7293,0.7403,0.002289,-0.002838,0.005127,0.003719,0.006008,-0.229592,0.002287,0.006363,0.272877,0.004369,1.556257,1.556257,1.000992,0.006325,0.419057,0.425382,0.0,0.160812,0.413806,15.8482,15.1829,15.6125,196.8402,188.5778,193.9135,0.1722,0.1609,-3.3077,-3.3189,3.4833,0.0035,-61.7085
2017,Q1,7347014.5,7347014.5,-12623985.5,3768636000.0,1572143000.0,7393000.0,25705000.0,33098000.0,1935000.0,1572143000.0,1572143000.0,1500415000.0,3768636000.0,18.8741,18.8741,843602000.0,-836254985.5,2514059893.6,4632433893.6,1.5927,1.5927,12.8286,42.2659,0.04086,0.02366,1.2292,23.6381,48.527,330.534,331.0341,39.167,,0.332624,0.383406,0.146024,0.128556,-0.729665,-0.55,0.362392,-3.86034,0.288408,0.16831,0.464708,4.998378,4.947045,-0.416667,-0.181818,-0.556897,0.026335,0.008473,0.12349,0.12349,0.556316,0.124263,0.337776,0.335675,0.137776,0.875737,0.99378,2.718247,0.00622,0.0586,0.0547,0.0704,0.75,1.8728,5.0906,0.7158,0.7158,0.007231,-0.008801,0.016032,0.012024,0.019255,-0.247878,0.006799,0.018367,0.285812,0.013752,1.121567,1.121567,12.655814,0.0,0.417165,0.417165,0.0,0.163974,0.418861,16.469,15.7176,16.469,112.3454,107.2198,112.3454,0.6435,0.6395,0.4751,0.4711,2.1317,1.9633,-72.7938
2016,Q4,-1861396.3,-1294300.0,-36097396.3,3736972000.0,1558847000.0,-1849000.0,24446000.0,22597000.0,30389000.0,1558847000.0,1558847000.0,1464138000.0,3736972000.0,20.5243,20.5243,857012000.0,-858873396.3,2529432000.0,4583118000.0,1.5923,1.5923,13.9653,34.7564,0.052694,0.028772,1.2264,25.3039,53.1142,350.5789,349.8794,41.0086,,0.157232,0.052737,-1.387144,-1.391045,3.349638,0.833333,0.955939,-1.678614,0.297578,0.181038,0.363977,-4.576402,-5.583305,104.018405,1.75,3.024101,-0.818215,0.130849,-0.036552,-0.025416,0.44374,-0.036309,0.667819,0.672296,0.167838,1.036309,1.006704,-18.392645,-0.006704,0.0547,0.0515,0.0655,0.7886,1.8998,-34.9424,0.7157,0.7157,-0.002001,-0.024746,0.022745,0.017937,0.015936,-0.255077,-0.001871,0.034651,0.273123,0.011583,0.678599,0.678599,1.818651,0.0,0.417142,0.417142,0.0,0.157761,0.425097,18.0656,16.968,18.0656,119.0038,111.7736,119.0038,-0.1901,-0.1913,-3.3139,-3.3152,5.6812,2.5574,-88.2888
2016,Q3,406125.3,406125.3,80125.3,3304572000.0,1295519000.0,517000.0,16050000.0,16567000.0,38569000.0,1295519000.0,1295519000.0,1243899000.0,3304572000.0,19.5931,18.3651,472778000.0,-472371874.7,2768736000.0,4524772000.0,1.8496,1.9733,15.8936,44.769,0.036244,0.022337,1.3692,25.974,53.1351,229.7072,230.2522,53.3903,,-0.092386,-0.410049,-0.94609,-0.956018,-0.981993,-0.6,-0.565256,0.014167,0.166954,0.016071,-0.285874,-0.935001,-0.948349,-0.987536,-0.666667,-0.445852,-2.122458,0.099442,0.009419,0.009419,0.384225,0.01199,0.009625,0.007561,0.117236,0.98801,0.785542,0.802708,0.214458,0.0568,0.0532,0.0688,0.7415,1.8579,1.4914,0.6448,0.6448,0.000535,6.1e-05,0.000473,0.000351,0.000886,-0.147686,0.000638,0.000402,0.266348,0.00065,0.815314,0.815314,0.356089,0.0,0.392038,0.392038,0.0,0.154978,0.452983,15.2135,14.6073,15.2135,65.9251,63.2983,65.9251,0.0648,0.0509,-4.7672,-4.7811,1.7206,-3.1114,-59.1796
2016,Q2,7862923.7,7862923.7,-18292076.3,3005682000.0,1244765000.0,7954000.0,15245000.0,23199000.0,18427000.0,1244765000.0,1244765000.0,1150072000.0,3005682000.0,17.3444,16.5172,159145000.0,-151282076.3,2653344000.0,4268705000.0,2.0479,2.1505,14.8569,38.1727,0.036932,0.026197,1.4202,23.9019,44.157,148.3683,146.8524,41.6029,,-0.017617,0.306544,1.586667,1.555373,-0.693943,-0.368421,-0.086607,0.737844,0.055908,-0.049479,-0.030345,0.232987,0.207804,-0.645956,-0.4,0.378804,0.120744,0.027572,0.185289,0.185289,0.546682,0.187435,0.228438,0.61634,0.120299,0.812565,2.698061,1.218758,0.01145,0.061,0.0575,0.0769,0.7838,1.8925,2.3064,0.7069,0.7069,0.011309,-0.014227,0.025536,0.020015,0.031324,-0.044454,0.010783,0.035458,0.273207,0.022766,0.683013,0.683013,1.344983,0.0,0.414137,0.414137,0.0,0.154803,0.43106,12.8763,11.8968,12.8763,42.8225,39.5649,42.8225,0.894,0.8838,-1.1771,-1.1874,2.7857,0.7145,-17.0037
2016,Q1,6510099.0,4515700.0,-67364901.0,2925034000.0,1296558000.0,6451000.0,17474000.0,23925000.0,37463000.0,1296558000.0,1296558000.0,1200858000.0,2925034000.0,15.9504,15.0597,178567000.0,-172056901.0,2539899000.0,4216019000.0,2.2025,2.3327,14.1614,32.5269,0.03731,0.030744,1.4414,23.5067,46.2141,176.4615,178.1374,40.1694,,0.022561,0.152845,0.019599,0.066773,0.916989,0.666667,-0.32468,0.65649,0.065017,0.014544,0.114605,0.350712,0.367653,8.38572,2.333333,-0.363852,0.463397,0.015651,0.145819,0.101147,0.535894,0.144495,0.188263,1.654721,0.124023,0.855505,8.789411,1.302899,-0.009161,0.0632,0.0596,0.077,0.8473,1.9605,2.5544,0.7962,0.7962,0.009223,-0.051793,0.061016,0.051697,0.06092,-0.054624,0.008611,0.098611,0.274781,0.04418,0.457001,0.457001,0.479807,0.0,0.443263,0.443263,0.0,0.162481,0.394257,14.2123,13.1633,14.2123,54.7828,50.7393,54.7828,0.8026,0.8099,-3.8582,-3.8508,2.2363,-2.4245,-21.4054
