year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
2018,Q2,,1368000.0,-673000.0,17309000.0,29503000.0,,-2681000.0,,106979000.0,-50611000.0,3739000.0,26097000.0,-50611000.0,3739000.0,26097000.0,-20775000.0,-2270000.0,-2270000.0,177000.0,-10406000.0,2791000.0,-22262000.0,,-469000.0,-23801000.0,-101826000.0,-23096000.0,25218000.0,
2018,Q1,,1375000.0,673000.0,11910000.0,28576000.0,,-7812000.0,,495073000.0,-30468000.0,-26279000.0,22939000.0,-30468000.0,-26279000.0,22939000.0,-33808000.0,-4160000.0,-4160000.0,4960000.0,-5233000.0,16826000.0,-22601000.0,,-50969000.0,-18136000.0,-465746000.0,-31961000.0,26000000.0,0.0
2017,Q4,,1989000.0,102000.0,10316000.0,27689000.0,,12308000.0,,129378000.0,-165243000.0,156390000.0,35421000.0,-165243000.0,156390000.0,35421000.0,26568000.0,24944000.0,24944000.0,-31509000.0,36331000.0,10113000.0,-21757000.0,,-64131000.0,-23588000.0,-309195000.0,,233686000.0,310000.0
2017,Q3,,1492000.0,635000.0,16283000.0,26652000.0,,-11213000.0,,169524000.0,31068000.0,-43173000.0,15511000.0,31068000.0,-43173000.0,15511000.0,3406000.0,13285000.0,13285000.0,-14705000.0,-5264000.0,-16596000.0,-21751000.0,,-61086000.0,-38251000.0,-111441000.0,,47025000.0,25735000.0
2017,Q2,,1335000.0,-82000.0,13714000.0,26057000.0,,8200000.0,,104884000.0,15445000.0,-63832000.0,44412000.0,15445000.0,-63832000.0,44412000.0,-3975000.0,6108000.0,6108000.0,2712000.0,-4414000.0,22871000.0,-21744000.0,,-54335000.0,-19288000.0,-63281000.0,,12000000.0,-25080000.0
2017,Q1,,1169000.0,220000.0,9629000.0,24536000.0,,-11110000.0,0.0,113044000.0,-8167000.0,-39303000.0,24489000.0,-8167000.0,-39303000.0,24489000.0,-22981000.0,19971000.0,19971000.0,-10077000.0,12400000.0,644000.0,-34275000.0,,-38012000.0,-27015000.0,-99336000.0,,0.0,25080000.0
2016,Q4,8576000.0,1179000.0,769000.0,14163000.0,23267000.0,,28655000.0,92868000.0,203447000.0,202530000.0,-235234000.0,55267000.0,202530000.0,-235234000.0,55267000.0,22563000.0,34236000.0,34236000.0,-32070000.0,52924000.0,3182000.0,-19660000.0,,-216602000.0,-54975000.0,-127049000.0,,-1000.0,24586000.0
2016,Q3,8924000.0,833000.0,2534000.0,8870000.0,15217000.0,,-8501000.0,215913000.0,64328000.0,240621000.0,-288966000.0,13734000.0,240621000.0,-288966000.0,13734000.0,-34611000.0,326000.0,326000.0,5859000.0,41559000.0,12478000.0,-18694000.0,,-290118000.0,-38569000.0,-62485000.0,,18319000.0,
2016,Q2,-17500000.0,567000.0,-1011000.0,10809000.0,14678000.0,,1454000.0,109323000.0,494325000.0,133741000.0,-159532000.0,24784000.0,133741000.0,-159532000.0,24784000.0,-1007000.0,26155000.0,26155000.0,-18070000.0,94080000.0,-3273000.0,-17868000.0,,-170253000.0,-18427000.0,-546119000.0,,49921000.0,
2016,Q1,,625000.0,-256000.0,8437000.0,16849000.0,,-9097000.0,32026000.0,136561000.0,-78653000.0,72762000.0,17975000.0,-78653000.0,72762000.0,17975000.0,12084000.0,73875000.0,73875000.0,-64277000.0,-11127000.0,33388000.0,-35112000.0,,-48121000.0,-37463000.0,-201001000.0,,124958000.0,0.0
