date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,26.62,1,27.74,25.86,27.3,13935106.0,26.62,0.0,27.74,25.86,27.3,1.0,13935106.0
2018-06-30,27.37,1,28.2821189189189,22.0533189189189,24.3309405405405,44732335.0,27.37,0.27,28.56,22.27,24.57,1.0,44732335.0
2018-03-31,24.3606486486486,1,27.3798467677574,20.9046844373504,26.8214742218675,47468189.0,24.6,0.27,27.95,21.34,27.38,1.0,47468189.0
2017-12-31,26.8018822027135,1,29.7132350684411,26.0415212344859,27.7536942640582,35643111.0,27.36,0.27,30.63,26.845,28.61,1.0,35643111.0
2017-09-30,27.7633949611096,1,29.1871788825999,25.9233293336399,26.8414372332737,28503005.0,28.62,0.26,30.36,26.965,27.92,1.0,28503005.0
2017-06-30,26.7260728898642,1,30.5014339465647,25.4337378630005,28.5581820648972,36746963.0,27.8,0.26,32.02,26.7,29.98,1.0,36746963.0
2017-03-31,28.634388021041,1,31.5873719979211,27.6023582510981,30.8319191549215,31686177.0,30.06,0.26,33.45,29.23,32.65,1.0,31686177.0
2016-12-31,30.8602486365339,1,33.5794077438969,29.5614386329531,33.5514404415006,28258669.0,32.68,0.41,36.02,31.31,35.99,1.0,28258669.0
2016-09-30,33.7845012948036,1,35.195601458173,32.325136724673,33.1307187627843,36748924.0,36.24,0.25,38.01,34.91,35.78,1.0,36748924.0
2016-06-30,32.8899701077165,1,33.0758126733022,30.115720488532,32.1013723888748,28996188.0,35.52,0.25,35.98,32.76,34.92,1.0,28996188.0
2016-03-31,32.2944218791858,1,32.3955430407774,27.6101980395682,29.873777911903,25538479.0,35.13,0.25,35.24,30.25,32.73,1.0,25538479.0
2015-12-31,30.2571261160888,1,30.6587289966643,26.8002974682765,27.1330528395269,15386102.0,33.15,0.5,34.0647,29.8,30.17,1.0,15386102.0
2015-09-30,27.0431189554052,1,29.1466617273167,25.2836361601517,26.0508883513207,21116986.0,30.07,0.24,32.67,28.34,29.2,1.0,21116986.0
2015-06-30,25.9705945173611,1,31.2943509035282,25.9170652947214,30.8075892237505,21820529.0,29.11,0.24,35.36,29.05,34.81,1.0,21820529.0
2015-03-31,30.8695407102677,1,32.3605790871762,28.2386041844371,28.3089150569785,23930894.0,34.88,0.24,36.82,32.13,32.21,1.0,23930894.0
2014-12-31,28.1507155937603,1,29.0120237823924,23.7927069008952,23.8964541693584,25185527.0,32.03,0.54,33.18,27.52,27.64,1.0,25185527.0
2014-09-30,23.8445805351268,1,25.1738680231723,23.150355470901,24.1020923069269,17118059.0,27.58,0.23,29.36,27.0,28.11,1.0,17118059.0
2014-06-30,24.084943895467,1,24.4982206116512,22.0953839902517,22.5376318607263,20615000.0,28.09,0.23,28.6,25.98,26.5,1.0,20615000.0
2014-03-31,22.4355746598476,1,22.8124067264599,20.6289575978002,20.9324485963784,20702800.0,26.38,0.23,27.06,24.47,24.83,1.0,20702800.0
2013-12-31,20.9324485963784,1,23.043421441441,20.1322733761418,20.6417597903936,15325500.0,24.83,0.23,27.585,24.1001,24.71,1.0,15325500.0
2013-09-30,20.6166989731653,1,22.1830401472429,18.960783755429,20.5429199272451,20160500.0,24.68,0.21,26.78,22.89,24.8,1.0,20160500.0
2013-06-30,20.4518021372452,1,24.0786910582808,19.1677546410552,22.8386999386351,25547300.0,24.69,0.21,29.3199,23.34,27.81,1.0,25547300.0
2013-03-31,22.8058503162854,1,23.085072106258,20.4107827205139,20.7042284784766,20823800.0,27.77,0.21,28.11,25.04,25.4,1.0,20823800.0
2012-12-31,20.443387804732,1,20.9682437893119,19.349699305382,20.1508788249273,26501400.0,25.08,0.18,25.91,23.91,24.9,1.0,26501400.0
2012-09-30,20.0861370455701,1,20.9312576440751,18.4805729678974,18.7537640465533,19103700.0,24.82,0.18,26.05,23.0,23.34,1.0,19103700.0
2012-06-30,18.6252035389505,1,18.7410942335784,17.1308428362229,17.9678547011849,20780800.0,23.18,0.18,23.51,21.49,22.54,1.0,20780800.0
2012-03-31,17.9678547011849,1,18.0395985753245,15.2137743491697,16.0925483187968,17053400.0,22.54,0.36,22.94,19.39,20.51,1.0,17053400.0
2011-12-31,15.8022390609735,1,16.2668090466276,13.5453065770675,14.4706174167179,20026000.0,20.14,0.18,20.92,17.42,18.61,1.0,20026000.0
2011-09-30,14.5405989087923,1,17.1217165460143,13.4250216782667,15.6740786662494,20838800.0,18.7,0.18,22.2295,17.43,20.35,1.0,20838800.0
2011-06-30,15.6586741663317,1,16.1457418290816,14.1380207411154,14.512082844957,15956300.0,20.33,0.18,21.15,18.52,19.01,1.0,15956300.0
2011-03-31,14.4433775605779,1,15.0080151818193,13.3975833260372,13.8890296670036,18174500.0,18.92,0.18,19.85,17.72,18.37,1.0,18174500.0
2010-12-31,13.7907403988103,1,15.0995474512171,13.2654427781639,14.3733917235185,22563600.0,18.24,0.18,20.17,17.72,19.2,1.0,22563600.0
