,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,othercurrentassets,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
"(2018, 'Q2')",768300000.0,653000000.0,243400000.0,4953600000.0,-66800000.0,46000000.0,,2894300000.0,,39200000.0,,6884800000.0,,2036600000.0,,1311000000.0,1931200000.0,342200000.0,,841400000.0,98400000.0,405700000.0,145600000.0,,,-2792500000.0,,4445300000.0,28600000.0,2108400000.0,1050900000.0,28600000.0,370800000.0,4074500000.0,4445300000.0,405700000.0,3023600000.0,,-6400000.0
"(2018, 'Q1')",728600000.0,619800000.0,234100000.0,4899700000.0,-56100000.0,44500000.0,,2892500000.0,,39700000.0,,6850700000.0,,2103300000.0,,1334000000.0,1951000000.0,351000000.0,,869200000.0,96400000.0,412000000.0,150900000.0,,,-2849100000.0,,4457700000.0,-19100000.0,2094700000.0,1002400000.0,-19100000.0,331900000.0,4125800000.0,4457700000.0,412000000.0,3123400000.0,,-6400000.0
2017,690400000.0,517800000.0,270500000.0,4845600000.0,-50200000.0,38000000.0,,2888000000.0,,40100000.0,,6831800000.0,,2110100000.0,,1385000000.0,1986200000.0,345200000.0,,894200000.0,130300000.0,417500000.0,168900000.0,,,-2877000000.0,,4474800000.0,-44600000.0,2071100000.0,1001000000.0,-44600000.0,300600000.0,4174200000.0,4474800000.0,417500000.0,3173200000.0,,-5400000.0
"(2017, 'Q3')",718000000.0,563400000.0,245100000.0,4720700000.0,-111300000.0,69300000.0,,2886900000.0,,41300000.0,312800000.0,6745300000.0,,2098200000.0,,1184100000.0,2024600000.0,353200000.0,,1011800000.0,115600000.0,189500000.0,168400000.0,,0.0,-2946900000.0,,4459300000.0,-176700000.0,1932400000.0,1004400000.0,-176700000.0,176500000.0,4282800000.0,4459300000.0,502300000.0,3278400000.0,,-5400000.0
"(2017, 'Q2')",672800000.0,530900000.0,212900000.0,4663500000.0,-106100000.0,136300000.0,,2885800000.0,,41300000.0,,6609700000.0,,1689700000.0,,1103500000.0,1946200000.0,352400000.0,,1057100000.0,83700000.0,205000000.0,146200000.0,,0.0,-2941100000.0,,4005600000.0,-166800000.0,1854400000.0,927000000.0,-166800000.0,185600000.0,3820000000.0,4005600000.0,205000000.0,2893000000.0,,-5400000.0
"(2017, 'Q1')",651500000.0,524500000.0,176600000.0,4609400000.0,-86200000.0,185700000.0,,2864600000.0,,41300000.0,,6585400000.0,,1684500000.0,,1105800000.0,1976000000.0,364000000.0,,1077600000.0,107700000.0,204700000.0,149900000.0,,19700000.0,-3002300000.0,168500000.0,4104400000.0,-229200000.0,1923700000.0,1037900000.0,-229200000.0,134800000.0,3949900000.0,4104400000.0,204700000.0,2912000000.0,,-5300000.0
2016,589900000.0,442000000.0,234100000.0,4554600000.0,-63500000.0,173200000.0,,2858500000.0,,41300000.0,32800000.0,6569000000.0,,1816600000.0,,1113900000.0,2014400000.0,362900000.0,,1093700000.0,94600000.0,165100000.0,148400000.0,,21300000.0,-3064800000.0,,4036000000.0,-272200000.0,1823700000.0,865300000.0,-272200000.0,90700000.0,3924000000.0,4036000000.0,197900000.0,3058700000.0,,-2400000.0
"(2016, 'Q3')",639500000.0,489000000.0,248700000.0,4537700000.0,-164200000.0,57500000.0,,2522400000.0,,46200000.0,,6565300000.0,,2000200000.0,,1088400000.0,2027600000.0,371400000.0,,1131000000.0,66100000.0,192200000.0,130400000.0,,,-3002400000.0,,3920800000.0,-646600000.0,1701000000.0,934400000.0,-646600000.0,-275200000.0,4196000000.0,3920800000.0,192200000.0,3261600000.0,,-2400000.0
"(2016, 'Q2')",602900000.0,448500000.0,206100000.0,4485900000.0,-145800000.0,56200000.0,,2521200000.0,,77600000.0,,6515000000.0,,2078100000.0,,978300000.0,2029100000.0,379600000.0,,1122500000.0,68600000.0,202200000.0,131700000.0,135400000.0,,-3053300000.0,,3918300000.0,-680200000.0,1551600000.0,886600000.0,-680200000.0,-300600000.0,4218900000.0,3918300000.0,337600000.0,3332300000.0,,-2300000.0
"(2016, 'Q1')",643300000.0,488700000.0,270000000.0,4432700000.0,-188200000.0,113000000.0,,2270600000.0,,78400000.0,,6488400000.0,,2336400000.0,,1068900000.0,2055700000.0,378900000.0,,1132400000.0,71800000.0,189200000.0,138400000.0,,,-3070600000.0,,3987300000.0,-990500000.0,1742400000.0,991700000.0,-990500000.0,-611600000.0,4598900000.0,3987300000.0,189200000.0,3607200000.0,,-2300000.0
